setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,142,5.404969
0,0,300000,100%,raw-br-immed-retired,"219,582,187",5.404969
0,0,300000,100%,raw-br-immed-spec,"219,582,187",5.404969
0,0,300000,100%,raw-br-indirect-spec,"683,649",5.404969
0,0,300000,100%,raw-br-mis-pred,"1,398,071",5.404969
0,0,300000,100%,raw-br-mis-pred-retired,"1,651,791",5.404969
0,0,300000,100%,raw-br-pred,"216,135,294",5.465483
0,0,300000,100%,raw-br-retired,"225,696,448",5.465483
0,0,300000,100%,raw-br-return-retired,"4,423,178",5.465483
0,0,300000,100%,raw-br-return-spec,"4,423,178",5.465483
0,0,300000,100%,raw-bus-access,"504,620,192",5.465483
0,0,300000,100%,raw-bus-access-normal,0,5.465483
0,0,300000,100%,raw-bus-access-not-shared,0,4.824010
0,0,300000,100%,raw-bus-access-periph,0,4.824010
0,0,300000,100%,raw-bus-access-rd,"20,143,781",4.824010
0,0,300000,100%,raw-bus-access-shared,0,4.824010
0,0,300000,100%,raw-bus-access-wr,"488,559,631",4.824010
0,0,300000,100%,raw-bus-cycles,"1,438,200,395",4.824010
0,0,300000,100%,raw-cid-write-retired,13,5.420297
0,0,300000,100%,raw-cnt-cycles,0,5.420297
0,0,300000,100%,raw-cpu-cycles,"1,616,965,958",5.420297
0,0,300000,100%,raw-crypto-spec,0,5.420297
0,0,300000,100%,raw-dmb-spec,0,5.420297
0,0,300000,100%,raw-dp-spec,"616,048,333",5.414446
0,0,300000,100%,raw-dsb-spec,0,5.414446
0,0,300000,100%,raw-dtlb-walk,"1,860,649",5.414446
0,0,300000,100%,raw-exc-dabort,0,5.414446
0,0,300000,100%,raw-exc-fiq,0,5.414446
0,0,300000,100%,raw-exc-hvc,0,5.414446
0,0,300000,100%,raw-exc-irq,"2,019",4.825019
0,0,300000,100%,raw-exc-pabort,0,4.825019
0,0,300000,100%,raw-exc-return,"185,077",4.825019
0,0,300000,100%,raw-exc-smc,0,4.825019
0,0,300000,100%,raw-exc-svc,0,4.825019
0,0,300000,100%,raw-exc-taken,"185,077",4.825019
0,0,300000,100%,raw-exc-trap-dabort,0,4.814611
0,0,300000,100%,raw-exc-trap-fiq,0,4.814611
0,0,300000,100%,raw-exc-trap-irq,0,4.814611
0,0,300000,100%,raw-exc-trap-other,0,4.814611
0,0,300000,100%,raw-exc-trap-pabort,0,4.814611
0,0,300000,100%,raw-exc-undef,0,4.814611
0,0,300000,100%,raw-inst-retired,"1,105,868,560",5.441807
0,0,300000,100%,raw-inst-spec,"1,115,767,580",5.441807
0,0,300000,100%,raw-isb-spec,0,5.441807
0,0,300000,100%,raw-itlb-walk,"7,316",5.441807
0,0,300000,100%,raw-l1d-cache,"268,611,019",5.441807
0,0,300000,100%,raw-l1d-cache-allocate,0,5.441807
0,0,300000,100%,raw-l1d-cache-inval,0,4.817175
0,0,300000,100%,raw-l1d-cache-lmiss-rd,0,4.817175
0,0,300000,100%,raw-l1d-cache-rd,"155,856,955",4.817175
0,0,300000,100%,raw-l1d-cache-refill,"3,927,957",4.817175
0,0,300000,100%,raw-l1d-cache-refill-inner,"3,021,127",4.817175
0,0,300000,100%,raw-l1d-cache-refill-outer,"1,306,069",4.817175
0,0,300000,100%,raw-l1d-cache-refill-rd,"2,567,862",9.203600
0,0,300000,100%,raw-l1d-cache-refill-wr,"1,773,666",9.203600
0,0,300000,100%,raw-l1d-cache-wb,"5,462,856",9.203600
0,0,300000,100%,raw-l1d-cache-wb-clean,0,9.203600
0,0,300000,100%,raw-l1d-cache-wb-victim,0,9.203600
0,0,300000,100%,raw-l1d-cache-wr,"34,082,185",9.203600
0,0,300000,100%,raw-l1d-tlb,"276,708,324",5.470710
0,0,300000,100%,raw-l1d-tlb-rd,0,5.470710
0,0,300000,100%,raw-l1d-tlb-refill,"6,472,004",5.470710
0,0,300000,100%,raw-l1d-tlb-refill-rd,0,5.470710
0,0,300000,100%,raw-l1d-tlb-refill-wr,0,5.470710
0,0,300000,100%,raw-l1d-tlb-wr,0,5.470710
0,0,300000,100%,raw-l1i-cache,"640,458,093",5.460423
0,0,300000,100%,raw-l1i-cache-lmiss,0,5.460423
0,0,300000,100%,raw-l1i-cache-refill,"1,044,922",5.460423
0,0,300000,100%,raw-l1i-tlb,"661,306,775",5.460423
0,0,300000,100%,raw-l1i-tlb-refill,"312,864",5.460423
0,0,300000,100%,raw-l2d-cache,"136,755,137",5.460423
0,0,300000,100%,raw-l2d-cache-allocate,"20,679,629",5.422307
0,0,300000,100%,raw-l2d-cache-inval,0,5.422307
0,0,300000,100%,raw-l2d-cache-lmiss-rd,0,5.422307
0,0,300000,100%,raw-l2d-cache-rd,"7,375,901",5.422307
0,0,300000,100%,raw-l2d-cache-refill,"5,223,422",5.422307
0,0,300000,100%,raw-l2d-cache-refill-rd,"4,543,822",5.422307
0,0,300000,100%,raw-l2d-cache-refill-wr,"672,253",4.809969
0,0,300000,100%,raw-l2d-cache-wb,"12,115,186",4.809969
0,0,300000,100%,raw-l2d-cache-wb-clean,0,4.809969
0,0,300000,100%,raw-l2d-cache-wb-victim,0,4.809969
0,0,300000,100%,raw-l2d-cache-wr,"129,365,864",4.809969
0,0,300000,100%,raw-l2d-tlb,"7,248,240",4.809969
0,0,300000,100%,raw-l2d-tlb-rd,0,4.801325
0,0,300000,100%,raw-l2d-tlb-refill,"1,867,829",4.801325
0,0,300000,100%,raw-l2d-tlb-refill-rd,0,4.801325
0,0,300000,100%,raw-l2d-tlb-refill-wr,0,4.801325
0,0,300000,100%,raw-l2d-tlb-wr,0,4.801325
0,0,300000,100%,raw-l2i-cache,0,4.801325
0,0,300000,100%,raw-l2i-cache-lmiss,0,4.788872
0,0,300000,100%,raw-l2i-cache-refill,0,4.788872
0,0,300000,100%,raw-l2i-tlb,0,4.788872
0,0,300000,100%,raw-l2i-tlb-refill,0,4.788872
0,0,300000,100%,raw-l3d-cache,"124,865,989",4.788872
0,0,300000,100%,raw-l3d-cache-allocate,"120,286,727",4.788872
0,0,300000,100%,raw-l3d-cache-inval,0,4.804258
0,0,300000,100%,raw-l3d-cache-lmiss-rd,0,4.804258
0,0,300000,100%,raw-l3d-cache-rd,"4,436,561",4.804258
0,0,300000,100%,raw-l3d-cache-refill,"2,187,408",4.804258
0,0,300000,100%,raw-l3d-cache-refill-rd,"2,187,408",4.804258
0,0,300000,100%,raw-l3d-cache-refill-wr,0,4.804258
0,0,300000,100%,raw-l3d-cache-wb,0,4.837051
0,0,300000,100%,raw-l3d-cache-wb-clean,0,4.837051
0,0,300000,100%,raw-l3d-cache-wb-victim,0,4.837051
0,0,300000,100%,raw-l3d-cache-wr,0,4.837051
0,0,300000,100%,raw-ld-retired,"142,065,056",4.837051
0,0,300000,100%,raw-ld-spec,"142,302,810",4.837051
0,0,300000,100%,raw-ldrex-spec,0,5.409202
0,0,300000,100%,raw-ldst-spec,"395,693,547",5.409202
0,0,300000,100%,raw-ll-cache,0,5.409202
0,0,300000,100%,raw-ll-cache-miss,0,5.409202
0,0,300000,100%,raw-ll-cache-miss-rd,"2,240,184",5.409202
0,0,300000,100%,raw-ll-cache-rd,"5,150,537",5.409202
0,0,300000,100%,raw-mem-access,"806,509,721",5.542600
0,0,300000,100%,raw-mem-access-rd,"256,435,529",5.542600
0,0,300000,100%,raw-mem-access-wr,"550,074,192",5.542600
0,0,300000,100%,raw-memory-error,0,5.542600
0,0,300000,100%,raw-op-retired,0,5.542600
0,0,300000,100%,raw-op-spec,0,5.542600
0,0,300000,100%,raw-pc-write-retired,"171,443,939",4.818779
0,0,300000,100%,raw-pc-write-spec,"203,921,681",4.818779
0,0,300000,100%,raw-rc-ld-spec,0,4.818779
0,0,300000,100%,raw-rc-st-spec,0,4.818779
0,0,300000,100%,raw-remote-access,0,4.818779
0,0,300000,100%,raw-remote-access-rd,0,4.818779
0,0,300000,100%,raw-sample-collision,0,4.831357
0,0,300000,100%,raw-sample-feed,0,4.831357
0,0,300000,100%,raw-sample-filtrate,0,4.831357
0,0,300000,100%,raw-sample-pop,0,4.831357
