setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,143,12.474104
0,0,300000,100%,raw-br-immed-retired,"166,322,257",12.474104
0,0,300000,100%,raw-br-immed-spec,"166,322,257",12.474104
0,0,300000,100%,raw-br-indirect-spec,"869,572",12.474104
0,0,300000,100%,raw-br-mis-pred,"2,829,492",12.474104
0,0,300000,100%,raw-br-mis-pred-retired,"3,176,896",12.474104
0,0,300000,100%,raw-br-pred,"174,428,489",13.022859
0,0,300000,100%,raw-br-retired,"198,959,703",13.022859
0,0,300000,100%,raw-br-return-retired,"8,203,370",13.022859
0,0,300000,100%,raw-br-return-spec,"8,203,370",13.022859
0,0,300000,100%,raw-bus-access,"1,814,693,526",13.022859
0,0,300000,100%,raw-bus-access-normal,0,13.022859
0,0,300000,100%,raw-bus-access-not-shared,0,12.459842
0,0,300000,100%,raw-bus-access-periph,0,12.459842
0,0,300000,100%,raw-bus-access-rd,"875,694,032",12.459842
0,0,300000,100%,raw-bus-access-shared,0,12.459842
0,0,300000,100%,raw-bus-access-wr,"939,341,988",12.459842
0,0,300000,100%,raw-bus-cycles,"3,723,743,470",12.459842
0,0,300000,100%,raw-cid-write-retired,27,12.449562
0,0,300000,100%,raw-cnt-cycles,0,12.449562
0,0,300000,100%,raw-cpu-cycles,"3,721,369,040",12.449562
0,0,300000,100%,raw-crypto-spec,0,12.449562
0,0,300000,100%,raw-dmb-spec,0,12.449562
0,0,300000,100%,raw-dp-spec,"500,441,397",12.453228
0,0,300000,100%,raw-dsb-spec,0,12.453228
0,0,300000,100%,raw-dtlb-walk,"3,602,356",12.453228
0,0,300000,100%,raw-exc-dabort,0,12.453228
0,0,300000,100%,raw-exc-fiq,2,12.453228
0,0,300000,100%,raw-exc-hvc,0,12.453228
0,0,300000,100%,raw-exc-irq,"5,027",12.458127
0,0,300000,100%,raw-exc-pabort,0,12.458127
0,0,300000,100%,raw-exc-return,"320,930",12.458127
0,0,300000,100%,raw-exc-smc,0,12.458127
0,0,300000,100%,raw-exc-svc,0,12.458127
0,0,300000,100%,raw-exc-taken,"320,932",12.458127
0,0,300000,100%,raw-exc-trap-dabort,0,13.055359
0,0,300000,100%,raw-exc-trap-fiq,0,13.055359
0,0,300000,100%,raw-exc-trap-irq,0,13.055359
0,0,300000,100%,raw-exc-trap-other,0,13.055359
0,0,300000,100%,raw-exc-trap-pabort,0,13.055359
0,0,300000,100%,raw-exc-undef,0,13.055359
0,0,300000,100%,raw-inst-retired,"1,992,509,639",13.088186
0,0,300000,100%,raw-inst-spec,"2,010,542,707",13.088186
0,0,300000,100%,raw-isb-spec,0,13.088186
0,0,300000,100%,raw-itlb-walk,"22,250",13.088186
0,0,300000,100%,raw-l1d-cache,"938,040,147",13.088186
0,0,300000,100%,raw-l1d-cache-allocate,0,13.088186
0,0,300000,100%,raw-l1d-cache-inval,0,13.053738
0,0,300000,100%,raw-l1d-cache-lmiss-rd,0,13.053738
0,0,300000,100%,raw-l1d-cache-rd,"770,081,848",13.053738
0,0,300000,100%,raw-l1d-cache-refill,"55,506,953",13.053738
0,0,300000,100%,raw-l1d-cache-refill-inner,"46,690,451",13.053738
0,0,300000,100%,raw-l1d-cache-refill-outer,"14,004,848",13.053738
0,0,300000,100%,raw-l1d-cache-refill-rd,"32,330,382",12.466013
0,0,300000,100%,raw-l1d-cache-refill-wr,"23,152,520",12.466013
0,0,300000,100%,raw-l1d-cache-wb,"252,217,885",12.466013
0,0,300000,100%,raw-l1d-cache-wb-clean,0,12.466013
0,0,300000,100%,raw-l1d-cache-wb-victim,0,12.466013
0,0,300000,100%,raw-l1d-cache-wr,"160,631,941",12.466013
0,0,300000,100%,raw-l1d-tlb,"845,141,428",12.476903
0,0,300000,100%,raw-l1d-tlb-rd,0,12.476903
0,0,300000,100%,raw-l1d-tlb-refill,"12,167,787",12.476903
0,0,300000,100%,raw-l1d-tlb-refill-rd,0,12.476903
0,0,300000,100%,raw-l1d-tlb-refill-wr,0,12.476903
0,0,300000,100%,raw-l1d-tlb-wr,0,12.476903
0,0,300000,100%,raw-l1i-cache,"1,159,075,665",13.091054
0,0,300000,100%,raw-l1i-cache-lmiss,0,13.091054
0,0,300000,100%,raw-l1i-cache-refill,"2,437,267",13.091054
0,0,300000,100%,raw-l1i-tlb,"1,249,726,510",13.091054
0,0,300000,100%,raw-l1i-tlb-refill,"632,917",13.091054
0,0,300000,100%,raw-l2d-cache,"531,335,182",13.091054
0,0,300000,100%,raw-l2d-cache-allocate,"274,662,636",13.142891
0,0,300000,100%,raw-l2d-cache-inval,0,13.142891
0,0,300000,100%,raw-l2d-cache-lmiss-rd,0,13.142891
0,0,300000,100%,raw-l2d-cache-rd,"256,886,633",13.142891
0,0,300000,100%,raw-l2d-cache-refill,"219,366,473",13.142891
0,0,300000,100%,raw-l2d-cache-refill-rd,"218,447,892",13.142891
0,0,300000,100%,raw-l2d-cache-refill-wr,"919,119",13.048502
0,0,300000,100%,raw-l2d-cache-wb,"233,007,665",13.048502
0,0,300000,100%,raw-l2d-cache-wb-clean,0,13.048502
0,0,300000,100%,raw-l2d-cache-wb-victim,0,13.048502
0,0,300000,100%,raw-l2d-cache-wr,"275,106,451",13.048502
0,0,300000,100%,raw-l2d-tlb,"15,320,492",13.048502
0,0,300000,100%,raw-l2d-tlb-rd,0,13.050857
0,0,300000,100%,raw-l2d-tlb-refill,"3,627,109",13.050857
0,0,300000,100%,raw-l2d-tlb-refill-rd,0,13.050857
0,0,300000,100%,raw-l2d-tlb-refill-wr,0,13.050857
0,0,300000,100%,raw-l2d-tlb-wr,0,13.050857
0,0,300000,100%,raw-l2i-cache,0,13.050857
0,0,300000,100%,raw-l2i-cache-lmiss,0,12.484414
0,0,300000,100%,raw-l2i-cache-refill,0,12.484414
0,0,300000,100%,raw-l2i-tlb,0,12.484414
0,0,300000,100%,raw-l2i-tlb-refill,0,12.484414
0,0,300000,100%,raw-l3d-cache,"452,091,852",12.484414
0,0,300000,100%,raw-l3d-cache-allocate,"232,551,438",12.484414
0,0,300000,100%,raw-l3d-cache-inval,0,13.073686
0,0,300000,100%,raw-l3d-cache-lmiss-rd,0,13.073686
0,0,300000,100%,raw-l3d-cache-rd,"219,288,587",13.073686
0,0,300000,100%,raw-l3d-cache-refill,"112,696,656",13.073686
0,0,300000,100%,raw-l3d-cache-refill-rd,"112,696,656",13.073686
0,0,300000,100%,raw-l3d-cache-refill-wr,0,13.073686
0,0,300000,100%,raw-l3d-cache-wb,0,12.429588
0,0,300000,100%,raw-l3d-cache-wb-clean,0,12.429588
0,0,300000,100%,raw-l3d-cache-wb-victim,0,12.429588
0,0,300000,100%,raw-l3d-cache-wr,0,12.429588
0,0,300000,100%,raw-ld-retired,"652,068,061",12.429588
0,0,300000,100%,raw-ld-spec,"652,853,327",12.429588
0,0,300000,100%,raw-ldrex-spec,0,13.105200
0,0,300000,100%,raw-ldst-spec,"1,289,891,114",13.105200
0,0,300000,100%,raw-ll-cache,0,13.105200
0,0,300000,100%,raw-ll-cache-miss,0,13.105200
0,0,300000,100%,raw-ll-cache-miss-rd,"112,924,829",13.105200
0,0,300000,100%,raw-ll-cache-rd,"219,481,372",13.105200
0,0,300000,100%,raw-mem-access,"1,305,100,132",12.481643
0,0,300000,100%,raw-mem-access-rd,"681,788,403",12.481643
0,0,300000,100%,raw-mem-access-wr,"623,311,729",12.481643
0,0,300000,100%,raw-memory-error,0,12.481643
0,0,300000,100%,raw-op-retired,0,12.481643
0,0,300000,100%,raw-op-spec,0,12.481643
0,0,300000,100%,raw-pc-write-retired,"113,523,545",12.524672
