setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,129,15.652128
0,0,300000,100%,raw-br-immed-retired,"131,066,157",15.652128
0,0,300000,100%,raw-br-immed-spec,"131,066,157",15.652128
0,0,300000,100%,raw-br-indirect-spec,"872,508",15.652128
0,0,300000,100%,raw-br-mis-pred,"2,121,713",15.652128
0,0,300000,100%,raw-br-mis-pred-retired,"2,377,425",15.652128
0,0,300000,100%,raw-br-pred,"126,922,382",15.669637
0,0,300000,100%,raw-br-retired,"137,573,821",15.669637
0,0,300000,100%,raw-br-return-retired,"4,846,166",15.669637
0,0,300000,100%,raw-br-return-spec,"4,846,166",15.669637
0,0,300000,100%,raw-bus-access,"972,527,763",15.669637
0,0,300000,100%,raw-bus-access-normal,0,15.669637
0,0,300000,100%,raw-bus-access-not-shared,0,15.026889
0,0,300000,100%,raw-bus-access-periph,0,15.026889
0,0,300000,100%,raw-bus-access-rd,"472,032,209",15.026889
0,0,300000,100%,raw-bus-access-shared,0,15.026889
0,0,300000,100%,raw-bus-access-wr,"505,934,046",15.026889
0,0,300000,100%,raw-bus-cycles,"4,478,490,866",15.026889
0,0,300000,100%,raw-cid-write-retired,31,15.636380
0,0,300000,100%,raw-cnt-cycles,0,15.636380
0,0,300000,100%,raw-cpu-cycles,"4,664,307,962",15.636380
0,0,300000,100%,raw-crypto-spec,0,15.636380
0,0,300000,100%,raw-dmb-spec,0,15.636380
0,0,300000,100%,raw-dp-spec,"2,045,315,574",15.016431
0,0,300000,100%,raw-dsb-spec,0,15.016431
0,0,300000,100%,raw-dtlb-walk,"1,890,962",15.016431
0,0,300000,100%,raw-exc-dabort,0,15.016431
0,0,300000,100%,raw-exc-fiq,2,15.016431
0,0,300000,100%,raw-exc-hvc,0,15.016431
0,0,300000,100%,raw-exc-irq,"6,464",15.625515
0,0,300000,100%,raw-exc-pabort,0,15.625515
0,0,300000,100%,raw-exc-return,"243,037",15.625515
0,0,300000,100%,raw-exc-smc,0,15.625515
0,0,300000,100%,raw-exc-svc,0,15.625515
0,0,300000,100%,raw-exc-taken,"243,039",15.625515
0,0,300000,100%,raw-exc-trap-dabort,0,15.604978
0,0,300000,100%,raw-exc-trap-fiq,0,15.604978
0,0,300000,100%,raw-exc-trap-irq,0,15.604978
0,0,300000,100%,raw-exc-trap-other,0,15.604978
0,0,300000,100%,raw-exc-trap-pabort,0,15.604978
0,0,300000,100%,raw-exc-undef,0,15.604978
0,0,300000,100%,raw-inst-retired,"4,095,262,340",15.017390
0,0,300000,100%,raw-inst-spec,"4,105,681,342",15.017390
0,0,300000,100%,raw-isb-spec,0,15.017390
0,0,300000,100%,raw-itlb-walk,"24,510",15.017390
0,0,300000,100%,raw-l1d-cache,"1,940,831,693",15.017390
0,0,300000,100%,raw-l1d-cache-allocate,0,15.017390
0,0,300000,100%,raw-l1d-cache-inval,0,15.024642
0,0,300000,100%,raw-l1d-cache-lmiss-rd,0,15.024642
0,0,300000,100%,raw-l1d-cache-rd,"1,911,619,555",15.024642
0,0,300000,100%,raw-l1d-cache-refill,"6,069,098",15.024642
0,0,300000,100%,raw-l1d-cache-refill-inner,"3,962,323",15.024642
0,0,300000,100%,raw-l1d-cache-refill-outer,"2,928,394",15.024642
0,0,300000,100%,raw-l1d-cache-refill-rd,"4,217,175",15.021816
0,0,300000,100%,raw-l1d-cache-refill-wr,"1,844,239",15.021816
0,0,300000,100%,raw-l1d-cache-wb,"116,262,005",15.021816
0,0,300000,100%,raw-l1d-cache-wb-clean,0,15.021816
0,0,300000,100%,raw-l1d-cache-wb-victim,0,15.021816
0,0,300000,100%,raw-l1d-cache-wr,"29,076,057",15.021816
0,0,300000,100%,raw-l1d-tlb,"2,561,627,003",19.495038
0,0,300000,100%,raw-l1d-tlb-rd,0,19.495038
0,0,300000,100%,raw-l1d-tlb-refill,"7,725,362",19.495038
0,0,300000,100%,raw-l1d-tlb-refill-rd,0,19.495038
0,0,300000,100%,raw-l1d-tlb-refill-wr,0,19.495038
0,0,300000,100%,raw-l1d-tlb-wr,0,19.495038
0,0,300000,100%,raw-l1i-cache,"2,132,872,056",15.046343
0,0,300000,100%,raw-l1i-cache-lmiss,0,15.046343
0,0,300000,100%,raw-l1i-cache-refill,"2,636,592",15.046343
0,0,300000,100%,raw-l1i-tlb,"2,240,466,020",15.046343
0,0,300000,100%,raw-l1i-tlb-refill,"455,786",15.046343
0,0,300000,100%,raw-l2d-cache,"252,485,125",15.046343
0,0,300000,100%,raw-l2d-cache-allocate,"130,863,883",15.605168
0,0,300000,100%,raw-l2d-cache-inval,0,15.605168
0,0,300000,100%,raw-l2d-cache-lmiss-rd,0,15.605168
0,0,300000,100%,raw-l2d-cache-rd,"121,215,995",15.605168
0,0,300000,100%,raw-l2d-cache-refill,"117,629,836",15.605168
0,0,300000,100%,raw-l2d-cache-refill-rd,"116,973,515",15.605168
0,0,300000,100%,raw-l2d-cache-refill-wr,"656,504",15.024620
0,0,300000,100%,raw-l2d-cache-wb,"125,155,133",15.024620
0,0,300000,100%,raw-l2d-cache-wb-clean,0,15.024620
0,0,300000,100%,raw-l2d-cache-wb-victim,0,15.024620
0,0,300000,100%,raw-l2d-cache-wr,"131,503,845",15.024620
0,0,300000,100%,raw-l2d-tlb,"9,954,511",15.024620
0,0,300000,100%,raw-l2d-tlb-rd,0,14.981638
0,0,300000,100%,raw-l2d-tlb-refill,"1,912,799",14.981638
0,0,300000,100%,raw-l2d-tlb-refill-rd,0,14.981638
0,0,300000,100%,raw-l2d-tlb-refill-wr,0,14.981638
0,0,300000,100%,raw-l2d-tlb-wr,0,14.981638
0,0,300000,100%,raw-l2i-cache,0,14.981638
0,0,300000,100%,raw-l2i-cache-lmiss,0,15.005857
0,0,300000,100%,raw-l2i-cache-refill,0,15.005857
0,0,300000,100%,raw-l2i-tlb,0,15.005857
0,0,300000,100%,raw-l2i-tlb-refill,0,15.005857
0,0,300000,100%,raw-l3d-cache,"241,868,247",15.005857
0,0,300000,100%,raw-l3d-cache-allocate,"124,225,811",15.005857
0,0,300000,100%,raw-l3d-cache-inval,0,15.002985
0,0,300000,100%,raw-l3d-cache-lmiss-rd,0,15.002985
0,0,300000,100%,raw-l3d-cache-rd,"117,949,231",15.002985
0,0,300000,100%,raw-l3d-cache-refill,"7,092,460",15.002985
0,0,300000,100%,raw-l3d-cache-refill-rd,"7,092,460",15.002985
0,0,300000,100%,raw-l3d-cache-refill-wr,0,15.002985
0,0,300000,100%,raw-l3d-cache-wb,0,15.028670
0,0,300000,100%,raw-l3d-cache-wb-clean,0,15.028670
0,0,300000,100%,raw-l3d-cache-wb-victim,0,15.028670
0,0,300000,100%,raw-l3d-cache-wr,0,15.028670
0,0,300000,100%,raw-ld-retired,"1,894,236,301",15.028670
0,0,300000,100%,raw-ld-spec,"1,895,063,187",15.028670
0,0,300000,100%,raw-ldrex-spec,0,15.629535
0,0,300000,100%,raw-ldst-spec,"2,045,661,904",15.629535
0,0,300000,100%,raw-ll-cache,0,15.629535
0,0,300000,100%,raw-ll-cache-miss,0,15.629535
0,0,300000,100%,raw-ll-cache-miss-rd,"7,352,364",15.629535
0,0,300000,100%,raw-ll-cache-rd,"117,695,112",15.629535
0,0,300000,100%,raw-mem-access,"2,024,454,611",15.001135
0,0,300000,100%,raw-mem-access-rd,"1,909,334,418",15.001135
0,0,300000,100%,raw-mem-access-wr,"115,120,193",15.001135
0,0,300000,100%,raw-memory-error,0,15.001135
