setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,147,6.950351
0,0,300000,100%,raw-br-immed-retired,"127,374,836",6.950351
0,0,300000,100%,raw-br-immed-spec,"127,374,836",6.950351
0,0,300000,100%,raw-br-indirect-spec,"683,647",6.950351
0,0,300000,100%,raw-br-mis-pred,"1,394,127",6.950351
0,0,300000,100%,raw-br-mis-pred-retired,"1,648,783",6.950351
0,0,300000,100%,raw-br-pred,"122,661,912",6.923004
0,0,300000,100%,raw-br-retired,"132,279,437",6.923004
0,0,300000,100%,raw-br-return-retired,"4,383,152",6.923004
0,0,300000,100%,raw-br-return-spec,"4,383,152",6.923004
0,0,300000,100%,raw-bus-access,"938,765,462",6.923004
0,0,300000,100%,raw-bus-access-normal,0,6.923004
0,0,300000,100%,raw-bus-access-not-shared,0,6.891253
0,0,300000,100%,raw-bus-access-periph,0,6.891253
0,0,300000,100%,raw-bus-access-rd,"455,824,944",6.891253
0,0,300000,100%,raw-bus-access-shared,0,6.891253
0,0,300000,100%,raw-bus-access-wr,"487,928,729",6.891253
0,0,300000,100%,raw-bus-cycles,"2,059,540,234",6.891253
0,0,300000,100%,raw-cid-write-retired,15,6.246120
0,0,300000,100%,raw-cnt-cycles,0,6.246120
0,0,300000,100%,raw-cpu-cycles,"1,866,059,801",6.246120
0,0,300000,100%,raw-crypto-spec,0,6.246120
0,0,300000,100%,raw-dmb-spec,0,6.246120
0,0,300000,100%,raw-dp-spec,"754,592,349",6.892853
0,0,300000,100%,raw-dsb-spec,0,6.892853
0,0,300000,100%,raw-dtlb-walk,"1,859,545",6.892853
0,0,300000,100%,raw-exc-dabort,0,6.892853
0,0,300000,100%,raw-exc-fiq,1,6.892853
0,0,300000,100%,raw-exc-hvc,0,6.892853
0,0,300000,100%,raw-exc-irq,"2,502",6.234526
0,0,300000,100%,raw-exc-pabort,0,6.234526
0,0,300000,100%,raw-exc-return,"182,550",6.234526
0,0,300000,100%,raw-exc-smc,0,6.234526
0,0,300000,100%,raw-exc-svc,0,6.234526
0,0,300000,100%,raw-exc-taken,"182,551",6.234526
0,0,300000,100%,raw-exc-trap-dabort,0,6.251083
0,0,300000,100%,raw-exc-trap-fiq,0,6.251083
0,0,300000,100%,raw-exc-trap-irq,0,6.251083
0,0,300000,100%,raw-exc-trap-other,0,6.251083
0,0,300000,100%,raw-exc-trap-pabort,0,6.251083
0,0,300000,100%,raw-exc-undef,0,6.251083
0,0,300000,100%,raw-inst-retired,"1,585,829,338",6.855647
0,0,300000,100%,raw-inst-spec,"1,595,452,580",6.855647
0,0,300000,100%,raw-isb-spec,0,6.855647
0,0,300000,100%,raw-itlb-walk,"8,820",6.855647
0,0,300000,100%,raw-l1d-cache,"706,112,657",6.855647
0,0,300000,100%,raw-l1d-cache-allocate,0,6.855647
0,0,300000,100%,raw-l1d-cache-inval,0,6.837593
0,0,300000,100%,raw-l1d-cache-lmiss-rd,0,6.837593
0,0,300000,100%,raw-l1d-cache-rd,"677,595,510",6.837593
0,0,300000,100%,raw-l1d-cache-refill,"4,564,460",6.837593
0,0,300000,100%,raw-l1d-cache-refill-inner,"3,155,586",6.837593
0,0,300000,100%,raw-l1d-cache-refill-outer,"1,891,852",6.837593
0,0,300000,100%,raw-l1d-cache-refill-rd,"2,707,861",6.248315
0,0,300000,100%,raw-l1d-cache-refill-wr,"1,679,716",6.248315
0,0,300000,100%,raw-l1d-cache-wb,"113,735,451",6.248315
0,0,300000,100%,raw-l1d-cache-wb-clean,0,6.248315
0,0,300000,100%,raw-l1d-cache-wb-victim,0,6.248315
0,0,300000,100%,raw-l1d-cache-wr,"26,971,756",6.248315
0,0,300000,100%,raw-l1d-tlb,"621,587,710",6.249573
0,0,300000,100%,raw-l1d-tlb-rd,0,6.249573
0,0,300000,100%,raw-l1d-tlb-refill,"6,250,678",6.249573
0,0,300000,100%,raw-l1d-tlb-refill-rd,0,6.249573
0,0,300000,100%,raw-l1d-tlb-refill-wr,0,6.249573
0,0,300000,100%,raw-l1d-tlb-wr,0,6.249573
0,0,300000,100%,raw-l1i-cache,"885,727,419",6.855122
0,0,300000,100%,raw-l1i-cache-lmiss,0,6.855122
0,0,300000,100%,raw-l1i-cache-refill,"1,279,066",6.855122
0,0,300000,100%,raw-l1i-tlb,"930,966,584",6.855122
0,0,300000,100%,raw-l1i-tlb-refill,"388,873",6.855122
0,0,300000,100%,raw-l2d-cache,"245,454,549",6.855122
0,0,300000,100%,raw-l2d-cache-allocate,"128,248,431",6.269419
0,0,300000,100%,raw-l2d-cache-inval,0,6.269419
0,0,300000,100%,raw-l2d-cache-lmiss-rd,0,6.269419
0,0,300000,100%,raw-l2d-cache-rd,"115,930,994",6.269419
0,0,300000,100%,raw-l2d-cache-refill,"114,071,851",6.269419
0,0,300000,100%,raw-l2d-cache-refill-rd,"113,418,363",6.269419
0,0,300000,100%,raw-l2d-cache-refill-wr,"646,865",6.887424
0,0,300000,100%,raw-l2d-cache-wb,"120,467,555",6.887424
0,0,300000,100%,raw-l2d-cache-wb-clean,0,6.887424
0,0,300000,100%,raw-l2d-cache-wb-victim,0,6.887424
0,0,300000,100%,raw-l2d-cache-wr,"129,077,649",6.887424
0,0,300000,100%,raw-l2d-tlb,"8,594,872",6.887424
0,0,300000,100%,raw-l2d-tlb-rd,0,6.829975
0,0,300000,100%,raw-l2d-tlb-refill,"1,866,846",6.829975
0,0,300000,100%,raw-l2d-tlb-refill-rd,0,6.829975
0,0,300000,100%,raw-l2d-tlb-refill-wr,0,6.829975
0,0,300000,100%,raw-l2d-tlb-wr,0,6.829975
0,0,300000,100%,raw-l2i-cache,0,6.829975
0,0,300000,100%,raw-l2i-cache-lmiss,0,6.232452
0,0,300000,100%,raw-l2i-cache-refill,0,6.232452
0,0,300000,100%,raw-l2i-tlb,0,6.232452
0,0,300000,100%,raw-l2i-tlb-refill,0,6.232452
0,0,300000,100%,raw-l3d-cache,"233,728,240",6.232452
0,0,300000,100%,raw-l3d-cache-allocate,"120,245,801",6.232452
0,0,300000,100%,raw-l3d-cache-inval,0,6.231152
0,0,300000,100%,raw-l3d-cache-lmiss-rd,0,6.231152
0,0,300000,100%,raw-l3d-cache-rd,"113,332,636",6.231152
0,0,300000,100%,raw-l3d-cache-refill,"7,177,823",6.231152
0,0,300000,100%,raw-l3d-cache-refill-rd,"7,177,823",6.231152
0,0,300000,100%,raw-l3d-cache-refill-wr,0,6.231152
0,0,300000,100%,raw-l3d-cache-wb,0,6.827235
0,0,300000,100%,raw-l3d-cache-wb-clean,0,6.827235
0,0,300000,100%,raw-l3d-cache-wb-victim,0,6.827235
0,0,300000,100%,raw-l3d-cache-wr,0,6.827235
0,0,300000,100%,raw-ld-retired,"660,698,986",6.827235
0,0,300000,100%,raw-ld-spec,"661,254,937",6.827235
0,0,300000,100%,raw-ldrex-spec,0,6.253256
0,0,300000,100%,raw-ldst-spec,"641,648,901",6.253256
0,0,300000,100%,raw-ll-cache,0,6.253256
0,0,300000,100%,raw-ll-cache-miss,0,6.253256
0,0,300000,100%,raw-ll-cache-miss-rd,"7,204,407",6.253256
0,0,300000,100%,raw-ll-cache-rd,"113,502,663",6.253256
0,0,300000,100%,raw-mem-access,"704,877,373",6.239654
0,0,300000,100%,raw-mem-access-rd,"593,824,798",6.239654
0,0,300000,100%,raw-mem-access-wr,"111,052,575",6.239654
0,0,300000,100%,raw-memory-error,0,6.239654
0,0,300000,100%,raw-op-retired,0,6.239654
0,0,300000,100%,raw-op-spec,0,6.239654
0,0,300000,100%,raw-pc-write-retired,"99,506,118",6.889630
0,0,300000,100%,raw-pc-write-spec,"136,268,266",6.889630
0,0,300000,100%,raw-rc-ld-spec,0,6.889630
0,0,300000,100%,raw-rc-st-spec,0,6.889630
0,0,300000,100%,raw-remote-access,0,6.889630
0,0,300000,100%,raw-remote-access-rd,0,6.889630
0,0,300000,100%,raw-sample-collision,0,6.247257
0,0,300000,100%,raw-sample-feed,0,6.247257
0,0,300000,100%,raw-sample-filtrate,0,6.247257
0,0,300000,100%,raw-sample-pop,0,6.247257
0,0,300000,100%,raw-st-retired,"43,396,711",6.247257
