setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,"263,398",69.225875
0,0,300000,100%,raw-br-immed-retired,"3,002,595,768",69.225875
0,0,300000,100%,raw-br-immed-spec,"3,002,595,768",69.225875
0,0,300000,100%,raw-br-indirect-spec,"103,089,143",69.225875
0,0,300000,100%,raw-br-mis-pred,"374,060,747",69.225875
0,0,300000,100%,raw-br-mis-pred-retired,"374,510,585",69.225875
0,0,300000,100%,raw-br-pred,"2,949,423,725",69.127092
0,0,300000,100%,raw-br-retired,"3,245,622,977",69.127092
0,0,300000,100%,raw-br-return-retired,"140,144,168",69.127092
0,0,300000,100%,raw-br-return-spec,"140,144,168",69.127092
0,0,300000,100%,raw-bus-access,"439,818,944",69.127092
0,0,300000,100%,raw-bus-access-normal,0,69.127092
0,0,300000,100%,raw-bus-access-not-shared,0,69.117920
0,0,300000,100%,raw-bus-access-periph,0,69.117920
0,0,300000,100%,raw-bus-access-rd,"181,872,513",69.117920
0,0,300000,100%,raw-bus-access-shared,0,69.117920
0,0,300000,100%,raw-bus-access-wr,"258,586,630",69.117920
0,0,300000,100%,raw-bus-cycles,"20,658,274,504",69.117920
0,0,300000,100%,raw-cid-write-retired,1,69.001055
0,0,300000,100%,raw-cnt-cycles,0,69.001055
0,0,300000,100%,raw-cpu-cycles,"20,628,230,916",69.001055
0,0,300000,100%,raw-crypto-spec,0,69.001055
0,0,300000,100%,raw-dmb-spec,0,69.001055
0,0,300000,100%,raw-dp-spec,"10,473,806,805",69.095716
0,0,300000,100%,raw-dsb-spec,0,69.095716
0,0,300000,100%,raw-dtlb-walk,"6,021,680",69.095716
0,0,300000,100%,raw-exc-dabort,0,69.095716
0,0,300000,100%,raw-exc-fiq,11,69.095716
0,0,300000,100%,raw-exc-hvc,0,69.095716
0,0,300000,100%,raw-exc-irq,"27,697",69.093403
0,0,300000,100%,raw-exc-pabort,0,69.093403
0,0,300000,100%,raw-exc-return,"74,251",69.093403
0,0,300000,100%,raw-exc-smc,0,69.093403
0,0,300000,100%,raw-exc-svc,0,69.093403
0,0,300000,100%,raw-exc-taken,"74,262",69.093403
0,0,300000,100%,raw-exc-trap-dabort,0,69.073206
0,0,300000,100%,raw-exc-trap-fiq,0,69.073206
0,0,300000,100%,raw-exc-trap-irq,0,69.073206
0,0,300000,100%,raw-exc-trap-other,0,69.073206
0,0,300000,100%,raw-exc-trap-pabort,0,69.073206
0,0,300000,100%,raw-exc-undef,0,69.073206
0,0,300000,100%,raw-inst-retired,"17,351,261,430",69.016241
0,0,300000,100%,raw-inst-spec,"18,729,585,512",69.016241
0,0,300000,100%,raw-isb-spec,0,69.016241
0,0,300000,100%,raw-itlb-walk,"230,246",69.016241
0,0,300000,100%,raw-l1d-cache,"4,083,589,289",69.016241
0,0,300000,100%,raw-l1d-cache-allocate,0,69.016241
0,0,300000,100%,raw-l1d-cache-inval,0,69.087090
0,0,300000,100%,raw-l1d-cache-lmiss-rd,0,69.087090
0,0,300000,100%,raw-l1d-cache-rd,"3,614,757,715",69.087090
0,0,300000,100%,raw-l1d-cache-refill,"65,509,906",69.087090
0,0,300000,100%,raw-l1d-cache-refill-inner,"68,004,999",69.087090
0,0,300000,100%,raw-l1d-cache-refill-outer,"7,432,900",69.087090
0,0,300000,100%,raw-l1d-cache-refill-rd,"46,897,570",69.279776
0,0,300000,100%,raw-l1d-cache-refill-wr,"15,528,466",69.279776
0,0,300000,100%,raw-l1d-cache-wb,"76,310,669",69.279776
0,0,300000,100%,raw-l1d-cache-wb-clean,0,69.279776
0,0,300000,100%,raw-l1d-cache-wb-victim,0,69.279776
0,0,300000,100%,raw-l1d-cache-wr,"470,129,406",69.279776
0,0,300000,100%,raw-l1d-tlb,"4,085,113,600",69.108399
0,0,300000,100%,raw-l1d-tlb-rd,0,69.108399
0,0,300000,100%,raw-l1d-tlb-refill,"137,214,552",69.108399
0,0,300000,100%,raw-l1d-tlb-refill-rd,0,69.108399
0,0,300000,100%,raw-l1d-tlb-refill-wr,0,69.108399
