setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,"17,096,299",256.124605
0,0,300000,100%,raw-br-immed-retired,"6,751,344,234",256.124605
0,0,300000,100%,raw-br-immed-spec,"6,751,344,234",256.124605
0,0,300000,100%,raw-br-indirect-spec,"870,854,698",256.124605
0,0,300000,100%,raw-br-mis-pred,"221,386,051",256.124605
0,0,300000,100%,raw-br-mis-pred-retired,"245,015,672",256.124605
0,0,300000,100%,raw-br-pred,"7,671,443,408",256.297218
0,0,300000,100%,raw-br-retired,"8,690,160,479",256.297218
0,0,300000,100%,raw-br-return-retired,"1,063,755,630",256.297218
0,0,300000,100%,raw-br-return-spec,"1,063,755,630",256.297218
0,0,300000,100%,raw-bus-access,"2,482,077,203",256.297218
0,0,300000,100%,raw-bus-access-normal,0,256.297218
0,0,300000,100%,raw-bus-access-not-shared,0,256.307178
0,0,300000,100%,raw-bus-access-periph,0,256.307178
0,0,300000,100%,raw-bus-access-rd,"1,195,318,701",256.307178
0,0,300000,100%,raw-bus-access-shared,0,256.307178
0,0,300000,100%,raw-bus-access-wr,"1,287,036,354",256.307178
0,0,300000,100%,raw-bus-cycles,"76,653,474,733",256.307178
0,0,300000,100%,raw-cid-write-retired,1,256.696492
0,0,300000,100%,raw-cnt-cycles,0,256.696492
0,0,300000,100%,raw-cpu-cycles,"76,772,625,448",256.696492
0,0,300000,100%,raw-crypto-spec,0,256.696492
0,0,300000,100%,raw-dmb-spec,0,256.696492
0,0,300000,100%,raw-dp-spec,"40,994,958,149",256.531340
0,0,300000,100%,raw-dsb-spec,0,256.531340
0,0,300000,100%,raw-dtlb-walk,"2,856,126",256.531340
0,0,300000,100%,raw-exc-dabort,0,256.531340
0,0,300000,100%,raw-exc-fiq,43,256.531340
0,0,300000,100%,raw-exc-hvc,0,256.531340
0,0,300000,100%,raw-exc-irq,"102,622",255.979025
0,0,300000,100%,raw-exc-pabort,0,255.979025
0,0,300000,100%,raw-exc-return,"113,313",255.979025
0,0,300000,100%,raw-exc-smc,0,255.979025
0,0,300000,100%,raw-exc-svc,0,255.979025
0,0,300000,100%,raw-exc-taken,"113,356",255.979025
0,0,300000,100%,raw-exc-trap-dabort,0,257.065520
0,0,300000,100%,raw-exc-trap-fiq,0,257.065520
0,0,300000,100%,raw-exc-trap-irq,0,257.065520
0,0,300000,100%,raw-exc-trap-other,0,257.065520
0,0,300000,100%,raw-exc-trap-pabort,0,257.065520
0,0,300000,100%,raw-exc-undef,0,257.065520
0,0,300000,100%,raw-inst-retired,"83,966,956,942",256.615935
0,0,300000,100%,raw-inst-spec,"84,820,382,770",256.615935
0,0,300000,100%,raw-isb-spec,0,256.615935
0,0,300000,100%,raw-itlb-walk,"245,738",256.615935
0,0,300000,100%,raw-l1d-cache,"31,364,048,092",256.615935
0,0,300000,100%,raw-l1d-cache-allocate,0,256.615935
0,0,300000,100%,raw-l1d-cache-inval,0,256.908907
0,0,300000,100%,raw-l1d-cache-lmiss-rd,0,256.908907
0,0,300000,100%,raw-l1d-cache-rd,"30,333,241,338",256.908907
0,0,300000,100%,raw-l1d-cache-refill,"252,783,995",256.908907
0,0,300000,100%,raw-l1d-cache-refill-inner,"207,732,537",256.908907
0,0,300000,100%,raw-l1d-cache-refill-outer,"49,789,727",256.908907
0,0,300000,100%,raw-l1d-cache-refill-rd,"194,261,093",256.343003
0,0,300000,100%,raw-l1d-cache-refill-wr,"57,115,531",256.343003
0,0,300000,100%,raw-l1d-cache-wb,"386,309,810",256.343003
0,0,300000,100%,raw-l1d-cache-wb-clean,0,256.343003
0,0,300000,100%,raw-l1d-cache-wb-victim,0,256.343003
0,0,300000,100%,raw-l1d-cache-wr,"1,037,489,541",256.343003
0,0,300000,100%,raw-l1d-tlb,"31,487,617,166",257.099922
0,0,300000,100%,raw-l1d-tlb-rd,0,257.099922
0,0,300000,100%,raw-l1d-tlb-refill,"632,962,976",257.099922
0,0,300000,100%,raw-l1d-tlb-refill-rd,0,257.099922
0,0,300000,100%,raw-l1d-tlb-refill-wr,0,257.099922
0,0,300000,100%,raw-l1d-tlb-wr,0,257.099922
0,0,300000,100%,raw-l1i-cache,"49,057,144,699",256.169423
0,0,300000,100%,raw-l1i-cache-lmiss,0,256.169423
0,0,300000,100%,raw-l1i-cache-refill,"71,437,783",256.169423
0,0,300000,100%,raw-l1i-tlb,"50,461,560,293",256.169423
0,0,300000,100%,raw-l1i-tlb-refill,"5,986,237",256.169423
0,0,300000,100%,raw-l2d-cache,"869,186,899",256.169423
0,0,300000,100%,raw-l2d-cache-allocate,"382,124,826",257.651679
0,0,300000,100%,raw-l2d-cache-inval,0,257.651679
0,0,300000,100%,raw-l2d-cache-lmiss-rd,0,257.651679
0,0,300000,100%,raw-l2d-cache-rd,"503,055,683",257.651679
0,0,300000,100%,raw-l2d-cache-refill,"307,639,735",257.651679
0,0,300000,100%,raw-l2d-cache-refill-rd,"307,587,884",257.651679
0,0,300000,100%,raw-l2d-cache-refill-wr,"55,308",257.460229
0,0,300000,100%,raw-l2d-cache-wb,"316,899,116",257.460229
0,0,300000,100%,raw-l2d-cache-wb-clean,0,257.460229
0,0,300000,100%,raw-l2d-cache-wb-victim,0,257.460229
0,0,300000,100%,raw-l2d-cache-wr,"382,632,649",257.460229
0,0,300000,100%,raw-l2d-tlb,"674,260,137",257.460229
0,0,300000,100%,raw-l2d-tlb-rd,0,256.180817
0,0,300000,100%,raw-l2d-tlb-refill,"3,129,983",256.180817
0,0,300000,100%,raw-l2d-tlb-refill-rd,0,256.180817
0,0,300000,100%,raw-l2d-tlb-refill-wr,0,256.180817
0,0,300000,100%,raw-l2d-tlb-wr,0,256.180817
0,0,300000,100%,raw-l2i-cache,0,256.180817
0,0,300000,100%,raw-l2i-cache-lmiss,0,257.114537
0,0,300000,100%,raw-l2i-cache-refill,0,257.114537
0,0,300000,100%,raw-l2i-tlb,0,257.114537
0,0,300000,100%,raw-l2i-tlb-refill,0,257.114537
0,0,300000,100%,raw-l3d-cache,"593,903,060",257.114537
0,0,300000,100%,raw-l3d-cache-allocate,"294,316,987",257.114537
0,0,300000,100%,raw-l3d-cache-inval,0,257.252616
0,0,300000,100%,raw-l3d-cache-lmiss-rd,0,257.252616
0,0,300000,100%,raw-l3d-cache-rd,"300,144,415",257.252616
0,0,300000,100%,raw-l3d-cache-refill,"94,804,200",257.252616
0,0,300000,100%,raw-l3d-cache-refill-rd,"94,804,200",257.252616
0,0,300000,100%,raw-l3d-cache-refill-wr,0,257.252616
0,0,300000,100%,raw-l3d-cache-wb,0,256.897173
0,0,300000,100%,raw-l3d-cache-wb-clean,0,256.897173
0,0,300000,100%,raw-l3d-cache-wb-victim,0,256.897173
0,0,300000,100%,raw-l3d-cache-wr,0,256.897173
0,0,300000,100%,raw-ld-retired,"29,838,895,271",256.897173
0,0,300000,100%,raw-ld-spec,"30,067,092,089",256.897173
0,0,300000,100%,raw-ldrex-spec,0,256.397214
0,0,300000,100%,raw-ldst-spec,"34,945,446,914",256.397214
0,0,300000,100%,raw-ll-cache,0,256.397214
0,0,300000,100%,raw-ll-cache-miss,0,256.397214
0,0,300000,100%,raw-ll-cache-miss-rd,"89,862,431",256.397214
0,0,300000,100%,raw-ll-cache-rd,"299,136,155",256.397214
0,0,300000,100%,raw-mem-access,"35,054,315,332",256.594082
0,0,300000,100%,raw-mem-access-rd,"30,214,428,824",256.594082
0,0,300000,100%,raw-mem-access-wr,"4,839,886,508",256.594082
0,0,300000,100%,raw-memory-error,0,256.594082
0,0,300000,100%,raw-op-retired,0,256.594082
0,0,300000,100%,raw-op-spec,0,256.594082
0,0,300000,100%,raw-pc-write-retired,"7,099,728,024",256.579320
0,0,300000,100%,raw-pc-write-spec,"8,808,403,835",256.579320
0,0,300000,100%,raw-rc-ld-spec,0,256.579320
0,0,300000,100%,raw-rc-st-spec,0,256.579320
0,0,300000,100%,raw-remote-access,0,256.579320
0,0,300000,100%,raw-remote-access-rd,0,256.579320
0,0,300000,100%,raw-sample-collision,0,256.291297
0,0,300000,100%,raw-sample-feed,0,256.291297
0,0,300000,100%,raw-sample-filtrate,0,256.291297
0,0,300000,100%,raw-sample-pop,0,256.291297
0,0,300000,100%,raw-st-retired,"4,827,893,460",256.291297
0,0,300000,100%,raw-st-spec,"4,879,774,189",256.291297
0,0,300000,100%,raw-stall,0,256.816432
0,0,300000,100%,raw-stall-backend,"22,387,608,435",256.816432
0,0,300000,100%,raw-stall-backend-mem,0,256.816432
0,0,300000,100%,raw-stall-frontend,"1,965,600,135",256.816432
0,0,300000,100%,raw-stall-slot,0,256.816432
0,0,300000,100%,raw-stall-slot-backend,0,256.816432
0,0,300000,100%,raw-stall-slot-frontend,0,256.790930
0,0,300000,100%,raw-strex-fail-spec,0,256.790930
0,0,300000,100%,raw-strex-pass-spec,0,256.790930
0,0,300000,100%,raw-strex-spec,0,256.790930
0,0,300000,100%,raw-sve-inst-retired,0,256.790930
0,0,300000,100%,raw-sve-inst-spec,0,256.790930
0,0,300000,100%,raw-sw-incr,0,256.470871
0,0,300000,100%,raw-ttbr-write-retired,6,256.470871
0,0,300000,100%,raw-unaligned-ld-spec,0,256.470871
0,0,300000,100%,raw-unaligned-ldst-retired,"72,623,133",256.470871
0,0,300000,100%,raw-unaligned-ldst-spec,0,256.470871
0,0,300000,100%,raw-unaligned-st-spec,0,256.470871
