setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,"41,065,250",39.081773
0,0,300000,100%,raw-br-immed-retired,"191,378,823",39.081773
0,0,300000,100%,raw-br-immed-spec,"191,378,823",39.081773
0,0,300000,100%,raw-br-indirect-spec,"896,235",39.081773
0,0,300000,100%,raw-br-mis-pred,"5,409,074",39.081773
0,0,300000,100%,raw-br-mis-pred-retired,"5,546,122",39.081773
0,0,300000,100%,raw-br-pred,"155,043,945",39.064086
0,0,300000,100%,raw-br-retired,"198,419,452",39.064086
0,0,300000,100%,raw-br-return-retired,"7,103,459",39.064086
0,0,300000,100%,raw-br-return-spec,"7,103,459",39.064086
0,0,300000,100%,raw-bus-access,"2,810,099,977",39.064086
0,0,300000,100%,raw-bus-access-normal,0,39.064086
0,0,300000,100%,raw-bus-access-not-shared,0,39.030033
0,0,300000,100%,raw-bus-access-periph,0,39.030033
0,0,300000,100%,raw-bus-access-rd,"1,385,932,641",39.030033
0,0,300000,100%,raw-bus-access-shared,0,39.030033
0,0,300000,100%,raw-bus-access-wr,"1,417,083,588",39.030033
0,0,300000,100%,raw-bus-cycles,"11,645,285,495",39.030033
0,0,300000,100%,raw-cid-write-retired,1,39.065231
0,0,300000,100%,raw-cnt-cycles,0,39.065231
0,0,300000,100%,raw-cpu-cycles,"11,655,196,386",39.065231
0,0,300000,100%,raw-crypto-spec,0,39.065231
0,0,300000,100%,raw-dmb-spec,0,39.065231
0,0,300000,100%,raw-dp-spec,"876,882,810",39.062889
0,0,300000,100%,raw-dsb-spec,0,39.062889
0,0,300000,100%,raw-dtlb-walk,"4,409,692",39.062889
0,0,300000,100%,raw-exc-dabort,0,39.062889
0,0,300000,100%,raw-exc-fiq,6,39.062889
0,0,300000,100%,raw-exc-hvc,0,39.062889
0,0,300000,100%,raw-exc-irq,"15,935",39.037966
0,0,300000,100%,raw-exc-pabort,0,39.037966
0,0,300000,100%,raw-exc-return,"122,665",39.037966
0,0,300000,100%,raw-exc-smc,0,39.037966
0,0,300000,100%,raw-exc-svc,0,39.037966
0,0,300000,100%,raw-exc-taken,"122,671",39.037966
0,0,300000,100%,raw-exc-trap-dabort,0,39.050616
0,0,300000,100%,raw-exc-trap-fiq,0,39.050616
0,0,300000,100%,raw-exc-trap-irq,0,39.050616
0,0,300000,100%,raw-exc-trap-other,0,39.050616
0,0,300000,100%,raw-exc-trap-pabort,0,39.050616
0,0,300000,100%,raw-exc-undef,0,39.050616
0,0,300000,100%,raw-inst-retired,"5,487,353,642",39.041205
0,0,300000,100%,raw-inst-spec,"5,509,428,562",39.041205
0,0,300000,100%,raw-isb-spec,0,39.041205
0,0,300000,100%,raw-itlb-walk,"57,489",39.041205
0,0,300000,100%,raw-l1d-cache,"1,597,429,712",39.041205
0,0,300000,100%,raw-l1d-cache-allocate,0,39.041205
0,0,300000,100%,raw-l1d-cache-inval,0,39.055827
0,0,300000,100%,raw-l1d-cache-lmiss-rd,0,39.055827
0,0,300000,100%,raw-l1d-cache-rd,"1,067,473,724",39.055827
0,0,300000,100%,raw-l1d-cache-refill,"378,159,868",39.055827
0,0,300000,100%,raw-l1d-cache-refill-inner,"175,686,207",39.055827
0,0,300000,100%,raw-l1d-cache-refill-outer,"209,141,706",39.055827
0,0,300000,100%,raw-l1d-cache-refill-rd,"56,651,506",39.010451
0,0,300000,100%,raw-l1d-cache-refill-wr,"321,462,754",39.010451
0,0,300000,100%,raw-l1d-cache-wb,"480,265,361",39.010451
0,0,300000,100%,raw-l1d-cache-wb-clean,0,39.010451
0,0,300000,100%,raw-l1d-cache-wb-victim,0,39.010451
0,0,300000,100%,raw-l1d-cache-wr,"530,673,065",39.010451
0,0,300000,100%,raw-l1d-tlb,"1,598,178,167",39.056393
0,0,300000,100%,raw-l1d-tlb-rd,0,39.056393
0,0,300000,100%,raw-l1d-tlb-refill,"18,912,928",39.056393
0,0,300000,100%,raw-l1d-tlb-refill-rd,0,39.056393
0,0,300000,100%,raw-l1d-tlb-refill-wr,0,39.056393
0,0,300000,100%,raw-l1d-tlb-wr,0,39.056393
0,0,300000,100%,raw-l1i-cache,"2,877,487,244",39.039206
0,0,300000,100%,raw-l1i-cache-lmiss,0,39.039206
0,0,300000,100%,raw-l1i-cache-refill,"6,795,894",39.039206
0,0,300000,100%,raw-l1i-tlb,"3,114,303,212",39.039206
0,0,300000,100%,raw-l1i-tlb-refill,"344,947",39.039206
0,0,300000,100%,raw-l2d-cache,"977,661,142",39.039206
0,0,300000,100%,raw-l2d-cache-allocate,"486,288,757",39.047968
0,0,300000,100%,raw-l2d-cache-inval,0,39.047968
0,0,300000,100%,raw-l2d-cache-lmiss-rd,0,39.047968
0,0,300000,100%,raw-l2d-cache-rd,"491,110,055",39.047968
0,0,300000,100%,raw-l2d-cache-refill,"347,599,183",39.047968
0,0,300000,100%,raw-l2d-cache-refill-rd,"347,387,099",39.047968
0,0,300000,100%,raw-l2d-cache-refill-wr,"211,992",39.047892
0,0,300000,100%,raw-l2d-cache-wb,"354,411,507",39.047892
0,0,300000,100%,raw-l2d-cache-wb-clean,0,39.047892
0,0,300000,100%,raw-l2d-cache-wb-victim,0,39.047892
0,0,300000,100%,raw-l2d-cache-wr,"486,427,265",39.047892
0,0,300000,100%,raw-l2d-tlb,"21,427,651",39.047892
0,0,300000,100%,raw-l2d-tlb-rd,0,39.038865
0,0,300000,100%,raw-l2d-tlb-refill,"4,468,945",39.038865
0,0,300000,100%,raw-l2d-tlb-refill-rd,0,39.038865
0,0,300000,100%,raw-l2d-tlb-refill-wr,0,39.038865
0,0,300000,100%,raw-l2d-tlb-wr,0,39.038865
0,0,300000,100%,raw-l2i-cache,0,39.038865
0,0,300000,100%,raw-l2i-cache-lmiss,0,39.048281
0,0,300000,100%,raw-l2i-cache-refill,0,39.048281
0,0,300000,100%,raw-l2i-tlb,0,39.048281
0,0,300000,100%,raw-l2i-tlb-refill,0,39.048281
0,0,300000,100%,raw-l3d-cache,"700,406,878",39.048281
0,0,300000,100%,raw-l3d-cache-allocate,"352,675,765",39.048281
0,0,300000,100%,raw-l3d-cache-inval,0,38.994778
0,0,300000,100%,raw-l3d-cache-lmiss-rd,0,38.994778
0,0,300000,100%,raw-l3d-cache-rd,"347,423,532",38.994778
0,0,300000,100%,raw-l3d-cache-refill,"275,448,845",38.994778
0,0,300000,100%,raw-l3d-cache-refill-rd,"275,448,845",38.994778
0,0,300000,100%,raw-l3d-cache-refill-wr,0,38.994778
0,0,300000,100%,raw-l3d-cache-wb,0,38.983917
0,0,300000,100%,raw-l3d-cache-wb-clean,0,38.983917
0,0,300000,100%,raw-l3d-cache-wb-victim,0,38.983917
