setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,"8,864,555",6.906736
0,0,300000,100%,raw-br-immed-retired,"283,266,038",6.906736
0,0,300000,100%,raw-br-immed-spec,"283,266,038",6.906736
0,0,300000,100%,raw-br-indirect-spec,"17,472,711",6.906736
0,0,300000,100%,raw-br-mis-pred,"10,912,032",6.906736
0,0,300000,100%,raw-br-mis-pred-retired,"10,929,475",6.906736
0,0,300000,100%,raw-br-pred,"281,954,618",6.887357
0,0,300000,100%,raw-br-retired,"364,073,062",6.887357
0,0,300000,100%,raw-br-return-retired,"63,370,342",6.887357
0,0,300000,100%,raw-br-return-spec,"63,370,342",6.887357
0,0,300000,100%,raw-bus-access,"44,332,238",6.887357
0,0,300000,100%,raw-bus-access-normal,0,6.887357
0,0,300000,100%,raw-bus-access-not-shared,0,6.763724
0,0,300000,100%,raw-bus-access-periph,0,6.763724
0,0,300000,100%,raw-bus-access-rd,"17,261,505",6.763724
0,0,300000,100%,raw-bus-access-shared,0,6.763724
0,0,300000,100%,raw-bus-access-wr,"19,773,633",6.763724
0,0,300000,100%,raw-bus-cycles,"2,015,486,504",6.763724
0,0,300000,100%,raw-cid-write-retired,1,6.734988
0,0,300000,100%,raw-cnt-cycles,0,6.734988
0,0,300000,100%,raw-cpu-cycles,"2,012,193,459",6.734988
0,0,300000,100%,raw-crypto-spec,0,6.734988
0,0,300000,100%,raw-dmb-spec,0,6.734988
0,0,300000,100%,raw-dp-spec,"585,732,888",6.737140
0,0,300000,100%,raw-dsb-spec,0,6.737140
0,0,300000,100%,raw-dtlb-walk,"7,538",6.737140
0,0,300000,100%,raw-exc-dabort,0,6.737140
0,0,300000,100%,raw-exc-fiq,1,6.737140
0,0,300000,100%,raw-exc-hvc,0,6.737140
0,0,300000,100%,raw-exc-irq,"2,728",6.737657
0,0,300000,100%,raw-exc-pabort,0,6.737657
0,0,300000,100%,raw-exc-return,"6,047",6.737657
0,0,300000,100%,raw-exc-smc,0,6.737657
0,0,300000,100%,raw-exc-svc,0,6.737657
0,0,300000,100%,raw-exc-taken,"6,048",6.737657
0,0,300000,100%,raw-exc-trap-dabort,0,6.736955
0,0,300000,100%,raw-exc-trap-fiq,0,6.736955
0,0,300000,100%,raw-exc-trap-irq,0,6.736955
0,0,300000,100%,raw-exc-trap-other,0,6.736955
0,0,300000,100%,raw-exc-trap-pabort,0,6.736955
0,0,300000,100%,raw-exc-undef,0,6.736955
0,0,300000,100%,raw-inst-retired,"1,608,232,973",6.721864
0,0,300000,100%,raw-inst-spec,"1,638,676,753",6.721864
0,0,300000,100%,raw-isb-spec,0,6.721864
0,0,300000,100%,raw-itlb-walk,"1,682",6.721864
0,0,300000,100%,raw-l1d-cache,"571,607,508",6.721864
0,0,300000,100%,raw-l1d-cache-allocate,0,6.721864
0,0,300000,100%,raw-l1d-cache-inval,0,6.736716
0,0,300000,100%,raw-l1d-cache-lmiss-rd,0,6.736716
0,0,300000,100%,raw-l1d-cache-rd,"491,847,989",6.736716
0,0,300000,100%,raw-l1d-cache-refill,"11,107,953",6.736716
0,0,300000,100%,raw-l1d-cache-refill-inner,"11,125,201",6.736716
0,0,300000,100%,raw-l1d-cache-refill-outer,"52,532",6.736716
0,0,300000,100%,raw-l1d-cache-refill-rd,"9,181,239",6.742693
0,0,300000,100%,raw-l1d-cache-refill-wr,"1,603,045",6.742693
0,0,300000,100%,raw-l1d-cache-wb,"11,005,207",6.742693
0,0,300000,100%,raw-l1d-cache-wb-clean,0,6.742693
0,0,300000,100%,raw-l1d-cache-wb-victim,0,6.742693
0,0,300000,100%,raw-l1d-cache-wr,"80,053,363",6.742693
0,0,300000,100%,raw-l1d-tlb,"569,405,165",6.732906
0,0,300000,100%,raw-l1d-tlb-rd,0,6.732906
0,0,300000,100%,raw-l1d-tlb-refill,"41,217,324",6.732906
0,0,300000,100%,raw-l1d-tlb-refill-rd,0,6.732906
0,0,300000,100%,raw-l1d-tlb-refill-wr,0,6.732906
0,0,300000,100%,raw-l1d-tlb-wr,0,6.732906
0,0,300000,100%,raw-l1i-cache,"1,379,485,452",6.740100
0,0,300000,100%,raw-l1i-cache-lmiss,0,6.740100
0,0,300000,100%,raw-l1i-cache-refill,"11,317,623",6.740100
0,0,300000,100%,raw-l1i-tlb,"1,542,063,179",6.740100
0,0,300000,100%,raw-l1i-tlb-refill,"37,498,714",6.740100
0,0,300000,100%,raw-l2d-cache,"37,708,978",6.740100
0,0,300000,100%,raw-l2d-cache-allocate,"10,107,381",6.728874
0,0,300000,100%,raw-l2d-cache-inval,0,6.728874
0,0,300000,100%,raw-l2d-cache-lmiss-rd,0,6.728874
0,0,300000,100%,raw-l2d-cache-rd,"26,176,617",6.728874
0,0,300000,100%,raw-l2d-cache-refill,"4,079,261",6.728874
0,0,300000,100%,raw-l2d-cache-refill-rd,"4,074,055",6.728874
0,0,300000,100%,raw-l2d-cache-refill-wr,"5,205",6.724479
0,0,300000,100%,raw-l2d-cache-wb,"4,040,059",6.724479
0,0,300000,100%,raw-l2d-cache-wb-clean,0,6.724479
0,0,300000,100%,raw-l2d-cache-wb-victim,0,6.724479
0,0,300000,100%,raw-l2d-cache-wr,"10,522,237",6.724479
0,0,300000,100%,raw-l2d-tlb,"79,510,604",6.724479
0,0,300000,100%,raw-l2d-tlb-rd,0,6.744970
0,0,300000,100%,raw-l2d-tlb-refill,"9,759",6.744970
0,0,300000,100%,raw-l2d-tlb-refill-rd,0,6.744970
0,0,300000,100%,raw-l2d-tlb-refill-wr,0,6.744970
0,0,300000,100%,raw-l2d-tlb-wr,0,6.744970
0,0,300000,100%,raw-l2i-cache,0,6.744970
0,0,300000,100%,raw-l2i-cache-lmiss,0,6.724857
0,0,300000,100%,raw-l2i-cache-refill,0,6.724857
0,0,300000,100%,raw-l2i-tlb,0,6.724857
0,0,300000,100%,raw-l2i-tlb-refill,0,6.724857
0,0,300000,100%,raw-l3d-cache,"7,508,199",6.724857
0,0,300000,100%,raw-l3d-cache-allocate,"3,477,143",6.724857
0,0,300000,100%,raw-l3d-cache-inval,0,6.738044
0,0,300000,100%,raw-l3d-cache-lmiss-rd,0,6.738044
0,0,300000,100%,raw-l3d-cache-rd,"4,068,362",6.738044
0,0,300000,100%,raw-l3d-cache-refill,"106,334",6.738044
0,0,300000,100%,raw-l3d-cache-refill-rd,"106,334",6.738044
0,0,300000,100%,raw-l3d-cache-refill-wr,0,6.738044
0,0,300000,100%,raw-l3d-cache-wb,0,6.728198
0,0,300000,100%,raw-l3d-cache-wb-clean,0,6.728198
0,0,300000,100%,raw-l3d-cache-wb-victim,0,6.728198
0,0,300000,100%,raw-l3d-cache-wr,0,6.728198
0,0,300000,100%,raw-ld-retired,"394,468,049",6.728198
0,0,300000,100%,raw-ld-spec,"402,536,834",6.728198
0,0,300000,100%,raw-ldrex-spec,0,6.725303
0,0,300000,100%,raw-ldst-spec,"655,598,775",6.725303
0,0,300000,100%,raw-ll-cache,0,6.725303
0,0,300000,100%,raw-ll-cache-miss,0,6.725303
0,0,300000,100%,raw-ll-cache-miss-rd,"105,553",6.725303
0,0,300000,100%,raw-ll-cache-rd,"4,117,189",6.725303
0,0,300000,100%,raw-mem-access,"738,327,464",6.721811
0,0,300000,100%,raw-mem-access-rd,"488,654,834",6.721811
0,0,300000,100%,raw-mem-access-wr,"249,672,630",6.721811
0,0,300000,100%,raw-memory-error,0,6.721811
0,0,300000,100%,raw-op-retired,0,6.721811
0,0,300000,100%,raw-op-spec,0,6.721811
0,0,300000,100%,raw-pc-write-retired,"227,321,940",6.738878
0,0,300000,100%,raw-pc-write-spec,"361,341,151",6.738878
0,0,300000,100%,raw-rc-ld-spec,0,6.738878
0,0,300000,100%,raw-rc-st-spec,0,6.738878
0,0,300000,100%,raw-remote-access,0,6.738878
0,0,300000,100%,raw-remote-access-rd,0,6.738878
0,0,300000,100%,raw-sample-collision,0,6.742289
0,0,300000,100%,raw-sample-feed,0,6.742289
0,0,300000,100%,raw-sample-filtrate,0,6.742289
0,0,300000,100%,raw-sample-pop,0,6.742289
0,0,300000,100%,raw-st-retired,"248,770,510",6.742289
0,0,300000,100%,raw-st-spec,"253,039,632",6.742289
0,0,300000,100%,raw-stall,0,6.736701
0,0,300000,100%,raw-stall-backend,"416,151,838",6.736701
0,0,300000,100%,raw-stall-backend-mem,0,6.736701
0,0,300000,100%,raw-stall-frontend,"333,029,753",6.736701
0,0,300000,100%,raw-stall-slot,0,6.736701
0,0,300000,100%,raw-stall-slot-backend,0,6.736701
0,0,300000,100%,raw-stall-slot-frontend,0,6.718015
0,0,300000,100%,raw-strex-fail-spec,0,6.718015
0,0,300000,100%,raw-strex-pass-spec,0,6.718015
0,0,300000,100%,raw-strex-spec,0,6.718015
0,0,300000,100%,raw-sve-inst-retired,0,6.718015
0,0,300000,100%,raw-sve-inst-spec,0,6.718015
0,0,300000,100%,raw-sw-incr,0,6.752609
0,0,300000,100%,raw-ttbr-write-retired,6,6.752609
0,0,300000,100%,raw-unaligned-ld-spec,0,6.752609
0,0,300000,100%,raw-unaligned-ldst-retired,"2,359,077",6.752609
0,0,300000,100%,raw-unaligned-ldst-spec,0,6.752609
0,0,300000,100%,raw-unaligned-st-spec,0,6.752609
