setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,"224,211",0.278453
0,0,300000,100%,raw-br-immed-retired,"6,680,860",0.278453
0,0,300000,100%,raw-br-immed-spec,"6,680,860",0.278453
0,0,300000,100%,raw-br-indirect-spec,"134,997",0.278453
0,0,300000,100%,raw-br-mis-pred,"526,598",0.278453
0,0,300000,100%,raw-br-mis-pred-retired,"531,286",0.278453
0,0,300000,100%,raw-br-pred,"4,645,337",0.138529
0,0,300000,100%,raw-br-retired,"5,519,053",0.138529
0,0,300000,100%,raw-br-return-retired,"462,796",0.138529
0,0,300000,100%,raw-br-return-spec,"462,796",0.138529
0,0,300000,100%,raw-bus-access,"3,188,581",0.138529
0,0,300000,100%,raw-bus-access-normal,0,0.138529
0,0,300000,100%,raw-bus-access-not-shared,0,0.136358
0,0,300000,100%,raw-bus-access-periph,0,0.136358
0,0,300000,100%,raw-bus-access-rd,"1,422,961",0.136358
0,0,300000,100%,raw-bus-access-shared,0,0.136358
0,0,300000,100%,raw-bus-access-wr,"1,761,013",0.136358
0,0,300000,100%,raw-bus-cycles,"39,094,914",0.136358
0,0,300000,100%,raw-cid-write-retired,1,0.135191
0,0,300000,100%,raw-cnt-cycles,0,0.135191
0,0,300000,100%,raw-cpu-cycles,"38,766,812",0.135191
0,0,300000,100%,raw-crypto-spec,0,0.135191
0,0,300000,100%,raw-dmb-spec,0,0.135191
0,0,300000,100%,raw-dp-spec,"13,061,093",0.136057
0,0,300000,100%,raw-dsb-spec,0,0.136057
0,0,300000,100%,raw-dtlb-walk,"4,947",0.136057
0,0,300000,100%,raw-exc-dabort,0,0.136057
0,0,300000,100%,raw-exc-fiq,0,0.136057
0,0,300000,100%,raw-exc-hvc,0,0.136057
0,0,300000,100%,raw-exc-irq,59,0.136292
0,0,300000,100%,raw-exc-pabort,0,0.136292
0,0,300000,100%,raw-exc-return,"2,412",0.136292
0,0,300000,100%,raw-exc-smc,0,0.136292
0,0,300000,100%,raw-exc-svc,0,0.136292
0,0,300000,100%,raw-exc-taken,"2,412",0.136292
0,0,300000,100%,raw-exc-trap-dabort,0,0.136464
0,0,300000,100%,raw-exc-trap-fiq,0,0.136464
0,0,300000,100%,raw-exc-trap-irq,0,0.136464
0,0,300000,100%,raw-exc-trap-other,0,0.136464
0,0,300000,100%,raw-exc-trap-pabort,0,0.136464
0,0,300000,100%,raw-exc-undef,0,0.136464
0,0,300000,100%,raw-inst-retired,"26,816,027",0.136511
0,0,300000,100%,raw-inst-spec,"27,791,148",0.136511
0,0,300000,100%,raw-isb-spec,0,0.136511
0,0,300000,100%,raw-itlb-walk,"2,913",0.136511
0,0,300000,100%,raw-l1d-cache,"7,968,982",0.136511
0,0,300000,100%,raw-l1d-cache-allocate,0,0.136511
0,0,300000,100%,raw-l1d-cache-inval,0,0.140725
0,0,300000,100%,raw-l1d-cache-lmiss-rd,0,0.140725
0,0,300000,100%,raw-l1d-cache-rd,"6,944,125",0.140725
0,0,300000,100%,raw-l1d-cache-refill,"233,002",0.140725
0,0,300000,100%,raw-l1d-cache-refill-inner,"193,799",0.140725
0,0,300000,100%,raw-l1d-cache-refill-outer,"50,231",0.140725
0,0,300000,100%,raw-l1d-cache-refill-rd,"171,818",0.134514
0,0,300000,100%,raw-l1d-cache-refill-wr,"50,425",0.134514
0,0,300000,100%,raw-l1d-cache-wb,"293,994",0.134514
0,0,300000,100%,raw-l1d-cache-wb-clean,0,0.134514
0,0,300000,100%,raw-l1d-cache-wb-victim,0,0.134514
0,0,300000,100%,raw-l1d-cache-wr,"1,024,913",0.134514
0,0,300000,100%,raw-l1d-tlb,"7,971,616",0.135871
0,0,300000,100%,raw-l1d-tlb-rd,0,0.135871
0,0,300000,100%,raw-l1d-tlb-refill,"366,575",0.135871
0,0,300000,100%,raw-l1d-tlb-refill-rd,0,0.135871
0,0,300000,100%,raw-l1d-tlb-refill-wr,0,0.135871
0,0,300000,100%,raw-l1d-tlb-wr,0,0.135871
0,0,300000,100%,raw-l1i-cache,"19,927,494",0.136823
0,0,300000,100%,raw-l1i-cache-lmiss,0,0.136823
0,0,300000,100%,raw-l1i-cache-refill,"273,940",0.136823
0,0,300000,100%,raw-l1i-tlb,"25,558,228",0.136823
0,0,300000,100%,raw-l1i-tlb-refill,"110,576",0.136823
0,0,300000,100%,raw-l2d-cache,"1,096,356",0.136823
0,0,300000,100%,raw-l2d-cache-allocate,"378,843",0.137308
0,0,300000,100%,raw-l2d-cache-inval,0,0.137308
0,0,300000,100%,raw-l2d-cache-lmiss-rd,0,0.137308
0,0,300000,100%,raw-l2d-cache-rd,"707,959",0.137308
0,0,300000,100%,raw-l2d-cache-refill,"359,917",0.137308
0,0,300000,100%,raw-l2d-cache-refill-rd,"355,956",0.137308
0,0,300000,100%,raw-l2d-cache-refill-wr,"3,993",0.136432
0,0,300000,100%,raw-l2d-cache-wb,"430,651",0.136432
0,0,300000,100%,raw-l2d-cache-wb-clean,0,0.136432
0,0,300000,100%,raw-l2d-cache-wb-victim,0,0.136432
0,0,300000,100%,raw-l2d-cache-wr,"386,980",0.136432
0,0,300000,100%,raw-l2d-tlb,"509,740",0.136432
0,0,300000,100%,raw-l2d-tlb-rd,0,0.135619
0,0,300000,100%,raw-l2d-tlb-refill,"7,949",0.135619
0,0,300000,100%,raw-l2d-tlb-refill-rd,0,0.135619
0,0,300000,100%,raw-l2d-tlb-refill-wr,0,0.135619
0,0,300000,100%,raw-l2d-tlb-wr,0,0.135619
0,0,300000,100%,raw-l2i-cache,0,0.135619
0,0,300000,100%,raw-l2i-cache-lmiss,0,0.136194
0,0,300000,100%,raw-l2i-cache-refill,0,0.136194
0,0,300000,100%,raw-l2i-tlb,0,0.136194
0,0,300000,100%,raw-l2i-tlb-refill,0,0.136194
0,0,300000,100%,raw-l3d-cache,"777,943",0.136194
0,0,300000,100%,raw-l3d-cache-allocate,"415,487",0.136194
0,0,300000,100%,raw-l3d-cache-inval,0,0.136231
0,0,300000,100%,raw-l3d-cache-lmiss-rd,0,0.136231
0,0,300000,100%,raw-l3d-cache-rd,"357,124",0.136231
0,0,300000,100%,raw-l3d-cache-refill,"115,777",0.136231
0,0,300000,100%,raw-l3d-cache-refill-rd,"115,777",0.136231
0,0,300000,100%,raw-l3d-cache-refill-wr,0,0.136231
0,0,300000,100%,raw-l3d-cache-wb,0,0.135920
0,0,300000,100%,raw-l3d-cache-wb-clean,0,0.135920
0,0,300000,100%,raw-l3d-cache-wb-victim,0,0.135920
0,0,300000,100%,raw-l3d-cache-wr,0,0.135920
0,0,300000,100%,raw-ld-retired,"5,683,342",0.135920
0,0,300000,100%,raw-ld-spec,"5,866,881",0.135920
0,0,300000,100%,raw-ldrex-spec,0,0.136328
0,0,300000,100%,raw-ldst-spec,"8,967,654",0.136328
0,0,300000,100%,raw-ll-cache,0,0.136328
0,0,300000,100%,raw-ll-cache-miss,0,0.136328
0,0,300000,100%,raw-ll-cache-miss-rd,"116,134",0.136328
0,0,300000,100%,raw-ll-cache-rd,"354,817",0.136328
0,0,300000,100%,raw-mem-access,"10,072,281",0.134793
0,0,300000,100%,raw-mem-access-rd,"6,775,238",0.134793
0,0,300000,100%,raw-mem-access-wr,"3,297,043",0.134793
0,0,300000,100%,raw-memory-error,0,0.134793
0,0,300000,100%,raw-op-retired,0,0.134793
0,0,300000,100%,raw-op-spec,0,0.134793
0,0,300000,100%,raw-pc-write-retired,"3,072,354",0.135481
0,0,300000,100%,raw-pc-write-spec,"5,581,720",0.135481
0,0,300000,100%,raw-rc-ld-spec,0,0.135481
0,0,300000,100%,raw-rc-st-spec,0,0.135481
0,0,300000,100%,raw-remote-access,0,0.135481
0,0,300000,100%,raw-remote-access-rd,0,0.135481
0,0,300000,100%,raw-sample-collision,0,0.134639
0,0,300000,100%,raw-sample-feed,0,0.134639
0,0,300000,100%,raw-sample-filtrate,0,0.134639
0,0,300000,100%,raw-sample-pop,0,0.134639
0,0,300000,100%,raw-st-retired,"2,875,008",0.134639
0,0,300000,100%,raw-st-spec,"3,069,034",0.134639
0,0,300000,100%,raw-stall,0,0.137585
0,0,300000,100%,raw-stall-backend,"12,456,757",0.137585
0,0,300000,100%,raw-stall-backend-mem,0,0.137585
0,0,300000,100%,raw-stall-frontend,"6,257,583",0.137585
0,0,300000,100%,raw-stall-slot,0,0.137585
0,0,300000,100%,raw-stall-slot-backend,0,0.137585
0,0,300000,100%,raw-stall-slot-frontend,0,0.136351
0,0,300000,100%,raw-strex-fail-spec,0,0.136351
0,0,300000,100%,raw-strex-pass-spec,0,0.136351
0,0,300000,100%,raw-strex-spec,0,0.136351
0,0,300000,100%,raw-sve-inst-retired,0,0.136351
0,0,300000,100%,raw-sve-inst-spec,0,0.136351
0,0,300000,100%,raw-sw-incr,0,0.135345
0,0,300000,100%,raw-ttbr-write-retired,6,0.135345
0,0,300000,100%,raw-unaligned-ld-spec,0,0.135345
0,0,300000,100%,raw-unaligned-ldst-retired,"170,677",0.135345
0,0,300000,100%,raw-unaligned-ldst-spec,0,0.135345
0,0,300000,100%,raw-unaligned-st-spec,0,0.135345
0,0,300000,100%,raw-vfp-spec,"259,675",0.134705
0,0,1248000,100%,raw-ase-spec,"224,064",0.039204
0,0,1248000,100%,raw-br-immed-retired,"4,845,764",0.039204
0,0,1248000,100%,raw-br-immed-spec,"4,845,764",0.039204
0,0,1248000,100%,raw-br-indirect-spec,"85,462",0.039204
0,0,1248000,100%,raw-br-mis-pred,"304,135",0.039204
0,0,1248000,100%,raw-br-mis-pred-retired,"307,683",0.039204
0,0,1248000,100%,raw-br-pred,"4,537,116",0.039294
0,0,1248000,100%,raw-br-retired,"5,396,392",0.039294
0,0,1248000,100%,raw-br-return-retired,"452,534",0.039294
0,0,1248000,100%,raw-br-return-spec,"452,534",0.039294
0,0,1248000,100%,raw-bus-access,"2,711,534",0.039294
0,0,1248000,100%,raw-bus-access-normal,0,0.039294
0,0,1248000,100%,raw-bus-access-not-shared,0,0.039644
0,0,1248000,100%,raw-bus-access-periph,0,0.039644
0,0,1248000,100%,raw-bus-access-rd,"1,203,199",0.039644
0,0,1248000,100%,raw-bus-access-shared,0,0.039644
0,0,1248000,100%,raw-bus-access-wr,"1,500,984",0.039644
0,0,1248000,100%,raw-bus-cycles,"46,654,170",0.039644
0,0,1248000,100%,raw-cid-write-retired,1,0.039630
0,0,1248000,100%,raw-cnt-cycles,0,0.039630
0,0,1248000,100%,raw-cpu-cycles,"46,611,646",0.039630
0,0,1248000,100%,raw-crypto-spec,0,0.039630
0,0,1248000,100%,raw-dmb-spec,0,0.039630
0,0,1248000,100%,raw-dp-spec,"12,836,391",0.039152
0,0,1248000,100%,raw-dsb-spec,0,0.039152
0,0,1248000,100%,raw-dtlb-walk,"4,792",0.039152
0,0,1248000,100%,raw-exc-dabort,0,0.039152
0,0,1248000,100%,raw-exc-fiq,0,0.039152
0,0,1248000,100%,raw-exc-hvc,0,0.039152
0,0,1248000,100%,raw-exc-irq,21,0.039888
0,0,1248000,100%,raw-exc-pabort,0,0.039888
0,0,1248000,100%,raw-exc-return,"2,376",0.039888
0,0,1248000,100%,raw-exc-smc,0,0.039888
0,0,1248000,100%,raw-exc-svc,0,0.039888
0,0,1248000,100%,raw-exc-taken,"2,376",0.039888
0,0,1248000,100%,raw-exc-trap-dabort,0,0.039882
0,0,1248000,100%,raw-exc-trap-fiq,0,0.039882
0,0,1248000,100%,raw-exc-trap-irq,0,0.039882
0,0,1248000,100%,raw-exc-trap-other,0,0.039882
0,0,1248000,100%,raw-exc-trap-pabort,0,0.039882
0,0,1248000,100%,raw-exc-undef,0,0.039882
0,0,1248000,100%,raw-inst-retired,"26,369,693",0.039474
0,0,1248000,100%,raw-inst-spec,"27,280,957",0.039474
0,0,1248000,100%,raw-isb-spec,0,0.039474
0,0,1248000,100%,raw-itlb-walk,"2,859",0.039474
0,0,1248000,100%,raw-l1d-cache,"7,830,263",0.039474
0,0,1248000,100%,raw-l1d-cache-allocate,0,0.039474
0,0,1248000,100%,raw-l1d-cache-inval,0,0.040763
0,0,1248000,100%,raw-l1d-cache-lmiss-rd,0,0.040763
0,0,1248000,100%,raw-l1d-cache-rd,"6,816,842",0.040763
0,0,1248000,100%,raw-l1d-cache-refill,"212,615",0.040763
0,0,1248000,100%,raw-l1d-cache-refill-inner,"175,756",0.040763
0,0,1248000,100%,raw-l1d-cache-refill-outer,"48,243",0.040763
0,0,1248000,100%,raw-l1d-cache-refill-rd,"161,140",0.040352
0,0,1248000,100%,raw-l1d-cache-refill-wr,"48,778",0.040352
0,0,1248000,100%,raw-l1d-cache-wb,"280,762",0.040352
0,0,1248000,100%,raw-l1d-cache-wb-clean,0,0.040352
0,0,1248000,100%,raw-l1d-cache-wb-victim,0,0.040352
0,0,1248000,100%,raw-l1d-cache-wr,"1,055,972",0.040352
0,0,1248000,100%,raw-l1d-tlb,"7,850,952",0.039285
0,0,1248000,100%,raw-l1d-tlb-rd,0,0.039285
0,0,1248000,100%,raw-l1d-tlb-refill,"359,655",0.039285
0,0,1248000,100%,raw-l1d-tlb-refill-rd,0,0.039285
0,0,1248000,100%,raw-l1d-tlb-refill-wr,0,0.039285
0,0,1248000,100%,raw-l1d-tlb-wr,0,0.039285
0,0,1248000,100%,raw-l1i-cache,"19,479,202",0.039124
0,0,1248000,100%,raw-l1i-cache-lmiss,0,0.039124
0,0,1248000,100%,raw-l1i-cache-refill,"235,728",0.039124
0,0,1248000,100%,raw-l1i-tlb,"27,460,020",0.039124
0,0,1248000,100%,raw-l1i-tlb-refill,"108,220",0.039124
0,0,1248000,100%,raw-l2d-cache,"994,670",0.039124
0,0,1248000,100%,raw-l2d-cache-allocate,"363,577",0.040329
0,0,1248000,100%,raw-l2d-cache-inval,0,0.040329
0,0,1248000,100%,raw-l2d-cache-lmiss-rd,0,0.040329
0,0,1248000,100%,raw-l2d-cache-rd,"638,862",0.040329
0,0,1248000,100%,raw-l2d-cache-refill,"308,264",0.040329
0,0,1248000,100%,raw-l2d-cache-refill-rd,"304,261",0.040329
0,0,1248000,100%,raw-l2d-cache-refill-wr,"4,015",0.039369
0,0,1248000,100%,raw-l2d-cache-wb,"362,453",0.039369
0,0,1248000,100%,raw-l2d-cache-wb-clean,0,0.039369
