setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,"836,841,387",313.114673
0,0,300000,100%,raw-br-immed-retired,"1,278,957,198",313.114673
0,0,300000,100%,raw-br-immed-spec,"1,278,957,198",313.114673
0,0,300000,100%,raw-br-indirect-spec,"6,289,190",313.114673
0,0,300000,100%,raw-br-mis-pred,"53,391,377",313.114673
0,0,300000,100%,raw-br-mis-pred-retired,"54,460,909",313.114673
0,0,300000,100%,raw-br-pred,"1,140,490,135",313.738869
0,0,300000,100%,raw-br-retired,"1,342,267,807",313.738869
0,0,300000,100%,raw-br-return-retired,"55,065,476",313.738869
0,0,300000,100%,raw-br-return-spec,"55,065,476",313.738869
0,0,300000,100%,raw-bus-access,"27,382,255,810",313.738869
0,0,300000,100%,raw-bus-access-normal,0,313.738869
0,0,300000,100%,raw-bus-access-not-shared,0,313.564626
0,0,300000,100%,raw-bus-access-periph,0,313.564626
0,0,300000,100%,raw-bus-access-rd,"13,563,909,954",313.564626
0,0,300000,100%,raw-bus-access-shared,0,313.564626
0,0,300000,100%,raw-bus-access-wr,"13,808,787,359",313.564626
0,0,300000,100%,raw-bus-cycles,"93,779,415,593",313.564626
0,0,300000,100%,raw-cid-write-retired,1,313.224513
0,0,300000,100%,raw-cnt-cycles,0,313.224513
0,0,300000,100%,raw-cpu-cycles,"93,682,946,324",313.224513
0,0,300000,100%,raw-crypto-spec,0,313.224513
0,0,300000,100%,raw-dmb-spec,0,313.224513
0,0,300000,100%,raw-dp-spec,"3,783,811,510",314.123463
0,0,300000,100%,raw-dsb-spec,0,314.123463
0,0,300000,100%,raw-dtlb-walk,"36,491,921",314.123463
0,0,300000,100%,raw-exc-dabort,0,314.123463
0,0,300000,100%,raw-exc-fiq,52,314.123463
0,0,300000,100%,raw-exc-hvc,0,314.123463
0,0,300000,100%,raw-exc-irq,"125,955",314.266356
0,0,300000,100%,raw-exc-pabort,0,314.266356
0,0,300000,100%,raw-exc-return,"957,538",314.266356
0,0,300000,100%,raw-exc-smc,0,314.266356
0,0,300000,100%,raw-exc-svc,0,314.266356
0,0,300000,100%,raw-exc-taken,"957,591",314.266356
0,0,300000,100%,raw-exc-trap-dabort,0,314.449766
0,0,300000,100%,raw-exc-trap-fiq,0,314.449766
0,0,300000,100%,raw-exc-trap-irq,0,314.449766
0,0,300000,100%,raw-exc-trap-other,0,314.449766
0,0,300000,100%,raw-exc-trap-pabort,0,314.449766
0,0,300000,100%,raw-exc-undef,0,314.449766
0,0,300000,100%,raw-inst-retired,"44,808,544,120",314.610133
0,0,300000,100%,raw-inst-spec,"45,025,876,147",314.610133
0,0,300000,100%,raw-isb-spec,0,314.610133
0,0,300000,100%,raw-itlb-walk,"520,205",314.610133
0,0,300000,100%,raw-l1d-cache,"13,797,377,522",314.610133
0,0,300000,100%,raw-l1d-cache-allocate,0,314.610133
0,0,300000,100%,raw-l1d-cache-inval,0,313.502020
0,0,300000,100%,raw-l1d-cache-lmiss-rd,0,313.502020
0,0,300000,100%,raw-l1d-cache-rd,"9,247,758,427",313.502020
0,0,300000,100%,raw-l1d-cache-refill,"2,931,466,371",313.502020
0,0,300000,100%,raw-l1d-cache-refill-inner,"1,325,996,718",313.502020
0,0,300000,100%,raw-l1d-cache-refill-outer,"1,646,917,585",313.502020
0,0,300000,100%,raw-l1d-cache-refill-rd,"383,574,157",313.453076
0,0,300000,100%,raw-l1d-cache-refill-wr,"2,557,418,519",313.453076
0,0,300000,100%,raw-l1d-cache-wb,"3,815,783,413",313.453076
0,0,300000,100%,raw-l1d-cache-wb-clean,0,313.453076
0,0,300000,100%,raw-l1d-cache-wb-victim,0,313.453076
0,0,300000,100%,raw-l1d-cache-wr,"4,445,001,432",313.453076
0,0,300000,100%,raw-l1d-tlb,"13,693,591,995",313.790060
0,0,300000,100%,raw-l1d-tlb-rd,0,313.790060
0,0,300000,100%,raw-l1d-tlb-refill,"163,263,769",313.790060
0,0,300000,100%,raw-l1d-tlb-refill-rd,0,313.790060
0,0,300000,100%,raw-l1d-tlb-refill-wr,0,313.790060
0,0,300000,100%,raw-l1d-tlb-wr,0,313.790060
0,0,300000,100%,raw-l1i-cache,"23,554,567,194",313.752703
0,0,300000,100%,raw-l1i-cache-lmiss,0,313.752703
0,0,300000,100%,raw-l1i-cache-refill,"50,613,359",313.752703
0,0,300000,100%,raw-l1i-tlb,"25,434,293,801",313.752703
0,0,300000,100%,raw-l1i-tlb-refill,"2,369,261",313.752703
0,0,300000,100%,raw-l2d-cache,"7,758,450,402",313.752703
0,0,300000,100%,raw-l2d-cache-allocate,"3,861,040,157",313.771761
0,0,300000,100%,raw-l2d-cache-inval,0,313.771761
0,0,300000,100%,raw-l2d-cache-lmiss-rd,0,313.771761
0,0,300000,100%,raw-l2d-cache-rd,"3,896,637,662",313.771761
0,0,300000,100%,raw-l2d-cache-refill,"3,408,204,162",313.771761
0,0,300000,100%,raw-l2d-cache-refill-rd,"3,406,545,430",313.771761
0,0,300000,100%,raw-l2d-cache-refill-wr,"1,656,907",313.038978
0,0,300000,100%,raw-l2d-cache-wb,"3,443,000,241",313.038978
0,0,300000,100%,raw-l2d-cache-wb-clean,0,313.038978
0,0,300000,100%,raw-l2d-cache-wb-victim,0,313.038978
0,0,300000,100%,raw-l2d-cache-wr,"3,856,051,687",313.038978
0,0,300000,100%,raw-l2d-tlb,"177,938,388",313.038978
0,0,300000,100%,raw-l2d-tlb-rd,0,313.540456
0,0,300000,100%,raw-l2d-tlb-refill,"36,773,459",313.540456
0,0,300000,100%,raw-l2d-tlb-refill-rd,0,313.540456
0,0,300000,100%,raw-l2d-tlb-refill-wr,0,313.540456
0,0,300000,100%,raw-l2d-tlb-wr,0,313.540456
0,0,300000,100%,raw-l2i-cache,0,313.540456
0,0,300000,100%,raw-l2i-cache-lmiss,0,313.666136
0,0,300000,100%,raw-l2i-cache-refill,0,313.666136
0,0,300000,100%,raw-l2i-tlb,0,313.666136
0,0,300000,100%,raw-l2i-tlb-refill,0,313.666136
0,0,300000,100%,raw-l3d-cache,"6,836,596,776",313.666136
0,0,300000,100%,raw-l3d-cache-allocate,"3,438,394,150",313.666136
0,0,300000,100%,raw-l3d-cache-inval,0,313.872096
0,0,300000,100%,raw-l3d-cache-lmiss-rd,0,313.872096
0,0,300000,100%,raw-l3d-cache-rd,"3,385,936,436",313.872096
0,0,300000,100%,raw-l3d-cache-refill,"2,251,144,275",313.872096
0,0,300000,100%,raw-l3d-cache-refill-rd,"2,251,144,275",313.872096
0,0,300000,100%,raw-l3d-cache-refill-wr,0,313.872096
0,0,300000,100%,raw-l3d-cache-wb,0,314.964468
0,0,300000,100%,raw-l3d-cache-wb-clean,0,314.964468
0,0,300000,100%,raw-l3d-cache-wb-victim,0,314.964468
