setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,"42,181,749",71.133959
0,0,300000,100%,raw-br-immed-retired,"2,006,212,386",71.133959
0,0,300000,100%,raw-br-immed-spec,"2,006,212,386",71.133959
0,0,300000,100%,raw-br-indirect-spec,"103,108,456",71.133959
0,0,300000,100%,raw-br-mis-pred,"120,362,681",71.133959
0,0,300000,100%,raw-br-mis-pred-retired,"120,877,729",71.133959
0,0,300000,100%,raw-br-pred,"1,973,437,587",71.014423
0,0,300000,100%,raw-br-retired,"2,412,252,762",71.014423
0,0,300000,100%,raw-br-return-retired,"302,538,282",71.014423
0,0,300000,100%,raw-br-return-spec,"302,538,282",71.014423
0,0,300000,100%,raw-bus-access,"1,628,171,778",71.014423
0,0,300000,100%,raw-bus-access-normal,0,71.014423
0,0,300000,100%,raw-bus-access-not-shared,0,69.415524
0,0,300000,100%,raw-bus-access-periph,0,69.415524
0,0,300000,100%,raw-bus-access-rd,"758,743,029",69.415524
0,0,300000,100%,raw-bus-access-shared,0,69.415524
0,0,300000,100%,raw-bus-access-wr,"797,367,193",69.415524
0,0,300000,100%,raw-bus-cycles,"20,713,917,765",69.415524
0,0,300000,100%,raw-cid-write-retired,1,68.850921
0,0,300000,100%,raw-cnt-cycles,0,68.850921
0,0,300000,100%,raw-cpu-cycles,"20,593,281,817",68.850921
0,0,300000,100%,raw-crypto-spec,244,68.850921
0,0,300000,100%,raw-dmb-spec,0,68.850921
0,0,300000,100%,raw-dp-spec,"5,249,473,396",69.017962
0,0,300000,100%,raw-dsb-spec,0,69.017962
0,0,300000,100%,raw-dtlb-walk,"31,062,635",69.017962
0,0,300000,100%,raw-exc-dabort,0,69.017962
0,0,300000,100%,raw-exc-fiq,11,69.017962
0,0,300000,100%,raw-exc-hvc,0,69.017962
0,0,300000,100%,raw-exc-irq,"27,557",68.881000
0,0,300000,100%,raw-exc-pabort,0,68.881000
0,0,300000,100%,raw-exc-return,"85,842",68.881000
0,0,300000,100%,raw-exc-smc,0,68.881000
0,0,300000,100%,raw-exc-svc,0,68.881000
0,0,300000,100%,raw-exc-taken,"85,853",68.881000
0,0,300000,100%,raw-exc-trap-dabort,0,68.858033
0,0,300000,100%,raw-exc-trap-fiq,0,68.858033
0,0,300000,100%,raw-exc-trap-irq,0,68.858033
0,0,300000,100%,raw-exc-trap-other,0,68.858033
0,0,300000,100%,raw-exc-trap-pabort,0,68.858033
0,0,300000,100%,raw-exc-undef,0,68.858033
0,0,300000,100%,raw-inst-retired,"11,667,263,048",68.721654
0,0,300000,100%,raw-inst-spec,"12,048,316,102",68.721654
0,0,300000,100%,raw-isb-spec,0,68.721654
0,0,300000,100%,raw-itlb-walk,"2,214,742",68.721654
0,0,300000,100%,raw-l1d-cache,"3,845,248,806",68.721654
0,0,300000,100%,raw-l1d-cache-allocate,0,68.721654
0,0,300000,100%,raw-l1d-cache-inval,0,68.673208
0,0,300000,100%,raw-l1d-cache-lmiss-rd,0,68.673208
0,0,300000,100%,raw-l1d-cache-rd,"3,327,161,319",68.673208
0,0,300000,100%,raw-l1d-cache-refill,"212,429,747",68.673208
0,0,300000,100%,raw-l1d-cache-refill-inner,"182,389,937",68.673208
0,0,300000,100%,raw-l1d-cache-refill-outer,"75,214,944",68.673208
0,0,300000,100%,raw-l1d-cache-refill-rd,"182,610,594",68.687818
0,0,300000,100%,raw-l1d-cache-refill-wr,"26,265,261",68.687818
0,0,300000,100%,raw-l1d-cache-wb,"263,361,561",68.687818
0,0,300000,100%,raw-l1d-cache-wb-clean,0,68.687818
0,0,300000,100%,raw-l1d-cache-wb-victim,0,68.687818
0,0,300000,100%,raw-l1d-cache-wr,"517,996,451",68.687818
0,0,300000,100%,raw-l1d-tlb,"3,854,775,372",68.905814
0,0,300000,100%,raw-l1d-tlb-rd,0,68.905814
0,0,300000,100%,raw-l1d-tlb-refill,"352,724,699",68.905814
0,0,300000,100%,raw-l1d-tlb-refill-rd,0,68.905814
0,0,300000,100%,raw-l1d-tlb-refill-wr,0,68.905814
0,0,300000,100%,raw-l1d-tlb-wr,0,68.905814
0,0,300000,100%,raw-l1i-cache,"8,966,072,658",69.015260
0,0,300000,100%,raw-l1i-cache-lmiss,0,69.015260
0,0,300000,100%,raw-l1i-cache-refill,"73,873,644",69.015260
0,0,300000,100%,raw-l1i-tlb,"10,114,693,976",69.015260
0,0,300000,100%,raw-l1i-tlb-refill,"151,011,807",69.015260
0,0,300000,100%,raw-l2d-cache,"646,972,507",69.015260
0,0,300000,100%,raw-l2d-cache-allocate,"268,311,278",68.930265
0,0,300000,100%,raw-l2d-cache-inval,0,68.930265
0,0,300000,100%,raw-l2d-cache-lmiss-rd,0,68.930265
0,0,300000,100%,raw-l2d-cache-rd,"375,741,298",68.930265
0,0,300000,100%,raw-l2d-cache-refill,"190,253,742",68.930265
0,0,300000,100%,raw-l2d-cache-refill-rd,"190,086,977",68.930265
0,0,300000,100%,raw-l2d-cache-refill-wr,"165,260",69.143572
0,0,300000,100%,raw-l2d-cache-wb,"199,304,537",69.143572
0,0,300000,100%,raw-l2d-cache-wb-clean,0,69.143572
0,0,300000,100%,raw-l2d-cache-wb-victim,0,69.143572
0,0,300000,100%,raw-l2d-cache-wr,"268,959,118",69.143572
0,0,300000,100%,raw-l2d-tlb,"521,669,442",69.143572
0,0,300000,100%,raw-l2d-tlb-rd,0,68.787121
0,0,300000,100%,raw-l2d-tlb-refill,"32,927,486",68.787121
0,0,300000,100%,raw-l2d-tlb-refill-rd,0,68.787121
0,0,300000,100%,raw-l2d-tlb-refill-wr,0,68.787121
0,0,300000,100%,raw-l2d-tlb-wr,0,68.787121
0,0,300000,100%,raw-l2i-cache,0,68.787121
0,0,300000,100%,raw-l2i-cache-lmiss,0,69.006000
0,0,300000,100%,raw-l2i-cache-refill,0,69.006000
0,0,300000,100%,raw-l2i-tlb,0,69.006000
0,0,300000,100%,raw-l2i-tlb-refill,0,69.006000
0,0,300000,100%,raw-l3d-cache,"379,980,969",69.006000
0,0,300000,100%,raw-l3d-cache-allocate,"190,941,386",69.006000
0,0,300000,100%,raw-l3d-cache-inval,0,68.792139
0,0,300000,100%,raw-l3d-cache-lmiss-rd,0,68.792139
0,0,300000,100%,raw-l3d-cache-rd,"186,899,827",68.792139
0,0,300000,100%,raw-l3d-cache-refill,"81,217,933",68.792139
0,0,300000,100%,raw-l3d-cache-refill-rd,"81,217,933",68.792139
0,0,300000,100%,raw-l3d-cache-refill-wr,0,68.792139
0,0,300000,100%,raw-l3d-cache-wb,0,68.665777
0,0,300000,100%,raw-l3d-cache-wb-clean,0,68.665777
0,0,300000,100%,raw-l3d-cache-wb-victim,0,68.665777
0,0,300000,100%,raw-l3d-cache-wr,0,68.665777
0,0,300000,100%,raw-ld-retired,"2,797,834,700",68.665777
0,0,300000,100%,raw-ld-spec,"2,887,294,921",68.665777
0,0,300000,100%,raw-ldrex-spec,0,68.889086
0,0,300000,100%,raw-ldst-spec,"4,258,939,453",68.889086
0,0,300000,100%,raw-ll-cache,0,68.889086
0,0,300000,100%,raw-ll-cache-miss,0,68.889086
0,0,300000,100%,raw-ll-cache-miss-rd,"82,189,190",68.889086
0,0,300000,100%,raw-ll-cache-rd,"187,409,698",68.889086
0,0,300000,100%,raw-mem-access,"4,639,948,138",68.814656
0,0,300000,100%,raw-mem-access-rd,"3,290,578,775",68.814656
0,0,300000,100%,raw-mem-access-wr,"1,349,369,363",68.814656
0,0,300000,100%,raw-memory-error,0,68.814656
0,0,300000,100%,raw-op-retired,0,68.814656
0,0,300000,100%,raw-op-spec,0,68.814656
0,0,300000,100%,raw-pc-write-retired,"1,297,643,905",68.718700
0,0,300000,100%,raw-pc-write-spec,"2,443,908,355",68.718700
0,0,300000,100%,raw-rc-ld-spec,0,68.718700
0,0,300000,100%,raw-rc-st-spec,0,68.718700
0,0,300000,100%,raw-remote-access,0,68.718700
0,0,300000,100%,raw-remote-access-rd,0,68.718700
0,0,300000,100%,raw-sample-collision,0,68.815313
0,0,300000,100%,raw-sample-feed,0,68.815313
0,0,300000,100%,raw-sample-filtrate,0,68.815313
0,0,300000,100%,raw-sample-pop,0,68.815313
0,0,300000,100%,raw-st-retired,"1,333,326,071",68.815313
0,0,300000,100%,raw-st-spec,"1,370,682,895",68.815313
0,0,300000,100%,raw-stall,0,69.031741
0,0,300000,100%,raw-stall-backend,"10,087,856,767",69.031741
0,0,300000,100%,raw-stall-backend-mem,0,69.031741
0,0,300000,100%,raw-stall-frontend,"1,824,693,562",69.031741
0,0,300000,100%,raw-stall-slot,0,69.031741
0,0,300000,100%,raw-stall-slot-backend,0,69.031741
0,0,300000,100%,raw-stall-slot-frontend,0,69.146283
0,0,300000,100%,raw-strex-fail-spec,0,69.146283
0,0,300000,100%,raw-strex-pass-spec,0,69.146283
0,0,300000,100%,raw-strex-spec,0,69.146283
0,0,300000,100%,raw-sve-inst-retired,0,69.146283
0,0,300000,100%,raw-sve-inst-spec,0,69.146283
0,0,300000,100%,raw-sw-incr,0,68.723670
0,0,300000,100%,raw-ttbr-write-retired,6,68.723670
0,0,300000,100%,raw-unaligned-ld-spec,0,68.723670
0,0,300000,100%,raw-unaligned-ldst-retired,"38,026,496",68.723670
0,0,300000,100%,raw-unaligned-ldst-spec,0,68.723670
0,0,300000,100%,raw-unaligned-st-spec,0,68.723670
0,0,300000,100%,raw-vfp-spec,"80,550,355",68.737743
0,0,1248000,100%,raw-ase-spec,"42,114,291",23.002863
0,0,1248000,100%,raw-br-immed-retired,"1,973,486,795",23.002863
0,0,1248000,100%,raw-br-immed-spec,"1,973,486,795",23.002863
0,0,1248000,100%,raw-br-indirect-spec,"100,430,918",23.002863
0,0,1248000,100%,raw-br-mis-pred,"105,915,118",23.002863
0,0,1248000,100%,raw-br-mis-pred-retired,"106,393,349",23.002863
0,0,1248000,100%,raw-br-pred,"1,940,553,879",22.955937
0,0,1248000,100%,raw-br-retired,"2,374,033,424",22.955937
0,0,1248000,100%,raw-br-return-retired,"300,003,209",22.955937
0,0,1248000,100%,raw-br-return-spec,"300,003,209",22.955937
0,0,1248000,100%,raw-bus-access,"1,307,603,225",22.955937
0,0,1248000,100%,raw-bus-access-normal,0,22.955937
0,0,1248000,100%,raw-bus-access-not-shared,0,23.147066
0,0,1248000,100%,raw-bus-access-periph,0,23.147066
0,0,1248000,100%,raw-bus-access-rd,"644,480,128",23.147066
0,0,1248000,100%,raw-bus-access-shared,0,23.147066
0,0,1248000,100%,raw-bus-access-wr,"666,918,829",23.147066
0,0,1248000,100%,raw-bus-cycles,"28,852,165,120",23.147066
0,0,1248000,100%,raw-cid-write-retired,1,23.068080
0,0,1248000,100%,raw-cnt-cycles,0,23.068080
0,0,1248000,100%,raw-cpu-cycles,"28,753,669,187",23.068080
0,0,1248000,100%,raw-crypto-spec,241,23.068080
0,0,1248000,100%,raw-dmb-spec,0,23.068080
0,0,1248000,100%,raw-dp-spec,"5,157,642,072",22.947474
0,0,1248000,100%,raw-dsb-spec,0,22.947474
0,0,1248000,100%,raw-dtlb-walk,"30,678,419",22.947474
0,0,1248000,100%,raw-exc-dabort,0,22.947474
0,0,1248000,100%,raw-exc-fiq,3,22.947474
0,0,1248000,100%,raw-exc-hvc,0,22.947474
0,0,1248000,100%,raw-exc-irq,"9,282",23.110712
0,0,1248000,100%,raw-exc-pabort,0,23.110712
0,0,1248000,100%,raw-exc-return,"67,564",23.110712
0,0,1248000,100%,raw-exc-smc,0,23.110712
0,0,1248000,100%,raw-exc-svc,0,23.110712
0,0,1248000,100%,raw-exc-taken,"67,567",23.110712
0,0,1248000,100%,raw-exc-trap-dabort,0,23.029493
0,0,1248000,100%,raw-exc-trap-fiq,0,23.029493
0,0,1248000,100%,raw-exc-trap-irq,0,23.029493
0,0,1248000,100%,raw-exc-trap-other,0,23.029493
0,0,1248000,100%,raw-exc-trap-pabort,0,23.029493
0,0,1248000,100%,raw-exc-undef,0,23.029493
0,0,1248000,100%,raw-inst-retired,"11,510,819,232",23.050439
0,0,1248000,100%,raw-inst-spec,"11,869,861,187",23.050439
0,0,1248000,100%,raw-isb-spec,0,23.050439
0,0,1248000,100%,raw-itlb-walk,"2,026,472",23.050439
0,0,1248000,100%,raw-l1d-cache,"3,794,584,024",23.050439
0,0,1248000,100%,raw-l1d-cache-allocate,0,23.050439
0,0,1248000,100%,raw-l1d-cache-inval,0,22.940867
0,0,1248000,100%,raw-l1d-cache-lmiss-rd,0,22.940867
0,0,1248000,100%,raw-l1d-cache-rd,"3,283,042,442",22.940867
0,0,1248000,100%,raw-l1d-cache-refill,"203,103,939",22.940867
0,0,1248000,100%,raw-l1d-cache-refill-inner,"173,936,173",22.940867
0,0,1248000,100%,raw-l1d-cache-refill-outer,"73,518,613",22.940867
0,0,1248000,100%,raw-l1d-cache-refill-rd,"177,092,085",22.979401
0,0,1248000,100%,raw-l1d-cache-refill-wr,"25,937,960",22.979401
0,0,1248000,100%,raw-l1d-cache-wb,"256,428,682",22.979401
0,0,1248000,100%,raw-l1d-cache-wb-clean,0,22.979401
0,0,1248000,100%,raw-l1d-cache-wb-victim,0,22.979401
0,0,1248000,100%,raw-l1d-cache-wr,"518,265,764",22.979401
0,0,1248000,100%,raw-l1d-tlb,"3,801,438,156",23.012696
0,0,1248000,100%,raw-l1d-tlb-rd,0,23.012696
0,0,1248000,100%,raw-l1d-tlb-refill,"348,166,471",23.012696
0,0,1248000,100%,raw-l1d-tlb-refill-rd,0,23.012696
0,0,1248000,100%,raw-l1d-tlb-refill-wr,0,23.012696
0,0,1248000,100%,raw-l1d-tlb-wr,0,23.012696
0,0,1248000,100%,raw-l1i-cache,"8,805,981,981",23.080663
0,0,1248000,100%,raw-l1i-cache-lmiss,0,23.080663
0,0,1248000,100%,raw-l1i-cache-refill,"58,651,153",23.080663
0,0,1248000,100%,raw-l1i-tlb,"9,915,336,865",23.080663
0,0,1248000,100%,raw-l1i-tlb-refill,"150,009,577",23.080663
0,0,1248000,100%,raw-l2d-cache,"598,530,982",23.080663
0,0,1248000,100%,raw-l2d-cache-allocate,"258,992,493",22.958716
0,0,1248000,100%,raw-l2d-cache-inval,0,22.958716
0,0,1248000,100%,raw-l2d-cache-lmiss-rd,0,22.958716
0,0,1248000,100%,raw-l2d-cache-rd,"339,958,460",22.958716
0,0,1248000,100%,raw-l2d-cache-refill,"161,034,277",22.958716
0,0,1248000,100%,raw-l2d-cache-refill-rd,"160,854,447",22.958716
0,0,1248000,100%,raw-l2d-cache-refill-wr,"178,051",22.973292
0,0,1248000,100%,raw-l2d-cache-wb,"165,344,291",22.973292
0,0,1248000,100%,raw-l2d-cache-wb-clean,0,22.973292
0,0,1248000,100%,raw-l2d-cache-wb-victim,0,22.973292
0,0,1248000,100%,raw-l2d-cache-wr,"260,039,864",22.973292
0,0,1248000,100%,raw-l2d-tlb,"520,069,254",22.973292
0,0,1248000,100%,raw-l2d-tlb-rd,0,23.013597
0,0,1248000,100%,raw-l2d-tlb-refill,"33,077,516",23.013597
0,0,1248000,100%,raw-l2d-tlb-refill-rd,0,23.013597
0,0,1248000,100%,raw-l2d-tlb-refill-wr,0,23.013597
0,0,1248000,100%,raw-l2d-tlb-wr,0,23.013597
0,0,1248000,100%,raw-l2i-cache,0,23.013597
0,0,1248000,100%,raw-l2i-cache-lmiss,0,23.105013
0,0,1248000,100%,raw-l2i-cache-refill,0,23.105013
0,0,1248000,100%,raw-l2i-tlb,0,23.105013
0,0,1248000,100%,raw-l2i-tlb-refill,0,23.105013
0,0,1248000,100%,raw-l3d-cache,"325,173,971",23.105013
0,0,1248000,100%,raw-l3d-cache-allocate,"164,075,162",23.105013
0,0,1248000,100%,raw-l3d-cache-inval,0,23.171226
0,0,1248000,100%,raw-l3d-cache-lmiss-rd,0,23.171226
0,0,1248000,100%,raw-l3d-cache-rd,"161,735,067",23.171226
0,0,1248000,100%,raw-l3d-cache-refill,"82,467,810",23.171226
0,0,1248000,100%,raw-l3d-cache-refill-rd,"82,467,810",23.171226
0,0,1248000,100%,raw-l3d-cache-refill-wr,0,23.171226
0,0,1248000,100%,raw-l3d-cache-wb,0,23.086069
0,0,1248000,100%,raw-l3d-cache-wb-clean,0,23.086069
0,0,1248000,100%,raw-l3d-cache-wb-victim,0,23.086069
0,0,1248000,100%,raw-l3d-cache-wr,0,23.086069
0,0,1248000,100%,raw-ld-retired,"2,761,745,292",23.086069
0,0,1248000,100%,raw-ld-spec,"2,845,509,494",23.086069
0,0,1248000,100%,raw-ldrex-spec,0,23.103657
0,0,1248000,100%,raw-ldst-spec,"4,196,549,413",23.103657
0,0,1248000,100%,raw-ll-cache,0,23.103657
0,0,1248000,100%,raw-ll-cache-miss,0,23.103657
0,0,1248000,100%,raw-ll-cache-miss-rd,"81,330,714",23.103657
0,0,1248000,100%,raw-ll-cache-rd,"160,969,481",23.103657
0,0,1248000,100%,raw-mem-access,"4,578,999,018",23.076358
0,0,1248000,100%,raw-mem-access-rd,"3,246,860,103",23.076358
0,0,1248000,100%,raw-mem-access-wr,"1,332,138,915",23.076358
0,0,1248000,100%,raw-memory-error,0,23.076358
0,0,1248000,100%,raw-op-retired,0,23.076358
0,0,1248000,100%,raw-op-spec,0,23.076358
0,0,1248000,100%,raw-pc-write-retired,"1,283,502,001",23.132988
0,0,1248000,100%,raw-pc-write-spec,"2,412,388,159",23.132988
0,0,1248000,100%,raw-rc-ld-spec,0,23.132988
0,0,1248000,100%,raw-rc-st-spec,0,23.132988
0,0,1248000,100%,raw-remote-access,0,23.132988
0,0,1248000,100%,raw-remote-access-rd,0,23.132988
0,0,1248000,100%,raw-sample-collision,0,22.952070
0,0,1248000,100%,raw-sample-feed,0,22.952070
0,0,1248000,100%,raw-sample-filtrate,0,22.952070
0,0,1248000,100%,raw-sample-pop,0,22.952070
0,0,1248000,100%,raw-st-retired,"1,316,327,501",22.952070
0,0,1248000,100%,raw-st-spec,"1,350,809,948",22.952070
0,0,1248000,100%,raw-stall,0,22.959761
0,0,1248000,100%,raw-stall-backend,"18,236,844,900",22.959761
0,0,1248000,100%,raw-stall-backend-mem,0,22.959761
0,0,1248000,100%,raw-stall-frontend,"1,813,705,037",22.959761
0,0,1248000,100%,raw-stall-slot,0,22.959761
0,0,1248000,100%,raw-stall-slot-backend,0,22.959761
0,0,1248000,100%,raw-stall-slot-frontend,0,23.076880
0,0,1248000,100%,raw-strex-fail-spec,0,23.076880
0,0,1248000,100%,raw-strex-pass-spec,0,23.076880
0,0,1248000,100%,raw-strex-spec,0,23.076880
0,0,1248000,100%,raw-sve-inst-retired,0,23.076880
0,0,1248000,100%,raw-sve-inst-spec,0,23.076880
0,0,1248000,100%,raw-sw-incr,0,23.042185
0,0,1248000,100%,raw-ttbr-write-retired,6,23.042185
0,0,1248000,100%,raw-unaligned-ld-spec,0,23.042185
0,0,1248000,100%,raw-unaligned-ldst-retired,"38,025,299",23.042185
0,0,1248000,100%,raw-unaligned-ldst-spec,0,23.042185
0,0,1248000,100%,raw-unaligned-st-spec,0,23.042185
0,0,1248000,100%,raw-vfp-spec,"80,614,461",22.927963
0,0,1804800,100%,raw-ase-spec,"42,113,160",18.624707
0,0,1804800,100%,raw-br-immed-retired,"1,970,874,188",18.624707
