setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,"1,204,856",0.355722
0,0,300000,100%,raw-br-immed-retired,"9,609,666",0.355722
0,0,300000,100%,raw-br-immed-spec,"9,609,666",0.355722
0,0,300000,100%,raw-br-indirect-spec,"433,474",0.355722
0,0,300000,100%,raw-br-mis-pred,"270,327",0.355722
0,0,300000,100%,raw-br-mis-pred-retired,"273,562",0.355722
0,0,300000,100%,raw-br-pred,"9,078,588",0.312275
0,0,300000,100%,raw-br-retired,"10,166,634",0.312275
0,0,300000,100%,raw-br-return-retired,"639,741",0.312275
0,0,300000,100%,raw-br-return-spec,"639,741",0.312275
0,0,300000,100%,raw-bus-access,"4,191,072",0.312275
0,0,300000,100%,raw-bus-access-normal,0,0.312275
0,0,300000,100%,raw-bus-access-not-shared,0,0.312044
0,0,300000,100%,raw-bus-access-periph,0,0.312044
0,0,300000,100%,raw-bus-access-rd,"1,922,341",0.312044
0,0,300000,100%,raw-bus-access-shared,0,0.312044
0,0,300000,100%,raw-bus-access-wr,"2,298,938",0.312044
0,0,300000,100%,raw-bus-cycles,"91,695,121",0.312044
0,0,300000,100%,raw-cid-write-retired,1,0.312309
0,0,300000,100%,raw-cnt-cycles,0,0.312309
0,0,300000,100%,raw-cpu-cycles,"91,732,896",0.312309
0,0,300000,100%,raw-crypto-spec,0,0.312309
0,0,300000,100%,raw-dmb-spec,0,0.312309
0,0,300000,100%,raw-dp-spec,"24,889,389",0.311325
0,0,300000,100%,raw-dsb-spec,0,0.311325
0,0,300000,100%,raw-dtlb-walk,"3,544",0.311325
0,0,300000,100%,raw-exc-dabort,0,0.311325
0,0,300000,100%,raw-exc-fiq,0,0.311325
0,0,300000,100%,raw-exc-hvc,0,0.311325
0,0,300000,100%,raw-exc-irq,123,0.311545
0,0,300000,100%,raw-exc-pabort,0,0.311545
0,0,300000,100%,raw-exc-return,"2,217",0.311545
0,0,300000,100%,raw-exc-smc,0,0.311545
0,0,300000,100%,raw-exc-svc,0,0.311545
0,0,300000,100%,raw-exc-taken,"2,217",0.311545
0,0,300000,100%,raw-exc-trap-dabort,0,0.311125
0,0,300000,100%,raw-exc-trap-fiq,0,0.311125
0,0,300000,100%,raw-exc-trap-irq,0,0.311125
0,0,300000,100%,raw-exc-trap-other,0,0.311125
0,0,300000,100%,raw-exc-trap-pabort,0,0.311125
0,0,300000,100%,raw-exc-undef,0,0.311125
0,0,300000,100%,raw-inst-retired,"70,689,918",0.311563
0,0,300000,100%,raw-inst-spec,"71,294,035",0.311563
0,0,300000,100%,raw-isb-spec,0,0.311563
0,0,300000,100%,raw-itlb-walk,"1,240",0.311563
0,0,300000,100%,raw-l1d-cache,"14,529,631",0.311563
0,0,300000,100%,raw-l1d-cache-allocate,0,0.311563
0,0,300000,100%,raw-l1d-cache-inval,0,0.312167
0,0,300000,100%,raw-l1d-cache-lmiss-rd,0,0.312167
0,0,300000,100%,raw-l1d-cache-rd,"13,550,402",0.312167
0,0,300000,100%,raw-l1d-cache-refill,"445,111",0.312167
0,0,300000,100%,raw-l1d-cache-refill-inner,"399,791",0.312167
0,0,300000,100%,raw-l1d-cache-refill-outer,"56,276",0.312167
0,0,300000,100%,raw-l1d-cache-refill-rd,"194,035",0.311416
0,0,300000,100%,raw-l1d-cache-refill-wr,"245,756",0.311416
0,0,300000,100%,raw-l1d-cache-wb,"827,784",0.311416
0,0,300000,100%,raw-l1d-cache-wb-clean,0,0.311416
0,0,300000,100%,raw-l1d-cache-wb-victim,0,0.311416
0,0,300000,100%,raw-l1d-cache-wr,"964,409",0.311416
0,0,300000,100%,raw-l1d-tlb,"14,517,084",0.311364
0,0,300000,100%,raw-l1d-tlb-rd,0,0.311364
0,0,300000,100%,raw-l1d-tlb-refill,"368,113",0.311364
0,0,300000,100%,raw-l1d-tlb-refill-rd,0,0.311364
0,0,300000,100%,raw-l1d-tlb-refill-wr,0,0.311364
0,0,300000,100%,raw-l1d-tlb-wr,0,0.311364
0,0,300000,100%,raw-l1i-cache,"41,036,904",0.312679
0,0,300000,100%,raw-l1i-cache-lmiss,0,0.312679
0,0,300000,100%,raw-l1i-cache-refill,"248,987",0.312679
0,0,300000,100%,raw-l1i-tlb,"45,871,027",0.312679
0,0,300000,100%,raw-l1i-tlb-refill,"34,869",0.312679
0,0,300000,100%,raw-l2d-cache,"2,180,167",0.312679
0,0,300000,100%,raw-l2d-cache-allocate,"945,616",0.310798
0,0,300000,100%,raw-l2d-cache-inval,0,0.310798
0,0,300000,100%,raw-l2d-cache-lmiss-rd,0,0.310798
0,0,300000,100%,raw-l2d-cache-rd,"1,214,626",0.310798
0,0,300000,100%,raw-l2d-cache-refill,"450,007",0.310798
0,0,300000,100%,raw-l2d-cache-refill-rd,"446,638",0.310798
0,0,300000,100%,raw-l2d-cache-refill-wr,"3,396",0.311613
0,0,300000,100%,raw-l2d-cache-wb,"532,759",0.311613
0,0,300000,100%,raw-l2d-cache-wb-clean,0,0.311613
0,0,300000,100%,raw-l2d-cache-wb-victim,0,0.311613
0,0,300000,100%,raw-l2d-cache-wr,"955,128",0.311613
0,0,300000,100%,raw-l2d-tlb,"426,769",0.311613
0,0,300000,100%,raw-l2d-tlb-rd,0,0.311914
0,0,300000,100%,raw-l2d-tlb-refill,"4,938",0.311914
0,0,300000,100%,raw-l2d-tlb-refill-rd,0,0.311914
0,0,300000,100%,raw-l2d-tlb-refill-wr,0,0.311914
0,0,300000,100%,raw-l2d-tlb-wr,0,0.311914
0,0,300000,100%,raw-l2i-cache,0,0.311914
0,0,300000,100%,raw-l2i-cache-lmiss,0,0.311315
0,0,300000,100%,raw-l2i-cache-refill,0,0.311315
0,0,300000,100%,raw-l2i-tlb,0,0.311315
0,0,300000,100%,raw-l2i-tlb-refill,0,0.311315
0,0,300000,100%,raw-l3d-cache,"955,114",0.311315
0,0,300000,100%,raw-l3d-cache-allocate,"500,577",0.311315
0,0,300000,100%,raw-l3d-cache-inval,0,0.311376
0,0,300000,100%,raw-l3d-cache-lmiss-rd,0,0.311376
0,0,300000,100%,raw-l3d-cache-rd,"459,093",0.311376
0,0,300000,100%,raw-l3d-cache-refill,"95,690",0.311376
0,0,300000,100%,raw-l3d-cache-refill-rd,"95,690",0.311376
