setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,"35,958,604",81.850111
0,0,300000,100%,raw-br-immed-retired,"3,064,950,369",81.850111
0,0,300000,100%,raw-br-immed-spec,"3,064,950,369",81.850111
0,0,300000,100%,raw-br-indirect-spec,"2,823,126",81.850111
0,0,300000,100%,raw-br-mis-pred,"416,778,118",81.850111
0,0,300000,100%,raw-br-mis-pred-retired,"416,890,719",81.850111
0,0,300000,100%,raw-br-pred,"2,904,562,120",81.954781
0,0,300000,100%,raw-br-retired,"3,642,592,776",81.954781
0,0,300000,100%,raw-br-return-retired,"575,056,325",81.954781
0,0,300000,100%,raw-br-return-spec,"575,056,325",81.954781
0,0,300000,100%,raw-bus-access,"727,320,286",81.954781
0,0,300000,100%,raw-bus-access-normal,0,81.954781
0,0,300000,100%,raw-bus-access-not-shared,0,81.723810
0,0,300000,100%,raw-bus-access-periph,0,81.723810
0,0,300000,100%,raw-bus-access-rd,"335,819,958",81.723810
0,0,300000,100%,raw-bus-access-shared,0,81.723810
0,0,300000,100%,raw-bus-access-wr,"404,534,260",81.723810
0,0,300000,100%,raw-bus-cycles,"24,451,980,413",81.723810
0,0,300000,100%,raw-cid-write-retired,1,81.741936
0,0,300000,100%,raw-cnt-cycles,0,81.741936
0,0,300000,100%,raw-cpu-cycles,"24,458,352,622",81.741936
0,0,300000,100%,raw-crypto-spec,0,81.741936
0,0,300000,100%,raw-dmb-spec,0,81.741936
0,0,300000,100%,raw-dp-spec,"12,934,582,076",81.692202
0,0,300000,100%,raw-dsb-spec,0,81.692202
0,0,300000,100%,raw-dtlb-walk,"729,990",81.692202
0,0,300000,100%,raw-exc-dabort,0,81.692202
0,0,300000,100%,raw-exc-fiq,13,81.692202
0,0,300000,100%,raw-exc-hvc,0,81.692202
0,0,300000,100%,raw-exc-irq,"32,723",81.646462
0,0,300000,100%,raw-exc-pabort,0,81.646462
0,0,300000,100%,raw-exc-return,"41,685",81.646462
0,0,300000,100%,raw-exc-smc,0,81.646462
0,0,300000,100%,raw-exc-svc,0,81.646462
0,0,300000,100%,raw-exc-taken,"41,698",81.646462
0,0,300000,100%,raw-exc-trap-dabort,0,81.769966
0,0,300000,100%,raw-exc-trap-fiq,0,81.769966
0,0,300000,100%,raw-exc-trap-irq,0,81.769966
0,0,300000,100%,raw-exc-trap-other,0,81.769966
0,0,300000,100%,raw-exc-trap-pabort,0,81.769966
0,0,300000,100%,raw-exc-undef,0,81.769966
0,0,300000,100%,raw-inst-retired,"22,697,475,708",81.738315
0,0,300000,100%,raw-inst-spec,"24,136,614,610",81.738315
0,0,300000,100%,raw-isb-spec,0,81.738315
0,0,300000,100%,raw-itlb-walk,"31,826",81.738315
0,0,300000,100%,raw-l1d-cache,"6,494,412,239",81.738315
0,0,300000,100%,raw-l1d-cache-allocate,0,81.738315
0,0,300000,100%,raw-l1d-cache-inval,0,81.844317
0,0,300000,100%,raw-l1d-cache-lmiss-rd,0,81.844317
0,0,300000,100%,raw-l1d-cache-rd,"6,055,559,880",81.844317
0,0,300000,100%,raw-l1d-cache-refill,"79,171,402",81.844317
0,0,300000,100%,raw-l1d-cache-refill-inner,"76,734,911",81.844317
0,0,300000,100%,raw-l1d-cache-refill-outer,"3,942,948",81.844317
0,0,300000,100%,raw-l1d-cache-refill-rd,"68,184,078",81.713403
0,0,300000,100%,raw-l1d-cache-refill-wr,"11,057,341",81.713403
0,0,300000,100%,raw-l1d-cache-wb,"123,529,252",81.713403
0,0,300000,100%,raw-l1d-cache-wb-clean,0,81.713403
0,0,300000,100%,raw-l1d-cache-wb-victim,0,81.713403
0,0,300000,100%,raw-l1d-cache-wr,"441,315,967",81.713403
0,0,300000,100%,raw-l1d-tlb,"6,492,567,786",81.746071
0,0,300000,100%,raw-l1d-tlb-rd,0,81.746071
0,0,300000,100%,raw-l1d-tlb-refill,"49,948,381",81.746071
0,0,300000,100%,raw-l1d-tlb-refill-rd,0,81.746071
0,0,300000,100%,raw-l1d-tlb-refill-wr,0,81.746071
0,0,300000,100%,raw-l1d-tlb-wr,0,81.746071
0,0,300000,100%,raw-l1i-cache,"17,982,854,062",81.755083
0,0,300000,100%,raw-l1i-cache-lmiss,0,81.755083
0,0,300000,100%,raw-l1i-cache-refill,"31,063,053",81.755083
0,0,300000,100%,raw-l1i-tlb,"18,524,820,930",81.755083
0,0,300000,100%,raw-l1i-tlb-refill,"4,653,699",81.755083
0,0,300000,100%,raw-l2d-cache,"309,445,279",81.755083
0,0,300000,100%,raw-l2d-cache-allocate,"137,860,973",81.621897
0,0,300000,100%,raw-l2d-cache-inval,0,81.621897
0,0,300000,100%,raw-l2d-cache-lmiss-rd,0,81.621897
0,0,300000,100%,raw-l2d-cache-rd,"169,643,146",81.621897
0,0,300000,100%,raw-l2d-cache-refill,"81,692,141",81.621897
0,0,300000,100%,raw-l2d-cache-refill-rd,"80,910,867",81.621897
0,0,300000,100%,raw-l2d-cache-refill-wr,"803,219",81.716040
0,0,300000,100%,raw-l2d-cache-wb,"98,550,992",81.716040
0,0,300000,100%,raw-l2d-cache-wb-clean,0,81.716040
0,0,300000,100%,raw-l2d-cache-wb-victim,0,81.716040
0,0,300000,100%,raw-l2d-cache-wr,"140,499,267",81.716040
0,0,300000,100%,raw-l2d-tlb,"58,399,104",81.716040
0,0,300000,100%,raw-l2d-tlb-rd,0,81.691607
0,0,300000,100%,raw-l2d-tlb-refill,"630,310",81.691607
0,0,300000,100%,raw-l2d-tlb-refill-rd,0,81.691607
0,0,300000,100%,raw-l2d-tlb-refill-wr,0,81.691607
0,0,300000,100%,raw-l2d-tlb-wr,0,81.691607
0,0,300000,100%,raw-l2i-cache,0,81.691607
0,0,300000,100%,raw-l2i-cache-lmiss,0,81.666411
0,0,300000,100%,raw-l2i-cache-refill,0,81.666411
0,0,300000,100%,raw-l2i-tlb,0,81.666411
0,0,300000,100%,raw-l2i-tlb-refill,0,81.666411
0,0,300000,100%,raw-l3d-cache,"174,008,535",81.666411
0,0,300000,100%,raw-l3d-cache-allocate,"90,881,229",81.666411
0,0,300000,100%,raw-l3d-cache-inval,0,81.646194
0,0,300000,100%,raw-l3d-cache-lmiss-rd,0,81.646194
0,0,300000,100%,raw-l3d-cache-rd,"80,722,488",81.646194
0,0,300000,100%,raw-l3d-cache-refill,"11,267,501",81.646194
0,0,300000,100%,raw-l3d-cache-refill-rd,"11,267,501",81.646194
0,0,300000,100%,raw-l3d-cache-refill-wr,0,81.646194
0,0,300000,100%,raw-l3d-cache-wb,0,81.734063
0,0,300000,100%,raw-l3d-cache-wb-clean,0,81.734063
0,0,300000,100%,raw-l3d-cache-wb-victim,0,81.734063
0,0,300000,100%,raw-l3d-cache-wr,0,81.734063
0,0,300000,100%,raw-ld-retired,"5,315,111,861",81.734063
0,0,300000,100%,raw-ld-spec,"5,704,309,454",81.734063
0,0,300000,100%,raw-ldrex-spec,0,81.648102
0,0,300000,100%,raw-ldst-spec,"7,267,295,646",81.648102
0,0,300000,100%,raw-ll-cache,0,81.648102
0,0,300000,100%,raw-ll-cache-miss,0,81.648102
0,0,300000,100%,raw-ll-cache-miss-rd,"11,375,692",81.648102
0,0,300000,100%,raw-ll-cache-rd,"82,734,437",81.648102
0,0,300000,100%,raw-mem-access,"7,422,877,568",81.955129
0,0,300000,100%,raw-mem-access-rd,"5,919,408,850",81.955129
0,0,300000,100%,raw-mem-access-wr,"1,503,468,718",81.955129
0,0,300000,100%,raw-memory-error,0,81.955129
0,0,300000,100%,raw-op-retired,0,81.955129
0,0,300000,100%,raw-op-spec,0,81.955129
0,0,300000,100%,raw-pc-write-retired,"2,204,202,387",81.693861
0,0,300000,100%,raw-pc-write-spec,"3,851,855,333",81.693861
0,0,300000,100%,raw-rc-ld-spec,0,81.693861
0,0,300000,100%,raw-rc-st-spec,0,81.693861
0,0,300000,100%,raw-remote-access,0,81.693861
0,0,300000,100%,raw-remote-access-rd,0,81.693861
0,0,300000,100%,raw-sample-collision,0,81.700897
0,0,300000,100%,raw-sample-feed,0,81.700897
0,0,300000,100%,raw-sample-filtrate,0,81.700897
0,0,300000,100%,raw-sample-pop,0,81.700897
0,0,300000,100%,raw-st-retired,"1,496,844,215",81.700897
0,0,300000,100%,raw-st-spec,"1,565,721,979",81.700897
0,0,300000,100%,raw-stall,0,81.640839
0,0,300000,100%,raw-stall-backend,"5,716,455,624",81.640839
0,0,300000,100%,raw-stall-backend-mem,0,81.640839
0,0,300000,100%,raw-stall-frontend,"2,043,251,421",81.640839
0,0,300000,100%,raw-stall-slot,0,81.640839
0,0,300000,100%,raw-stall-slot-backend,0,81.640839
0,0,300000,100%,raw-stall-slot-frontend,0,81.701781
0,0,300000,100%,raw-strex-fail-spec,0,81.701781
0,0,300000,100%,raw-strex-pass-spec,0,81.701781
0,0,300000,100%,raw-strex-spec,0,81.701781
0,0,300000,100%,raw-sve-inst-retired,0,81.701781
0,0,300000,100%,raw-sve-inst-spec,0,81.701781
0,0,300000,100%,raw-sw-incr,0,81.756342
0,0,300000,100%,raw-ttbr-write-retired,6,81.756342
0,0,300000,100%,raw-unaligned-ld-spec,0,81.756342
0,0,300000,100%,raw-unaligned-ldst-retired,"11,993,632",81.756342
0,0,300000,100%,raw-unaligned-ldst-spec,0,81.756342
0,0,300000,100%,raw-unaligned-st-spec,0,81.756342
0,0,300000,100%,raw-vfp-spec,"62,661,279",81.702374
0,0,1248000,100%,raw-ase-spec,"35,910,894",19.668614
0,0,1248000,100%,raw-br-immed-retired,"3,029,129,113",19.668614
0,0,1248000,100%,raw-br-immed-spec,"3,029,129,113",19.668614
0,0,1248000,100%,raw-br-indirect-spec,"1,901,652",19.668614
0,0,1248000,100%,raw-br-mis-pred,"405,528,151",19.668614
0,0,1248000,100%,raw-br-mis-pred-retired,"405,589,898",19.668614
0,0,1248000,100%,raw-br-pred,"2,870,144,792",19.606289
0,0,1248000,100%,raw-br-retired,"3,603,806,961",19.606289
0,0,1248000,100%,raw-br-return-retired,"572,810,531",19.606289
0,0,1248000,100%,raw-br-return-spec,"572,810,531",19.606289
0,0,1248000,100%,raw-bus-access,"433,843,547",19.606289
0,0,1248000,100%,raw-bus-access-normal,0,19.606289
0,0,1248000,100%,raw-bus-access-not-shared,0,19.618325
0,0,1248000,100%,raw-bus-access-periph,0,19.618325
0,0,1248000,100%,raw-bus-access-rd,"196,231,775",19.618325
0,0,1248000,100%,raw-bus-access-shared,0,19.618325
0,0,1248000,100%,raw-bus-access-wr,"238,163,190",19.618325
0,0,1248000,100%,raw-bus-cycles,"24,456,282,885",19.618325
0,0,1248000,100%,raw-cid-write-retired,1,19.604144
0,0,1248000,100%,raw-cnt-cycles,0,19.604144
0,0,1248000,100%,raw-cpu-cycles,"24,440,264,885",19.604144
0,0,1248000,100%,raw-crypto-spec,0,19.604144
0,0,1248000,100%,raw-dmb-spec,0,19.604144
0,0,1248000,100%,raw-dp-spec,"12,817,316,239",19.587194
0,0,1248000,100%,raw-dsb-spec,0,19.587194
0,0,1248000,100%,raw-dtlb-walk,"584,568",19.587194
0,0,1248000,100%,raw-exc-dabort,0,19.587194
0,0,1248000,100%,raw-exc-fiq,3,19.587194
0,0,1248000,100%,raw-exc-hvc,0,19.587194
0,0,1248000,100%,raw-exc-irq,"7,864",19.619057
0,0,1248000,100%,raw-exc-pabort,0,19.619057
0,0,1248000,100%,raw-exc-return,"16,823",19.619057
0,0,1248000,100%,raw-exc-smc,0,19.619057
0,0,1248000,100%,raw-exc-svc,0,19.619057
0,0,1248000,100%,raw-exc-taken,"16,826",19.619057
0,0,1248000,100%,raw-exc-trap-dabort,0,19.601798
0,0,1248000,100%,raw-exc-trap-fiq,0,19.601798
0,0,1248000,100%,raw-exc-trap-irq,0,19.601798
0,0,1248000,100%,raw-exc-trap-other,0,19.601798
0,0,1248000,100%,raw-exc-trap-pabort,0,19.601798
0,0,1248000,100%,raw-exc-undef,0,19.601798
0,0,1248000,100%,raw-inst-retired,"22,475,173,120",19.599424
0,0,1248000,100%,raw-inst-spec,"23,888,666,032",19.599424
0,0,1248000,100%,raw-isb-spec,0,19.599424
0,0,1248000,100%,raw-itlb-walk,"42,610",19.599424
0,0,1248000,100%,raw-l1d-cache,"6,424,583,820",19.599424
0,0,1248000,100%,raw-l1d-cache-allocate,0,19.599424
0,0,1248000,100%,raw-l1d-cache-inval,0,19.628850
0,0,1248000,100%,raw-l1d-cache-lmiss-rd,0,19.628850
0,0,1248000,100%,raw-l1d-cache-rd,"5,991,376,763",19.628850
0,0,1248000,100%,raw-l1d-cache-refill,"69,759,757",19.628850
0,0,1248000,100%,raw-l1d-cache-refill-inner,"66,989,085",19.628850
0,0,1248000,100%,raw-l1d-cache-refill-outer,"3,921,049",19.628850
0,0,1248000,100%,raw-l1d-cache-refill-rd,"59,143,184",19.607460
0,0,1248000,100%,raw-l1d-cache-refill-wr,"10,540,030",19.607460
0,0,1248000,100%,raw-l1d-cache-wb,"110,913,254",19.607460
0,0,1248000,100%,raw-l1d-cache-wb-clean,0,19.607460
0,0,1248000,100%,raw-l1d-cache-wb-victim,0,19.607460
0,0,1248000,100%,raw-l1d-cache-wr,"433,555,589",19.607460
0,0,1248000,100%,raw-l1d-tlb,"6,400,361,300",19.605537
0,0,1248000,100%,raw-l1d-tlb-rd,0,19.605537
0,0,1248000,100%,raw-l1d-tlb-refill,"43,592,822",19.605537
0,0,1248000,100%,raw-l1d-tlb-refill-rd,0,19.605537
0,0,1248000,100%,raw-l1d-tlb-refill-wr,0,19.605537
0,0,1248000,100%,raw-l1d-tlb-wr,0,19.605537
0,0,1248000,100%,raw-l1i-cache,"17,774,716,536",19.607027
0,0,1248000,100%,raw-l1i-cache-lmiss,0,19.607027
0,0,1248000,100%,raw-l1i-cache-refill,"11,212,669",19.607027
0,0,1248000,100%,raw-l1i-tlb,"18,029,668,477",19.607027
0,0,1248000,100%,raw-l1i-tlb-refill,"3,773,834",19.607027
0,0,1248000,100%,raw-l2d-cache,"255,718,192",19.607027
0,0,1248000,100%,raw-l2d-cache-allocate,"126,555,126",19.615739
0,0,1248000,100%,raw-l2d-cache-inval,0,19.615739
0,0,1248000,100%,raw-l2d-cache-lmiss-rd,0,19.615739
0,0,1248000,100%,raw-l2d-cache-rd,"128,141,404",19.615739
0,0,1248000,100%,raw-l2d-cache-refill,"47,314,076",19.615739
0,0,1248000,100%,raw-l2d-cache-refill-rd,"46,547,904",19.615739
0,0,1248000,100%,raw-l2d-cache-refill-wr,"784,502",19.609779
0,0,1248000,100%,raw-l2d-cache-wb,"58,247,737",19.609779
0,0,1248000,100%,raw-l2d-cache-wb-clean,0,19.609779
0,0,1248000,100%,raw-l2d-cache-wb-victim,0,19.609779
0,0,1248000,100%,raw-l2d-cache-wr,"127,553,026",19.609779
0,0,1248000,100%,raw-l2d-tlb,"52,513,806",19.609779
0,0,1248000,100%,raw-l2d-tlb-rd,0,19.574541
0,0,1248000,100%,raw-l2d-tlb-refill,"652,144",19.574541
0,0,1248000,100%,raw-l2d-tlb-refill-rd,0,19.574541
0,0,1248000,100%,raw-l2d-tlb-refill-wr,0,19.574541
0,0,1248000,100%,raw-l2d-tlb-wr,0,19.574541
0,0,1248000,100%,raw-l2i-cache,0,19.574541
0,0,1248000,100%,raw-l2i-cache-lmiss,0,19.600750
0,0,1248000,100%,raw-l2i-cache-refill,0,19.600750
0,0,1248000,100%,raw-l2i-tlb,0,19.600750
0,0,1248000,100%,raw-l2i-tlb-refill,0,19.600750
0,0,1248000,100%,raw-l3d-cache,"103,419,400",19.600750
0,0,1248000,100%,raw-l3d-cache-allocate,"55,657,219",19.600750
0,0,1248000,100%,raw-l3d-cache-inval,0,19.596769
0,0,1248000,100%,raw-l3d-cache-lmiss-rd,0,19.596769
0,0,1248000,100%,raw-l3d-cache-rd,"47,715,144",19.596769
0,0,1248000,100%,raw-l3d-cache-refill,"13,965,492",19.596769
0,0,1248000,100%,raw-l3d-cache-refill-rd,"13,965,492",19.596769
0,0,1248000,100%,raw-l3d-cache-refill-wr,0,19.596769
0,0,1248000,100%,raw-l3d-cache-wb,0,19.599484
0,0,1248000,100%,raw-l3d-cache-wb-clean,0,19.599484
0,0,1248000,100%,raw-l3d-cache-wb-victim,0,19.599484
0,0,1248000,100%,raw-l3d-cache-wr,0,19.599484
0,0,1248000,100%,raw-ld-retired,"5,264,405,884",19.599484
0,0,1248000,100%,raw-ld-spec,"5,646,917,107",19.599484
0,0,1248000,100%,raw-ldrex-spec,0,19.607551
0,0,1248000,100%,raw-ldst-spec,"7,186,824,193",19.607551
0,0,1248000,100%,raw-ll-cache,0,19.607551
0,0,1248000,100%,raw-ll-cache-miss,0,19.607551
0,0,1248000,100%,raw-ll-cache-miss-rd,"13,932,961",19.607551
0,0,1248000,100%,raw-ll-cache-rd,"48,394,802",19.607551
0,0,1248000,100%,raw-mem-access,"7,335,738,030",19.624948
0,0,1248000,100%,raw-mem-access-rd,"5,856,748,735",19.624948
0,0,1248000,100%,raw-mem-access-wr,"1,478,989,295",19.624948
0,0,1248000,100%,raw-memory-error,0,19.624948
0,0,1248000,100%,raw-op-retired,0,19.624948
0,0,1248000,100%,raw-op-spec,0,19.624948
0,0,1248000,100%,raw-pc-write-retired,"2,184,589,703",19.623173
0,0,1248000,100%,raw-pc-write-spec,"3,809,161,953",19.623173
0,0,1248000,100%,raw-rc-ld-spec,0,19.623173
0,0,1248000,100%,raw-rc-st-spec,0,19.623173
0,0,1248000,100%,raw-remote-access,0,19.623173
0,0,1248000,100%,raw-remote-access-rd,0,19.623173
0,0,1248000,100%,raw-sample-collision,0,19.643694
0,0,1248000,100%,raw-sample-feed,0,19.643694
0,0,1248000,100%,raw-sample-filtrate,0,19.643694
0,0,1248000,100%,raw-sample-pop,0,19.643694
0,0,1248000,100%,raw-st-retired,"1,474,296,302",19.643694
0,0,1248000,100%,raw-st-spec,"1,539,941,088",19.643694
0,0,1248000,100%,raw-stall,0,19.616166
0,0,1248000,100%,raw-stall-backend,"6,132,762,386",19.616166
0,0,1248000,100%,raw-stall-backend-mem,0,19.616166
0,0,1248000,100%,raw-stall-frontend,"1,844,390,596",19.616166
0,0,1248000,100%,raw-stall-slot,0,19.616166
0,0,1248000,100%,raw-stall-slot-backend,0,19.616166
0,0,1248000,100%,raw-stall-slot-frontend,0,19.607429
0,0,1248000,100%,raw-strex-fail-spec,0,19.607429
0,0,1248000,100%,raw-strex-pass-spec,0,19.607429
0,0,1248000,100%,raw-strex-spec,0,19.607429
0,0,1248000,100%,raw-sve-inst-retired,0,19.607429
0,0,1248000,100%,raw-sve-inst-spec,0,19.607429
0,0,1248000,100%,raw-sw-incr,0,19.654867
0,0,1248000,100%,raw-ttbr-write-retired,6,19.654867
0,0,1248000,100%,raw-unaligned-ld-spec,0,19.654867
0,0,1248000,100%,raw-unaligned-ldst-retired,"12,087,620",19.654867
0,0,1248000,100%,raw-unaligned-ldst-spec,0,19.654867
0,0,1248000,100%,raw-unaligned-st-spec,0,19.654867
0,0,1248000,100%,raw-vfp-spec,"62,564,084",19.621538
0,0,1804800,100%,raw-ase-spec,"35,906,597",13.730769
0,0,1804800,100%,raw-br-immed-retired,"3,025,808,838",13.730769
0,0,1804800,100%,raw-br-immed-spec,"3,025,808,838",13.730769
0,0,1804800,100%,raw-br-indirect-spec,"1,815,982",13.730769
0,0,1804800,100%,raw-br-mis-pred,"404,434,237",13.730769
0,0,1804800,100%,raw-br-mis-pred-retired,"404,492,573",13.730769
0,0,1804800,100%,raw-br-pred,"2,867,743,602",13.732216
