setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,"1,736",12.384169
0,0,300000,100%,raw-br-immed-retired,"328,858,980",12.384169
0,0,300000,100%,raw-br-immed-spec,"328,858,980",12.384169
0,0,300000,100%,raw-br-indirect-spec,"201,686",12.384169
0,0,300000,100%,raw-br-mis-pred,"990,415",12.384169
0,0,300000,100%,raw-br-mis-pred-retired,"995,914",12.384169
0,0,300000,100%,raw-br-pred,"273,262,118",12.410625
0,0,300000,100%,raw-br-retired,"418,664,390",12.410625
0,0,300000,100%,raw-br-return-retired,"89,289,909",12.410625
0,0,300000,100%,raw-br-return-spec,"89,289,909",12.410625
0,0,300000,100%,raw-bus-access,"10,607,983",12.410625
0,0,300000,100%,raw-bus-access-normal,0,12.410625
0,0,300000,100%,raw-bus-access-not-shared,0,12.403122
0,0,300000,100%,raw-bus-access-periph,0,12.403122
0,0,300000,100%,raw-bus-access-rd,"4,425,126",12.403122
0,0,300000,100%,raw-bus-access-shared,0,12.403122
0,0,300000,100%,raw-bus-access-wr,"5,958,366",12.403122
0,0,300000,100%,raw-bus-cycles,"3,704,996,787",12.403122
0,0,300000,100%,raw-cid-write-retired,0,12.394230
0,0,300000,100%,raw-cnt-cycles,0,12.394230
0,0,300000,100%,raw-cpu-cycles,"3,702,952,339",12.394230
0,0,300000,100%,raw-crypto-spec,0,12.394230
0,0,300000,100%,raw-dmb-spec,0,12.394230
0,0,300000,100%,raw-dp-spec,"1,433,488,153",12.410543
0,0,300000,100%,raw-dsb-spec,0,12.410543
0,0,300000,100%,raw-dtlb-walk,254,12.410543
0,0,300000,100%,raw-exc-dabort,0,12.410543
0,0,300000,100%,raw-exc-fiq,2,12.410543
0,0,300000,100%,raw-exc-hvc,0,12.410543
0,0,300000,100%,raw-exc-irq,"4,968",12.386502
0,0,300000,100%,raw-exc-pabort,0,12.386502
0,0,300000,100%,raw-exc-return,"5,055",12.386502
0,0,300000,100%,raw-exc-smc,0,12.386502
0,0,300000,100%,raw-exc-svc,0,12.386502
0,0,300000,100%,raw-exc-taken,"5,057",12.386502
0,0,300000,100%,raw-exc-trap-dabort,0,12.389205
0,0,300000,100%,raw-exc-trap-fiq,0,12.389205
0,0,300000,100%,raw-exc-trap-irq,0,12.389205
0,0,300000,100%,raw-exc-trap-other,0,12.389205
0,0,300000,100%,raw-exc-trap-pabort,0,12.389205
0,0,300000,100%,raw-exc-undef,0,12.389205
0,0,300000,100%,raw-inst-retired,"3,518,189,079",12.382905
0,0,300000,100%,raw-inst-spec,"3,521,036,383",12.382905
0,0,300000,100%,raw-isb-spec,0,12.382905
0,0,300000,100%,raw-itlb-walk,103,12.382905
0,0,300000,100%,raw-l1d-cache,"1,279,695,690",12.382905
0,0,300000,100%,raw-l1d-cache-allocate,0,12.382905
0,0,300000,100%,raw-l1d-cache-inval,0,12.418822
0,0,300000,100%,raw-l1d-cache-lmiss-rd,0,12.418822
0,0,300000,100%,raw-l1d-cache-rd,"1,178,137,436",12.418822
0,0,300000,100%,raw-l1d-cache-refill,"982,507",12.418822
0,0,300000,100%,raw-l1d-cache-refill-inner,"984,956",12.418822
0,0,300000,100%,raw-l1d-cache-refill-outer,"3,261",12.418822
0,0,300000,100%,raw-l1d-cache-refill-rd,"896,894",12.388159
0,0,300000,100%,raw-l1d-cache-refill-wr,"85,195",12.388159
0,0,300000,100%,raw-l1d-cache-wb,"1,047,448",12.388159
0,0,300000,100%,raw-l1d-cache-wb-clean,0,12.388159
0,0,300000,100%,raw-l1d-cache-wb-victim,0,12.388159
0,0,300000,100%,raw-l1d-cache-wr,"101,934,708",12.388159
0,0,300000,100%,raw-l1d-tlb,"1,274,267,524",12.384800
0,0,300000,100%,raw-l1d-tlb-rd,0,12.384800
0,0,300000,100%,raw-l1d-tlb-refill,"1,256,231",12.384800
0,0,300000,100%,raw-l1d-tlb-refill-rd,0,12.384800
0,0,300000,100%,raw-l1d-tlb-refill-wr,0,12.384800
0,0,300000,100%,raw-l1d-tlb-wr,0,12.384800
0,0,300000,100%,raw-l1i-cache,"1,943,660,005",12.406464
0,0,300000,100%,raw-l1i-cache-lmiss,0,12.406464
0,0,300000,100%,raw-l1i-cache-refill,"2,295,085",12.406464
0,0,300000,100%,raw-l1i-tlb,"1,979,518,075",12.406464
0,0,300000,100%,raw-l1i-tlb-refill,"81,428",12.406464
0,0,300000,100%,raw-l2d-cache,"5,566,671",12.406464
0,0,300000,100%,raw-l2d-cache-allocate,"841,035",12.391492
0,0,300000,100%,raw-l2d-cache-inval,0,12.391492
0,0,300000,100%,raw-l2d-cache-lmiss-rd,0,12.391492
0,0,300000,100%,raw-l2d-cache-rd,"4,468,023",12.391492
0,0,300000,100%,raw-l2d-cache-refill,"1,079,489",12.391492
0,0,300000,100%,raw-l2d-cache-refill-rd,"1,079,436",12.391492
0,0,300000,100%,raw-l2d-cache-refill-wr,50,12.388373
0,0,300000,100%,raw-l2d-cache-wb,"1,145,851",12.388373
