setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,128,15.516993
0,0,300000,100%,raw-br-immed-retired,"132,432,072",15.516993
0,0,300000,100%,raw-br-immed-spec,"132,432,072",15.516993
0,0,300000,100%,raw-br-indirect-spec,"811,616",15.516993
0,0,300000,100%,raw-br-mis-pred,"1,954,412",15.516993
0,0,300000,100%,raw-br-mis-pred-retired,"2,212,716",15.516993
0,0,300000,100%,raw-br-pred,"105,046,542",14.869281
0,0,300000,100%,raw-br-retired,"114,905,481",14.869281
0,0,300000,100%,raw-br-return-retired,"4,394,552",14.869281
0,0,300000,100%,raw-br-return-spec,"4,394,552",14.869281
0,0,300000,100%,raw-bus-access,"966,919,503",14.869281
0,0,300000,100%,raw-bus-access-normal,0,14.869281
0,0,300000,100%,raw-bus-access-not-shared,0,14.858878
0,0,300000,100%,raw-bus-access-periph,0,14.858878
0,0,300000,100%,raw-bus-access-rd,"466,409,195",14.858878
0,0,300000,100%,raw-bus-access-shared,0,14.858878
0,0,300000,100%,raw-bus-access-wr,"500,360,918",14.858878
0,0,300000,100%,raw-bus-cycles,"4,441,731,575",14.858878
0,0,300000,100%,raw-cid-write-retired,31,14.870286
0,0,300000,100%,raw-cnt-cycles,0,14.870286
0,0,300000,100%,raw-cpu-cycles,"4,446,196,388",14.870286
0,0,300000,100%,raw-crypto-spec,0,14.870286
0,0,300000,100%,raw-dmb-spec,0,14.870286
0,0,300000,100%,raw-dp-spec,"2,081,485,043",15.559475
0,0,300000,100%,raw-dsb-spec,0,15.559475
0,0,300000,100%,raw-dtlb-walk,"1,878,938",15.559475
0,0,300000,100%,raw-exc-dabort,0,15.559475
0,0,300000,100%,raw-exc-fiq,2,15.559475
0,0,300000,100%,raw-exc-hvc,0,15.559475
0,0,300000,100%,raw-exc-irq,"5,960",14.865578
0,0,300000,100%,raw-exc-pabort,0,14.865578
0,0,300000,100%,raw-exc-return,"192,767",14.865578
0,0,300000,100%,raw-exc-smc,0,14.865578
0,0,300000,100%,raw-exc-svc,0,14.865578
0,0,300000,100%,raw-exc-taken,"192,769",14.865578
0,0,300000,100%,raw-exc-trap-dabort,0,15.524444
0,0,300000,100%,raw-exc-trap-fiq,0,15.524444
0,0,300000,100%,raw-exc-trap-irq,0,15.524444
0,0,300000,100%,raw-exc-trap-other,0,15.524444
0,0,300000,100%,raw-exc-trap-pabort,0,15.524444
0,0,300000,100%,raw-exc-undef,0,15.524444
0,0,300000,100%,raw-inst-retired,"4,231,804,284",15.438843
0,0,300000,100%,raw-inst-spec,"4,242,985,931",15.438843
0,0,300000,100%,raw-isb-spec,0,15.438843
0,0,300000,100%,raw-itlb-walk,"21,743",15.438843
0,0,300000,100%,raw-l1d-cache,"2,023,092,515",15.438843
0,0,300000,100%,raw-l1d-cache-allocate,0,15.438843
0,0,300000,100%,raw-l1d-cache-inval,0,15.456000
0,0,300000,100%,raw-l1d-cache-lmiss-rd,0,15.456000
0,0,300000,100%,raw-l1d-cache-rd,"1,994,897,399",15.456000
