setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,124,10.040146
0,0,300000,100%,raw-br-immed-retired,"262,609,454",10.040146
0,0,300000,100%,raw-br-immed-spec,"262,609,454",10.040146
0,0,300000,100%,raw-br-indirect-spec,"856,727",10.040146
0,0,300000,100%,raw-br-mis-pred,"2,426,892",10.040146
0,0,300000,100%,raw-br-mis-pred-retired,"2,728,184",10.040146
0,0,300000,100%,raw-br-pred,"273,876,840",10.610652
0,0,300000,100%,raw-br-retired,"292,547,402",10.610652
0,0,300000,100%,raw-br-return-retired,"8,262,333",10.610652
0,0,300000,100%,raw-br-return-spec,"8,262,333",10.610652
0,0,300000,100%,raw-bus-access,"1,403,745,764",10.610652
0,0,300000,100%,raw-bus-access-normal,0,10.610652
0,0,300000,100%,raw-bus-access-not-shared,0,10.617272
0,0,300000,100%,raw-bus-access-periph,0,10.617272
0,0,300000,100%,raw-bus-access-rd,"470,275,810",10.617272
0,0,300000,100%,raw-bus-access-shared,0,10.617272
0,0,300000,100%,raw-bus-access-wr,"936,848,952",10.617272
0,0,300000,100%,raw-bus-cycles,"3,167,914,843",10.617272
0,0,300000,100%,raw-cid-write-retired,21,10.650382
0,0,300000,100%,raw-cnt-cycles,0,10.650382
0,0,300000,100%,raw-cpu-cycles,"3,178,061,391",10.650382
0,0,300000,100%,raw-crypto-spec,0,10.650382
0,0,300000,100%,raw-dmb-spec,0,10.650382
0,0,300000,100%,raw-dp-spec,"574,152,567",10.058000
0,0,300000,100%,raw-dsb-spec,0,10.058000
0,0,300000,100%,raw-dtlb-walk,"3,584,137",10.058000
0,0,300000,100%,raw-exc-dabort,0,10.058000
0,0,300000,100%,raw-exc-fiq,2,10.058000
0,0,300000,100%,raw-exc-hvc,0,10.058000
0,0,300000,100%,raw-exc-irq,"3,018",10.031819
0,0,300000,100%,raw-exc-pabort,0,10.031819
0,0,300000,100%,raw-exc-return,"265,576",10.031819
0,0,300000,100%,raw-exc-smc,0,10.031819
0,0,300000,100%,raw-exc-svc,0,10.031819
0,0,300000,100%,raw-exc-taken,"265,577",10.031819
0,0,300000,100%,raw-exc-trap-dabort,0,10.001823
0,0,300000,100%,raw-exc-trap-fiq,0,10.001823
0,0,300000,100%,raw-exc-trap-irq,0,10.001823
0,0,300000,100%,raw-exc-trap-other,0,10.001823
0,0,300000,100%,raw-exc-trap-pabort,0,10.001823
0,0,300000,100%,raw-exc-undef,0,10.001823
0,0,300000,100%,raw-inst-retired,"2,000,314,217",10.005745
0,0,300000,100%,raw-inst-spec,"2,015,395,523",10.005745
0,0,300000,100%,raw-isb-spec,0,10.005745
0,0,300000,100%,raw-itlb-walk,"13,600",10.005745
0,0,300000,100%,raw-l1d-cache,"1,166,986,419",10.005745
0,0,300000,100%,raw-l1d-cache-allocate,0,10.005745
0,0,300000,100%,raw-l1d-cache-inval,0,10.622529
0,0,300000,100%,raw-l1d-cache-lmiss-rd,0,10.622529
0,0,300000,100%,raw-l1d-cache-rd,"1,195,189,707",10.622529
0,0,300000,100%,raw-l1d-cache-refill,"10,307,821",10.622529
0,0,300000,100%,raw-l1d-cache-refill-inner,"8,434,230",10.622529
0,0,300000,100%,raw-l1d-cache-refill-outer,"2,873,494",10.622529
0,0,300000,100%,raw-l1d-cache-refill-rd,"6,475,762",10.024837
0,0,300000,100%,raw-l1d-cache-refill-wr,"3,780,042",10.024837
0,0,300000,100%,raw-l1d-cache-wb,"120,213,737",10.024837
0,0,300000,100%,raw-l1d-cache-wb-clean,0,10.024837
0,0,300000,100%,raw-l1d-cache-wb-victim,0,10.024837
0,0,300000,100%,raw-l1d-cache-wr,"52,319,608",10.024837
0,0,300000,100%,raw-l1d-tlb,"1,166,516,249",10.013515
0,0,300000,100%,raw-l1d-tlb-rd,0,10.013515
0,0,300000,100%,raw-l1d-tlb-refill,"13,306,176",10.013515
0,0,300000,100%,raw-l1d-tlb-refill-rd,0,10.013515
0,0,300000,100%,raw-l1d-tlb-refill-wr,0,10.013515
0,0,300000,100%,raw-l1d-tlb-wr,0,10.013515
0,0,300000,100%,raw-l1i-cache,"1,224,411,163",10.690054
0,0,300000,100%,raw-l1i-cache-lmiss,0,10.690054
0,0,300000,100%,raw-l1i-cache-refill,"1,993,927",10.690054
0,0,300000,100%,raw-l1i-tlb,"1,291,551,456",10.690054
0,0,300000,100%,raw-l1i-tlb-refill,"468,543",10.690054
0,0,300000,100%,raw-l2d-cache,"376,369,810",10.690054
0,0,300000,100%,raw-l2d-cache-allocate,"150,675,423",10.034312
0,0,300000,100%,raw-l2d-cache-inval,0,10.034312
0,0,300000,100%,raw-l2d-cache-lmiss-rd,0,10.034312
0,0,300000,100%,raw-l2d-cache-rd,"124,325,634",10.034312
0,0,300000,100%,raw-l2d-cache-refill,"117,039,798",10.034312
0,0,300000,100%,raw-l2d-cache-refill-rd,"115,753,941",10.034312
0,0,300000,100%,raw-l2d-cache-refill-wr,"1,292,080",10.004771
0,0,300000,100%,raw-l2d-cache-wb,"131,839,223",10.004771
0,0,300000,100%,raw-l2d-cache-wb-clean,0,10.004771
0,0,300000,100%,raw-l2d-cache-wb-victim,0,10.004771
