setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,124,12.913667
0,0,300000,100%,raw-br-immed-retired,"191,298,624",12.913667
0,0,300000,100%,raw-br-immed-spec,"191,298,624",12.913667
0,0,300000,100%,raw-br-indirect-spec,"1,071,112",12.913667
0,0,300000,100%,raw-br-mis-pred,"2,530,437",12.913667
0,0,300000,100%,raw-br-mis-pred-retired,"2,832,301",12.913667
0,0,300000,100%,raw-br-pred,"151,185,517",12.288583
0,0,300000,100%,raw-br-retired,"175,613,292",12.288583
0,0,300000,100%,raw-br-return-retired,"7,910,359",12.288583
0,0,300000,100%,raw-br-return-spec,"7,910,359",12.288583
0,0,300000,100%,raw-bus-access,"1,815,971,392",12.288583
0,0,300000,100%,raw-bus-access-normal,0,12.288583
0,0,300000,100%,raw-bus-access-not-shared,0,12.336404
0,0,300000,100%,raw-bus-access-periph,0,12.336404
0,0,300000,100%,raw-bus-access-rd,"875,750,609",12.336404
0,0,300000,100%,raw-bus-access-shared,0,12.336404
0,0,300000,100%,raw-bus-access-wr,"939,186,936",12.336404
0,0,300000,100%,raw-bus-cycles,"3,681,391,616",12.336404
0,0,300000,100%,raw-cid-write-retired,25,12.983056
0,0,300000,100%,raw-cnt-cycles,0,12.983056
0,0,300000,100%,raw-cpu-cycles,"3,875,103,542",12.983056
0,0,300000,100%,raw-crypto-spec,0,12.983056
0,0,300000,100%,raw-dmb-spec,0,12.983056
0,0,300000,100%,raw-dp-spec,"508,242,348",12.313939
0,0,300000,100%,raw-dsb-spec,0,12.313939
0,0,300000,100%,raw-dtlb-walk,"3,599,332",12.313939
0,0,300000,100%,raw-exc-dabort,0,12.313939
0,0,300000,100%,raw-exc-fiq,1,12.313939
0,0,300000,100%,raw-exc-hvc,0,12.313939
0,0,300000,100%,raw-exc-irq,"3,709",12.339876
0,0,300000,100%,raw-exc-pabort,0,12.339876
0,0,300000,100%,raw-exc-return,"266,266",12.339876
0,0,300000,100%,raw-exc-smc,0,12.339876
0,0,300000,100%,raw-exc-svc,0,12.339876
0,0,300000,100%,raw-exc-taken,"266,268",12.339876
0,0,300000,100%,raw-exc-trap-dabort,0,12.305793
0,0,300000,100%,raw-exc-trap-fiq,0,12.305793
0,0,300000,100%,raw-exc-trap-irq,0,12.305793
0,0,300000,100%,raw-exc-trap-other,0,12.305793
0,0,300000,100%,raw-exc-trap-pabort,0,12.305793
0,0,300000,100%,raw-exc-undef,0,12.305793
0,0,300000,100%,raw-inst-retired,"1,989,625,960",12.922603
0,0,300000,100%,raw-inst-spec,"2,005,598,541",12.922603
0,0,300000,100%,raw-isb-spec,0,12.922603
0,0,300000,100%,raw-itlb-walk,"17,092",12.922603
0,0,300000,100%,raw-l1d-cache,"926,199,751",12.922603
0,0,300000,100%,raw-l1d-cache-allocate,0,12.922603
0,0,300000,100%,raw-l1d-cache-inval,0,12.918877
0,0,300000,100%,raw-l1d-cache-lmiss-rd,0,12.918877
0,0,300000,100%,raw-l1d-cache-rd,"764,992,605",12.918877
0,0,300000,100%,raw-l1d-cache-refill,"54,370,364",12.918877
0,0,300000,100%,raw-l1d-cache-refill-inner,"45,551,091",12.918877
0,0,300000,100%,raw-l1d-cache-refill-outer,"13,865,158",12.918877
0,0,300000,100%,raw-l1d-cache-refill-rd,"30,334,506",12.303644
0,0,300000,100%,raw-l1d-cache-refill-wr,"23,725,517",12.303644
0,0,300000,100%,raw-l1d-cache-wb,"252,436,053",12.303644
0,0,300000,100%,raw-l1d-cache-wb-clean,0,12.303644
0,0,300000,100%,raw-l1d-cache-wb-victim,0,12.303644
0,0,300000,100%,raw-l1d-cache-wr,"160,915,705",12.303644
0,0,300000,100%,raw-l1d-tlb,"841,940,870",12.275255
0,0,300000,100%,raw-l1d-tlb-rd,0,12.275255
0,0,300000,100%,raw-l1d-tlb-refill,"13,451,216",12.275255
0,0,300000,100%,raw-l1d-tlb-refill-rd,0,12.275255
0,0,300000,100%,raw-l1d-tlb-refill-wr,0,12.275255
0,0,300000,100%,raw-l1d-tlb-wr,0,12.275255
0,0,300000,100%,raw-l1i-cache,"1,060,072,638",12.283247
0,0,300000,100%,raw-l1i-cache-lmiss,0,12.283247
0,0,300000,100%,raw-l1i-cache-refill,"2,238,791",12.283247
0,0,300000,100%,raw-l1i-tlb,"1,140,196,331",12.283247
0,0,300000,100%,raw-l1i-tlb-refill,"452,431",12.283247
0,0,300000,100%,raw-l2d-cache,"532,015,529",12.283247
0,0,300000,100%,raw-l2d-cache-allocate,"274,645,213",12.299223
0,0,300000,100%,raw-l2d-cache-inval,0,12.299223
0,0,300000,100%,raw-l2d-cache-lmiss-rd,0,12.299223
0,0,300000,100%,raw-l2d-cache-rd,"256,473,691",12.299223
0,0,300000,100%,raw-l2d-cache-refill,"218,872,025",12.299223
0,0,300000,100%,raw-l2d-cache-refill-rd,"217,958,886",12.299223
0,0,300000,100%,raw-l2d-cache-refill-wr,"898,189",12.930260
0,0,300000,100%,raw-l2d-cache-wb,"232,727,017",12.930260
0,0,300000,100%,raw-l2d-cache-wb-clean,0,12.930260
0,0,300000,100%,raw-l2d-cache-wb-victim,0,12.930260
0,0,300000,100%,raw-l2d-cache-wr,"275,891,503",12.930260
0,0,300000,100%,raw-l2d-tlb,"16,669,318",12.930260
0,0,300000,100%,raw-l2d-tlb-rd,0,12.290737
0,0,300000,100%,raw-l2d-tlb-refill,"3,617,935",12.290737
0,0,300000,100%,raw-l2d-tlb-refill-rd,0,12.290737
0,0,300000,100%,raw-l2d-tlb-refill-wr,0,12.290737
0,0,300000,100%,raw-l2d-tlb-wr,0,12.290737
0,0,300000,100%,raw-l2i-cache,0,12.290737
0,0,300000,100%,raw-l2i-cache-lmiss,0,12.958721
0,0,300000,100%,raw-l2i-cache-refill,0,12.958721
0,0,300000,100%,raw-l2i-tlb,0,12.958721
0,0,300000,100%,raw-l2i-tlb-refill,0,12.958721
0,0,300000,100%,raw-l3d-cache,"451,793,162",12.958721
0,0,300000,100%,raw-l3d-cache-allocate,"232,282,710",12.958721
0,0,300000,100%,raw-l3d-cache-inval,0,12.952718
0,0,300000,100%,raw-l3d-cache-lmiss-rd,0,12.952718
0,0,300000,100%,raw-l3d-cache-rd,"219,281,682",12.952718
0,0,300000,100%,raw-l3d-cache-refill,"110,918,751",12.952718
0,0,300000,100%,raw-l3d-cache-refill-rd,"110,918,751",12.952718
0,0,300000,100%,raw-l3d-cache-refill-wr,0,12.952718
0,0,300000,100%,raw-l3d-cache-wb,0,12.283052
0,0,300000,100%,raw-l3d-cache-wb-clean,0,12.283052
0,0,300000,100%,raw-l3d-cache-wb-victim,0,12.283052
0,0,300000,100%,raw-l3d-cache-wr,0,12.283052
0,0,300000,100%,raw-ld-retired,"650,526,309",12.283052
0,0,300000,100%,raw-ld-spec,"651,375,276",12.283052
0,0,300000,100%,raw-ldrex-spec,0,12.328664
0,0,300000,100%,raw-ldst-spec,"1,202,432,896",12.328664
0,0,300000,100%,raw-ll-cache,0,12.328664
0,0,300000,100%,raw-ll-cache-miss,0,12.328664
0,0,300000,100%,raw-ll-cache-miss-rd,"111,825,320",12.328664
0,0,300000,100%,raw-ll-cache-rd,"218,864,249",12.328664
0,0,300000,100%,raw-mem-access,"1,302,787,764",12.327276
0,0,300000,100%,raw-mem-access-rd,"679,387,165",12.327276
0,0,300000,100%,raw-mem-access-wr,"623,400,599",12.327276
0,0,300000,100%,raw-memory-error,0,12.327276
0,0,300000,100%,raw-op-retired,0,12.327276
0,0,300000,100%,raw-op-spec,0,12.327276
0,0,300000,100%,raw-pc-write-retired,"135,360,328",12.983154
0,0,300000,100%,raw-pc-write-spec,"206,783,109",12.983154
