setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,125,10.662664
0,0,300000,100%,raw-br-immed-retired,"284,459,656",10.662664
0,0,300000,100%,raw-br-immed-spec,"284,459,656",10.662664
0,0,300000,100%,raw-br-indirect-spec,"1,077,531",10.662664
0,0,300000,100%,raw-br-mis-pred,"2,532,702",10.662664
0,0,300000,100%,raw-br-mis-pred-retired,"2,825,550",10.662664
0,0,300000,100%,raw-br-pred,"275,701,529",10.659284
0,0,300000,100%,raw-br-retired,"294,185,292",10.659284
0,0,300000,100%,raw-br-return-retired,"8,398,068",10.659284
0,0,300000,100%,raw-br-return-spec,"8,398,068",10.659284
0,0,300000,100%,raw-bus-access,"1,407,266,832",10.659284
0,0,300000,100%,raw-bus-access-normal,0,10.659284
0,0,300000,100%,raw-bus-access-not-shared,0,10.655803
0,0,300000,100%,raw-bus-access-periph,0,10.655803
0,0,300000,100%,raw-bus-access-rd,"470,196,296",10.655803
0,0,300000,100%,raw-bus-access-shared,0,10.655803
0,0,300000,100%,raw-bus-access-wr,"936,306,840",10.655803
0,0,300000,100%,raw-bus-cycles,"3,178,199,856",10.655803
0,0,300000,100%,raw-cid-write-retired,21,10.764347
0,0,300000,100%,raw-cnt-cycles,0,10.764347
0,0,300000,100%,raw-cpu-cycles,"3,209,137,477",10.764347
0,0,300000,100%,raw-crypto-spec,0,10.764347
0,0,300000,100%,raw-dmb-spec,0,10.764347
0,0,300000,100%,raw-dp-spec,"573,994,955",10.084347
0,0,300000,100%,raw-dsb-spec,0,10.084347
0,0,300000,100%,raw-dtlb-walk,"3,587,136",10.084347
0,0,300000,100%,raw-exc-dabort,0,10.084347
0,0,300000,100%,raw-exc-fiq,2,10.084347
0,0,300000,100%,raw-exc-hvc,0,10.084347
0,0,300000,100%,raw-exc-irq,"3,069",10.141526
0,0,300000,100%,raw-exc-pabort,0,10.141526
0,0,300000,100%,raw-exc-return,"265,627",10.141526
0,0,300000,100%,raw-exc-smc,0,10.141526
0,0,300000,100%,raw-exc-svc,0,10.141526
0,0,300000,100%,raw-exc-taken,"265,628",10.141526
0,0,300000,100%,raw-exc-trap-dabort,0,10.082950
0,0,300000,100%,raw-exc-trap-fiq,0,10.082950
0,0,300000,100%,raw-exc-trap-irq,0,10.082950
0,0,300000,100%,raw-exc-trap-other,0,10.082950
0,0,300000,100%,raw-exc-trap-pabort,0,10.082950
0,0,300000,100%,raw-exc-undef,0,10.082950
0,0,300000,100%,raw-inst-retired,"2,146,964,554",10.678028
0,0,300000,100%,raw-inst-spec,"2,162,441,840",10.678028
0,0,300000,100%,raw-isb-spec,0,10.678028
0,0,300000,100%,raw-itlb-walk,"14,221",10.678028
0,0,300000,100%,raw-l1d-cache,"1,250,645,881",10.678028
0,0,300000,100%,raw-l1d-cache-allocate,0,10.678028
0,0,300000,100%,raw-l1d-cache-inval,0,10.084653
0,0,300000,100%,raw-l1d-cache-lmiss-rd,0,10.084653
0,0,300000,100%,raw-l1d-cache-rd,"1,117,394,859",10.084653
0,0,300000,100%,raw-l1d-cache-refill,"10,214,994",10.084653
0,0,300000,100%,raw-l1d-cache-refill-inner,"8,323,673",10.084653
0,0,300000,100%,raw-l1d-cache-refill-outer,"2,937,179",10.084653
0,0,300000,100%,raw-l1d-cache-refill-rd,"7,778,075",10.738554
0,0,300000,100%,raw-l1d-cache-refill-wr,"3,829,608",10.738554
0,0,300000,100%,raw-l1d-cache-wb,"121,233,600",10.738554
0,0,300000,100%,raw-l1d-cache-wb-clean,0,10.738554
0,0,300000,100%,raw-l1d-cache-wb-victim,0,10.738554
0,0,300000,100%,raw-l1d-cache-wr,"53,671,733",10.738554
0,0,300000,100%,raw-l1d-tlb,"1,767,823,732",14.569902
0,0,300000,100%,raw-l1d-tlb-rd,0,14.569902
0,0,300000,100%,raw-l1d-tlb-refill,"14,468,964",14.569902
0,0,300000,100%,raw-l1d-tlb-refill-rd,0,14.569902
0,0,300000,100%,raw-l1d-tlb-refill-wr,0,14.569902
0,0,300000,100%,raw-l1d-tlb-wr,0,14.569902
