setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,123,13.291294
0,0,300000,100%,raw-br-immed-retired,"168,573,418",13.291294
0,0,300000,100%,raw-br-immed-spec,"168,573,418",13.291294
0,0,300000,100%,raw-br-indirect-spec,"893,466",13.291294
0,0,300000,100%,raw-br-mis-pred,"2,709,614",13.291294
0,0,300000,100%,raw-br-mis-pred-retired,"3,003,908",13.291294
0,0,300000,100%,raw-br-pred,"176,099,446",13.945927
0,0,300000,100%,raw-br-retired,"201,745,028",13.945927
0,0,300000,100%,raw-br-return-retired,"8,535,274",13.945927
0,0,300000,100%,raw-br-return-spec,"8,535,274",13.945927
0,0,300000,100%,raw-bus-access,"1,417,324,933",13.945927
0,0,300000,100%,raw-bus-access-normal,0,13.945927
0,0,300000,100%,raw-bus-access-not-shared,0,13.929535
0,0,300000,100%,raw-bus-access-periph,0,13.929535
0,0,300000,100%,raw-bus-access-rd,"475,514,851",13.929535
0,0,300000,100%,raw-bus-access-shared,0,13.929535
0,0,300000,100%,raw-bus-access-wr,"941,837,607",13.929535
0,0,300000,100%,raw-bus-cycles,"4,155,337,485",13.929535
0,0,300000,100%,raw-cid-write-retired,27,13.278151
0,0,300000,100%,raw-cnt-cycles,0,13.278151
0,0,300000,100%,raw-cpu-cycles,"3,959,449,842",13.278151
0,0,300000,100%,raw-crypto-spec,0,13.278151
0,0,300000,100%,raw-dmb-spec,0,13.278151
0,0,300000,100%,raw-dp-spec,"546,676,462",13.933878
0,0,300000,100%,raw-dsb-spec,0,13.933878
0,0,300000,100%,raw-dtlb-walk,"3,597,267",13.933878
0,0,300000,100%,raw-exc-dabort,0,13.933878
0,0,300000,100%,raw-exc-fiq,2,13.933878
0,0,300000,100%,raw-exc-hvc,0,13.933878
0,0,300000,100%,raw-exc-irq,"4,262",13.951922
0,0,300000,100%,raw-exc-pabort,0,13.951922
0,0,300000,100%,raw-exc-return,"266,900",13.951922
0,0,300000,100%,raw-exc-smc,0,13.951922
0,0,300000,100%,raw-exc-svc,0,13.951922
0,0,300000,100%,raw-exc-taken,"266,902",13.951922
0,0,300000,100%,raw-exc-trap-dabort,0,13.939531
0,0,300000,100%,raw-exc-trap-fiq,0,13.939531
0,0,300000,100%,raw-exc-trap-irq,0,13.939531
0,0,300000,100%,raw-exc-trap-other,0,13.939531
0,0,300000,100%,raw-exc-trap-pabort,0,13.939531
0,0,300000,100%,raw-exc-undef,0,13.939531
0,0,300000,100%,raw-inst-retired,"4,615,660,012",13.934173
0,0,300000,100%,raw-inst-spec,"4,631,952,232",13.934173
0,0,300000,100%,raw-isb-spec,0,13.934173
0,0,300000,100%,raw-itlb-walk,"18,040",13.934173
0,0,300000,100%,raw-l1d-cache,"2,130,922,392",13.934173
0,0,300000,100%,raw-l1d-cache-allocate,0,13.934173
0,0,300000,100%,raw-l1d-cache-inval,0,13.282509
0,0,300000,100%,raw-l1d-cache-lmiss-rd,0,13.282509
0,0,300000,100%,raw-l1d-cache-rd,"1,992,172,973",13.282509
0,0,300000,100%,raw-l1d-cache-refill,"11,435,066",13.282509
0,0,300000,100%,raw-l1d-cache-refill-inner,"8,871,876",13.282509
