setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,124,14.847629
0,0,300000,100%,raw-br-immed-retired,"112,097,683",14.847629
0,0,300000,100%,raw-br-immed-spec,"112,097,683",14.847629
0,0,300000,100%,raw-br-indirect-spec,"635,848",14.847629
0,0,300000,100%,raw-br-mis-pred,"1,860,052",14.847629
0,0,300000,100%,raw-br-mis-pred-retired,"2,011,605",14.847629
0,0,300000,100%,raw-br-pred,"129,871,579",15.451247
0,0,300000,100%,raw-br-retired,"140,365,801",15.451247
0,0,300000,100%,raw-br-return-retired,"5,007,776",15.451247
0,0,300000,100%,raw-br-return-spec,"5,007,776",15.451247
0,0,300000,100%,raw-bus-access,"961,988,205",15.451247
0,0,300000,100%,raw-bus-access-normal,0,15.451247
0,0,300000,100%,raw-bus-access-not-shared,0,19.542621
0,0,300000,100%,raw-bus-access-periph,0,19.542621
0,0,300000,100%,raw-bus-access-rd,"465,198,954",19.542621
0,0,300000,100%,raw-bus-access-shared,0,19.542621
0,0,300000,100%,raw-bus-access-wr,"498,553,690",19.542621
0,0,300000,100%,raw-bus-cycles,"5,831,581,911",19.542621
0,0,300000,100%,raw-cid-write-retired,31,14.850258
0,0,300000,100%,raw-cnt-cycles,0,14.850258
0,0,300000,100%,raw-cpu-cycles,"4,426,794,265",14.850258
0,0,300000,100%,raw-crypto-spec,0,14.850258
0,0,300000,100%,raw-dmb-spec,0,14.850258
0,0,300000,100%,raw-dp-spec,"2,085,809,221",15.440900
0,0,300000,100%,raw-dsb-spec,0,15.440900
0,0,300000,100%,raw-dtlb-walk,"1,878,688",15.440900
0,0,300000,100%,raw-exc-dabort,0,15.440900
0,0,300000,100%,raw-exc-fiq,2,15.440900
0,0,300000,100%,raw-exc-hvc,0,15.440900
0,0,300000,100%,raw-exc-irq,"4,711",15.432018
0,0,300000,100%,raw-exc-pabort,0,15.432018
0,0,300000,100%,raw-exc-return,"136,256",15.432018
0,0,300000,100%,raw-exc-smc,0,15.432018
0,0,300000,100%,raw-exc-svc,0,15.432018
0,0,300000,100%,raw-exc-taken,"136,258",15.432018
0,0,300000,100%,raw-exc-trap-dabort,0,14.830299
0,0,300000,100%,raw-exc-trap-fiq,0,14.830299
0,0,300000,100%,raw-exc-trap-irq,0,14.830299
0,0,300000,100%,raw-exc-trap-other,0,14.830299
0,0,300000,100%,raw-exc-trap-pabort,0,14.830299
0,0,300000,100%,raw-exc-undef,0,14.830299
0,0,300000,100%,raw-inst-retired,"4,240,197,930",15.429381
0,0,300000,100%,raw-inst-spec,"4,249,775,456",15.429381
0,0,300000,100%,raw-isb-spec,0,15.429381
0,0,300000,100%,raw-itlb-walk,"15,349",15.429381
0,0,300000,100%,raw-l1d-cache,"2,020,494,396",15.429381
0,0,300000,100%,raw-l1d-cache-allocate,0,15.429381
0,0,300000,100%,raw-l1d-cache-inval,0,15.436627
0,0,300000,100%,raw-l1d-cache-lmiss-rd,0,15.436627
0,0,300000,100%,raw-l1d-cache-rd,"1,991,609,692",15.436627
0,0,300000,100%,raw-l1d-cache-refill,"5,783,149",15.436627
0,0,300000,100%,raw-l1d-cache-refill-inner,"4,151,482",15.436627
0,0,300000,100%,raw-l1d-cache-refill-outer,"2,153,693",15.436627
0,0,300000,100%,raw-l1d-cache-refill-rd,"3,385,387",15.448658
0,0,300000,100%,raw-l1d-cache-refill-wr,"1,738,489",15.448658
0,0,300000,100%,raw-l1d-cache-wb,"114,605,034",15.448658
0,0,300000,100%,raw-l1d-cache-wb-clean,0,15.448658
0,0,300000,100%,raw-l1d-cache-wb-victim,0,15.448658
0,0,300000,100%,raw-l1d-cache-wr,"28,537,366",15.448658
0,0,300000,100%,raw-l1d-tlb,"2,027,739,111",15.450975
0,0,300000,100%,raw-l1d-tlb-rd,0,15.450975
0,0,300000,100%,raw-l1d-tlb-refill,"7,448,350",15.450975
0,0,300000,100%,raw-l1d-tlb-refill-rd,0,15.450975
0,0,300000,100%,raw-l1d-tlb-refill-wr,0,15.450975
0,0,300000,100%,raw-l1d-tlb-wr,0,15.450975
0,0,300000,100%,raw-l1i-cache,"2,224,413,921",15.457498
0,0,300000,100%,raw-l1i-cache-lmiss,0,15.457498
0,0,300000,100%,raw-l1i-cache-refill,"2,639,399",15.457498
0,0,300000,100%,raw-l1i-tlb,"2,314,139,377",15.457498
0,0,300000,100%,raw-l1i-tlb-refill,"259,893",15.457498
0,0,300000,100%,raw-l2d-cache,"249,441,649",15.457498
0,0,300000,100%,raw-l2d-cache-allocate,"129,415,369",15.417640
0,0,300000,100%,raw-l2d-cache-inval,0,15.417640
0,0,300000,100%,raw-l2d-cache-lmiss-rd,0,15.417640
0,0,300000,100%,raw-l2d-cache-rd,"119,268,471",15.417640
0,0,300000,100%,raw-l2d-cache-refill,"116,086,674",15.417640
0,0,300000,100%,raw-l2d-cache-refill-rd,"115,436,863",15.417640
0,0,300000,100%,raw-l2d-cache-refill-wr,"649,534",15.494446
0,0,300000,100%,raw-l2d-cache-wb,"123,245,615",15.494446
0,0,300000,100%,raw-l2d-cache-wb-clean,0,15.494446
0,0,300000,100%,raw-l2d-cache-wb-victim,0,15.494446
0,0,300000,100%,raw-l2d-cache-wr,"130,324,710",15.494446
0,0,300000,100%,raw-l2d-tlb,"10,597,517",15.494446
0,0,300000,100%,raw-l2d-tlb-rd,0,15.422815
0,0,300000,100%,raw-l2d-tlb-refill,"1,894,858",15.422815
0,0,300000,100%,raw-l2d-tlb-refill-rd,0,15.422815
0,0,300000,100%,raw-l2d-tlb-refill-wr,0,15.422815
0,0,300000,100%,raw-l2d-tlb-wr,0,15.422815
0,0,300000,100%,raw-l2i-cache,0,15.422815
0,0,300000,100%,raw-l2i-cache-lmiss,0,14.851891
0,0,300000,100%,raw-l2i-cache-refill,0,14.851891
0,0,300000,100%,raw-l2i-tlb,0,14.851891
0,0,300000,100%,raw-l2i-tlb-refill,0,14.851891
0,0,300000,100%,raw-l3d-cache,"239,892,430",14.851891
0,0,300000,100%,raw-l3d-cache-allocate,"122,936,135",14.851891
0,0,300000,100%,raw-l3d-cache-inval,0,15.413316
0,0,300000,100%,raw-l3d-cache-lmiss-rd,0,15.413316
0,0,300000,100%,raw-l3d-cache-rd,"116,704,013",15.413316
0,0,300000,100%,raw-l3d-cache-refill,"5,033,518",15.413316
0,0,300000,100%,raw-l3d-cache-refill-rd,"5,033,518",15.413316
0,0,300000,100%,raw-l3d-cache-refill-wr,0,15.413316
0,0,300000,100%,raw-l3d-cache-wb,0,15.433053
0,0,300000,100%,raw-l3d-cache-wb-clean,0,15.433053
0,0,300000,100%,raw-l3d-cache-wb-victim,0,15.433053
0,0,300000,100%,raw-l3d-cache-wr,0,15.433053
0,0,300000,100%,raw-ld-retired,"1,974,993,652",15.433053
0,0,300000,100%,raw-ld-spec,"1,976,350,602",15.433053
0,0,300000,100%,raw-ldrex-spec,0,15.427146
0,0,300000,100%,raw-ldst-spec,"2,043,401,550",15.427146
0,0,300000,100%,raw-ll-cache,0,15.427146
0,0,300000,100%,raw-ll-cache-miss,0,15.427146
