setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,"17,280,645",7.184363
0,0,300000,100%,raw-br-immed-retired,"401,106,086",7.184363
0,0,300000,100%,raw-br-immed-spec,"401,106,086",7.184363
0,0,300000,100%,raw-br-indirect-spec,"60,560,565",7.184363
0,0,300000,100%,raw-br-mis-pred,"4,635,854",7.184363
0,0,300000,100%,raw-br-mis-pred-retired,"4,640,460",7.184363
0,0,300000,100%,raw-br-pred,"521,892,837",7.185762
0,0,300000,100%,raw-br-retired,"522,476,081",7.185762
0,0,300000,100%,raw-br-return-retired,"52,106,616",7.185762
0,0,300000,100%,raw-br-return-spec,"52,106,616",7.185762
0,0,300000,100%,raw-bus-access,"4,455,617",7.185762
0,0,300000,100%,raw-bus-access-normal,0,7.185762
0,0,300000,100%,raw-bus-access-not-shared,0,7.185846
0,0,300000,100%,raw-bus-access-periph,0,7.185846
0,0,300000,100%,raw-bus-access-rd,"2,003,339",7.185846
0,0,300000,100%,raw-bus-access-shared,0,7.185846
0,0,300000,100%,raw-bus-access-wr,"2,420,504",7.185846
0,0,300000,100%,raw-bus-cycles,"2,146,552,574",7.185846
0,0,300000,100%,raw-cid-write-retired,0,7.181318
0,0,300000,100%,raw-cnt-cycles,0,7.181318
0,0,300000,100%,raw-cpu-cycles,"2,145,824,798",7.181318
0,0,300000,100%,raw-crypto-spec,0,7.181318
0,0,300000,100%,raw-dmb-spec,0,7.181318
0,0,300000,100%,raw-dp-spec,"2,561,588,538",7.196507
0,0,300000,100%,raw-dsb-spec,0,7.196507
0,0,300000,100%,raw-dtlb-walk,115,7.196507
0,0,300000,100%,raw-exc-dabort,0,7.196507
0,0,300000,100%,raw-exc-fiq,1,7.196507
0,0,300000,100%,raw-exc-hvc,0,7.196507
0,0,300000,100%,raw-exc-irq,"2,154",7.181105
0,0,300000,100%,raw-exc-pabort,0,7.181105
0,0,300000,100%,raw-exc-return,"2,198",7.181105
0,0,300000,100%,raw-exc-smc,0,7.181105
0,0,300000,100%,raw-exc-svc,0,7.181105
0,0,300000,100%,raw-exc-taken,"2,199",7.181105
0,0,300000,100%,raw-exc-trap-dabort,0,7.182477
0,0,300000,100%,raw-exc-trap-fiq,0,7.182477
0,0,300000,100%,raw-exc-trap-irq,0,7.182477
0,0,300000,100%,raw-exc-trap-other,0,7.182477
0,0,300000,100%,raw-exc-trap-pabort,0,7.182477
0,0,300000,100%,raw-exc-undef,0,7.182477
0,0,300000,100%,raw-inst-retired,"3,306,946,188",7.190849
0,0,300000,100%,raw-inst-spec,"3,335,184,011",7.190849
