setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,130,9.659515
0,0,300000,100%,raw-br-immed-retired,"242,018,994",9.659515
0,0,300000,100%,raw-br-immed-spec,"242,018,994",9.659515
0,0,300000,100%,raw-br-indirect-spec,"1,106,415",9.659515
0,0,300000,100%,raw-br-mis-pred,"2,356,896",9.659515
0,0,300000,100%,raw-br-pred,"233,940,751",9.659515
0,0,300000,100%,raw-br-retired,"249,776,382",9.646367
0,0,300000,100%,raw-br-return-retired,"8,212,219",9.646367
0,0,300000,100%,raw-br-return-spec,"8,212,219",9.646367
0,0,300000,100%,raw-bus-access,"1,400,391,816",9.646367
0,0,300000,100%,raw-bus-access-normal,0,9.646367
0,0,300000,100%,raw-bus-access-not-shared,0,9.646367
0,0,300000,100%,raw-bus-access-periph,0,9.638645
0,0,300000,100%,raw-bus-access-rd,"468,722,252",9.638645
0,0,300000,100%,raw-bus-access-shared,0,9.638645
0,0,300000,100%,raw-bus-access-wr,"933,898,089",9.638645
0,0,300000,100%,raw-bus-cycles,"2,882,825,596",9.638645
0,0,300000,100%,raw-chain,1,9.638645
0,0,300000,100%,raw-cid-write-retired,0,9.637556
0,0,300000,100%,raw-cnt-cycles,0,9.637556
0,0,300000,100%,raw-cpu-cycles,"2,882,556,250",9.637556
0,0,300000,100%,raw-crypto-spec,0,9.637556
0,0,300000,100%,raw-dmb-spec,0,9.637556
0,0,300000,100%,raw-dp-spec,"499,883,958",9.637556
0,0,300000,100%,raw-dsb-spec,0,9.646610
0,0,300000,100%,raw-dtlb-walk,"3,710,563",9.646610
0,0,300000,100%,raw-exc-dabort,0,9.646610
0,0,300000,100%,raw-exc-fiq,1,9.646610
0,0,300000,100%,raw-exc-hvc,0,9.646610
0,0,300000,100%,raw-exc-irq,"3,378",9.646610
0,0,300000,100%,raw-exc-pabort,0,9.617882
0,0,300000,100%,raw-exc-return,"266,003",9.617882
0,0,300000,100%,raw-exc-smc,0,9.617882
0,0,300000,100%,raw-exc-svc,0,9.617882
0,0,300000,100%,raw-exc-taken,"266,004",9.617882
0,0,300000,100%,raw-exc-trap-dabort,0,9.617882
0,0,300000,100%,raw-exc-trap-fiq,0,9.644091
0,0,300000,100%,raw-exc-trap-irq,0,9.644091
0,0,300000,100%,raw-exc-trap-other,0,9.644091
0,0,300000,100%,raw-exc-trap-pabort,0,9.644091
0,0,300000,100%,raw-exc-undef,0,9.644091
0,0,300000,100%,raw-inst-retired,"1,886,596,186",9.644091
0,0,300000,100%,raw-inst-spec,"1,906,389,037",9.674683
0,0,300000,100%,raw-isb-spec,0,9.674683
0,0,300000,100%,raw-itlb-walk,"54,631",9.674683
0,0,300000,100%,raw-l1d-cache,"1,141,483,486",9.674683
0,0,300000,100%,raw-l1d-cache-allocate,0,9.674683
0,0,300000,100%,raw-l1d-cache-inval,0,9.674683
0,0,300000,100%,raw-l1d-cache-rd,"1,092,992,933",9.656441
0,0,300000,100%,raw-l1d-cache-refill,"10,085,607",9.656441
0,0,300000,100%,raw-l1d-cache-refill-inner,"8,003,925",9.656441
0,0,300000,100%,raw-l1d-cache-refill-outer,"2,118,293",9.656441
0,0,300000,100%,raw-l1d-cache-refill-rd,"6,050,997",9.656441
0,0,300000,100%,raw-l1d-cache-refill-wr,"4,034,610",9.656441
0,0,300000,100%,raw-l1d-cache-wb,"119,456,297",9.709179
0,0,300000,100%,raw-l1d-cache-wb-clean,0,9.709179
0,0,300000,100%,raw-l1d-cache-wb-victim,0,9.709179
0,0,300000,100%,raw-l1d-cache-wr,"47,333,056",9.709179
0,0,300000,100%,raw-l1d-tlb,"1,138,936,614",9.709179
0,0,300000,100%,raw-l1d-tlb-rd,0,9.709179
0,0,300000,100%,raw-l1d-tlb-refill,"11,888,979",9.631331
0,0,300000,100%,raw-l1d-tlb-refill-rd,0,9.631331
0,0,300000,100%,raw-l1d-tlb-refill-wr,0,9.631331
0,0,300000,100%,raw-l1d-tlb-wr,0,9.631331
0,0,300000,100%,raw-l1i-cache,"1,082,805,459",9.631331
0,0,300000,100%,raw-l1i-cache-lmiss,0,9.631331
0,0,300000,100%,raw-l1i-cache-refill,"1,110,779",9.621347
0,0,300000,100%,raw-l1i-tlb,"1,129,130,407",9.621347
0,0,300000,100%,raw-l1i-tlb-refill,"3,060,059",9.621347
0,0,300000,100%,raw-l2d-cache,"377,003,691",9.621347
