setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,131,12.497151
0,0,300000,100%,raw-br-immed-retired,"151,072,855",12.497151
0,0,300000,100%,raw-br-immed-spec,"151,072,855",12.497151
0,0,300000,100%,raw-br-indirect-spec,"1,144,319",12.497151
0,0,300000,100%,raw-br-mis-pred,"2,580,016",12.497151
0,0,300000,100%,raw-br-pred,"135,168,686",12.497151
0,0,300000,100%,raw-br-retired,"155,373,050",12.227792
0,0,300000,100%,raw-br-return-retired,"8,267,635",12.227792
0,0,300000,100%,raw-br-return-spec,"8,267,635",12.227792
0,0,300000,100%,raw-bus-access,"1,806,833,952",12.227792
0,0,300000,100%,raw-bus-access-normal,0,12.227792
0,0,300000,100%,raw-bus-access-not-shared,0,12.227792
0,0,300000,100%,raw-bus-access-periph,0,12.244159
0,0,300000,100%,raw-bus-access-rd,"872,296,131",12.244159
0,0,300000,100%,raw-bus-access-shared,0,12.244159
0,0,300000,100%,raw-bus-access-wr,"934,516,274",12.244159
0,0,300000,100%,raw-bus-cycles,"3,660,900,422",12.244159
0,0,300000,100%,raw-chain,1,12.244159
0,0,300000,100%,raw-cid-write-retired,0,12.250983
0,0,300000,100%,raw-cnt-cycles,0,12.250983
0,0,300000,100%,raw-cpu-cycles,"3,664,393,526",12.250983
0,0,300000,100%,raw-crypto-spec,0,12.250983
0,0,300000,100%,raw-dmb-spec,0,12.250983
0,0,300000,100%,raw-dp-spec,"436,251,977",12.250983
0,0,300000,100%,raw-dsb-spec,0,12.214294
0,0,300000,100%,raw-dtlb-walk,"3,681,805",12.214294
0,0,300000,100%,raw-exc-dabort,0,12.214294
0,0,300000,100%,raw-exc-fiq,2,12.214294
0,0,300000,100%,raw-exc-hvc,0,12.214294
0,0,300000,100%,raw-exc-irq,"4,268",12.214294
0,0,300000,100%,raw-exc-pabort,0,12.292563
0,0,300000,100%,raw-exc-return,"266,871",12.292563
0,0,300000,100%,raw-exc-smc,0,12.292563
0,0,300000,100%,raw-exc-svc,0,12.292563
0,0,300000,100%,raw-exc-taken,"266,873",12.292563
0,0,300000,100%,raw-exc-trap-dabort,0,12.292563
0,0,300000,100%,raw-exc-trap-fiq,0,12.251789
0,0,300000,100%,raw-exc-trap-irq,0,12.251789
0,0,300000,100%,raw-exc-trap-other,0,12.251789
0,0,300000,100%,raw-exc-trap-pabort,0,12.251789
0,0,300000,100%,raw-exc-undef,0,12.251789
0,0,300000,100%,raw-inst-retired,"1,732,323,559",12.251789
0,0,300000,100%,raw-inst-spec,"1,741,454,045",12.233147
0,0,300000,100%,raw-isb-spec,0,12.233147
0,0,300000,100%,raw-itlb-walk,"90,223",12.233147
0,0,300000,100%,raw-l1d-cache,"813,553,612",12.233147
0,0,300000,100%,raw-l1d-cache-allocate,0,12.233147
0,0,300000,100%,raw-l1d-cache-inval,0,12.233147
0,0,300000,100%,raw-l1d-cache-rd,"659,176,812",12.266477
0,0,300000,100%,raw-l1d-cache-refill,"65,690,684",12.266477
0,0,300000,100%,raw-l1d-cache-refill-inner,"50,655,083",12.266477
0,0,300000,100%,raw-l1d-cache-refill-outer,"16,337,215",12.266477
0,0,300000,100%,raw-l1d-cache-refill-rd,"42,446,588",12.266477
0,0,300000,100%,raw-l1d-cache-refill-wr,"23,244,096",12.266477
0,0,300000,100%,raw-l1d-cache-wb,"247,985,094",12.200799
0,0,300000,100%,raw-l1d-cache-wb-clean,0,12.200799
0,0,300000,100%,raw-l1d-cache-wb-victim,0,12.200799
0,0,300000,100%,raw-l1d-cache-wr,"156,319,455",12.200799
0,0,300000,100%,raw-l1d-tlb,"813,463,597",12.200799
0,0,300000,100%,raw-l1d-tlb-rd,0,12.200799
0,0,300000,100%,raw-l1d-tlb-refill,"11,978,488",12.241928
0,0,300000,100%,raw-l1d-tlb-refill-rd,0,12.241928
0,0,300000,100%,raw-l1d-tlb-refill-wr,0,12.241928
0,0,300000,100%,raw-l1d-tlb-wr,0,12.241928
0,0,300000,100%,raw-l1i-cache,"1,007,047,581",12.241928
0,0,300000,100%,raw-l1i-cache-lmiss,0,12.241928
0,0,300000,100%,raw-l1i-cache-refill,"1,411,273",12.228556
0,0,300000,100%,raw-l1i-tlb,"1,070,881,917",12.228556
0,0,300000,100%,raw-l1i-tlb-refill,"3,109,803",12.228556
0,0,300000,100%,raw-l2d-cache,"526,583,359",12.228556
0,0,300000,100%,raw-l2d-cache-allocate,"269,878,673",12.228556
0,0,300000,100%,raw-l2d-cache-inval,0,12.228556
0,0,300000,100%,raw-l2d-cache-lmiss-rd,0,12.219165
0,0,300000,100%,raw-l2d-cache-rd,"255,966,294",12.219165
0,0,300000,100%,raw-l2d-cache-refill,"217,974,357",12.219165
0,0,300000,100%,raw-l2d-cache-refill-rd,"216,985,975",12.219165
0,0,300000,100%,raw-l2d-cache-refill-wr,"988,382",12.219165
0,0,300000,100%,raw-l2d-cache-wb,"231,554,099",12.219165
0,0,300000,100%,raw-l2d-cache-wb-clean,0,12.234754
0,0,300000,100%,raw-l2d-cache-wb-victim,0,12.234754
0,0,300000,100%,raw-l2d-cache-wr,"270,909,934",12.234754
0,0,300000,100%,raw-l2d-tlb,"21,251,727",12.234754
0,0,300000,100%,raw-l2d-tlb-rd,0,12.234754
0,0,300000,100%,raw-l2d-tlb-refill,"3,768,584",12.234754
0,0,300000,100%,raw-l2d-tlb-refill-rd,0,12.305925
0,0,300000,100%,raw-l2d-tlb-refill-wr,0,12.305925
0,0,300000,100%,raw-l2d-tlb-wr,0,12.305925
0,0,300000,100%,raw-l2i-cache-lmiss,0,12.305925
0,0,300000,100%,raw-l2i-tlb,0,12.305925
0,0,300000,100%,raw-l3d-cache,"450,378,778",12.305925
0,0,300000,100%,raw-l3d-cache-allocate,"231,418,453",12.236423
0,0,300000,100%,raw-l3d-cache-inval,0,12.236423
0,0,300000,100%,raw-l3d-cache-lmiss-rd,0,12.236423
0,0,300000,100%,raw-l3d-cache-rd,"217,942,246",12.236423
0,0,300000,100%,raw-l3d-cache-refill,"122,190,976",12.236423
0,0,300000,100%,raw-l3d-cache-refill-rd,"122,190,976",12.236423
0,0,300000,100%,raw-l3d-cache-refill-wr,0,12.255957
0,0,300000,100%,raw-l3d-cache-wb-clean,0,12.255957
0,0,300000,100%,raw-l3d-cache-wb-victim,0,12.255957
0,0,300000,100%,raw-l3d-cache-wr,0,12.255957
0,0,300000,100%,raw-ld-spec,"633,760,099",12.255957
0,0,300000,100%,raw-ldrex-spec,0,12.255957
0,0,300000,100%,raw-ldst-spec,"1,177,053,830",12.254525
