setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,125,12.981100
0,0,300000,100%,raw-br-immed-retired,"147,416,373",12.981100
0,0,300000,100%,raw-br-immed-spec,"147,416,373",12.981100
0,0,300000,100%,raw-br-indirect-spec,"1,157,678",12.981100
0,0,300000,100%,raw-br-mis-pred,"2,444,345",12.981100
0,0,300000,100%,raw-br-pred,"133,904,533",12.981100
0,0,300000,100%,raw-br-retired,"158,260,876",12.947885
0,0,300000,100%,raw-br-return-retired,"8,300,465",12.947885
0,0,300000,100%,raw-br-return-spec,"8,300,465",12.947885
0,0,300000,100%,raw-bus-access,"1,408,356,554",12.947885
0,0,300000,100%,raw-bus-access-normal,0,12.947885
0,0,300000,100%,raw-bus-access-not-shared,0,12.947885
0,0,300000,100%,raw-bus-access-periph,0,12.955162
0,0,300000,100%,raw-bus-access-rd,"471,390,706",12.955162
0,0,300000,100%,raw-bus-access-shared,0,12.955162
0,0,300000,100%,raw-bus-access-wr,"936,702,521",12.955162
0,0,300000,100%,raw-bus-cycles,"3,868,177,118",12.955162
0,0,300000,100%,raw-chain,1,12.955162
0,0,300000,100%,raw-cid-write-retired,0,17.561635
0,0,300000,100%,raw-cnt-cycles,0,17.561635
0,0,300000,100%,raw-cpu-cycles,"5,248,072,475",17.561635
0,0,300000,100%,raw-crypto-spec,0,17.561635
0,0,300000,100%,raw-dmb-spec,0,17.561635
0,0,300000,100%,raw-dp-spec,"727,301,365",17.561635
0,0,300000,100%,raw-dsb-spec,0,12.965454
0,0,300000,100%,raw-dtlb-walk,"3,691,665",12.965454
0,0,300000,100%,raw-exc-dabort,0,12.965454
0,0,300000,100%,raw-exc-fiq,2,12.965454
0,0,300000,100%,raw-exc-hvc,0,12.965454
0,0,300000,100%,raw-exc-irq,"4,534",12.965454
0,0,300000,100%,raw-exc-pabort,0,12.957234
0,0,300000,100%,raw-exc-return,"267,192",12.957234
0,0,300000,100%,raw-exc-smc,0,12.957234
0,0,300000,100%,raw-exc-svc,0,12.957234
0,0,300000,100%,raw-exc-taken,"267,194",12.957234
0,0,300000,100%,raw-exc-trap-dabort,0,12.957234
0,0,300000,100%,raw-exc-trap-fiq,0,12.946029
0,0,300000,100%,raw-exc-trap-irq,0,12.946029
0,0,300000,100%,raw-exc-trap-other,0,12.946029
0,0,300000,100%,raw-exc-trap-pabort,0,12.946029
0,0,300000,100%,raw-exc-undef,0,12.946029
0,0,300000,100%,raw-inst-retired,"4,352,851,834",12.946029
0,0,300000,100%,raw-inst-spec,"4,360,488,470",12.935924
0,0,300000,100%,raw-isb-spec,0,12.935924
