setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,36,0.005321
0,0,300000,100%,raw-br-immed-retired,"43,821",0.005321
0,0,300000,100%,raw-br-immed-spec,"43,821",0.005321
0,0,300000,100%,raw-br-indirect-spec,507,0.005321
0,0,300000,100%,raw-br-mis-pred,"4,858",0.005321
0,0,300000,100%,raw-br-pred,"40,560",0.005321
0,0,300000,100%,raw-br-retired,"47,996",0.005827
0,0,300000,100%,raw-br-return-retired,"3,591",0.005827
0,0,300000,100%,raw-br-return-spec,"3,591",0.005827
0,0,300000,100%,raw-bus-access,"80,507",0.005827
0,0,300000,100%,raw-bus-access-normal,0,0.005827
0,0,300000,100%,raw-bus-access-not-shared,0,0.005827
0,0,300000,100%,raw-bus-access-periph,0,0.005258
0,0,300000,100%,raw-bus-access-rd,"34,418",0.005258
0,0,300000,100%,raw-bus-access-shared,0,0.005258
0,0,300000,100%,raw-bus-access-wr,"44,072",0.005258
0,0,300000,100%,raw-bus-cycles,"539,384",0.005258
0,0,300000,100%,raw-chain,0,0.005258
0,0,300000,100%,raw-cid-write-retired,0,0.005665
0,0,300000,100%,raw-cnt-cycles,0,0.005665
0,0,300000,100%,raw-cpu-cycles,"539,080",0.005665
0,0,300000,100%,raw-crypto-spec,0,0.005665
0,0,300000,100%,raw-dmb-spec,0,0.005665
0,0,300000,100%,raw-dp-spec,"122,046",0.005665
0,0,300000,100%,raw-dsb-spec,0,0.005132
0,0,300000,100%,raw-dtlb-walk,154,0.005132
0,0,300000,100%,raw-exc-dabort,0,0.005132
0,0,300000,100%,raw-exc-fiq,0,0.005132
0,0,300000,100%,raw-exc-hvc,0,0.005132
0,0,300000,100%,raw-exc-irq,1,0.005132
0,0,300000,100%,raw-exc-pabort,0,0.005629
0,0,300000,100%,raw-exc-return,88,0.005629
0,0,300000,100%,raw-exc-smc,0,0.005629
0,0,300000,100%,raw-exc-svc,0,0.005629
0,0,300000,100%,raw-exc-taken,88,0.005629
0,0,300000,100%,raw-exc-trap-dabort,0,0.005629
0,0,300000,100%,raw-exc-trap-fiq,0,0.005200
0,0,300000,100%,raw-exc-trap-irq,0,0.005200
0,0,300000,100%,raw-exc-trap-other,0,0.005200
0,0,300000,100%,raw-exc-trap-pabort,0,0.005200
0,0,300000,100%,raw-exc-undef,0,0.005200
0,0,300000,100%,raw-inst-retired,"242,947",0.005200
0,0,300000,100%,raw-inst-spec,"266,666",0.005675
0,0,300000,100%,raw-isb-spec,0,0.005675
0,0,300000,100%,raw-itlb-walk,100,0.005675
0,0,300000,100%,raw-l1d-cache,"83,081",0.005675
0,0,300000,100%,raw-l1d-cache-allocate,0,0.005675
0,0,300000,100%,raw-l1d-cache-inval,0,0.005675
0,0,300000,100%,raw-l1d-cache-rd,"67,621",0.005615
0,0,300000,100%,raw-l1d-cache-refill,"3,890",0.005615
0,0,300000,100%,raw-l1d-cache-refill-inner,"3,466",0.005615
0,0,300000,100%,raw-l1d-cache-refill-outer,482,0.005615
0,0,300000,100%,raw-l1d-cache-refill-rd,"3,137",0.005615
0,0,300000,100%,raw-l1d-cache-refill-wr,753,0.005615
0,0,300000,100%,raw-l1d-cache-wb,"4,099",0.005623
0,0,300000,100%,raw-l1d-cache-wb-clean,0,0.005623
0,0,300000,100%,raw-l1d-cache-wb-victim,0,0.005623
0,0,300000,100%,raw-l1d-cache-wr,"14,067",0.005623
0,0,300000,100%,raw-l1d-tlb,"80,615",0.005623
