setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,"14,981,761",290.139465
0,0,300000,100%,raw-br-immed-retired,"10,518,153,926",290.139465
0,0,300000,100%,raw-br-immed-spec,"10,518,153,926",290.139465
0,0,300000,100%,raw-br-indirect-spec,"11,450,104",290.139465
0,0,300000,100%,raw-br-mis-pred,"1,457,327,393",290.139465
0,0,300000,100%,raw-br-pred,"10,005,187,940",290.139465
0,0,300000,100%,raw-br-retired,"11,123,523,402",290.103331
0,0,300000,100%,raw-br-return-retired,"592,535,546",290.103331
0,0,300000,100%,raw-br-return-spec,"592,535,546",290.103331
0,0,300000,100%,raw-bus-access,"3,252,699,455",290.103331
0,0,300000,100%,raw-bus-access-normal,0,290.103331
0,0,300000,100%,raw-bus-access-not-shared,0,290.103331
0,0,300000,100%,raw-bus-access-periph,0,290.083139
0,0,300000,100%,raw-bus-access-rd,"1,451,534,688",290.083139
0,0,300000,100%,raw-bus-access-shared,0,290.083139
0,0,300000,100%,raw-bus-access-wr,"1,732,981,719",290.083139
0,0,300000,100%,raw-bus-cycles,"86,660,184,435",290.083139
0,0,300000,100%,raw-chain,38,290.083139
0,0,300000,100%,raw-cid-write-retired,0,290.085626
0,0,300000,100%,raw-cnt-cycles,0,290.085626
0,0,300000,100%,raw-cpu-cycles,"86,655,699,278",290.085626
0,0,300000,100%,raw-crypto-spec,0,290.085626
0,0,300000,100%,raw-dmb-spec,0,290.085626
0,0,300000,100%,raw-dp-spec,"38,880,247,271",290.085626
0,0,300000,100%,raw-dsb-spec,0,290.022129
0,0,300000,100%,raw-dtlb-walk,"7,202,169",290.022129
0,0,300000,100%,raw-exc-dabort,0,290.022129
0,0,300000,100%,raw-exc-fiq,49,290.022129
0,0,300000,100%,raw-exc-hvc,0,290.022129
0,0,300000,100%,raw-exc-irq,"100,395",290.022129
0,0,300000,100%,raw-exc-pabort,0,290.515871
0,0,300000,100%,raw-exc-return,"149,174",290.515871
0,0,300000,100%,raw-exc-smc,0,290.515871
0,0,300000,100%,raw-exc-svc,0,290.515871
0,0,300000,100%,raw-exc-taken,"149,224",290.515871
0,0,300000,100%,raw-exc-trap-dabort,0,290.515871
0,0,300000,100%,raw-exc-trap-fiq,0,290.047748
0,0,300000,100%,raw-exc-trap-irq,0,290.047748
0,0,300000,100%,raw-exc-trap-other,0,290.047748
0,0,300000,100%,raw-exc-trap-pabort,0,290.047748
0,0,300000,100%,raw-exc-undef,0,290.047748
0,0,300000,100%,raw-inst-retired,"67,348,105,884",290.047748
0,0,300000,100%,raw-inst-spec,"72,038,336,410",290.106878
0,0,300000,100%,raw-isb-spec,0,290.106878
0,0,300000,100%,raw-itlb-walk,"740,296",290.106878
0,0,300000,100%,raw-l1d-cache,"17,878,203,990",290.106878
0,0,300000,100%,raw-l1d-cache-allocate,0,290.106878
0,0,300000,100%,raw-l1d-cache-inval,0,290.106878
0,0,300000,100%,raw-l1d-cache-rd,"15,298,262,728",290.227612
0,0,300000,100%,raw-l1d-cache-refill,"348,428,071",290.227612
0,0,300000,100%,raw-l1d-cache-refill-inner,"333,510,745",290.227612
