setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,"299,082,190",54.308194
0,0,300000,100%,raw-br-immed-retired,"1,108,483,411",54.308194
0,0,300000,100%,raw-br-immed-spec,"1,108,483,411",54.308194
0,0,300000,100%,raw-br-indirect-spec,"635,971",54.308194
0,0,300000,100%,raw-br-mis-pred,"51,054,207",54.308194
0,0,300000,100%,raw-br-pred,"1,080,043,371",54.308194
0,0,300000,100%,raw-br-retired,"1,190,418,180",54.345270
0,0,300000,100%,raw-br-return-retired,"65,517,826",54.345270
0,0,300000,100%,raw-br-return-spec,"65,517,826",54.345270
0,0,300000,100%,raw-bus-access,"233,153,691",54.345270
0,0,300000,100%,raw-bus-access-normal,0,54.345270
0,0,300000,100%,raw-bus-access-not-shared,0,54.345270
0,0,300000,100%,raw-bus-access-periph,0,54.288017
0,0,300000,100%,raw-bus-access-rd,"102,745,477",54.288017
0,0,300000,100%,raw-bus-access-shared,0,54.288017
0,0,300000,100%,raw-bus-access-wr,"108,001,868",54.288017
0,0,300000,100%,raw-bus-cycles,"16,238,480,787",54.288017
0,0,300000,100%,raw-chain,7,54.288017
0,0,300000,100%,raw-cid-write-retired,0,54.347471
0,0,300000,100%,raw-cnt-cycles,0,54.347471
0,0,300000,100%,raw-cpu-cycles,"16,253,617,818",54.347471
0,0,300000,100%,raw-crypto-spec,34,54.347471
0,0,300000,100%,raw-dmb-spec,0,54.347471
0,0,300000,100%,raw-dp-spec,"9,475,285,008",54.347471
0,0,300000,100%,raw-dsb-spec,0,54.364637
0,0,300000,100%,raw-dtlb-walk,"2,973",54.364637
0,0,300000,100%,raw-exc-dabort,0,54.364637
0,0,300000,100%,raw-exc-fiq,9,54.364637
0,0,300000,100%,raw-exc-hvc,0,54.364637
0,0,300000,100%,raw-exc-irq,"18,931",54.364637
0,0,300000,100%,raw-exc-pabort,0,54.306896
0,0,300000,100%,raw-exc-return,"20,824",54.306896
0,0,300000,100%,raw-exc-smc,0,54.306896
0,0,300000,100%,raw-exc-svc,0,54.306896
0,0,300000,100%,raw-exc-taken,"20,833",54.306896
0,0,300000,100%,raw-exc-trap-dabort,0,54.306896
0,0,300000,100%,raw-exc-trap-fiq,0,54.366893
0,0,300000,100%,raw-exc-trap-irq,0,54.366893
0,0,300000,100%,raw-exc-trap-other,0,54.366893
0,0,300000,100%,raw-exc-trap-pabort,0,54.366893
0,0,300000,100%,raw-exc-undef,0,54.366893
0,0,300000,100%,raw-inst-retired,"17,171,417,758",54.366893
0,0,300000,100%,raw-inst-spec,"17,379,825,103",54.249467
0,0,300000,100%,raw-isb-spec,0,54.249467
0,0,300000,100%,raw-itlb-walk,"1,183",54.249467
0,0,300000,100%,raw-l1d-cache,"4,196,941,400",54.249467
0,0,300000,100%,raw-l1d-cache-allocate,0,54.249467
0,0,300000,100%,raw-l1d-cache-inval,0,54.249467
0,0,300000,100%,raw-l1d-cache-rd,"4,057,336,585",54.375123
0,0,300000,100%,raw-l1d-cache-refill,"31,083,522",54.375123
0,0,300000,100%,raw-l1d-cache-refill-inner,"31,272,145",54.375123
0,0,300000,100%,raw-l1d-cache-refill-outer,"42,249",54.375123
