setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,"261,050",68.688066
0,0,300000,100%,raw-br-immed-retired,"2,989,510,397",68.688066
0,0,300000,100%,raw-br-immed-spec,"2,989,510,397",68.688066
0,0,300000,100%,raw-br-indirect-spec,"102,790,348",68.688066
0,0,300000,100%,raw-br-mis-pred,"369,344,998",68.688066
0,0,300000,100%,raw-br-pred,"2,936,473,175",68.688066
0,0,300000,100%,raw-br-retired,"3,232,690,521",68.588232
0,0,300000,100%,raw-br-return-retired,"140,226,519",68.588232
0,0,300000,100%,raw-br-return-spec,"140,226,519",68.588232
0,0,300000,100%,raw-bus-access,"349,450,656",68.588232
0,0,300000,100%,raw-bus-access-normal,0,68.588232
0,0,300000,100%,raw-bus-access-not-shared,0,68.588232
0,0,300000,100%,raw-bus-access-periph,0,68.587755
0,0,300000,100%,raw-bus-access-rd,"139,953,563",68.587755
0,0,300000,100%,raw-bus-access-shared,0,68.587755
0,0,300000,100%,raw-bus-access-wr,"201,074,169",68.587755
0,0,300000,100%,raw-bus-cycles,"20,483,613,176",68.587755
0,0,300000,100%,raw-chain,9,68.587755
0,0,300000,100%,raw-cid-write-retired,0,68.654914
0,0,300000,100%,raw-cnt-cycles,0,68.654914
0,0,300000,100%,raw-cpu-cycles,"20,504,826,617",68.654914
0,0,300000,100%,raw-crypto-spec,0,68.654914
0,0,300000,100%,raw-dmb-spec,0,68.654914
0,0,300000,100%,raw-dp-spec,"10,433,462,408",68.654914
0,0,300000,100%,raw-dsb-spec,0,68.558072
0,0,300000,100%,raw-dtlb-walk,"5,940,990",68.558072
0,0,300000,100%,raw-exc-dabort,0,68.558072
0,0,300000,100%,raw-exc-fiq,11,68.558072
0,0,300000,100%,raw-exc-hvc,0,68.558072
0,0,300000,100%,raw-exc-irq,"23,722",68.558072
0,0,300000,100%,raw-exc-pabort,0,68.591453
0,0,300000,100%,raw-exc-return,"70,667",68.591453
0,0,300000,100%,raw-exc-smc,0,68.591453
0,0,300000,100%,raw-exc-svc,0,68.591453
0,0,300000,100%,raw-exc-taken,"70,679",68.591453
0,0,300000,100%,raw-exc-trap-dabort,0,68.591453
