setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,"2,789,754",103.464555
0,0,300000,100%,raw-br-immed-retired,"3,752,258,565",103.464555
0,0,300000,100%,raw-br-immed-spec,"3,752,258,565",103.464555
0,0,300000,100%,raw-br-indirect-spec,"1,194,553",103.464555
0,0,300000,100%,raw-br-mis-pred,"602,280,044",103.464555
0,0,300000,100%,raw-br-pred,"3,556,224,188",103.464555
0,0,300000,100%,raw-br-retired,"3,898,229,401",103.444787
0,0,300000,100%,raw-br-return-retired,"143,861,567",103.444787
0,0,300000,100%,raw-br-return-spec,"143,861,567",103.444787
0,0,300000,100%,raw-bus-access,"2,143,236,236",103.444787
0,0,300000,100%,raw-bus-access-normal,0,103.444787
0,0,300000,100%,raw-bus-access-not-shared,0,103.444787
0,0,300000,100%,raw-bus-access-periph,0,103.426081
0,0,300000,100%,raw-bus-access-rd,"1,077,993,543",103.426081
0,0,300000,100%,raw-bus-access-shared,0,103.426081
0,0,300000,100%,raw-bus-access-wr,"1,087,862,286",103.426081
0,0,300000,100%,raw-bus-cycles,"30,931,095,249",103.426081
0,0,300000,100%,raw-chain,14,103.426081
0,0,300000,100%,raw-cid-write-retired,0,103.337786
0,0,300000,100%,raw-cnt-cycles,0,103.337786
0,0,300000,100%,raw-cpu-cycles,"30,905,193,030",103.337786
0,0,300000,100%,raw-crypto-spec,0,103.337786
0,0,300000,100%,raw-dmb-spec,0,103.337786
0,0,300000,100%,raw-dp-spec,"11,149,573,677",103.337786
0,0,300000,100%,raw-dsb-spec,0,103.429817
0,0,300000,100%,raw-dtlb-walk,"20,767,094",103.429817
0,0,300000,100%,raw-exc-dabort,0,103.429817
0,0,300000,100%,raw-exc-fiq,17,103.429817
0,0,300000,100%,raw-exc-hvc,0,103.429817
0,0,300000,100%,raw-exc-irq,"35,944",103.429817
0,0,300000,100%,raw-exc-pabort,0,103.384299
0,0,300000,100%,raw-exc-return,"41,751",103.384299
0,0,300000,100%,raw-exc-smc,0,103.384299
0,0,300000,100%,raw-exc-svc,0,103.384299
0,0,300000,100%,raw-exc-taken,"41,769",103.384299
0,0,300000,100%,raw-exc-trap-dabort,0,103.384299
0,0,300000,100%,raw-exc-trap-fiq,0,103.428081
0,0,300000,100%,raw-exc-trap-irq,0,103.428081
0,0,300000,100%,raw-exc-trap-other,0,103.428081
0,0,300000,100%,raw-exc-trap-pabort,0,103.428081
0,0,300000,100%,raw-exc-undef,0,103.428081
0,0,300000,100%,raw-inst-retired,"22,745,362,066",103.428081
0,0,300000,100%,raw-inst-spec,"24,740,880,145",103.458458
0,0,300000,100%,raw-isb-spec,0,103.458458
0,0,300000,100%,raw-itlb-walk,"292,440",103.458458
0,0,300000,100%,raw-l1d-cache,"8,402,203,736",103.458458
0,0,300000,100%,raw-l1d-cache-allocate,0,103.458458
0,0,300000,100%,raw-l1d-cache-inval,0,103.458458
0,0,300000,100%,raw-l1d-cache-rd,"7,901,745,250",103.528738
0,0,300000,100%,raw-l1d-cache-refill,"432,850,909",103.528738
0,0,300000,100%,raw-l1d-cache-refill-inner,"432,215,420",103.528738
0,0,300000,100%,raw-l1d-cache-refill-outer,"830,420",103.528738
0,0,300000,100%,raw-l1d-cache-refill-rd,"292,765,603",103.528738
0,0,300000,100%,raw-l1d-cache-refill-wr,"140,085,306",103.528738
0,0,300000,100%,raw-l1d-cache-wb,"473,495,362",103.685305
0,0,300000,100%,raw-l1d-cache-wb-clean,0,103.685305
