setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,"1,412,812",160.040176
0,0,300000,100%,raw-br-immed-retired,"5,682,145,101",160.040176
0,0,300000,100%,raw-br-immed-spec,"5,682,145,101",160.040176
0,0,300000,100%,raw-br-indirect-spec,"672,728,455",160.040176
0,0,300000,100%,raw-br-mis-pred,"438,565,968",160.040176
0,0,300000,100%,raw-br-pred,"6,582,368,376",160.040176
0,0,300000,100%,raw-br-retired,"7,053,343,983",161.608401
0,0,300000,100%,raw-br-return-retired,"698,558,538",161.608401
0,0,300000,100%,raw-br-return-spec,"698,558,538",161.608401
0,0,300000,100%,raw-bus-access,"14,806,631,848",161.608401
0,0,300000,100%,raw-bus-access-normal,0,161.608401
0,0,300000,100%,raw-bus-access-not-shared,0,161.608401
0,0,300000,100%,raw-bus-access-periph,0,159.570875
0,0,300000,100%,raw-bus-access-rd,"7,469,219,259",159.570875
0,0,300000,100%,raw-bus-access-shared,0,159.570875
0,0,300000,100%,raw-bus-access-wr,"7,518,720,621",159.570875
0,0,300000,100%,raw-bus-cycles,"47,662,673,039",159.570875
0,0,300000,100%,raw-chain,22,159.570875
0,0,300000,100%,raw-cid-write-retired,0,159.492171
0,0,300000,100%,raw-cnt-cycles,0,159.492171
0,0,300000,100%,raw-cpu-cycles,"47,630,807,123",159.492171
0,0,300000,100%,raw-crypto-spec,0,159.492171
0,0,300000,100%,raw-dmb-spec,0,159.492171
0,0,300000,100%,raw-dp-spec,"13,874,489,286",159.492171
0,0,300000,100%,raw-dsb-spec,0,159.388303
0,0,300000,100%,raw-dtlb-walk,"19,510,894",159.388303
0,0,300000,100%,raw-exc-dabort,0,159.388303
0,0,300000,100%,raw-exc-fiq,27,159.388303
0,0,300000,100%,raw-exc-hvc,0,159.388303
0,0,300000,100%,raw-exc-irq,"55,411",159.388303
0,0,300000,100%,raw-exc-pabort,0,162.100250
0,0,300000,100%,raw-exc-return,"150,226",162.100250
0,0,300000,100%,raw-exc-smc,0,162.100250
0,0,300000,100%,raw-exc-svc,0,162.100250
0,0,300000,100%,raw-exc-taken,"150,253",162.100250
0,0,300000,100%,raw-exc-trap-dabort,0,162.100250
0,0,300000,100%,raw-exc-trap-fiq,0,159.937075
0,0,300000,100%,raw-exc-trap-irq,0,159.937075
0,0,300000,100%,raw-exc-trap-other,0,159.937075
0,0,300000,100%,raw-exc-trap-pabort,0,159.937075
0,0,300000,100%,raw-exc-undef,0,159.937075
0,0,300000,100%,raw-inst-retired,"30,143,511,310",159.937075
0,0,300000,100%,raw-inst-spec,"32,196,400,659",159.548510
0,0,300000,100%,raw-isb-spec,0,159.548510
