setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,"1,202,206",0.351161
0,0,300000,100%,raw-br-immed-retired,"9,378,574",0.351161
0,0,300000,100%,raw-br-immed-spec,"9,378,574",0.351161
0,0,300000,100%,raw-br-indirect-spec,"425,841",0.351161
0,0,300000,100%,raw-br-mis-pred,"245,991",0.351161
0,0,300000,100%,raw-br-pred,"9,254,534",0.351161
0,0,300000,100%,raw-br-retired,"10,060,139",0.310497
0,0,300000,100%,raw-br-return-retired,"639,947",0.310497
0,0,300000,100%,raw-br-return-spec,"639,947",0.310497
0,0,300000,100%,raw-bus-access,"3,790,508",0.310497
0,0,300000,100%,raw-bus-access-normal,0,0.310497
0,0,300000,100%,raw-bus-access-not-shared,0,0.310497
0,0,300000,100%,raw-bus-access-periph,0,0.310093
0,0,300000,100%,raw-bus-access-rd,"1,662,681",0.310093
0,0,300000,100%,raw-bus-access-shared,0,0.310093
0,0,300000,100%,raw-bus-access-wr,"1,958,861",0.310093
0,0,300000,100%,raw-bus-cycles,"91,175,695",0.310093
0,0,300000,100%,raw-chain,0,0.310093
0,0,300000,100%,raw-cid-write-retired,0,0.310034
0,0,300000,100%,raw-cnt-cycles,0,0.310034
0,0,300000,100%,raw-cpu-cycles,"91,325,849",0.310034
0,0,300000,100%,raw-crypto-spec,0,0.310034
0,0,300000,100%,raw-dmb-spec,0,0.310034
0,0,300000,100%,raw-dp-spec,"24,518,527",0.310034
0,0,300000,100%,raw-dsb-spec,0,0.310788
0,0,300000,100%,raw-dtlb-walk,"3,283",0.310788
0,0,300000,100%,raw-exc-dabort,0,0.310788
0,0,300000,100%,raw-exc-fiq,0,0.310788
0,0,300000,100%,raw-exc-hvc,0,0.310788
0,0,300000,100%,raw-exc-irq,105,0.310788
0,0,300000,100%,raw-exc-pabort,0,0.309832
0,0,300000,100%,raw-exc-return,"2,697",0.309832
0,0,300000,100%,raw-exc-smc,0,0.309832
0,0,300000,100%,raw-exc-svc,0,0.309832
0,0,300000,100%,raw-exc-taken,"2,697",0.309832
0,0,300000,100%,raw-exc-trap-dabort,0,0.309832
0,0,300000,100%,raw-exc-trap-fiq,0,0.309228
0,0,300000,100%,raw-exc-trap-irq,0,0.309228
0,0,300000,100%,raw-exc-trap-other,0,0.309228
0,0,300000,100%,raw-exc-trap-pabort,0,0.309228
0,0,300000,100%,raw-exc-undef,0,0.309228
0,0,300000,100%,raw-inst-retired,"70,078,511",0.309228
0,0,300000,100%,raw-inst-spec,"70,701,736",0.309589
0,0,300000,100%,raw-isb-spec,0,0.309589
0,0,300000,100%,raw-itlb-walk,"1,471",0.309589
0,0,300000,100%,raw-l1d-cache,"14,394,918",0.309589
0,0,300000,100%,raw-l1d-cache-allocate,0,0.309589
0,0,300000,100%,raw-l1d-cache-inval,0,0.309589
0,0,300000,100%,raw-l1d-cache-rd,"13,431,384",0.309872
0,0,300000,100%,raw-l1d-cache-refill,"440,494",0.309872
0,0,300000,100%,raw-l1d-cache-refill-inner,"405,366",0.309872
0,0,300000,100%,raw-l1d-cache-refill-outer,"38,797",0.309872
0,0,300000,100%,raw-l1d-cache-refill-rd,"193,013",0.309872
0,0,300000,100%,raw-l1d-cache-refill-wr,"247,481",0.309872
0,0,300000,100%,raw-l1d-cache-wb,"819,127",0.308866
0,0,300000,100%,raw-l1d-cache-wb-clean,0,0.308866
0,0,300000,100%,raw-l1d-cache-wb-victim,0,0.308866
0,0,300000,100%,raw-l1d-cache-wr,"955,066",0.308866
0,0,300000,100%,raw-l1d-tlb,"14,374,951",0.308866
0,0,300000,100%,raw-l1d-tlb-rd,0,0.308866
0,0,300000,100%,raw-l1d-tlb-refill,"358,050",0.309464
0,0,300000,100%,raw-l1d-tlb-refill-rd,0,0.309464
0,0,300000,100%,raw-l1d-tlb-refill-wr,0,0.309464
0,0,300000,100%,raw-l1d-tlb-wr,0,0.309464
0,0,300000,100%,raw-l1i-cache,"40,702,037",0.309464
0,0,300000,100%,raw-l1i-cache-lmiss,0,0.309464
0,0,300000,100%,raw-l1i-cache-refill,"230,937",0.309463
0,0,300000,100%,raw-l1i-tlb,"45,125,838",0.309463
0,0,300000,100%,raw-l1i-tlb-refill,"65,386",0.309463
0,0,300000,100%,raw-l2d-cache,"2,150,287",0.309463
0,0,300000,100%,raw-l2d-cache-allocate,"940,538",0.309463
0,0,300000,100%,raw-l2d-cache-inval,0,0.309463
0,0,300000,100%,raw-l2d-cache-lmiss-rd,0,0.309422
0,0,300000,100%,raw-l2d-cache-rd,"1,199,523",0.309422
0,0,300000,100%,raw-l2d-cache-refill,"431,363",0.309422
0,0,300000,100%,raw-l2d-cache-refill-rd,"427,725",0.309422
0,0,300000,100%,raw-l2d-cache-refill-wr,"3,638",0.309422
0,0,300000,100%,raw-l2d-cache-wb,"493,560",0.309422
0,0,300000,100%,raw-l2d-cache-wb-clean,0,0.309646
0,0,300000,100%,raw-l2d-cache-wb-victim,0,0.309646
0,0,300000,100%,raw-l2d-cache-wr,"951,878",0.309646
0,0,300000,100%,raw-l2d-tlb,"513,737",0.309646
0,0,300000,100%,raw-l2d-tlb-rd,0,0.309646
0,0,300000,100%,raw-l2d-tlb-refill,"4,387",0.309646
0,0,300000,100%,raw-l2d-tlb-refill-rd,0,0.309398
