setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,"1,465,281,628",158.286317
0,0,300000,100%,raw-br-immed-retired,"6,406,292,663",158.286317
0,0,300000,100%,raw-br-immed-spec,"6,406,292,663",158.286317
0,0,300000,100%,raw-br-indirect-spec,"29,602,777",158.286317
0,0,300000,100%,raw-br-mis-pred,"420,331,115",158.286317
0,0,300000,100%,raw-br-pred,"5,954,201,436",158.286317
0,0,300000,100%,raw-br-retired,"6,551,738,067",157.441378
0,0,300000,100%,raw-br-return-retired,"119,041,165",157.441378
0,0,300000,100%,raw-br-return-spec,"119,041,165",157.441378
0,0,300000,100%,raw-bus-access,"2,072,066,696",157.441378
0,0,300000,100%,raw-bus-access-normal,0,157.441378
0,0,300000,100%,raw-bus-access-not-shared,0,157.441378
0,0,300000,100%,raw-bus-access-periph,0,157.521631
0,0,300000,100%,raw-bus-access-rd,"823,297,767",157.521631
0,0,300000,100%,raw-bus-access-shared,0,157.521631
0,0,300000,100%,raw-bus-access-wr,"1,254,722,627",157.521631
0,0,300000,100%,raw-bus-cycles,"47,046,914,622",157.521631
0,0,300000,100%,raw-chain,16,157.521631
0,0,300000,100%,raw-cid-write-retired,0,157.483485
0,0,300000,100%,raw-cnt-cycles,0,157.483485
0,0,300000,100%,raw-cpu-cycles,"47,039,806,526",157.483485
0,0,300000,100%,raw-crypto-spec,0,157.483485
0,0,300000,100%,raw-dmb-spec,0,157.483485
0,0,300000,100%,raw-dp-spec,"25,285,103,656",157.483485
0,0,300000,100%,raw-dsb-spec,0,157.498584
0,0,300000,100%,raw-dtlb-walk,"28,617,117",157.498584
0,0,300000,100%,raw-exc-dabort,0,157.498584
0,0,300000,100%,raw-exc-fiq,25,157.498584
0,0,300000,100%,raw-exc-hvc,0,157.498584
0,0,300000,100%,raw-exc-irq,"54,680",157.498584
0,0,300000,100%,raw-exc-pabort,0,157.503698
0,0,300000,100%,raw-exc-return,"1,740,161",157.503698
0,0,300000,100%,raw-exc-smc,0,157.503698
0,0,300000,100%,raw-exc-svc,0,157.503698
0,0,300000,100%,raw-exc-taken,"1,740,187",157.503698
0,0,300000,100%,raw-exc-trap-dabort,0,157.503698
0,0,300000,100%,raw-exc-trap-fiq,0,157.505453
0,0,300000,100%,raw-exc-trap-irq,0,157.505453
0,0,300000,100%,raw-exc-trap-other,0,157.505453
0,0,300000,100%,raw-exc-trap-pabort,0,157.505453
0,0,300000,100%,raw-exc-undef,0,157.505453
0,0,300000,100%,raw-inst-retired,"43,031,225,176",157.505453
0,0,300000,100%,raw-inst-spec,"44,882,917,552",157.522512
0,0,300000,100%,raw-isb-spec,0,157.522512
0,0,300000,100%,raw-itlb-walk,"974,217",157.522512
0,0,300000,100%,raw-l1d-cache,"9,809,638,596",157.522512
0,0,300000,100%,raw-l1d-cache-allocate,0,157.522512
0,0,300000,100%,raw-l1d-cache-inval,0,157.522512
0,0,300000,100%,raw-l1d-cache-rd,"8,751,857,827",157.602712
0,0,300000,100%,raw-l1d-cache-refill,"255,195,827",157.602712
0,0,300000,100%,raw-l1d-cache-refill-inner,"213,149,929",157.602712
0,0,300000,100%,raw-l1d-cache-refill-outer,"44,308,414",157.602712
0,0,300000,100%,raw-l1d-cache-refill-rd,"209,662,883",157.602712
0,0,300000,100%,raw-l1d-cache-refill-wr,"45,532,944",157.602712
0,0,300000,100%,raw-l1d-cache-wb,"287,039,280",157.561076
0,0,300000,100%,raw-l1d-cache-wb-clean,0,157.561076
0,0,300000,100%,raw-l1d-cache-wb-victim,0,157.561076
0,0,300000,100%,raw-l1d-cache-wr,"1,059,471,038",157.561076
0,0,300000,100%,raw-l1d-tlb,"9,811,938,196",157.561076
0,0,300000,100%,raw-l1d-tlb-rd,0,157.561076
0,0,300000,100%,raw-l1d-tlb-refill,"433,329,788",157.854666
0,0,300000,100%,raw-l1d-tlb-refill-rd,0,157.854666
