setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,130,6.989563
0,0,300000,100%,raw-br-immed-retired,"124,373,604",6.989563
0,0,300000,100%,raw-br-immed-spec,"124,373,604",6.989563
0,0,300000,100%,raw-br-indirect-spec,"712,544",6.989563
0,0,300000,100%,raw-br-mis-pred,"1,514,519",6.989563
0,0,300000,100%,raw-br-mis-pred-retired,"1,767,618",6.989563
0,0,300000,100%,raw-br-pred,"285,496,487",10.879885
0,0,300000,100%,raw-br-retired,"299,707,247",10.879885
0,0,300000,100%,raw-br-return-retired,"7,141,826",10.879885
0,0,300000,100%,raw-br-return-spec,"7,141,826",10.879885
0,0,300000,100%,raw-bus-access,"951,078,586",10.879885
0,0,300000,100%,raw-bus-access-normal,0,10.879885
0,0,300000,100%,raw-bus-access-not-shared,0,7.025298
0,0,300000,100%,raw-bus-access-periph,0,7.025298
0,0,300000,100%,raw-bus-access-rd,"457,972,554",7.025298
0,0,300000,100%,raw-bus-access-shared,0,7.025298
0,0,300000,100%,raw-bus-access-wr,"490,091,353",7.025298
0,0,300000,100%,raw-bus-cycles,"2,093,945,742",7.025298
0,0,300000,100%,raw-cid-write-retired,14,6.398343
0,0,300000,100%,raw-cnt-cycles,0,6.398343
0,0,300000,100%,raw-cpu-cycles,"1,907,412,244",6.398343
0,0,300000,100%,raw-crypto-spec,0,6.398343
0,0,300000,100%,raw-dmb-spec,0,6.398343
0,0,300000,100%,raw-dp-spec,"755,440,167",6.979484
0,0,300000,100%,raw-dsb-spec,0,6.979484
0,0,300000,100%,raw-dtlb-walk,"1,868,355",6.979484
0,0,300000,100%,raw-exc-dabort,0,6.979484
0,0,300000,100%,raw-exc-fiq,1,6.979484
0,0,300000,100%,raw-exc-hvc,0,6.979484
0,0,300000,100%,raw-exc-irq,"2,852",6.987038
0,0,300000,100%,raw-exc-pabort,0,6.987038
0,0,300000,100%,raw-exc-return,"240,302",6.987038
0,0,300000,100%,raw-exc-smc,0,6.987038
0,0,300000,100%,raw-exc-svc,0,6.987038
0,0,300000,100%,raw-exc-taken,"240,303",6.987038
0,0,300000,100%,raw-exc-trap-dabort,0,10.885431
0,0,300000,100%,raw-exc-trap-fiq,0,10.885431
0,0,300000,100%,raw-exc-trap-irq,0,10.885431
0,0,300000,100%,raw-exc-trap-other,0,10.885431
0,0,300000,100%,raw-exc-trap-pabort,0,10.885431
0,0,300000,100%,raw-exc-undef,0,10.885431
0,0,300000,100%,raw-inst-retired,"1,444,282,963",6.393460
0,0,300000,100%,raw-inst-spec,"1,453,249,220",6.393460
0,0,300000,100%,raw-isb-spec,0,6.393460
0,0,300000,100%,raw-itlb-walk,"11,230",6.393460
0,0,300000,100%,raw-l1d-cache,"621,340,459",6.393460
0,0,300000,100%,raw-l1d-cache-allocate,0,6.393460
0,0,300000,100%,raw-l1d-cache-inval,0,7.030828
0,0,300000,100%,raw-l1d-cache-lmiss-rd,0,7.030828
0,0,300000,100%,raw-l1d-cache-rd,"683,947,003",7.030828
0,0,300000,100%,raw-l1d-cache-refill,"5,073,454",7.030828
0,0,300000,100%,raw-l1d-cache-refill-inner,"3,577,901",7.030828
0,0,300000,100%,raw-l1d-cache-refill-outer,"2,219,029",7.030828
0,0,300000,100%,raw-l1d-cache-refill-rd,"3,353,135",7.018023
0,0,300000,100%,raw-l1d-cache-refill-wr,"1,714,170",7.018023
0,0,300000,100%,raw-l1d-cache-wb,"114,824,820",7.018023
0,0,300000,100%,raw-l1d-cache-wb-clean,0,7.018023
0,0,300000,100%,raw-l1d-cache-wb-victim,0,7.018023
0,0,300000,100%,raw-l1d-cache-wr,"28,488,604",7.018023
0,0,300000,100%,raw-l1d-tlb,"622,177,972",6.392090
0,0,300000,100%,raw-l1d-tlb-rd,0,6.392090
0,0,300000,100%,raw-l1d-tlb-refill,"6,384,626",6.392090
0,0,300000,100%,raw-l1d-tlb-refill-rd,0,6.392090
0,0,300000,100%,raw-l1d-tlb-refill-wr,0,6.392090
0,0,300000,100%,raw-l1d-tlb-wr,0,6.392090
0,0,300000,100%,raw-l1i-cache,"801,465,816",6.395875
0,0,300000,100%,raw-l1i-cache-lmiss,0,6.395875
0,0,300000,100%,raw-l1i-cache-refill,"1,230,498",6.395875
0,0,300000,100%,raw-l1i-tlb,"846,674,350",6.395875
0,0,300000,100%,raw-l1i-tlb-refill,"353,613",6.395875
0,0,300000,100%,raw-l2d-cache,"247,614,050",6.395875
0,0,300000,100%,raw-l2d-cache-allocate,"129,549,297",6.398472
0,0,300000,100%,raw-l2d-cache-inval,0,6.398472
0,0,300000,100%,raw-l2d-cache-lmiss-rd,0,6.398472
0,0,300000,100%,raw-l2d-cache-rd,"117,387,803",6.398472
0,0,300000,100%,raw-l2d-cache-refill,"114,554,063",6.398472
0,0,300000,100%,raw-l2d-cache-refill-rd,"113,897,157",6.398472
0,0,300000,100%,raw-l2d-cache-refill-wr,"655,884",7.089425
0,0,300000,100%,raw-l2d-cache-wb,"121,640,897",7.089425
