setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,"198,875",114.586987
0,0,300000,100%,raw-br-immed-retired,"4,618,153,240",114.586987
0,0,300000,100%,raw-br-immed-spec,"4,618,153,240",114.586987
0,0,300000,100%,raw-br-indirect-spec,"2,162,561",114.586987
0,0,300000,100%,raw-br-mis-pred,"166,366,002",114.586987
0,0,300000,100%,raw-br-mis-pred-retired,"166,529,550",114.586987
0,0,300000,100%,raw-br-pred,"4,112,677,737",114.487348
0,0,300000,100%,raw-br-retired,"4,658,364,622",114.487348
0,0,300000,100%,raw-br-return-retired,"37,848,837",114.487348
0,0,300000,100%,raw-br-return-spec,"37,848,837",114.487348
0,0,300000,100%,raw-bus-access,"3,225,403,551",114.487348
0,0,300000,100%,raw-bus-access-normal,0,114.487348
0,0,300000,100%,raw-bus-access-not-shared,0,114.342404
0,0,300000,100%,raw-bus-access-periph,0,114.342404
0,0,300000,100%,raw-bus-access-rd,"1,588,376,717",114.342404
0,0,300000,100%,raw-bus-access-shared,0,114.342404
0,0,300000,100%,raw-bus-access-wr,"1,629,221,045",114.342404
0,0,300000,100%,raw-bus-cycles,"34,089,733,013",114.342404
0,0,300000,100%,raw-cid-write-retired,1,114.526347
0,0,300000,100%,raw-cnt-cycles,0,114.526347
0,0,300000,100%,raw-cpu-cycles,"34,144,953,714",114.526347
0,0,300000,100%,raw-crypto-spec,0,114.526347
0,0,300000,100%,raw-dmb-spec,0,114.526347
0,0,300000,100%,raw-dp-spec,"14,567,232,390",114.443307
0,0,300000,100%,raw-dsb-spec,0,114.443307
0,0,300000,100%,raw-dtlb-walk,"1,356,601",114.443307
0,0,300000,100%,raw-exc-dabort,0,114.443307
0,0,300000,100%,raw-exc-fiq,19,114.443307
0,0,300000,100%,raw-exc-hvc,0,114.443307
0,0,300000,100%,raw-exc-irq,"47,076",114.413295
0,0,300000,100%,raw-exc-pabort,0,114.413295
0,0,300000,100%,raw-exc-return,"63,687",114.413295
0,0,300000,100%,raw-exc-smc,0,114.413295
0,0,300000,100%,raw-exc-svc,0,114.413295
0,0,300000,100%,raw-exc-taken,"63,706",114.413295
0,0,300000,100%,raw-exc-trap-dabort,0,114.548588
0,0,300000,100%,raw-exc-trap-fiq,0,114.548588
0,0,300000,100%,raw-exc-trap-irq,0,114.548588
0,0,300000,100%,raw-exc-trap-other,0,114.548588
0,0,300000,100%,raw-exc-trap-pabort,0,114.548588
0,0,300000,100%,raw-exc-undef,0,114.548588
0,0,300000,100%,raw-inst-retired,"27,686,477,121",114.455598
0,0,300000,100%,raw-inst-spec,"28,451,329,330",114.455598
0,0,300000,100%,raw-isb-spec,0,114.455598
0,0,300000,100%,raw-itlb-walk,"66,974",114.455598
0,0,300000,100%,raw-l1d-cache,"7,144,048,734",114.455598
0,0,300000,100%,raw-l1d-cache-allocate,0,114.455598
0,0,300000,100%,raw-l1d-cache-inval,0,114.406667
0,0,300000,100%,raw-l1d-cache-lmiss-rd,0,114.406667
0,0,300000,100%,raw-l1d-cache-rd,"6,538,895,738",114.406667
0,0,300000,100%,raw-l1d-cache-refill,"391,214,312",114.406667
0,0,300000,100%,raw-l1d-cache-refill-inner,"209,728,670",114.406667
0,0,300000,100%,raw-l1d-cache-refill-outer,"183,430,549",114.406667
0,0,300000,100%,raw-l1d-cache-refill-rd,"243,813,084",114.345410
0,0,300000,100%,raw-l1d-cache-refill-wr,"147,531,844",114.345410
0,0,300000,100%,raw-l1d-cache-wb,"460,243,879",114.345410
0,0,300000,100%,raw-l1d-cache-wb-clean,0,114.345410
0,0,300000,100%,raw-l1d-cache-wb-victim,0,114.345410
0,0,300000,100%,raw-l1d-cache-wr,"607,032,887",114.345410
0,0,300000,100%,raw-l1d-tlb,"7,180,222,305",114.460002
0,0,300000,100%,raw-l1d-tlb-rd,0,114.460002
0,0,300000,100%,raw-l1d-tlb-refill,"371,964,144",114.460002
0,0,300000,100%,raw-l1d-tlb-refill-rd,0,114.460002
0,0,300000,100%,raw-l1d-tlb-refill-wr,0,114.460002
