setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,"14,947,855",292.713741
0,0,300000,100%,raw-br-immed-retired,"10,565,244,392",292.713741
0,0,300000,100%,raw-br-immed-spec,"10,565,244,392",292.713741
0,0,300000,100%,raw-br-indirect-spec,"12,888,268",292.713741
0,0,300000,100%,raw-br-mis-pred,"1,475,883,922",292.713741
0,0,300000,100%,raw-br-mis-pred-retired,"1,480,576,722",292.713741
0,0,300000,100%,raw-br-pred,"10,055,279,031",292.158242
0,0,300000,100%,raw-br-retired,"11,172,421,013",292.158242
0,0,300000,100%,raw-br-return-retired,"592,353,713",292.158242
0,0,300000,100%,raw-br-return-spec,"592,353,713",292.158242
0,0,300000,100%,raw-bus-access,"3,469,901,951",292.158242
0,0,300000,100%,raw-bus-access-normal,0,292.158242
0,0,300000,100%,raw-bus-access-not-shared,0,292.074741
0,0,300000,100%,raw-bus-access-periph,0,292.074741
0,0,300000,100%,raw-bus-access-rd,"1,552,359,101",292.074741
0,0,300000,100%,raw-bus-access-shared,0,292.074741
0,0,300000,100%,raw-bus-access-wr,"1,896,513,857",292.074741
0,0,300000,100%,raw-bus-cycles,"87,284,072,818",292.074741
0,0,300000,100%,raw-cid-write-retired,1,291.858325
0,0,300000,100%,raw-cnt-cycles,0,291.858325
0,0,300000,100%,raw-cpu-cycles,"87,227,811,932",291.858325
0,0,300000,100%,raw-crypto-spec,0,291.858325
0,0,300000,100%,raw-dmb-spec,0,291.858325
0,0,300000,100%,raw-dp-spec,"39,020,544,112",292.340467
0,0,300000,100%,raw-dsb-spec,0,292.340467
0,0,300000,100%,raw-dtlb-walk,"7,093,454",292.340467
0,0,300000,100%,raw-exc-dabort,0,292.340467
0,0,300000,100%,raw-exc-fiq,49,292.340467
0,0,300000,100%,raw-exc-hvc,0,292.340467
0,0,300000,100%,raw-exc-irq,"118,024",292.261600
0,0,300000,100%,raw-exc-pabort,0,292.261600
0,0,300000,100%,raw-exc-return,"165,021",292.261600
0,0,300000,100%,raw-exc-smc,0,292.261600
0,0,300000,100%,raw-exc-svc,0,292.261600
0,0,300000,100%,raw-exc-taken,"165,070",292.261600
0,0,300000,100%,raw-exc-trap-dabort,0,292.382460
0,0,300000,100%,raw-exc-trap-fiq,0,292.382460
0,0,300000,100%,raw-exc-trap-irq,0,292.382460
0,0,300000,100%,raw-exc-trap-other,0,292.382460
0,0,300000,100%,raw-exc-trap-pabort,0,292.382460
0,0,300000,100%,raw-exc-undef,0,292.382460
0,0,300000,100%,raw-inst-retired,"67,566,599,463",292.104429
0,0,300000,100%,raw-inst-spec,"72,290,773,016",292.104429
0,0,300000,100%,raw-isb-spec,0,292.104429
0,0,300000,100%,raw-itlb-walk,"463,674",292.104429
0,0,300000,100%,raw-l1d-cache,"17,933,172,676",292.104429
0,0,300000,100%,raw-l1d-cache-allocate,0,292.104429
0,0,300000,100%,raw-l1d-cache-inval,0,291.962468
0,0,300000,100%,raw-l1d-cache-lmiss-rd,0,291.962468
0,0,300000,100%,raw-l1d-cache-rd,"15,355,259,496",291.962468
0,0,300000,100%,raw-l1d-cache-refill,"369,393,099",291.962468
0,0,300000,100%,raw-l1d-cache-refill-inner,"351,904,036",291.962468
0,0,300000,100%,raw-l1d-cache-refill-outer,"27,709,227",291.962468
0,0,300000,100%,raw-l1d-cache-refill-rd,"242,085,230",292.374133
