setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,"2,790,638",105.025161
0,0,300000,100%,raw-br-immed-retired,"3,769,603,700",105.025161
0,0,300000,100%,raw-br-immed-spec,"3,769,603,700",105.025161
0,0,300000,100%,raw-br-indirect-spec,"1,603,686",105.025161
0,0,300000,100%,raw-br-mis-pred,"606,434,655",105.025161
0,0,300000,100%,raw-br-mis-pred-retired,"606,566,484",105.025161
0,0,300000,100%,raw-br-pred,"3,574,946,739",104.784381
0,0,300000,100%,raw-br-retired,"3,914,248,374",104.784381
0,0,300000,100%,raw-br-return-retired,"143,708,479",104.784381
0,0,300000,100%,raw-br-return-spec,"143,708,479",104.784381
0,0,300000,100%,raw-bus-access,"2,286,958,976",104.784381
0,0,300000,100%,raw-bus-access-normal,0,104.784381
0,0,300000,100%,raw-bus-access-not-shared,0,104.861849
0,0,300000,100%,raw-bus-access-periph,0,104.861849
0,0,300000,100%,raw-bus-access-rd,"1,138,693,974",104.861849
0,0,300000,100%,raw-bus-access-shared,0,104.861849
0,0,300000,100%,raw-bus-access-wr,"1,169,603,752",104.861849
0,0,300000,100%,raw-bus-cycles,"31,370,555,366",104.861849
0,0,300000,100%,raw-cid-write-retired,1,104.668476
0,0,300000,100%,raw-cnt-cycles,0,104.668476
0,0,300000,100%,raw-cpu-cycles,"31,316,923,928",104.668476
0,0,300000,100%,raw-crypto-spec,0,104.668476
0,0,300000,100%,raw-dmb-spec,0,104.668476
0,0,300000,100%,raw-dp-spec,"11,196,873,294",104.845799
0,0,300000,100%,raw-dsb-spec,0,104.845799
0,0,300000,100%,raw-dtlb-walk,"19,541,535",104.845799
0,0,300000,100%,raw-exc-dabort,0,104.845799
0,0,300000,100%,raw-exc-fiq,17,104.845799
0,0,300000,100%,raw-exc-hvc,0,104.845799
0,0,300000,100%,raw-exc-irq,"42,105",104.868160
0,0,300000,100%,raw-exc-pabort,0,104.868160
0,0,300000,100%,raw-exc-return,"47,523",104.868160
0,0,300000,100%,raw-exc-smc,0,104.868160
0,0,300000,100%,raw-exc-svc,0,104.868160
0,0,300000,100%,raw-exc-taken,"47,540",104.868160
0,0,300000,100%,raw-exc-trap-dabort,0,104.816688
0,0,300000,100%,raw-exc-trap-fiq,0,104.816688
0,0,300000,100%,raw-exc-trap-irq,0,104.816688
0,0,300000,100%,raw-exc-trap-other,0,104.816688
0,0,300000,100%,raw-exc-trap-pabort,0,104.816688
0,0,300000,100%,raw-exc-undef,0,104.816688
0,0,300000,100%,raw-inst-retired,"22,820,448,889",104.753952
0,0,300000,100%,raw-inst-spec,"24,824,339,725",104.753952
0,0,300000,100%,raw-isb-spec,0,104.753952
0,0,300000,100%,raw-itlb-walk,"126,158",104.753952
0,0,300000,100%,raw-l1d-cache,"8,406,670,838",104.753952
0,0,300000,100%,raw-l1d-cache-allocate,0,104.753952
0,0,300000,100%,raw-l1d-cache-inval,0,104.710899
0,0,300000,100%,raw-l1d-cache-lmiss-rd,0,104.710899
0,0,300000,100%,raw-l1d-cache-rd,"7,921,573,974",104.710899
0,0,300000,100%,raw-l1d-cache-refill,"433,751,104",104.710899
0,0,300000,100%,raw-l1d-cache-refill-inner,"451,440,126",104.710899
0,0,300000,100%,raw-l1d-cache-refill-outer,"2,889,835",104.710899
0,0,300000,100%,raw-l1d-cache-refill-rd,"291,809,621",104.781161
0,0,300000,100%,raw-l1d-cache-refill-wr,"142,160,357",104.781161
0,0,300000,100%,raw-l1d-cache-wb,"510,656,042",104.781161
0,0,300000,100%,raw-l1d-cache-wb-clean,0,104.781161
0,0,300000,100%,raw-l1d-cache-wb-victim,0,104.781161
0,0,300000,100%,raw-l1d-cache-wr,"496,463,687",104.781161
0,0,300000,100%,raw-l1d-tlb,"8,421,266,372",104.848495
0,0,300000,100%,raw-l1d-tlb-rd,0,104.848495
