setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,"130,748,460",320.885372
0,0,300000,100%,raw-br-immed-retired,"13,088,627,728",320.885372
0,0,300000,100%,raw-br-immed-spec,"13,088,627,728",320.885372
0,0,300000,100%,raw-br-indirect-spec,"431,140,808",320.885372
0,0,300000,100%,raw-br-mis-pred,"1,076,274,152",320.885372
0,0,300000,100%,raw-br-mis-pred-retired,"1,083,913,380",320.885372
0,0,300000,100%,raw-br-pred,"12,696,765,181",317.830585
0,0,300000,100%,raw-br-retired,"14,206,359,409",317.830585
0,0,300000,100%,raw-br-return-retired,"701,255,026",317.830585
0,0,300000,100%,raw-br-return-spec,"701,255,026",317.830585
0,0,300000,100%,raw-bus-access,"7,248,348,532",317.830585
0,0,300000,100%,raw-bus-access-normal,0,317.830585
0,0,300000,100%,raw-bus-access-not-shared,0,318.248293
0,0,300000,100%,raw-bus-access-periph,0,318.248293
0,0,300000,100%,raw-bus-access-rd,"3,566,683,813",318.248293
0,0,300000,100%,raw-bus-access-shared,0,318.248293
0,0,300000,100%,raw-bus-access-wr,"3,708,633,969",318.248293
0,0,300000,100%,raw-bus-cycles,"90,328,434,569",318.248293
0,0,300000,100%,raw-cid-write-retired,"49,458",317.849569
0,0,300000,100%,raw-cnt-cycles,0,317.849569
0,0,300000,100%,raw-cpu-cycles,"90,218,655,721",317.849569
0,0,300000,100%,raw-crypto-spec,"47,762",317.849569
0,0,300000,100%,raw-dmb-spec,0,317.849569
0,0,300000,100%,raw-dp-spec,"32,075,582,631",317.816289
0,0,300000,100%,raw-dsb-spec,0,317.816289
0,0,300000,100%,raw-dtlb-walk,"3,594,940",317.816289
0,0,300000,100%,raw-exc-dabort,0,317.816289
0,0,300000,100%,raw-exc-fiq,47,317.816289
0,0,300000,100%,raw-exc-hvc,0,317.816289
0,0,300000,100%,raw-exc-irq,"127,138",317.914742
0,0,300000,100%,raw-exc-pabort,0,317.914742
0,0,300000,100%,raw-exc-return,"536,707",317.914742
0,0,300000,100%,raw-exc-smc,0,317.914742
0,0,300000,100%,raw-exc-svc,0,317.914742
0,0,300000,100%,raw-exc-taken,"536,755",317.914742
0,0,300000,100%,raw-exc-trap-dabort,0,318.440360
0,0,300000,100%,raw-exc-trap-fiq,0,318.440360
0,0,300000,100%,raw-exc-trap-irq,0,318.440360
0,0,300000,100%,raw-exc-trap-other,0,318.440360
0,0,300000,100%,raw-exc-trap-pabort,0,318.440360
0,0,300000,100%,raw-exc-undef,0,318.440360
0,0,300000,100%,raw-inst-retired,"71,109,073,558",317.690419
0,0,300000,100%,raw-inst-spec,"74,055,796,279",317.690419
0,0,300000,100%,raw-isb-spec,0,317.690419
0,0,300000,100%,raw-itlb-walk,"3,484,423",317.690419
0,0,300000,100%,raw-l1d-cache,"23,118,463,187",317.690419
0,0,300000,100%,raw-l1d-cache-allocate,0,317.690419
0,0,300000,100%,raw-l1d-cache-inval,0,317.942882
0,0,300000,100%,raw-l1d-cache-lmiss-rd,0,317.942882
