setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,"457,430,214",66.672304
0,0,300000,100%,raw-br-immed-retired,"1,310,213,949",66.672304
0,0,300000,100%,raw-br-immed-spec,"1,310,213,949",66.672304
0,0,300000,100%,raw-br-indirect-spec,"1,136,295",66.672304
0,0,300000,100%,raw-br-mis-pred,"33,018,616",66.672304
0,0,300000,100%,raw-br-mis-pred-retired,"33,073,826",66.672304
0,0,300000,100%,raw-br-pred,"1,222,208,049",66.630385
0,0,300000,100%,raw-br-retired,"1,386,529,668",66.630385
0,0,300000,100%,raw-br-return-retired,"74,686,234",66.630385
0,0,300000,100%,raw-br-return-spec,"74,686,234",66.630385
0,0,300000,100%,raw-bus-access,"202,217,057",66.630385
0,0,300000,100%,raw-bus-access-normal,0,66.630385
0,0,300000,100%,raw-bus-access-not-shared,0,66.597418
0,0,300000,100%,raw-bus-access-periph,0,66.597418
0,0,300000,100%,raw-bus-access-rd,"92,844,195",66.597418
0,0,300000,100%,raw-bus-access-shared,0,66.597418
0,0,300000,100%,raw-bus-access-wr,"109,614,474",66.597418
0,0,300000,100%,raw-bus-cycles,"19,923,678,509",66.597418
0,0,300000,100%,raw-cid-write-retired,1,66.775397
0,0,300000,100%,raw-cnt-cycles,0,66.775397
0,0,300000,100%,raw-cpu-cycles,"19,978,838,889",66.775397
0,0,300000,100%,raw-crypto-spec,0,66.775397
0,0,300000,100%,raw-dmb-spec,0,66.775397
0,0,300000,100%,raw-dp-spec,"2,962,518,686",66.493847
0,0,300000,100%,raw-dsb-spec,0,66.493847
0,0,300000,100%,raw-dtlb-walk,"2,905",66.493847
0,0,300000,100%,raw-exc-dabort,0,66.493847
0,0,300000,100%,raw-exc-fiq,11,66.493847
0,0,300000,100%,raw-exc-hvc,0,66.493847
0,0,300000,100%,raw-exc-irq,"26,668",66.490006
0,0,300000,100%,raw-exc-pabort,0,66.490006
0,0,300000,100%,raw-exc-return,"43,445",66.490006
0,0,300000,100%,raw-exc-smc,0,66.490006
0,0,300000,100%,raw-exc-svc,0,66.490006
0,0,300000,100%,raw-exc-taken,"43,456",66.490006
0,0,300000,100%,raw-exc-trap-dabort,0,66.530783
0,0,300000,100%,raw-exc-trap-fiq,0,66.530783
0,0,300000,100%,raw-exc-trap-irq,0,66.530783
0,0,300000,100%,raw-exc-trap-other,0,66.530783
0,0,300000,100%,raw-exc-trap-pabort,0,66.530783
0,0,300000,100%,raw-exc-undef,0,66.530783
0,0,300000,100%,raw-inst-retired,"12,344,123,401",66.522808
0,0,300000,100%,raw-inst-spec,"12,476,474,625",66.522808
0,0,300000,100%,raw-isb-spec,0,66.522808
0,0,300000,100%,raw-itlb-walk,"1,011",66.522808
0,0,300000,100%,raw-l1d-cache,"3,028,187,410",66.522808
0,0,300000,100%,raw-l1d-cache-allocate,0,66.522808
0,0,300000,100%,raw-l1d-cache-inval,0,66.713445
0,0,300000,100%,raw-l1d-cache-lmiss-rd,0,66.713445
0,0,300000,100%,raw-l1d-cache-rd,"2,890,362,021",66.713445
0,0,300000,100%,raw-l1d-cache-refill,"29,334,169",66.713445
0,0,300000,100%,raw-l1d-cache-refill-inner,"29,645,108",66.713445
0,0,300000,100%,raw-l1d-cache-refill-outer,"108,064",66.713445
0,0,300000,100%,raw-l1d-cache-refill-rd,"28,102,137",66.711550
0,0,300000,100%,raw-l1d-cache-refill-wr,"2,008,716",66.711550
0,0,300000,100%,raw-l1d-cache-wb,"37,197,741",66.711550
0,0,300000,100%,raw-l1d-cache-wb-clean,0,66.711550
0,0,300000,100%,raw-l1d-cache-wb-victim,0,66.711550
0,0,300000,100%,raw-l1d-cache-wr,"133,092,845",66.711550
0,0,300000,100%,raw-l1d-tlb,"3,029,549,316",66.522443
0,0,300000,100%,raw-l1d-tlb-rd,0,66.522443
0,0,300000,100%,raw-l1d-tlb-refill,"88,260,985",66.522443
0,0,300000,100%,raw-l1d-tlb-refill-rd,0,66.522443
0,0,300000,100%,raw-l1d-tlb-refill-wr,0,66.522443
0,0,300000,100%,raw-l1d-tlb-wr,0,66.522443
0,0,300000,100%,raw-l1i-cache,"6,873,441,114",66.760179
0,0,300000,100%,raw-l1i-cache-lmiss,0,66.760179
0,0,300000,100%,raw-l1i-cache-refill,"15,005,869",66.760179
0,0,300000,100%,raw-l1i-tlb,"7,137,573,797",66.760179
0,0,300000,100%,raw-l1i-tlb-refill,"913,424",66.760179
0,0,300000,100%,raw-l2d-cache,"95,788,769",66.760179
0,0,300000,100%,raw-l2d-cache-allocate,"34,910,007",66.687363
0,0,300000,100%,raw-l2d-cache-inval,0,66.687363
0,0,300000,100%,raw-l2d-cache-lmiss-rd,0,66.687363
0,0,300000,100%,raw-l2d-cache-rd,"58,787,872",66.687363
0,0,300000,100%,raw-l2d-cache-refill,"25,208,216",66.687363
0,0,300000,100%,raw-l2d-cache-refill-rd,"25,194,126",66.687363
0,0,300000,100%,raw-l2d-cache-refill-wr,"13,934",66.748100
0,0,300000,100%,raw-l2d-cache-wb,"27,536,593",66.748100
0,0,300000,100%,raw-l2d-cache-wb-clean,0,66.748100
0,0,300000,100%,raw-l2d-cache-wb-victim,0,66.748100
0,0,300000,100%,raw-l2d-cache-wr,"38,160,363",66.748100
0,0,300000,100%,raw-l2d-tlb,"90,503,180",66.748100
0,0,300000,100%,raw-l2d-tlb-rd,0,66.600335
0,0,300000,100%,raw-l2d-tlb-refill,"3,710",66.600335
0,0,300000,100%,raw-l2d-tlb-refill-rd,0,66.600335
0,0,300000,100%,raw-l2d-tlb-refill-wr,0,66.600335
0,0,300000,100%,raw-l2d-tlb-wr,0,66.600335
0,0,300000,100%,raw-l2i-cache,0,66.600335
0,0,300000,100%,raw-l2i-cache-lmiss,0,66.428532
0,0,300000,100%,raw-l2i-cache-refill,0,66.428532
0,0,300000,100%,raw-l2i-tlb,0,66.428532
0,0,300000,100%,raw-l2i-tlb-refill,0,66.428532
0,0,300000,100%,raw-l3d-cache,"42,946,088",66.428532
0,0,300000,100%,raw-l3d-cache-allocate,"20,748,043",66.428532
0,0,300000,100%,raw-l3d-cache-inval,0,66.538831
0,0,300000,100%,raw-l3d-cache-lmiss-rd,0,66.538831
0,0,300000,100%,raw-l3d-cache-rd,"22,562,415",66.538831
0,0,300000,100%,raw-l3d-cache-refill,"186,363",66.538831
0,0,300000,100%,raw-l3d-cache-refill-rd,"186,363",66.538831
0,0,300000,100%,raw-l3d-cache-refill-wr,0,66.538831
0,0,300000,100%,raw-l3d-cache-wb,0,66.822161
0,0,300000,100%,raw-l3d-cache-wb-clean,0,66.822161
0,0,300000,100%,raw-l3d-cache-wb-victim,0,66.822161
0,0,300000,100%,raw-l3d-cache-wr,0,66.822161
0,0,300000,100%,raw-ld-retired,"2,599,430,197",66.822161
0,0,300000,100%,raw-ld-spec,"2,621,655,428",66.822161
0,0,300000,100%,raw-ldrex-spec,0,66.574472
0,0,300000,100%,raw-ldst-spec,"3,160,500,922",66.574472
0,0,300000,100%,raw-ll-cache,0,66.574472
0,0,300000,100%,raw-ll-cache-miss,0,66.574472
0,0,300000,100%,raw-ll-cache-miss-rd,"222,816",66.574472
0,0,300000,100%,raw-ll-cache-rd,"23,237,586",66.574472
0,0,300000,100%,raw-mem-access,"3,411,899,611",66.570873
0,0,300000,100%,raw-mem-access-rd,"2,883,810,408",66.570873
0,0,300000,100%,raw-mem-access-wr,"528,089,203",66.570873
0,0,300000,100%,raw-memory-error,0,66.570873
0,0,300000,100%,raw-op-retired,0,66.570873
0,0,300000,100%,raw-op-spec,0,66.570873
0,0,300000,100%,raw-pc-write-retired,"663,865,342",66.517288
0,0,300000,100%,raw-pc-write-spec,"1,400,880,449",66.517288
0,0,300000,100%,raw-rc-ld-spec,0,66.517288
0,0,300000,100%,raw-rc-st-spec,0,66.517288
0,0,300000,100%,raw-remote-access,0,66.517288
0,0,300000,100%,raw-remote-access-rd,0,66.517288
0,0,300000,100%,raw-sample-collision,0,66.532720
0,0,300000,100%,raw-sample-feed,0,66.532720
0,0,300000,100%,raw-sample-filtrate,0,66.532720
0,0,300000,100%,raw-sample-pop,0,66.532720
0,0,300000,100%,raw-st-retired,"525,418,598",66.532720
0,0,300000,100%,raw-st-spec,"538,904,438",66.532720
0,0,300000,100%,raw-stall,0,66.767567
0,0,300000,100%,raw-stall-backend,"10,779,460,191",66.767567
0,0,300000,100%,raw-stall-backend-mem,0,66.767567
0,0,300000,100%,raw-stall-frontend,"245,035,176",66.767567
0,0,300000,100%,raw-stall-slot,0,66.767567
0,0,300000,100%,raw-stall-slot-backend,0,66.767567
0,0,300000,100%,raw-stall-slot-frontend,0,66.596704
0,0,300000,100%,raw-strex-fail-spec,0,66.596704
0,0,300000,100%,raw-strex-pass-spec,0,66.596704
0,0,300000,100%,raw-strex-spec,0,66.596704
0,0,300000,100%,raw-sve-inst-retired,0,66.596704
0,0,300000,100%,raw-sve-inst-spec,0,66.596704
0,0,300000,100%,raw-sw-incr,0,66.562288
0,0,300000,100%,raw-ttbr-write-retired,6,66.562288
0,0,300000,100%,raw-unaligned-ld-spec,0,66.562288
0,0,300000,100%,raw-unaligned-ldst-retired,"217,707",66.562288
0,0,300000,100%,raw-unaligned-ldst-spec,0,66.562288
0,0,300000,100%,raw-unaligned-st-spec,0,66.562288
0,0,300000,100%,raw-vfp-spec,"4,955,250,834",66.547444
0,0,1248000,100%,raw-ase-spec,"457,390,697",15.728480
0,0,1248000,100%,raw-br-immed-retired,"1,281,925,793",15.728480
0,0,1248000,100%,raw-br-immed-spec,"1,281,925,793",15.728480
0,0,1248000,100%,raw-br-indirect-spec,"298,798",15.728480
0,0,1248000,100%,raw-br-mis-pred,"28,803,299",15.728480
0,0,1248000,100%,raw-br-mis-pred-retired,"28,833,548",15.728480
0,0,1248000,100%,raw-br-pred,"1,195,174,466",15.715424
0,0,1248000,100%,raw-br-retired,"1,354,999,022",15.715424
0,0,1248000,100%,raw-br-return-retired,"72,774,092",15.715424
0,0,1248000,100%,raw-br-return-spec,"72,774,092",15.715424
0,0,1248000,100%,raw-bus-access,"107,715,123",15.715424
0,0,1248000,100%,raw-bus-access-normal,0,15.715424
0,0,1248000,100%,raw-bus-access-not-shared,0,15.731886
0,0,1248000,100%,raw-bus-access-periph,0,15.731886
0,0,1248000,100%,raw-bus-access-rd,"53,905,930",15.731886
0,0,1248000,100%,raw-bus-access-shared,0,15.731886
0,0,1248000,100%,raw-bus-access-wr,"60,525,467",15.731886
0,0,1248000,100%,raw-bus-cycles,"19,617,150,962",15.731886
0,0,1248000,100%,raw-cid-write-retired,1,15.736665
0,0,1248000,100%,raw-cnt-cycles,0,15.736665
0,0,1248000,100%,raw-cpu-cycles,"19,623,346,064",15.736665
0,0,1248000,100%,raw-crypto-spec,0,15.736665
0,0,1248000,100%,raw-dmb-spec,0,15.736665
0,0,1248000,100%,raw-dp-spec,"2,873,799,085",15.730796
0,0,1248000,100%,raw-dsb-spec,0,15.730796
0,0,1248000,100%,raw-dtlb-walk,"2,651",15.730796
0,0,1248000,100%,raw-exc-dabort,0,15.730796
0,0,1248000,100%,raw-exc-fiq,2,15.730796
0,0,1248000,100%,raw-exc-hvc,0,15.730796
0,0,1248000,100%,raw-exc-irq,"6,313",15.738053
