setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,"663,937",0.290538
0,0,300000,100%,raw-br-immed-retired,"10,201,076",0.290538
0,0,300000,100%,raw-br-immed-spec,"10,201,076",0.290538
0,0,300000,100%,raw-br-indirect-spec,"63,157",0.290538
0,0,300000,100%,raw-br-mis-pred,"887,931",0.290538
0,0,300000,100%,raw-br-mis-pred-retired,"892,873",0.290538
0,0,300000,100%,raw-br-pred,"9,593,974",0.285351
0,0,300000,100%,raw-br-retired,"10,768,698",0.285351
0,0,300000,100%,raw-br-return-retired,"485,041",0.285351
0,0,300000,100%,raw-br-return-spec,"485,041",0.285351
0,0,300000,100%,raw-bus-access,"6,013,801",0.285351
0,0,300000,100%,raw-bus-access-normal,0,0.285351
0,0,300000,100%,raw-bus-access-not-shared,0,0.286835
0,0,300000,100%,raw-bus-access-periph,0,0.286835
0,0,300000,100%,raw-bus-access-rd,"2,855,613",0.286835
0,0,300000,100%,raw-bus-access-shared,0,0.286835
0,0,300000,100%,raw-bus-access-wr,"3,194,570",0.286835
0,0,300000,100%,raw-bus-cycles,"84,097,586",0.286835
0,0,300000,100%,raw-cid-write-retired,1,0.285019
0,0,300000,100%,raw-cnt-cycles,0,0.285019
0,0,300000,100%,raw-cpu-cycles,"83,754,885",0.285019
0,0,300000,100%,raw-crypto-spec,0,0.285019
0,0,300000,100%,raw-dmb-spec,0,0.285019
0,0,300000,100%,raw-dp-spec,"24,899,403",0.286468
0,0,300000,100%,raw-dsb-spec,0,0.286468
0,0,300000,100%,raw-dtlb-walk,"3,075",0.286468
0,0,300000,100%,raw-exc-dabort,0,0.286468
0,0,300000,100%,raw-exc-fiq,0,0.286468
0,0,300000,100%,raw-exc-hvc,0,0.286468
0,0,300000,100%,raw-exc-irq,113,0.288815
0,0,300000,100%,raw-exc-pabort,0,0.288815
0,0,300000,100%,raw-exc-return,"1,865",0.288815
0,0,300000,100%,raw-exc-smc,0,0.288815
