setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,"619,673",1.529734
0,0,300000,100%,raw-br-immed-retired,"80,869,964",1.529734
0,0,300000,100%,raw-br-immed-spec,"80,869,964",1.529734
0,0,300000,100%,raw-br-indirect-spec,"2,931,079",1.529734
0,0,300000,100%,raw-br-mis-pred,"2,404,960",1.529734
0,0,300000,100%,raw-br-mis-pred-retired,"2,413,916",1.529734
0,0,300000,100%,raw-br-pred,"81,658,245",1.526971
0,0,300000,100%,raw-br-retired,"91,034,571",1.526971
0,0,300000,100%,raw-br-return-retired,"7,180,222",1.526971
0,0,300000,100%,raw-br-return-spec,"7,180,222",1.526971
0,0,300000,100%,raw-bus-access,"20,704,858",1.526971
0,0,300000,100%,raw-bus-access-normal,0,1.526971
0,0,300000,100%,raw-bus-access-not-shared,0,1.532505
0,0,300000,100%,raw-bus-access-periph,0,1.532505
0,0,300000,100%,raw-bus-access-rd,"9,742,741",1.532505
0,0,300000,100%,raw-bus-access-shared,0,1.532505
0,0,300000,100%,raw-bus-access-wr,"11,420,265",1.532505
0,0,300000,100%,raw-bus-cycles,"453,473,680",1.532505
0,0,300000,100%,raw-cid-write-retired,1,1.532904
0,0,300000,100%,raw-cnt-cycles,0,1.532904
0,0,300000,100%,raw-cpu-cycles,"453,649,730",1.532904
0,0,300000,100%,raw-crypto-spec,0,1.532904
0,0,300000,100%,raw-dmb-spec,0,1.532904
0,0,300000,100%,raw-dp-spec,"151,927,749",1.528828
0,0,300000,100%,raw-dsb-spec,0,1.528828
0,0,300000,100%,raw-dtlb-walk,"29,843",1.528828
0,0,300000,100%,raw-exc-dabort,0,1.528828
0,0,300000,100%,raw-exc-fiq,0,1.528828
0,0,300000,100%,raw-exc-hvc,0,1.528828
0,0,300000,100%,raw-exc-irq,639,1.525651
0,0,300000,100%,raw-exc-pabort,0,1.525651
0,0,300000,100%,raw-exc-return,"3,786",1.525651
0,0,300000,100%,raw-exc-smc,0,1.525651
0,0,300000,100%,raw-exc-svc,0,1.525651
0,0,300000,100%,raw-exc-taken,"3,786",1.525651
0,0,300000,100%,raw-exc-trap-dabort,0,1.535279
0,0,300000,100%,raw-exc-trap-fiq,0,1.535279
0,0,300000,100%,raw-exc-trap-irq,0,1.535279
0,0,300000,100%,raw-exc-trap-other,0,1.535279
0,0,300000,100%,raw-exc-trap-pabort,0,1.535279
0,0,300000,100%,raw-exc-undef,0,1.535279
0,0,300000,100%,raw-inst-retired,"358,768,874",1.533896
0,0,300000,100%,raw-inst-spec,"366,173,687",1.533896
0,0,300000,100%,raw-isb-spec,0,1.533896
0,0,300000,100%,raw-itlb-walk,"4,935",1.533896
0,0,300000,100%,raw-l1d-cache,"114,099,076",1.533896
0,0,300000,100%,raw-l1d-cache-allocate,0,1.533896
0,0,300000,100%,raw-l1d-cache-inval,0,1.530274
0,0,300000,100%,raw-l1d-cache-lmiss-rd,0,1.530274
0,0,300000,100%,raw-l1d-cache-rd,"105,612,285",1.530274
0,0,300000,100%,raw-l1d-cache-refill,"4,942,766",1.530274
0,0,300000,100%,raw-l1d-cache-refill-inner,"4,646,088",1.530274
0,0,300000,100%,raw-l1d-cache-refill-outer,"380,460",1.530274
0,0,300000,100%,raw-l1d-cache-refill-rd,"4,347,185",1.533865
0,0,300000,100%,raw-l1d-cache-refill-wr,"611,734",1.533865
0,0,300000,100%,raw-l1d-cache-wb,"6,332,848",1.533865
0,0,300000,100%,raw-l1d-cache-wb-clean,0,1.533865
0,0,300000,100%,raw-l1d-cache-wb-victim,0,1.533865
0,0,300000,100%,raw-l1d-cache-wr,"8,563,359",1.533865
0,0,300000,100%,raw-l1d-tlb,"114,027,423",1.532710
0,0,300000,100%,raw-l1d-tlb-rd,0,1.532710
