setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,"1,734",12.373513
0,0,300000,100%,raw-br-immed-retired,"328,229,285",12.373513
0,0,300000,100%,raw-br-immed-spec,"328,229,285",12.373513
0,0,300000,100%,raw-br-indirect-spec,"138,707",12.373513
0,0,300000,100%,raw-br-mis-pred,"702,543",12.373513
0,0,300000,100%,raw-br-mis-pred-retired,"709,759",12.373513
0,0,300000,100%,raw-br-pred,"272,408,850",12.377984
0,0,300000,100%,raw-br-retired,"417,708,909",12.377984
0,0,300000,100%,raw-br-return-retired,"89,252,835",12.377984
0,0,300000,100%,raw-br-return-spec,"89,252,835",12.377984
0,0,300000,100%,raw-bus-access,"7,985,903",12.377984
0,0,300000,100%,raw-bus-access-normal,0,12.377984
0,0,300000,100%,raw-bus-access-not-shared,0,12.372520
0,0,300000,100%,raw-bus-access-periph,0,12.372520
0,0,300000,100%,raw-bus-access-rd,"3,572,965",12.372520
0,0,300000,100%,raw-bus-access-shared,0,12.372520
0,0,300000,100%,raw-bus-access-wr,"4,308,639",12.372520
0,0,300000,100%,raw-bus-cycles,"3,696,266,629",12.372520
0,0,300000,100%,raw-cid-write-retired,0,12.371885
0,0,300000,100%,raw-cnt-cycles,0,12.371885
0,0,300000,100%,raw-cpu-cycles,"3,696,979,642",12.371885
0,0,300000,100%,raw-crypto-spec,0,12.371885
0,0,300000,100%,raw-dmb-spec,0,12.371885
0,0,300000,100%,raw-dp-spec,"1,430,300,900",12.365032
0,0,300000,100%,raw-dsb-spec,0,12.365032
0,0,300000,100%,raw-dtlb-walk,328,12.365032
0,0,300000,100%,raw-exc-dabort,0,12.365032
0,0,300000,100%,raw-exc-fiq,2,12.365032
0,0,300000,100%,raw-exc-hvc,0,12.365032
0,0,300000,100%,raw-exc-irq,"3,722",12.403575
0,0,300000,100%,raw-exc-pabort,0,12.403575
0,0,300000,100%,raw-exc-return,"3,810",12.403575
0,0,300000,100%,raw-exc-smc,0,12.403575
0,0,300000,100%,raw-exc-svc,0,12.403575
0,0,300000,100%,raw-exc-taken,"3,812",12.403575
0,0,300000,100%,raw-exc-trap-dabort,0,12.383830
0,0,300000,100%,raw-exc-trap-fiq,0,12.383830
0,0,300000,100%,raw-exc-trap-irq,0,12.383830
0,0,300000,100%,raw-exc-trap-other,0,12.383830
0,0,300000,100%,raw-exc-trap-pabort,0,12.383830
0,0,300000,100%,raw-exc-undef,0,12.383830
0,0,300000,100%,raw-inst-retired,"3,515,433,125",12.380677
0,0,300000,100%,raw-inst-spec,"3,517,522,093",12.380677
0,0,300000,100%,raw-isb-spec,0,12.380677
0,0,300000,100%,raw-itlb-walk,198,12.380677
0,0,300000,100%,raw-l1d-cache,"1,278,571,222",12.380677
0,0,300000,100%,raw-l1d-cache-allocate,0,12.380677
0,0,300000,100%,raw-l1d-cache-inval,0,12.371333
0,0,300000,100%,raw-l1d-cache-lmiss-rd,0,12.371333
0,0,300000,100%,raw-l1d-cache-rd,"1,176,617,024",12.371333
0,0,300000,100%,raw-l1d-cache-refill,"697,678",12.371333
0,0,300000,100%,raw-l1d-cache-refill-inner,"704,672",12.371333
0,0,300000,100%,raw-l1d-cache-refill-outer,"5,093",12.371333
0,0,300000,100%,raw-l1d-cache-refill-rd,"636,797",12.360023
0,0,300000,100%,raw-l1d-cache-refill-wr,"41,504",12.360023
0,0,300000,100%,raw-l1d-cache-wb,"699,146",12.360023
0,0,300000,100%,raw-l1d-cache-wb-clean,0,12.360023
0,0,300000,100%,raw-l1d-cache-wb-victim,0,12.360023
0,0,300000,100%,raw-l1d-cache-wr,"96,262,294",12.360023
0,0,300000,100%,raw-l1d-tlb,"1,262,887,449",12.362290
0,0,300000,100%,raw-l1d-tlb-rd,0,12.362290
0,0,300000,100%,raw-l1d-tlb-refill,"1,139,732",12.362290
0,0,300000,100%,raw-l1d-tlb-refill-rd,0,12.362290
0,0,300000,100%,raw-l1d-tlb-refill-wr,0,12.362290
0,0,300000,100%,raw-l1d-tlb-wr,0,12.362290
0,0,300000,100%,raw-l1i-cache,"1,937,301,784",12.397947
0,0,300000,100%,raw-l1i-cache-lmiss,0,12.397947
0,0,300000,100%,raw-l1i-cache-refill,"2,180,003",12.397947
0,0,300000,100%,raw-l1i-tlb,"1,971,752,837",12.397947
0,0,300000,100%,raw-l1i-tlb-refill,"56,148",12.397947
0,0,300000,100%,raw-l2d-cache,"4,666,209",12.397947
0,0,300000,100%,raw-l2d-cache-allocate,"545,643",12.367585
0,0,300000,100%,raw-l2d-cache-inval,0,12.367585
0,0,300000,100%,raw-l2d-cache-lmiss-rd,0,12.367585
