setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,138,5.343894
0,0,300000,100%,raw-br-immed-retired,"222,840,624",5.343894
0,0,300000,100%,raw-br-immed-spec,"222,840,624",5.343894
0,0,300000,100%,raw-br-indirect-spec,"726,942",5.343894
0,0,300000,100%,raw-br-mis-pred,"1,283,770",5.343894
0,0,300000,100%,raw-br-mis-pred-retired,"1,429,519",5.343894
0,0,300000,100%,raw-br-pred,"195,941,296",4.747224
0,0,300000,100%,raw-br-retired,"205,038,268",4.747224
0,0,300000,100%,raw-br-return-retired,"4,185,801",4.747224
0,0,300000,100%,raw-br-return-spec,"4,185,801",4.747224
0,0,300000,100%,raw-bus-access,"499,976,067",4.747224
0,0,300000,100%,raw-bus-access-normal,0,4.747224
0,0,300000,100%,raw-bus-access-not-shared,0,5.357651
0,0,300000,100%,raw-bus-access-periph,0,5.357651
0,0,300000,100%,raw-bus-access-rd,"14,474,213",5.357651
0,0,300000,100%,raw-bus-access-shared,0,5.357651
0,0,300000,100%,raw-bus-access-wr,"482,388,899",5.357651
0,0,300000,100%,raw-bus-cycles,"1,599,112,069",5.357651
0,0,300000,100%,raw-cid-write-retired,13,4.753802
0,0,300000,100%,raw-cnt-cycles,0,4.753802
0,0,300000,100%,raw-cpu-cycles,"1,416,166,680",4.753802
0,0,300000,100%,raw-crypto-spec,0,4.753802
0,0,300000,100%,raw-dmb-spec,0,4.753802
0,0,300000,100%,raw-dp-spec,"587,841,435",4.747540
0,0,300000,100%,raw-dsb-spec,0,4.747540
0,0,300000,100%,raw-dtlb-walk,"1,850,856",4.747540
0,0,300000,100%,raw-exc-dabort,0,4.747540
0,0,300000,100%,raw-exc-fiq,0,4.747540
0,0,300000,100%,raw-exc-hvc,0,4.747540
0,0,300000,100%,raw-exc-irq,"1,442",4.761058
0,0,300000,100%,raw-exc-pabort,0,4.761058
0,0,300000,100%,raw-exc-return,"132,918",4.761058
0,0,300000,100%,raw-exc-smc,0,4.761058
0,0,300000,100%,raw-exc-svc,0,4.761058
0,0,300000,100%,raw-exc-taken,"132,918",4.761058
0,0,300000,100%,raw-exc-trap-dabort,0,4.741228
0,0,300000,100%,raw-exc-trap-fiq,0,4.741228
0,0,300000,100%,raw-exc-trap-irq,0,4.741228
0,0,300000,100%,raw-exc-trap-other,0,4.741228
0,0,300000,100%,raw-exc-trap-pabort,0,4.741228
0,0,300000,100%,raw-exc-undef,0,4.741228
0,0,300000,100%,raw-inst-retired,"970,888,333",4.739157
0,0,300000,100%,raw-inst-spec,"978,378,905",4.739157
0,0,300000,100%,raw-isb-spec,0,4.739157
0,0,300000,100%,raw-itlb-walk,"4,914",4.739157
0,0,300000,100%,raw-l1d-cache,"182,818,145",4.739157
0,0,300000,100%,raw-l1d-cache-allocate,0,4.739157
0,0,300000,100%,raw-l1d-cache-inval,0,5.356836
0,0,300000,100%,raw-l1d-cache-lmiss-rd,0,5.356836
0,0,300000,100%,raw-l1d-cache-rd,"238,999,654",5.356836
0,0,300000,100%,raw-l1d-cache-refill,"3,509,981",5.356836
0,0,300000,100%,raw-l1d-cache-refill-inner,"2,766,512",5.356836
0,0,300000,100%,raw-l1d-cache-refill-outer,"1,022,262",5.356836
0,0,300000,100%,raw-l1d-cache-refill-rd,"1,684,613",5.362949
0,0,300000,100%,raw-l1d-cache-refill-wr,"1,663,130",5.362949
0,0,300000,100%,raw-l1d-cache-wb,"4,005,466",5.362949
0,0,300000,100%,raw-l1d-cache-wb-clean,0,5.362949
0,0,300000,100%,raw-l1d-cache-wb-victim,0,5.362949
0,0,300000,100%,raw-l1d-cache-wr,"27,525,499",5.362949
0,0,300000,100%,raw-l1d-tlb,"183,196,290",4.739919
0,0,300000,100%,raw-l1d-tlb-rd,0,4.739919
0,0,300000,100%,raw-l1d-tlb-refill,"6,615,176",4.739919
0,0,300000,100%,raw-l1d-tlb-refill-rd,0,4.739919
