setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,122,12.963999
0,0,300000,100%,raw-br-immed-retired,"191,569,967",12.963999
0,0,300000,100%,raw-br-immed-spec,"191,569,967",12.963999
0,0,300000,100%,raw-br-indirect-spec,"1,072,703",12.963999
0,0,300000,100%,raw-br-mis-pred,"2,653,166",12.963999
0,0,300000,100%,raw-br-mis-pred-retired,"2,948,202",12.963999
0,0,300000,100%,raw-br-pred,"155,492,892",12.345385
0,0,300000,100%,raw-br-retired,"180,054,156",12.345385
0,0,300000,100%,raw-br-return-retired,"8,044,997",12.345385
0,0,300000,100%,raw-br-return-spec,"8,044,997",12.345385
0,0,300000,100%,raw-bus-access,"1,811,295,252",12.345385
0,0,300000,100%,raw-bus-access-normal,0,12.345385
0,0,300000,100%,raw-bus-access-not-shared,0,12.911928
0,0,300000,100%,raw-bus-access-periph,0,12.911928
0,0,300000,100%,raw-bus-access-rd,"874,417,689",12.911928
0,0,300000,100%,raw-bus-access-shared,0,12.911928
0,0,300000,100%,raw-bus-access-wr,"937,818,595",12.911928
0,0,300000,100%,raw-bus-cycles,"3,851,678,385",12.911928
0,0,300000,100%,raw-cid-write-retired,24,12.960305
0,0,300000,100%,raw-cnt-cycles,0,12.960305
0,0,300000,100%,raw-cpu-cycles,"3,864,060,858",12.960305
0,0,300000,100%,raw-crypto-spec,0,12.960305
0,0,300000,100%,raw-dmb-spec,0,12.960305
0,0,300000,100%,raw-dp-spec,"510,423,632",12.352811
0,0,300000,100%,raw-dsb-spec,0,12.352811
0,0,300000,100%,raw-dtlb-walk,"3,605,019",12.352811
0,0,300000,100%,raw-exc-dabort,0,12.352811
0,0,300000,100%,raw-exc-fiq,2,12.352811
0,0,300000,100%,raw-exc-hvc,0,12.352811
0,0,300000,100%,raw-exc-irq,"3,730",12.353224
0,0,300000,100%,raw-exc-pabort,0,12.353224
0,0,300000,100%,raw-exc-return,"266,287",12.353224
0,0,300000,100%,raw-exc-smc,0,12.353224
0,0,300000,100%,raw-exc-svc,0,12.353224
0,0,300000,100%,raw-exc-taken,"266,289",12.353224
0,0,300000,100%,raw-exc-trap-dabort,0,12.946687
0,0,300000,100%,raw-exc-trap-fiq,0,12.946687
0,0,300000,100%,raw-exc-trap-irq,0,12.946687
0,0,300000,100%,raw-exc-trap-other,0,12.946687
0,0,300000,100%,raw-exc-trap-pabort,0,12.946687
0,0,300000,100%,raw-exc-undef,0,12.946687
0,0,300000,100%,raw-inst-retired,"2,958,544,763",16.961255
0,0,300000,100%,raw-inst-spec,"2,977,066,887",16.961255
0,0,300000,100%,raw-isb-spec,0,16.961255
0,0,300000,100%,raw-itlb-walk,"17,874",16.961255
0,0,300000,100%,raw-l1d-cache,"1,473,066,083",16.961255
0,0,300000,100%,raw-l1d-cache-allocate,0,16.961255
0,0,300000,100%,raw-l1d-cache-inval,0,13.003032
0,0,300000,100%,raw-l1d-cache-lmiss-rd,0,13.003032
0,0,300000,100%,raw-l1d-cache-rd,"768,161,620",13.003032
0,0,300000,100%,raw-l1d-cache-refill,"54,431,813",13.003032
0,0,300000,100%,raw-l1d-cache-refill-inner,"45,718,926",13.003032
0,0,300000,100%,raw-l1d-cache-refill-outer,"13,754,295",13.003032
0,0,300000,100%,raw-l1d-cache-refill-rd,"30,315,760",12.963122
