setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,127,6.993614
0,0,300000,100%,raw-br-immed-retired,"131,444,370",6.993614
0,0,300000,100%,raw-br-immed-spec,"131,444,370",6.993614
0,0,300000,100%,raw-br-indirect-spec,"777,116",6.993614
0,0,300000,100%,raw-br-mis-pred,"1,414,021",6.993614
0,0,300000,100%,raw-br-mis-pred-retired,"1,562,330",6.993614
0,0,300000,100%,raw-br-pred,"101,959,059",6.256080
0,0,300000,100%,raw-br-retired,"111,385,396",6.256080
0,0,300000,100%,raw-br-return-retired,"4,224,641",6.256080
0,0,300000,100%,raw-br-return-spec,"4,224,641",6.256080
0,0,300000,100%,raw-bus-access,"937,009,401",6.256080
0,0,300000,100%,raw-bus-access-normal,0,6.256080
0,0,300000,100%,raw-bus-access-not-shared,0,6.854120
0,0,300000,100%,raw-bus-access-periph,0,6.854120
0,0,300000,100%,raw-bus-access-rd,"452,814,883",6.854120
0,0,300000,100%,raw-bus-access-shared,0,6.854120
0,0,300000,100%,raw-bus-access-wr,"484,618,858",6.854120
0,0,300000,100%,raw-bus-cycles,"2,043,192,271",6.854120
0,0,300000,100%,raw-cid-write-retired,15,6.862714
0,0,300000,100%,raw-cnt-cycles,0,6.862714
0,0,300000,100%,raw-cpu-cycles,"2,046,259,277",6.862714
0,0,300000,100%,raw-crypto-spec,0,6.862714
0,0,300000,100%,raw-dmb-spec,0,6.862714
0,0,300000,100%,raw-dp-spec,"763,640,175",6.906294
0,0,300000,100%,raw-dsb-spec,0,6.906294
0,0,300000,100%,raw-dtlb-walk,"1,854,119",6.906294
0,0,300000,100%,raw-exc-dabort,0,6.906294
0,0,300000,100%,raw-exc-fiq,1,6.906294
0,0,300000,100%,raw-exc-hvc,0,6.906294
0,0,300000,100%,raw-exc-irq,"2,070",6.837593
0,0,300000,100%,raw-exc-pabort,0,6.837593
0,0,300000,100%,raw-exc-return,"133,607",6.837593
0,0,300000,100%,raw-exc-smc,0,6.837593
0,0,300000,100%,raw-exc-svc,0,6.837593
0,0,300000,100%,raw-exc-taken,"133,608",6.837593
0,0,300000,100%,raw-exc-trap-dabort,0,6.908329
0,0,300000,100%,raw-exc-trap-fiq,0,6.908329
0,0,300000,100%,raw-exc-trap-irq,0,6.908329
0,0,300000,100%,raw-exc-trap-other,0,6.908329
0,0,300000,100%,raw-exc-trap-pabort,0,6.908329
0,0,300000,100%,raw-exc-undef,0,6.908329
0,0,300000,100%,raw-inst-retired,"1,459,089,328",6.270284
