setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,"8,863,088",6.787902
0,0,300000,100%,raw-br-immed-retired,"282,653,848",6.787902
0,0,300000,100%,raw-br-immed-spec,"282,653,848",6.787902
0,0,300000,100%,raw-br-indirect-spec,"17,255,832",6.787902
0,0,300000,100%,raw-br-mis-pred,"10,455,738",6.787902
0,0,300000,100%,raw-br-mis-pred-retired,"10,472,392",6.787902
0,0,300000,100%,raw-br-pred,"281,181,668",6.743111
0,0,300000,100%,raw-br-retired,"362,891,114",6.743111
0,0,300000,100%,raw-br-return-retired,"63,288,450",6.743111
0,0,300000,100%,raw-br-return-spec,"63,288,450",6.743111
0,0,300000,100%,raw-bus-access,"33,805,093",6.743111
0,0,300000,100%,raw-bus-access-normal,0,6.743111
0,0,300000,100%,raw-bus-access-not-shared,0,6.744368
0,0,300000,100%,raw-bus-access-periph,0,6.744368
0,0,300000,100%,raw-bus-access-rd,"16,275,934",6.744368
0,0,300000,100%,raw-bus-access-shared,0,6.744368
0,0,300000,100%,raw-bus-access-wr,"17,740,328",6.744368
0,0,300000,100%,raw-bus-cycles,"2,013,736,122",6.744368
0,0,300000,100%,raw-cid-write-retired,1,6.709186
0,0,300000,100%,raw-cnt-cycles,0,6.709186
0,0,300000,100%,raw-cpu-cycles,"2,004,341,886",6.709186
0,0,300000,100%,raw-crypto-spec,0,6.709186
0,0,300000,100%,raw-dmb-spec,0,6.709186
0,0,300000,100%,raw-dp-spec,"586,043,520",6.732797
0,0,300000,100%,raw-dsb-spec,0,6.732797
0,0,300000,100%,raw-dtlb-walk,"5,332",6.732797
0,0,300000,100%,raw-exc-dabort,0,6.732797
0,0,300000,100%,raw-exc-fiq,1,6.732797
0,0,300000,100%,raw-exc-hvc,0,6.732797
0,0,1785600,100%,raw-exc-irq,"2,017",6.722430
0,0,1785600,100%,raw-exc-pabort,0,6.722430
0,0,1785600,100%,raw-exc-return,"5,335",6.722430
0,0,1785600,100%,raw-exc-smc,0,6.722430
0,0,1785600,100%,raw-exc-svc,0,6.722430
0,0,1785600,100%,raw-exc-taken,"5,336",6.722430
0,0,1785600,100%,raw-exc-trap-dabort,0,6.725961
0,0,1785600,100%,raw-exc-trap-fiq,0,6.725961
0,0,1785600,100%,raw-exc-trap-irq,0,6.725961
0,0,1785600,100%,raw-exc-trap-other,0,6.725961
0,0,1785600,100%,raw-exc-trap-pabort,0,6.725961
0,0,1785600,100%,raw-exc-undef,0,6.725961
0,0,1785600,100%,raw-inst-retired,"1,607,343,563",6.725351
0,0,1785600,100%,raw-inst-spec,"1,638,445,603",6.725351
0,0,1785600,100%,raw-isb-spec,0,6.725351
0,0,1785600,100%,raw-itlb-walk,"1,518",6.725351
0,0,1785600,100%,raw-l1d-cache,"571,992,958",6.725351
0,0,1785600,100%,raw-l1d-cache-allocate,0,6.725351
0,0,1785600,100%,raw-l1d-cache-inval,0,6.736299
0,0,1785600,100%,raw-l1d-cache-lmiss-rd,0,6.736299
0,0,1785600,100%,raw-l1d-cache-rd,"491,101,133",6.736299
0,0,1785600,100%,raw-l1d-cache-refill,"11,501,530",6.736299
0,0,1785600,100%,raw-l1d-cache-refill-inner,"11,526,961",6.736299
0,0,1785600,100%,raw-l1d-cache-refill-outer,"36,749",6.736299
0,0,1785600,100%,raw-l1d-cache-refill-rd,"9,216,732",6.742178
0,0,1785600,100%,raw-l1d-cache-refill-wr,"1,512,717",6.742178
0,0,1785600,100%,raw-l1d-cache-wb,"10,949,794",6.742178
0,0,1785600,100%,raw-l1d-cache-wb-clean,0,6.742178
0,0,1785600,100%,raw-l1d-cache-wb-victim,0,6.742178
0,0,1785600,100%,raw-l1d-cache-wr,"80,582,918",6.742178
0,0,1785600,100%,raw-l1d-tlb,"572,358,984",6.759816
0,0,1785600,100%,raw-l1d-tlb-rd,0,6.759816
0,0,1785600,100%,raw-l1d-tlb-refill,"41,151,148",6.759816
0,0,1785600,100%,raw-l1d-tlb-refill-rd,0,6.759816
0,0,1785600,100%,raw-l1d-tlb-refill-wr,0,6.759816
0,0,1785600,100%,raw-l1d-tlb-wr,0,6.759816
4,4,1612800,100%,raw-pc-write-retired,0,0.445909
4,4,1612800,100%,raw-pc-write-spec,"226,630,442",0.445909
4,4,1612800,100%,raw-rc-ld-spec,"63,760",0.445909
4,4,1612800,100%,raw-rc-st-spec,"40,106",0.445909
4,4,1612800,100%,raw-remote-access,0,0.445909
4,4,1612800,100%,raw-remote-access-rd,0,0.445909
4,4,1612800,100%,raw-sample-collision,0,0.445183
4,4,1612800,100%,raw-sample-feed,0,0.445183
4,4,1612800,100%,raw-sample-filtrate,0,0.445183
4,4,1612800,100%,raw-sample-pop,0,0.445183
4,4,1612800,100%,raw-st-retired,0,0.445183
4,4,1612800,100%,raw-st-spec,"254,703,800",0.445183
4,4,1612800,100%,raw-stall,0,0.445618
4,4,1612800,100%,raw-stall-backend,"27,225,269",0.445618
