setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,"13,529,527",9.427485
0,0,300000,100%,raw-br-immed-retired,"388,671,278",9.427485
0,0,300000,100%,raw-br-immed-spec,"388,671,278",9.427485
0,0,300000,100%,raw-br-indirect-spec,"38,246,122",9.427485
0,0,300000,100%,raw-br-mis-pred,"3,288,945",9.427485
0,0,300000,100%,raw-br-mis-pred-retired,"3,303,015",9.427485
0,0,300000,100%,raw-br-pred,"430,204,078",9.441652
0,0,300000,100%,raw-br-retired,"488,784,725",9.441652
0,0,300000,100%,raw-br-return-retired,"59,700,261",9.441652
0,0,300000,100%,raw-br-return-spec,"59,700,261",9.441652
0,0,300000,100%,raw-bus-access,"13,696,719",9.441652
0,0,300000,100%,raw-bus-access-normal,0,9.441652
0,0,300000,100%,raw-bus-access-not-shared,0,9.459421
0,0,300000,100%,raw-bus-access-periph,0,9.459421
0,0,300000,100%,raw-bus-access-rd,"6,588,010",9.459421
0,0,300000,100%,raw-bus-access-shared,0,9.459421
0,0,300000,100%,raw-bus-access-wr,"7,563,452",9.459421
0,0,300000,100%,raw-bus-cycles,"2,823,977,955",9.459421
0,0,300000,100%,raw-cid-write-retired,1,9.484352
0,0,300000,100%,raw-cnt-cycles,0,9.484352
0,0,300000,100%,raw-cpu-cycles,"2,831,533,980",9.484352
0,0,300000,100%,raw-crypto-spec,0,9.484352
0,0,300000,100%,raw-dmb-spec,0,9.484352
0,0,300000,100%,raw-dp-spec,"836,415,025",9.473063
0,0,300000,100%,raw-dsb-spec,0,9.473063
0,0,300000,100%,raw-dtlb-walk,"3,554",9.473063
0,0,300000,100%,raw-exc-dabort,0,9.473063
0,0,300000,100%,raw-exc-fiq,2,9.473063
0,0,300000,100%,raw-exc-hvc,0,9.473063
0,0,300000,100%,raw-exc-irq,"2,903",9.447175
0,0,300000,100%,raw-exc-pabort,0,9.447175
0,0,300000,100%,raw-exc-return,"4,914",9.447175
0,0,300000,100%,raw-exc-smc,0,9.447175
0,0,300000,100%,raw-exc-svc,0,9.447175
0,0,300000,100%,raw-exc-taken,"4,915",9.447175
0,0,300000,100%,raw-exc-trap-dabort,0,9.435366
0,0,300000,100%,raw-exc-trap-fiq,0,9.435366
0,0,300000,100%,raw-exc-trap-irq,0,9.435366
0,0,300000,100%,raw-exc-trap-other,0,9.435366
0,0,300000,100%,raw-exc-trap-pabort,0,9.435366
0,0,300000,100%,raw-exc-undef,0,9.435366
0,0,300000,100%,raw-inst-retired,"2,696,568,113",9.429243
0,0,300000,100%,raw-inst-spec,"2,709,459,423",9.429243
0,0,300000,100%,raw-isb-spec,0,9.429243
0,0,300000,100%,raw-itlb-walk,"1,923",9.429243
0,0,300000,100%,raw-l1d-cache,"1,237,259,153",9.429243
0,0,300000,100%,raw-l1d-cache-allocate,0,9.429243
0,0,300000,100%,raw-l1d-cache-inval,0,9.469762
0,0,300000,100%,raw-l1d-cache-lmiss-rd,0,9.469762
0,0,300000,100%,raw-l1d-cache-rd,"1,096,810,993",9.469762
0,0,300000,100%,raw-l1d-cache-refill,"1,591,245",9.469762
0,0,300000,100%,raw-l1d-cache-refill-inner,"1,585,410",9.469762
0,0,300000,100%,raw-l1d-cache-refill-outer,"30,806",9.469762
0,0,300000,100%,raw-l1d-cache-refill-rd,"1,500,892",9.434314
0,0,300000,100%,raw-l1d-cache-refill-wr,"286,990",9.434314
0,0,300000,100%,raw-l1d-cache-wb,"1,913,967",9.434314
0,0,300000,100%,raw-l1d-cache-wb-clean,0,9.434314
0,0,300000,100%,raw-l1d-cache-wb-victim,0,9.434314
0,0,300000,100%,raw-l1d-cache-wr,"140,526,147",9.434314
0,0,300000,100%,raw-l1d-tlb,"1,252,261,358",9.444367
0,0,300000,100%,raw-l1d-tlb-rd,0,9.444367
0,0,300000,100%,raw-l1d-tlb-refill,"16,011,949",9.444367
0,0,300000,100%,raw-l1d-tlb-refill-rd,0,9.444367
0,0,300000,100%,raw-l1d-tlb-refill-wr,0,9.444367
0,0,300000,100%,raw-l1d-tlb-wr,0,9.444367
0,0,300000,100%,raw-l1i-cache,"1,950,143,571",9.427162
0,0,300000,100%,raw-l1i-cache-lmiss,0,9.427162
0,0,300000,100%,raw-l1i-cache-refill,"2,780,003",9.427162
0,0,300000,100%,raw-l1i-tlb,"1,997,812,927",9.427162
0,0,300000,100%,raw-l1i-tlb-refill,"32,514,776",9.427162
0,0,300000,100%,raw-l2d-cache,"8,107,917",9.427162
0,0,300000,100%,raw-l2d-cache-allocate,"1,624,691",9.432379
0,0,300000,100%,raw-l2d-cache-inval,0,9.432379
0,0,300000,100%,raw-l2d-cache-lmiss-rd,0,9.432379
0,0,300000,100%,raw-l2d-cache-rd,"5,907,367",9.432379
0,0,300000,100%,raw-l2d-cache-refill,"1,579,624",9.432379
0,0,300000,100%,raw-l2d-cache-refill-rd,"1,575,728",9.432379
0,0,300000,100%,raw-l2d-cache-refill-wr,"3,877",9.425344
0,0,300000,100%,raw-l2d-cache-wb,"1,595,255",9.425344
0,0,300000,100%,raw-l2d-cache-wb-clean,0,9.425344
0,0,300000,100%,raw-l2d-cache-wb-victim,0,9.425344
0,0,300000,100%,raw-l2d-cache-wr,"1,896,154",9.425344
0,0,300000,100%,raw-l2d-tlb,"48,586,063",9.425344
0,0,300000,100%,raw-l2d-tlb-rd,0,9.440297
0,0,300000,100%,raw-l2d-tlb-refill,"5,273",9.440297
0,0,300000,100%,raw-l2d-tlb-refill-rd,0,9.440297
0,0,300000,100%,raw-l2d-tlb-refill-wr,0,9.440297
0,0,300000,100%,raw-l2d-tlb-wr,0,9.440297
0,0,300000,100%,raw-l2i-cache,0,9.440297
0,0,300000,100%,raw-l2i-cache-lmiss,0,9.520468
0,0,300000,100%,raw-l2i-cache-refill,0,9.520468
0,0,300000,100%,raw-l2i-tlb,0,9.520468
0,0,300000,100%,raw-l2i-tlb-refill,0,9.520468
0,0,300000,100%,raw-l3d-cache,"3,060,765",9.520468
0,0,300000,100%,raw-l3d-cache-allocate,"1,448,419",9.520468
0,0,300000,100%,raw-l3d-cache-inval,0,9.464062
0,0,300000,100%,raw-l3d-cache-lmiss-rd,0,9.464062
0,0,300000,100%,raw-l3d-cache-rd,"1,529,862",9.464062
0,0,300000,100%,raw-l3d-cache-refill,"82,670",9.464062
0,0,300000,100%,raw-l3d-cache-refill-rd,"82,670",9.464062
0,0,300000,100%,raw-l3d-cache-refill-wr,0,9.464062
0,0,300000,100%,raw-l3d-cache-wb,0,9.423117
0,0,300000,100%,raw-l3d-cache-wb-clean,0,9.423117
0,0,300000,100%,raw-l3d-cache-wb-victim,0,9.423117
0,0,300000,100%,raw-l3d-cache-wr,0,9.423117
0,0,300000,100%,raw-ld-retired,"978,038,282",9.423117
0,0,300000,100%,raw-ld-spec,"980,214,696",9.423117
0,0,300000,100%,raw-ldrex-spec,0,9.441054
0,0,300000,100%,raw-ldst-spec,"1,323,863,353",9.441054
0,0,300000,100%,raw-ll-cache,0,9.441054
0,0,300000,100%,raw-ll-cache-miss,0,9.441054
0,0,300000,100%,raw-ll-cache-miss-rd,"150,678",9.441054
0,0,300000,100%,raw-ll-cache-rd,"1,729,988",9.441054
0,0,300000,100%,raw-mem-access,"1,436,273,548",9.429409
0,0,300000,100%,raw-mem-access-rd,"1,096,368,016",9.429409
0,0,300000,100%,raw-mem-access-wr,"339,905,532",9.429409
0,0,300000,100%,raw-memory-error,0,9.429409
0,0,300000,100%,raw-op-retired,0,9.429409
0,0,300000,100%,raw-op-spec,0,9.429409
0,0,300000,100%,raw-pc-write-retired,"293,300,261",9.479557
0,0,300000,100%,raw-pc-write-spec,"487,660,917",9.479557
0,0,300000,100%,raw-rc-ld-spec,0,9.479557
0,0,300000,100%,raw-rc-st-spec,0,9.479557
0,0,300000,100%,raw-remote-access,0,9.479557
0,0,300000,100%,raw-remote-access-rd,0,9.479557
0,0,300000,100%,raw-sample-collision,0,9.432262
0,0,300000,100%,raw-sample-feed,0,9.432262
0,0,300000,100%,raw-sample-filtrate,0,9.432262
0,0,300000,100%,raw-sample-pop,0,9.432262
0,0,300000,100%,raw-st-retired,"339,572,761",9.432262
0,0,300000,100%,raw-st-spec,"343,700,794",9.432262
0,0,300000,100%,raw-stall,0,9.474309
0,0,300000,100%,raw-stall-backend,"577,716,860",9.474309
0,0,300000,100%,raw-stall-backend-mem,0,9.474309
0,0,300000,100%,raw-stall-frontend,"167,145,320",9.474309
0,0,300000,100%,raw-stall-slot,0,9.474309
0,0,300000,100%,raw-stall-slot-backend,0,9.474309
0,0,300000,100%,raw-stall-slot-frontend,0,9.436685
0,0,300000,100%,raw-strex-fail-spec,0,9.436685
0,0,300000,100%,raw-strex-pass-spec,0,9.436685
0,0,300000,100%,raw-strex-spec,0,9.436685
0,0,300000,100%,raw-sve-inst-retired,0,9.436685
0,0,300000,100%,raw-sve-inst-spec,0,9.436685
0,0,300000,100%,raw-sw-incr,0,9.435600
0,0,300000,100%,raw-ttbr-write-retired,9,9.435600
0,0,300000,100%,raw-unaligned-ld-spec,0,9.435600
0,0,300000,100%,raw-unaligned-ldst-retired,"199,580",9.435600
0,0,300000,100%,raw-unaligned-ldst-spec,0,9.435600
0,0,300000,100%,raw-unaligned-st-spec,0,9.435600
0,0,300000,100%,raw-vfp-spec,"61,071,668",9.436549
0,0,1036800,100%,raw-ase-spec,"13,529,451",2.689827
0,0,1036800,100%,raw-br-immed-retired,"385,317,014",2.689827
0,0,1036800,100%,raw-br-immed-spec,"385,317,014",2.689827
0,0,1036800,100%,raw-br-indirect-spec,"38,172,502",2.689827
0,0,1036800,100%,raw-br-mis-pred,"2,257,085",2.689827
0,0,1036800,100%,raw-br-mis-pred-retired,"2,264,676",2.689827
0,0,1036800,100%,raw-br-pred,"430,484,450",2.677901
0,0,1036800,100%,raw-br-retired,"484,846,622",2.677901
0,0,1036800,100%,raw-br-return-retired,"59,453,356",2.677901
0,0,1036800,100%,raw-br-return-spec,"59,453,356",2.677901
0,0,1036800,100%,raw-bus-access,"6,585,800",2.677901
0,0,1036800,100%,raw-bus-access-normal,0,2.677901
0,0,1036800,100%,raw-bus-access-not-shared,0,2.685116
0,0,1036800,100%,raw-bus-access-periph,0,2.685116
0,0,1036800,100%,raw-bus-access-rd,"2,897,106",2.685116
0,0,1036800,100%,raw-bus-access-shared,0,2.685116
0,0,1036800,100%,raw-bus-access-wr,"3,469,110",2.685116
0,0,1036800,100%,raw-bus-cycles,"2,777,759,803",2.685116
0,0,1036800,100%,raw-cid-write-retired,1,2.688376
0,0,1036800,100%,raw-cnt-cycles,0,2.688376
0,0,1036800,100%,raw-cpu-cycles,"2,780,601,477",2.688376
0,0,1036800,100%,raw-crypto-spec,0,2.688376
0,0,1036800,100%,raw-dmb-spec,0,2.688376
0,0,1036800,100%,raw-dp-spec,"824,280,880",2.682068
0,0,1036800,100%,raw-dsb-spec,0,2.682068
0,0,1036800,100%,raw-dtlb-walk,"3,452",2.682068
0,0,1036800,100%,raw-exc-dabort,0,2.682068
0,0,1036800,100%,raw-exc-fiq,1,2.682068
0,0,1036800,100%,raw-exc-hvc,0,2.682068
0,0,1036800,100%,raw-exc-irq,822,2.678943
0,0,1036800,100%,raw-exc-pabort,0,2.678943
0,0,1036800,100%,raw-exc-return,"2,823",2.678943
0,0,1036800,100%,raw-exc-smc,0,2.678943
0,0,1036800,100%,raw-exc-svc,0,2.678943
0,0,1036800,100%,raw-exc-taken,"2,823",2.678943
0,0,1036800,100%,raw-exc-trap-dabort,0,2.688714
0,0,1036800,100%,raw-exc-trap-fiq,0,2.688714
0,0,1036800,100%,raw-exc-trap-irq,0,2.688714
0,0,1036800,100%,raw-exc-trap-other,0,2.688714
0,0,1036800,100%,raw-exc-trap-pabort,0,2.688714
0,0,1036800,100%,raw-exc-undef,0,2.688714
0,0,1036800,100%,raw-inst-retired,"2,674,897,125",2.700077
0,0,1036800,100%,raw-inst-spec,"2,687,920,455",2.700077
0,0,1036800,100%,raw-isb-spec,0,2.700077
0,0,1036800,100%,raw-itlb-walk,"1,726",2.700077
0,0,1036800,100%,raw-l1d-cache,"1,245,362,766",2.700077
0,0,1036800,100%,raw-l1d-cache-allocate,0,2.700077
0,0,1036800,100%,raw-l1d-cache-inval,0,2.684131
0,0,1036800,100%,raw-l1d-cache-lmiss-rd,0,2.684131
0,0,1036800,100%,raw-l1d-cache-rd,"1,090,708,102",2.684131
0,0,1036800,100%,raw-l1d-cache-refill,"1,123,432",2.684131
0,0,1036800,100%,raw-l1d-cache-refill-inner,"1,105,019",2.684131
0,0,1036800,100%,raw-l1d-cache-refill-outer,"32,427",2.684131
0,0,1036800,100%,raw-l1d-cache-refill-rd,"615,690",2.677999
