setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,"217,959",0.198674
0,0,300000,100%,raw-br-immed-retired,"5,341,151",0.198674
0,0,300000,100%,raw-br-immed-spec,"5,341,151",0.198674
0,0,300000,100%,raw-br-indirect-spec,"76,801",0.198674
0,0,300000,100%,raw-br-mis-pred,"369,606",0.198674
0,0,300000,100%,raw-br-mis-pred-retired,"373,839",0.198674
0,0,300000,100%,raw-br-pred,"3,766,279",0.109061
0,0,300000,100%,raw-br-retired,"4,470,312",0.109061
0,0,300000,100%,raw-br-return-retired,"370,813",0.109061
0,0,300000,100%,raw-br-return-spec,"370,813",0.109061
0,0,300000,100%,raw-bus-access,"2,340,834",0.109061
0,0,300000,100%,raw-bus-access-normal,0,0.109061
0,0,300000,100%,raw-bus-access-not-shared,0,0.107746
0,0,300000,100%,raw-bus-access-periph,0,0.107746
0,0,300000,100%,raw-bus-access-rd,"1,016,910",0.107746
0,0,300000,100%,raw-bus-access-shared,0,0.107746
0,0,300000,100%,raw-bus-access-wr,"1,299,704",0.107746
0,0,300000,100%,raw-bus-cycles,"30,766,736",0.107746
0,0,300000,100%,raw-cid-write-retired,1,0.107679
0,0,300000,100%,raw-cnt-cycles,0,0.107679
0,0,300000,100%,raw-cpu-cycles,"30,766,991",0.107679
0,0,300000,100%,raw-crypto-spec,0,0.107679
0,0,300000,100%,raw-dmb-spec,0,0.107679
0,0,300000,100%,raw-dp-spec,"11,011,500",0.107920
0,0,300000,100%,raw-dsb-spec,0,0.107920
0,0,300000,100%,raw-dtlb-walk,"4,058",0.107920
0,0,300000,100%,raw-exc-dabort,0,0.107920
0,0,300000,100%,raw-exc-fiq,0,0.107920
0,0,300000,100%,raw-exc-hvc,0,0.107920
0,0,300000,100%,raw-exc-irq,35,0.107734
0,0,300000,100%,raw-exc-pabort,0,0.107734
0,0,300000,100%,raw-exc-return,"2,225",0.107734
0,0,300000,100%,raw-exc-smc,0,0.107734
0,0,300000,100%,raw-exc-svc,0,0.107734
0,0,300000,100%,raw-exc-taken,"2,225",0.107734
0,0,300000,100%,raw-exc-trap-dabort,0,0.108290
0,0,300000,100%,raw-exc-trap-fiq,0,0.108290
0,0,300000,100%,raw-exc-trap-irq,0,0.108290
0,0,300000,100%,raw-exc-trap-other,0,0.108290
0,0,300000,100%,raw-exc-trap-pabort,0,0.108290
0,0,300000,100%,raw-exc-undef,0,0.108290
0,0,300000,100%,raw-inst-retired,"22,266,088",0.107175
0,0,300000,100%,raw-inst-spec,"23,024,787",0.107175
0,0,300000,100%,raw-isb-spec,0,0.107175
0,0,300000,100%,raw-itlb-walk,"1,671",0.107175
0,0,300000,100%,raw-l1d-cache,"6,476,575",0.107175
0,0,300000,100%,raw-l1d-cache-allocate,0,0.107175
0,0,300000,100%,raw-l1d-cache-inval,0,0.107296
0,0,300000,100%,raw-l1d-cache-lmiss-rd,0,0.107296
0,0,300000,100%,raw-l1d-cache-rd,"5,580,794",0.107296
0,0,300000,100%,raw-l1d-cache-refill,"178,571",0.107296
0,0,300000,100%,raw-l1d-cache-refill-inner,"155,909",0.107296
0,0,300000,100%,raw-l1d-cache-refill-outer,"29,966",0.107296
0,0,300000,100%,raw-l1d-cache-refill-rd,"134,383",0.107632
0,0,300000,100%,raw-l1d-cache-refill-wr,"43,910",0.107632
0,0,300000,100%,raw-l1d-cache-wb,"223,170",0.107632
0,0,300000,100%,raw-l1d-cache-wb-clean,0,0.107632
0,0,300000,100%,raw-l1d-cache-wb-victim,0,0.107632
0,0,300000,100%,raw-l1d-cache-wr,"900,339",0.107632
0,0,300000,100%,raw-l1d-tlb,"6,489,675",0.108374
0,0,300000,100%,raw-l1d-tlb-rd,0,0.108374
0,0,300000,100%,raw-l1d-tlb-refill,"284,963",0.108374
0,0,300000,100%,raw-l1d-tlb-refill-rd,0,0.108374
0,0,300000,100%,raw-l1d-tlb-refill-wr,0,0.108374
0,0,300000,100%,raw-l1d-tlb-wr,0,0.108374
0,0,300000,100%,raw-l1i-cache,"16,406,310",0.108081
0,0,300000,100%,raw-l1i-cache-lmiss,0,0.108081
0,0,300000,100%,raw-l1i-cache-refill,"208,821",0.108081
0,0,300000,100%,raw-l1i-tlb,"20,300,154",0.108081
0,0,300000,100%,raw-l1i-tlb-refill,"75,141",0.108081
0,0,300000,100%,raw-l2d-cache,"858,124",0.108081
0,0,300000,100%,raw-l2d-cache-allocate,"308,148",0.107381
0,0,300000,100%,raw-l2d-cache-inval,0,0.107381
0,0,300000,100%,raw-l2d-cache-lmiss-rd,0,0.107381
0,0,300000,100%,raw-l2d-cache-rd,"531,998",0.107381
