setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,"35,912,350",81.483013
0,0,300000,100%,raw-br-immed-retired,"3,059,738,600",81.483013
0,0,300000,100%,raw-br-immed-spec,"3,059,738,600",81.483013
0,0,300000,100%,raw-br-indirect-spec,"2,515,731",81.483013
0,0,300000,100%,raw-br-mis-pred,"416,123,288",81.483013
0,0,300000,100%,raw-br-mis-pred-retired,"416,236,682",81.483013
0,0,300000,100%,raw-br-pred,"2,899,181,744",81.431344
0,0,300000,100%,raw-br-retired,"3,636,660,597",81.431344
0,0,300000,100%,raw-br-return-retired,"574,906,308",81.431344
0,0,300000,100%,raw-br-return-spec,"574,906,308",81.431344
0,0,300000,100%,raw-bus-access,"700,401,590",81.431344
0,0,300000,100%,raw-bus-access-normal,0,81.431344
0,0,300000,100%,raw-bus-access-not-shared,0,81.483408
0,0,300000,100%,raw-bus-access-periph,0,81.483408
0,0,300000,100%,raw-bus-access-rd,"323,363,239",81.483408
0,0,300000,100%,raw-bus-access-shared,0,81.483408
0,0,300000,100%,raw-bus-access-wr,"377,756,522",81.483408
0,0,300000,100%,raw-bus-cycles,"24,346,043,151",81.483408
0,0,300000,100%,raw-cid-write-retired,1,81.431338
0,0,300000,100%,raw-cnt-cycles,0,81.431338
0,0,300000,100%,raw-cpu-cycles,"24,336,237,223",81.431338
0,0,300000,100%,raw-crypto-spec,0,81.431338
0,0,300000,100%,raw-dmb-spec,0,81.431338
0,0,300000,100%,raw-dp-spec,"12,922,621,522",81.380351
0,0,300000,100%,raw-dsb-spec,0,81.380351
0,0,300000,100%,raw-dtlb-walk,"699,784",81.380351
0,0,300000,100%,raw-exc-dabort,0,81.380351
0,0,300000,100%,raw-exc-fiq,14,81.380351
0,0,300000,100%,raw-exc-hvc,0,81.380351
0,0,300000,100%,raw-exc-irq,"24,420",81.352421
0,0,300000,100%,raw-exc-pabort,0,81.352421
0,0,300000,100%,raw-exc-return,"33,374",81.352421
0,0,300000,100%,raw-exc-smc,0,81.352421
0,0,300000,100%,raw-exc-svc,0,81.352421
0,0,300000,100%,raw-exc-taken,"33,388",81.352421
0,0,300000,100%,raw-exc-trap-dabort,0,81.522800
0,0,300000,100%,raw-exc-trap-fiq,0,81.522800
0,0,300000,100%,raw-exc-trap-irq,0,81.522800
0,0,300000,100%,raw-exc-trap-other,0,81.522800
0,0,300000,100%,raw-exc-trap-pabort,0,81.522800
0,0,300000,100%,raw-exc-undef,0,81.522800
0,0,300000,100%,raw-inst-retired,"22,669,021,512",81.470706
0,0,300000,100%,raw-inst-spec,"24,106,672,478",81.470706
0,0,300000,100%,raw-isb-spec,0,81.470706
0,0,300000,100%,raw-itlb-walk,"83,160",81.470706
0,0,300000,100%,raw-l1d-cache,"6,461,251,195",81.470706
0,0,300000,100%,raw-l1d-cache-allocate,0,81.470706
0,0,300000,100%,raw-l1d-cache-inval,0,81.502043
0,0,300000,100%,raw-l1d-cache-lmiss-rd,0,81.502043
0,0,300000,100%,raw-l1d-cache-rd,"6,044,419,514",81.502043
0,0,300000,100%,raw-l1d-cache-refill,"77,393,964",81.502043
0,0,300000,100%,raw-l1d-cache-refill-inner,"75,503,775",81.502043
0,0,300000,100%,raw-l1d-cache-refill-outer,"3,000,321",81.502043
0,0,300000,100%,raw-l1d-cache-refill-rd,"66,678,726",81.397128
0,0,300000,100%,raw-l1d-cache-refill-wr,"10,779,825",81.397128
0,0,300000,100%,raw-l1d-cache-wb,"120,636,209",81.397128
0,0,300000,100%,raw-l1d-cache-wb-clean,0,81.397128
0,0,300000,100%,raw-l1d-cache-wb-victim,0,81.397128
0,0,300000,100%,raw-l1d-cache-wr,"417,006,189",81.397128
0,0,300000,100%,raw-l1d-tlb,"6,481,564,424",81.434983
0,0,300000,100%,raw-l1d-tlb-rd,0,81.434983
0,0,300000,100%,raw-l1d-tlb-refill,"47,309,144",81.434983
0,0,300000,100%,raw-l1d-tlb-refill-rd,0,81.434983
0,0,300000,100%,raw-l1d-tlb-refill-wr,0,81.434983
0,0,300000,100%,raw-l1d-tlb-wr,0,81.434983
0,0,300000,100%,raw-l1i-cache,"17,963,245,872",81.395489
0,0,300000,100%,raw-l1i-cache-lmiss,0,81.395489
0,0,300000,100%,raw-l1i-cache-refill,"30,065,883",81.395489
0,0,300000,100%,raw-l1i-tlb,"18,487,116,259",81.395489
0,0,300000,100%,raw-l1i-tlb-refill,"4,246,528",81.395489
0,0,300000,100%,raw-l2d-cache,"305,888,054",81.395489
0,0,300000,100%,raw-l2d-cache-allocate,"137,533,026",81.481755
0,0,300000,100%,raw-l2d-cache-inval,0,81.481755
0,0,300000,100%,raw-l2d-cache-lmiss-rd,0,81.481755
0,0,300000,100%,raw-l2d-cache-rd,"168,630,202",81.481755
0,0,300000,100%,raw-l2d-cache-refill,"81,057,140",81.481755
0,0,300000,100%,raw-l2d-cache-refill-rd,"80,293,658",81.481755
0,0,300000,100%,raw-l2d-cache-refill-wr,"837,813",81.515778
0,0,300000,100%,raw-l2d-cache-wb,"93,272,594",81.515778
0,0,300000,100%,raw-l2d-cache-wb-clean,0,81.515778
0,0,300000,100%,raw-l2d-cache-wb-victim,0,81.515778
0,0,300000,100%,raw-l2d-cache-wr,"138,058,240",81.515778
0,0,300000,100%,raw-l2d-tlb,"59,067,993",81.515778
0,0,300000,100%,raw-l2d-tlb-rd,0,81.584023
0,0,300000,100%,raw-l2d-tlb-refill,"773,281",81.584023
0,0,300000,100%,raw-l2d-tlb-refill-rd,0,81.584023
0,0,300000,100%,raw-l2d-tlb-refill-wr,0,81.584023
0,0,300000,100%,raw-l2d-tlb-wr,0,81.584023
0,0,300000,100%,raw-l2i-cache,0,81.584023
0,0,300000,100%,raw-l2i-cache-lmiss,0,81.509397
0,0,300000,100%,raw-l2i-cache-refill,0,81.509397
0,0,300000,100%,raw-l2i-tlb,0,81.509397
0,0,300000,100%,raw-l2i-tlb-refill,0,81.509397
0,0,300000,100%,raw-l3d-cache,"169,658,180",81.509397
0,0,300000,100%,raw-l3d-cache-allocate,"88,734,328",81.509397
0,0,300000,100%,raw-l3d-cache-inval,0,81.470190
0,0,300000,100%,raw-l3d-cache-lmiss-rd,0,81.470190
0,0,300000,100%,raw-l3d-cache-rd,"80,985,714",81.470190
0,0,300000,100%,raw-l3d-cache-refill,"9,543,368",81.470190
0,0,300000,100%,raw-l3d-cache-refill-rd,"9,543,368",81.470190
0,0,300000,100%,raw-l3d-cache-refill-wr,0,81.470190
0,0,300000,100%,raw-l3d-cache-wb,0,81.374577
0,0,300000,100%,raw-l3d-cache-wb-clean,0,81.374577
0,0,300000,100%,raw-l3d-cache-wb-victim,0,81.374577
0,0,300000,100%,raw-l3d-cache-wr,0,81.374577
0,0,300000,100%,raw-ld-retired,"5,307,970,248",81.374577
0,0,300000,100%,raw-ld-spec,"5,696,547,749",81.374577
0,0,300000,100%,raw-ldrex-spec,0,81.414114
0,0,300000,100%,raw-ldst-spec,"7,260,965,688",81.414114
0,0,300000,100%,raw-ll-cache,0,81.414114
0,0,300000,100%,raw-ll-cache-miss,0,81.414114
0,0,300000,100%,raw-ll-cache-miss-rd,"9,515,464",81.414114
0,0,300000,100%,raw-ll-cache-rd,"79,922,108",81.414114
0,0,300000,100%,raw-mem-access,"7,408,689,982",81.446058
0,0,300000,100%,raw-mem-access-rd,"5,908,291,845",81.446058
0,0,300000,100%,raw-mem-access-wr,"1,500,398,137",81.446058
0,0,300000,100%,raw-memory-error,0,81.446058
0,0,300000,100%,raw-op-retired,0,81.446058
0,0,300000,100%,raw-op-spec,0,81.446058
0,0,300000,100%,raw-pc-write-retired,"2,202,002,254",81.389084
0,0,300000,100%,raw-pc-write-spec,"3,846,820,766",81.389084
0,0,300000,100%,raw-rc-ld-spec,0,81.389084
0,0,300000,100%,raw-rc-st-spec,0,81.389084
0,0,300000,100%,raw-remote-access,0,81.389084
0,0,300000,100%,raw-remote-access-rd,0,81.389084
0,0,300000,100%,raw-sample-collision,0,81.461076
0,0,300000,100%,raw-sample-feed,0,81.461076
0,0,300000,100%,raw-sample-filtrate,0,81.461076
0,0,300000,100%,raw-sample-pop,0,81.461076
0,0,300000,100%,raw-st-retired,"1,495,329,831",81.461076
0,0,300000,100%,raw-st-spec,"1,564,078,769",81.461076
0,0,300000,100%,raw-stall,0,81.448510
0,0,300000,100%,raw-stall-backend,"5,652,372,334",81.448510
0,0,300000,100%,raw-stall-backend-mem,0,81.448510
0,0,300000,100%,raw-stall-frontend,"2,036,430,934",81.448510
0,0,300000,100%,raw-stall-slot,0,81.448510
0,0,300000,100%,raw-stall-slot-backend,0,81.448510
4,4,1612800,100%,raw-l2d-cache-allocate,"1,748,525",6.237171
4,4,1612800,100%,raw-l2d-cache-inval,"70,996",6.237171
4,4,1612800,100%,raw-l2d-cache-lmiss-rd,0,6.237171
4,4,1612800,100%,raw-l2d-cache-rd,"77,173,764",6.237171
4,4,1612800,100%,raw-l2d-cache-refill,"15,200,481",6.237171
4,4,1612800,100%,raw-l2d-cache-refill-rd,"15,200,481",6.237171
4,4,1612800,100%,raw-l2d-cache-refill-wr,0,6.232161
4,4,1612800,100%,raw-l2d-cache-wb,"86,244,630",6.232161
4,4,1612800,100%,raw-l2d-cache-wb-clean,"338,071",6.232161
4,4,1612800,100%,raw-l2d-cache-wb-victim,"85,906,559",6.232161
4,4,1612800,100%,raw-l2d-cache-wr,"76,734,684",6.232161
4,4,1612800,100%,raw-l2d-tlb,"19,066,324",6.232161
4,4,1612800,100%,raw-l2d-tlb-rd,"18,044,278",6.235396
4,4,1612800,100%,raw-l2d-tlb-refill,"408,597",6.235396
4,4,1612800,100%,raw-l2d-tlb-refill-rd,"387,846",6.235396
4,4,1612800,100%,raw-l2d-tlb-refill-wr,"20,751",6.235396
4,4,1612800,100%,raw-l2d-tlb-wr,"752,854",6.235396
4,4,1612800,100%,raw-l2i-cache,0,6.235396
4,4,1612800,100%,raw-l2i-cache-lmiss,0,6.234274
4,4,1612800,100%,raw-l2i-cache-refill,0,6.234274
4,4,1612800,100%,raw-l2i-tlb,0,6.234274
4,4,1612800,100%,raw-l2i-tlb-refill,0,6.234274
4,4,1612800,100%,raw-l3d-cache,"171,889,324",6.234274
