setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,130,13.215473
0,0,300000,100%,raw-br-immed-retired,"186,200,455",13.215473
0,0,300000,100%,raw-br-immed-spec,"186,200,455",13.215473
0,0,300000,100%,raw-br-indirect-spec,"1,088,304",13.215473
0,0,300000,100%,raw-br-mis-pred,"2,853,570",13.215473
0,0,300000,100%,raw-br-mis-pred-retired,"3,255,272",13.215473
0,0,300000,100%,raw-br-pred,"148,861,843",12.613432
0,0,300000,100%,raw-br-retired,"172,708,952",12.613432
0,0,300000,100%,raw-br-return-retired,"7,944,207",12.613432
0,0,300000,100%,raw-br-return-spec,"7,944,207",12.613432
0,0,300000,100%,raw-bus-access,"1,834,367,707",12.613432
0,0,300000,100%,raw-bus-access-normal,0,12.613432
0,0,300000,100%,raw-bus-access-not-shared,0,12.601900
0,0,300000,100%,raw-bus-access-periph,0,12.601900
0,0,300000,100%,raw-bus-access-rd,"883,691,002",12.601900
0,0,300000,100%,raw-bus-access-shared,0,12.601900
0,0,300000,100%,raw-bus-access-wr,"947,364,497",12.601900
0,0,300000,100%,raw-bus-cycles,"3,756,271,781",12.601900
0,0,300000,100%,raw-cid-write-retired,27,12.611335
0,0,300000,100%,raw-cnt-cycles,0,12.611335
0,0,300000,100%,raw-cpu-cycles,"3,759,749,356",12.611335
0,0,300000,100%,raw-crypto-spec,0,12.611335
0,0,300000,100%,raw-dmb-spec,0,12.611335
0,0,300000,100%,raw-dp-spec,"533,877,189",13.189361
0,0,300000,100%,raw-dsb-spec,0,13.189361
0,0,300000,100%,raw-dtlb-walk,"3,626,068",13.189361
0,0,300000,100%,raw-exc-dabort,0,13.189361
0,0,300000,100%,raw-exc-fiq,2,13.189361
0,0,300000,100%,raw-exc-hvc,0,13.189361
0,0,300000,100%,raw-exc-irq,"5,252",12.608236
0,0,300000,100%,raw-exc-pabort,0,12.608236
0,0,300000,100%,raw-exc-return,"321,155",12.608236
0,0,300000,100%,raw-exc-smc,0,12.608236
0,0,300000,100%,raw-exc-svc,0,12.608236
0,0,300000,100%,raw-exc-taken,"321,157",12.608236
0,0,300000,100%,raw-exc-trap-dabort,0,13.204663
0,0,300000,100%,raw-exc-trap-fiq,0,13.204663
0,0,300000,100%,raw-exc-trap-irq,0,13.204663
0,0,300000,100%,raw-exc-trap-other,0,13.204663
0,0,300000,100%,raw-exc-trap-pabort,0,13.204663
0,0,300000,100%,raw-exc-undef,0,13.204663
0,0,300000,100%,raw-inst-retired,"1,831,776,169",12.607885
0,0,300000,100%,raw-inst-spec,"1,849,115,690",12.607885
0,0,300000,100%,raw-isb-spec,0,12.607885
0,0,300000,100%,raw-itlb-walk,"27,377",12.607885
0,0,300000,100%,raw-l1d-cache,"842,959,835",12.607885
0,0,300000,100%,raw-l1d-cache-allocate,0,12.607885
0,0,300000,100%,raw-l1d-cache-inval,0,13.206122
0,0,300000,100%,raw-l1d-cache-lmiss-rd,0,13.206122
0,0,300000,100%,raw-l1d-cache-rd,"765,288,251",13.206122
0,0,300000,100%,raw-l1d-cache-refill,"56,038,453",13.206122
0,0,300000,100%,raw-l1d-cache-refill-inner,"46,519,549",13.206122
0,0,300000,100%,raw-l1d-cache-refill-outer,"14,968,235",13.206122
0,0,300000,100%,raw-l1d-cache-refill-rd,"32,641,243",12.609969
0,0,300000,100%,raw-l1d-cache-refill-wr,"23,435,602",12.609969
0,0,300000,100%,raw-l1d-cache-wb,"254,062,379",12.609969
0,0,300000,100%,raw-l1d-cache-wb-clean,0,12.609969
0,0,300000,100%,raw-l1d-cache-wb-victim,0,12.609969
0,0,300000,100%,raw-l1d-cache-wr,"161,324,873",12.609969
0,0,300000,100%,raw-l1d-tlb,"926,779,784",13.194607
0,0,300000,100%,raw-l1d-tlb-rd,0,13.194607
0,0,300000,100%,raw-l1d-tlb-refill,"12,851,358",13.194607
0,0,300000,100%,raw-l1d-tlb-refill-rd,0,13.194607
