setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,"1,736",12.517009
0,0,300000,100%,raw-br-immed-retired,"349,423,498",12.517009
0,0,300000,100%,raw-br-immed-spec,"349,423,498",12.517009
0,0,300000,100%,raw-br-indirect-spec,"149,882",12.517009
0,0,300000,100%,raw-br-mis-pred,"581,085",12.517009
0,0,300000,100%,raw-br-pred,"293,420,188",12.517009
0,0,300000,100%,raw-br-retired,"438,906,352",12.522278
0,0,300000,100%,raw-br-return-retired,"89,297,592",12.522278
0,0,300000,100%,raw-br-return-spec,"89,297,592",12.522278
0,0,300000,100%,raw-bus-access,"6,213,852",12.522278
0,0,300000,100%,raw-bus-access-normal,0,12.522278
0,0,300000,100%,raw-bus-access-not-shared,0,12.522278
0,0,300000,100%,raw-bus-access-periph,0,12.546379
0,0,300000,100%,raw-bus-access-rd,"2,749,814",12.546379
0,0,300000,100%,raw-bus-access-shared,0,12.546379
0,0,300000,100%,raw-bus-access-wr,"3,658,568",12.546379
0,0,300000,100%,raw-bus-cycles,"3,749,117,031",12.546379
0,0,300000,100%,raw-chain,1,12.546379
0,0,300000,100%,raw-cid-write-retired,0,12.535591
0,0,300000,100%,raw-cnt-cycles,0,12.535591
0,0,300000,100%,raw-cpu-cycles,"3,744,811,004",12.535591
0,0,300000,100%,raw-crypto-spec,0,12.535591
0,0,300000,100%,raw-dmb-spec,0,12.535591
0,0,300000,100%,raw-dp-spec,"1,462,212,672",12.535591
0,0,300000,100%,raw-dsb-spec,0,12.534118
0,0,300000,100%,raw-dtlb-walk,277,12.534118
0,0,300000,100%,raw-exc-dabort,0,12.534118
0,0,300000,100%,raw-exc-fiq,2,12.534118
0,0,300000,100%,raw-exc-hvc,0,12.534118
0,0,300000,100%,raw-exc-irq,"4,412",12.534118
0,0,300000,100%,raw-exc-pabort,0,12.516188
0,0,300000,100%,raw-exc-return,"4,507",12.516188
0,0,300000,100%,raw-exc-smc,0,12.516188
0,0,300000,100%,raw-exc-svc,0,12.516188
0,0,300000,100%,raw-exc-taken,"4,509",12.516188
0,0,300000,100%,raw-exc-trap-dabort,0,12.516188
0,0,300000,100%,raw-exc-trap-fiq,0,12.517387
0,0,300000,100%,raw-exc-trap-irq,0,12.517387
0,0,300000,100%,raw-exc-trap-other,0,12.517387
0,0,300000,100%,raw-exc-trap-pabort,0,12.517387
0,0,300000,100%,raw-exc-undef,0,12.517387
0,0,300000,100%,raw-inst-retired,"3,588,412,015",12.517387
0,0,300000,100%,raw-inst-spec,"3,590,527,566",12.522752
0,0,300000,100%,raw-isb-spec,0,12.522752
0,0,300000,100%,raw-itlb-walk,226,12.522752
0,0,300000,100%,raw-l1d-cache,"1,280,618,366",12.522752
0,0,300000,100%,raw-l1d-cache-allocate,0,12.522752
0,0,300000,100%,raw-l1d-cache-inval,0,12.522752
0,0,300000,100%,raw-l1d-cache-rd,"1,197,772,353",12.544175
0,0,300000,100%,raw-l1d-cache-refill,"683,549",12.544175
0,0,300000,100%,raw-l1d-cache-refill-inner,"683,870",12.544175
0,0,300000,100%,raw-l1d-cache-refill-outer,"2,015",12.544175
0,0,300000,100%,raw-l1d-cache-refill-rd,"591,137",12.544175
0,0,300000,100%,raw-l1d-cache-refill-wr,"92,412",12.544175
0,0,300000,100%,raw-l1d-cache-wb,"741,360",12.507607
0,0,300000,100%,raw-l1d-cache-wb-clean,0,12.507607
0,0,300000,100%,raw-l1d-cache-wb-victim,0,12.507607
0,0,300000,100%,raw-l1d-cache-wr,"89,080,395",12.507607
0,0,300000,100%,raw-l1d-tlb,"1,286,858,588",12.507607
0,0,300000,100%,raw-l1d-tlb-rd,0,12.507607
0,0,300000,100%,raw-l1d-tlb-refill,"946,267",12.544445
0,0,300000,100%,raw-l1d-tlb-refill-rd,0,12.544445
0,0,300000,100%,raw-l1d-tlb-refill-wr,0,12.544445
0,0,300000,100%,raw-l1d-tlb-wr,0,12.544445
0,0,300000,100%,raw-l1i-cache,"1,950,244,485",12.544445
