setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,142,4.614659
0,0,300000,100%,raw-br-immed-retired,"189,244,605",4.614659
0,0,300000,100%,raw-br-immed-spec,"189,244,605",4.614659
0,0,300000,100%,raw-br-indirect-spec,"657,925",4.614659
0,0,300000,100%,raw-br-mis-pred,"1,152,163",4.614659
0,0,300000,100%,raw-br-pred,"185,471,306",4.614659
0,0,300000,100%,raw-br-retired,"193,018,585",4.601086
0,0,300000,100%,raw-br-return-retired,"4,274,546",4.601086
0,0,300000,100%,raw-br-return-spec,"4,274,546",4.601086
0,0,300000,100%,raw-bus-access,"497,985,682",4.601086
0,0,300000,100%,raw-bus-access-normal,0,4.601086
0,0,300000,100%,raw-bus-access-not-shared,0,4.601086
0,0,300000,100%,raw-bus-access-periph,0,4.615331
0,0,300000,100%,raw-bus-access-rd,"13,390,817",4.615331
0,0,300000,100%,raw-bus-access-shared,0,4.615331
0,0,300000,100%,raw-bus-access-wr,"480,805,963",4.615331
0,0,300000,100%,raw-bus-cycles,"1,379,844,913",4.615331
0,0,300000,100%,raw-chain,0,4.615331
0,0,300000,100%,raw-cid-write-retired,0,4.582301
0,0,300000,100%,raw-cnt-cycles,0,4.582301
0,0,300000,100%,raw-cpu-cycles,"1,370,179,641",4.582301
0,0,300000,100%,raw-crypto-spec,0,4.582301
0,0,300000,100%,raw-dmb-spec,0,4.582301
0,0,300000,100%,raw-dp-spec,"548,830,732",4.582301
0,0,300000,100%,raw-dsb-spec,0,4.602298
0,0,300000,100%,raw-dtlb-walk,"1,857,045",4.602298
0,0,300000,100%,raw-exc-dabort,0,4.602298
0,0,300000,100%,raw-exc-fiq,0,4.602298
0,0,300000,100%,raw-exc-hvc,0,4.602298
0,0,300000,100%,raw-exc-irq,"1,615",4.602298
0,0,300000,100%,raw-exc-pabort,0,4.627393
0,0,300000,100%,raw-exc-return,"133,175",4.627393
0,0,300000,100%,raw-exc-smc,0,4.627393
0,0,300000,100%,raw-exc-svc,0,4.627393
0,0,300000,100%,raw-exc-taken,"133,175",4.627393
0,0,300000,100%,raw-exc-trap-dabort,0,4.627393
0,0,300000,100%,raw-exc-trap-fiq,0,14.782577
0,0,300000,100%,raw-exc-trap-irq,0,14.782577
0,0,300000,100%,raw-exc-trap-other,0,14.782577
0,0,300000,100%,raw-exc-trap-pabort,0,14.782577
0,0,300000,100%,raw-exc-undef,0,14.782577
0,0,300000,100%,raw-inst-retired,"3,286,777,896",14.782577
0,0,300000,100%,raw-inst-spec,"916,762,688",4.615876
0,0,300000,100%,raw-isb-spec,0,4.615876
0,0,300000,100%,raw-itlb-walk,"15,680",4.615876
0,0,300000,100%,raw-l1d-cache,"168,405,462",4.615876
0,0,300000,100%,raw-l1d-cache-allocate,0,4.615876
0,0,300000,100%,raw-l1d-cache-inval,0,4.615876
0,0,300000,100%,raw-l1d-cache-rd,"144,061,960",4.605468
0,0,300000,100%,raw-l1d-cache-refill,"3,522,465",4.605468
0,0,300000,100%,raw-l1d-cache-refill-inner,"2,695,447",4.605468
0,0,300000,100%,raw-l1d-cache-refill-outer,"833,470",4.605468
0,0,300000,100%,raw-l1d-cache-refill-rd,"1,810,815",4.605468
0,0,300000,100%,raw-l1d-cache-refill-wr,"1,711,650",4.605468
0,0,300000,100%,raw-l1d-cache-wb,"3,989,991",4.619647
0,0,300000,100%,raw-l1d-cache-wb-clean,0,4.619647
0,0,300000,100%,raw-l1d-cache-wb-victim,0,4.619647
0,0,300000,100%,raw-l1d-cache-wr,"24,579,241",4.619647
0,0,300000,100%,raw-l1d-tlb,"168,758,649",4.619647
0,0,300000,100%,raw-l1d-tlb-rd,0,4.619647
0,0,300000,100%,raw-l1d-tlb-refill,"6,004,400",4.624491
0,0,300000,100%,raw-l1d-tlb-refill-rd,0,4.624491
0,0,300000,100%,raw-l1d-tlb-refill-wr,0,4.624491
0,0,300000,100%,raw-l1d-tlb-wr,0,4.624491
0,0,300000,100%,raw-l1i-cache,"532,725,939",4.624491
0,0,300000,100%,raw-l1i-cache-lmiss,0,4.624491
0,0,300000,100%,raw-l1i-cache-refill,"548,316",4.610066
0,0,300000,100%,raw-l1i-tlb,"543,223,652",4.610066
0,0,300000,100%,raw-l1i-tlb-refill,"1,531,973",4.610066
0,0,300000,100%,raw-l2d-cache,"135,634,142",4.610066
0,0,300000,100%,raw-l2d-cache-allocate,"18,544,357",4.610066
0,0,300000,100%,raw-l2d-cache-inval,0,4.610066
0,0,300000,100%,raw-l2d-cache-lmiss-rd,0,4.596199
0,0,300000,100%,raw-l2d-cache-rd,"7,414,741",4.596199
0,0,300000,100%,raw-l2d-cache-refill,"3,825,222",4.596199
0,0,300000,100%,raw-l2d-cache-refill-rd,"3,146,979",4.596199
0,0,300000,100%,raw-l2d-cache-refill-wr,"678,243",4.596199
0,0,300000,100%,raw-l2d-cache-wb,"10,333,964",4.596199
0,0,300000,100%,raw-l2d-cache-wb-clean,0,4.624582
0,0,300000,100%,raw-l2d-cache-wb-victim,0,4.624582
0,0,300000,100%,raw-l2d-cache-wr,"128,326,811",4.624582
0,0,300000,100%,raw-l2d-tlb,"9,724,520",4.624582
0,0,300000,100%,raw-l2d-tlb-rd,0,4.624582
0,0,300000,100%,raw-l2d-tlb-refill,"1,872,726",4.624582
0,0,300000,100%,raw-l2d-tlb-refill-rd,0,4.626814
0,0,300000,100%,raw-l2d-tlb-refill-wr,0,4.626814
0,0,300000,100%,raw-l2d-tlb-wr,0,4.626814
0,0,300000,100%,raw-l2i-cache-lmiss,0,4.626814
0,0,300000,100%,raw-l2i-tlb,0,4.626814
0,0,300000,100%,raw-l3d-cache,"122,784,927",4.626814
0,0,300000,100%,raw-l3d-cache-allocate,"119,226,085",4.616551
0,0,300000,100%,raw-l3d-cache-inval,0,4.616551
0,0,300000,100%,raw-l3d-cache-lmiss-rd,0,4.616551
0,0,300000,100%,raw-l3d-cache-rd,"3,514,699",4.616551
0,0,300000,100%,raw-l3d-cache-refill,"1,296,305",4.616551
0,0,300000,100%,raw-l3d-cache-refill-rd,"1,296,305",4.616551
0,0,300000,100%,raw-l3d-cache-refill-wr,0,4.609186
0,0,300000,100%,raw-l3d-cache-wb-clean,0,4.609186
0,0,300000,100%,raw-l3d-cache-wb-victim,0,4.609186
0,0,300000,100%,raw-l3d-cache-wr,0,4.609186
0,0,300000,100%,raw-ld-spec,"130,705,758",4.609186
0,0,300000,100%,raw-ldrex-spec,0,4.609186
0,0,300000,100%,raw-ldst-spec,"298,730,701",4.616824
0,0,300000,100%,raw-ll-cache-miss-rd,"1,321,972",4.616824
0,0,300000,100%,raw-ll-cache-rd,"3,494,650",4.616824
0,0,300000,100%,raw-mem-access,"684,197,921",4.616824
0,0,300000,100%,raw-mem-access-rd,"142,822,694",4.616824
0,0,300000,100%,raw-mem-access-wr,"541,375,227",4.616824
0,0,300000,100%,raw-pc-write-retired,"171,161,014",4.608576
0,0,300000,100%,raw-pc-write-spec,"196,195,745",4.608576
0,0,300000,100%,raw-rc-ld-spec,0,4.608576
0,0,300000,100%,raw-rc-st-spec,0,4.608576
0,0,300000,100%,raw-remote-access-rd,0,4.608576
0,0,300000,100%,raw-sample-collision,0,4.608576
0,0,300000,100%,raw-sample-feed,0,4.627507
0,0,300000,100%,raw-sample-filtrate,0,4.627507
0,0,300000,100%,raw-sample-pop,0,4.627507
0,0,300000,100%,raw-st-spec,"166,929,592",4.627507
0,0,300000,100%,raw-stall-backend,"286,971,793",4.627507
0,0,300000,100%,raw-stall-backend-mem,0,4.627507
0,0,300000,100%,raw-stall-frontend,"25,066,393",4.632372
0,0,300000,100%,raw-strex-fail-spec,0,4.632372
0,0,300000,100%,raw-strex-pass-spec,0,4.632372
0,0,300000,100%,raw-strex-spec,0,4.632372
0,0,300000,100%,raw-sve-inst-retired,0,4.632372
0,0,300000,100%,raw-sve-inst-spec,0,4.632372
0,0,300000,100%,raw-sw-incr,0,4.621366
0,0,300000,100%,raw-ttbr-write-retired,"344,999",4.621366
0,0,300000,100%,raw-unaligned-ld-spec,0,4.621366
0,0,300000,100%,raw-unaligned-ldst-spec,0,4.621366
0,0,300000,100%,raw-unaligned-st-spec,0,4.621366
0,0,300000,100%,raw-vfp-spec,"3,214",4.621366
0,0,979200,100%,raw-ase-spec,143,1.770830
0,0,979200,100%,raw-br-immed-retired,"234,326,829",1.770830
0,0,979200,100%,raw-br-immed-spec,"234,326,829",1.770830
0,0,979200,100%,raw-br-indirect-spec,"1,055,485",1.770830
0,0,979200,100%,raw-br-mis-pred,"1,020,764",1.770830
0,0,979200,100%,raw-br-pred,"231,082,861",1.770830
0,0,979200,100%,raw-br-retired,"239,931,233",1.769264
0,0,979200,100%,raw-br-return-retired,"5,029,563",1.769264
0,0,979200,100%,raw-br-return-spec,"5,029,563",1.769264
0,0,979200,100%,raw-bus-access,"490,841,498",1.769264
0,0,979200,100%,raw-bus-access-normal,0,1.769264
0,0,979200,100%,raw-bus-access-not-shared,0,1.769264
0,0,979200,100%,raw-bus-access-periph,0,1.767497
0,0,979200,100%,raw-bus-access-rd,"13,003,348",1.767497
0,0,979200,100%,raw-bus-access-shared,0,1.767497
0,0,979200,100%,raw-bus-access-wr,"480,302,319",1.767497
0,0,979200,100%,raw-bus-cycles,"1,726,653,101",1.767497
0,0,979200,100%,raw-chain,0,1.767497
0,0,979200,100%,raw-cid-write-retired,0,1.769504
0,0,979200,100%,raw-cnt-cycles,0,1.769504
0,0,979200,100%,raw-cpu-cycles,"1,728,473,174",1.769504
