setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,135,14.420051
0,0,300000,100%,raw-br-immed-retired,"100,075,846",14.420051
0,0,300000,100%,raw-br-immed-spec,"100,075,846",14.420051
0,0,300000,100%,raw-br-indirect-spec,"783,267",14.420051
0,0,300000,100%,raw-br-mis-pred,"1,552,589",14.420051
0,0,300000,100%,raw-br-pred,"95,730,995",14.420051
0,0,300000,100%,raw-br-retired,"103,529,069",14.401868
0,0,300000,100%,raw-br-return-retired,"4,695,900",14.401868
0,0,300000,100%,raw-br-return-spec,"4,695,900",14.401868
0,0,300000,100%,raw-bus-access,"948,642,092",14.401868
0,0,300000,100%,raw-bus-access-normal,0,14.401868
0,0,300000,100%,raw-bus-access-not-shared,0,14.401868
0,0,300000,100%,raw-bus-access-periph,0,14.406907
0,0,300000,100%,raw-bus-access-rd,"460,630,349",14.406907
0,0,300000,100%,raw-bus-access-shared,0,14.406907
0,0,300000,100%,raw-bus-access-wr,"492,188,766",14.406907
0,0,300000,100%,raw-bus-cycles,"4,309,846,240",14.406907
0,0,300000,100%,raw-chain,2,14.406907
0,0,300000,100%,raw-cid-write-retired,0,14.403349
0,0,300000,100%,raw-cnt-cycles,0,14.403349
0,0,300000,100%,raw-cpu-cycles,"4,308,854,819",14.403349
0,0,300000,100%,raw-crypto-spec,0,14.403349
0,0,300000,100%,raw-dmb-spec,0,14.403349
0,0,300000,100%,raw-dp-spec,"2,011,167,677",14.403349
0,0,300000,100%,raw-dsb-spec,0,14.419369
0,0,300000,100%,raw-dtlb-walk,"1,875,007",14.419369
0,0,300000,100%,raw-exc-dabort,0,14.419369
0,0,300000,100%,raw-exc-fiq,2,14.419369
0,0,300000,100%,raw-exc-hvc,0,14.419369
0,0,300000,100%,raw-exc-irq,"5,049",14.419369
0,0,300000,100%,raw-exc-pabort,0,14.407636
0,0,300000,100%,raw-exc-return,"136,607",14.407636
0,0,300000,100%,raw-exc-smc,0,14.407636
0,0,300000,100%,raw-exc-svc,0,14.407636
0,0,300000,100%,raw-exc-taken,"136,609",14.407636
0,0,300000,100%,raw-exc-trap-dabort,0,14.407636
0,0,300000,100%,raw-exc-trap-fiq,0,14.386123
0,0,300000,100%,raw-exc-trap-irq,0,14.386123
0,0,300000,100%,raw-exc-trap-other,0,14.386123
0,0,300000,100%,raw-exc-trap-pabort,0,14.386123
0,0,300000,100%,raw-exc-undef,0,14.386123
0,0,300000,100%,raw-inst-retired,"4,034,681,466",14.386123
0,0,300000,100%,raw-inst-spec,"4,043,940,416",14.395825
0,0,300000,100%,raw-isb-spec,0,14.395825
0,0,300000,100%,raw-itlb-walk,"50,664",14.395825
0,0,300000,100%,raw-l1d-cache,"1,923,871,867",14.395825
0,0,300000,100%,raw-l1d-cache-allocate,0,14.395825
0,0,300000,100%,raw-l1d-cache-inval,0,14.395825
0,0,300000,100%,raw-l1d-cache-rd,"1,898,765,765",14.426690
0,0,300000,100%,raw-l1d-cache-refill,"4,998,065",14.426690
0,0,300000,100%,raw-l1d-cache-refill-inner,"3,389,801",14.426690
0,0,300000,100%,raw-l1d-cache-refill-outer,"1,644,359",14.426690
0,0,300000,100%,raw-l1d-cache-refill-rd,"3,124,599",14.426690
0,0,300000,100%,raw-l1d-cache-refill-wr,"1,873,466",14.426690
0,0,300000,100%,raw-l1d-cache-wb,"114,135,174",14.414989
0,0,300000,100%,raw-l1d-cache-wb-clean,0,14.414989
0,0,300000,100%,raw-l1d-cache-wb-victim,0,14.414989
0,0,300000,100%,raw-l1d-cache-wr,"26,329,093",14.414989
0,0,300000,100%,raw-l1d-tlb,"1,924,911,715",14.414989
0,0,300000,100%,raw-l1d-tlb-rd,0,14.414989
0,0,300000,100%,raw-l1d-tlb-refill,"6,693,703",14.394520
0,0,300000,100%,raw-l1d-tlb-refill-rd,0,14.394520
0,0,300000,100%,raw-l1d-tlb-refill-wr,0,14.394520
0,0,300000,100%,raw-l1d-tlb-wr,0,14.394520
0,0,300000,100%,raw-l1i-cache,"2,108,926,922",14.394520
0,0,300000,100%,raw-l1i-cache-lmiss,0,14.394520
0,0,300000,100%,raw-l1i-cache-refill,"1,464,152",14.410817
0,0,300000,100%,raw-l1i-tlb,"2,175,592,100",14.410817
0,0,300000,100%,raw-l1i-tlb-refill,"1,709,892",14.410817
0,0,300000,100%,raw-l2d-cache,"248,639,859",14.410817
0,0,300000,100%,raw-l2d-cache-allocate,"128,666,983",14.410817
0,0,300000,100%,raw-l2d-cache-inval,0,14.410817
0,0,300000,100%,raw-l2d-cache-lmiss-rd,0,14.382045
0,0,300000,100%,raw-l2d-cache-rd,"119,084,724",14.382045
0,0,300000,100%,raw-l2d-cache-refill,"115,206,810",14.382045
0,0,300000,100%,raw-l2d-cache-refill-rd,"114,522,836",14.382045
0,0,300000,100%,raw-l2d-cache-refill-wr,"683,974",14.382045
0,0,300000,100%,raw-l2d-cache-wb,"121,626,645",14.382045
0,0,300000,100%,raw-l2d-cache-wb-clean,0,14.390568
0,0,300000,100%,raw-l2d-cache-wb-victim,0,14.390568
0,0,300000,100%,raw-l2d-cache-wr,"129,212,804",14.390568
0,0,300000,100%,raw-l2d-tlb,"12,278,924",14.390568
0,0,300000,100%,raw-l2d-tlb-rd,0,14.390568
0,0,300000,100%,raw-l2d-tlb-refill,"1,923,439",14.390568
0,0,300000,100%,raw-l2d-tlb-refill-rd,0,14.391836
0,0,300000,100%,raw-l2d-tlb-refill-wr,0,14.391836
