setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,126,5.996579
0,0,300000,100%,raw-br-immed-retired,"96,867,563",5.996579
0,0,300000,100%,raw-br-immed-spec,"96,867,563",5.996579
0,0,300000,100%,raw-br-indirect-spec,"680,367",5.996579
0,0,300000,100%,raw-br-mis-pred,"1,271,771",5.996579
0,0,300000,100%,raw-br-pred,"92,945,690",5.996579
0,0,300000,100%,raw-br-retired,"101,704,334",5.988432
0,0,300000,100%,raw-br-return-retired,"4,388,447",5.988432
0,0,300000,100%,raw-br-return-spec,"4,388,447",5.988432
0,0,300000,100%,raw-bus-access,"937,247,876",5.988432
0,0,300000,100%,raw-bus-access-normal,0,5.988432
0,0,300000,100%,raw-bus-access-not-shared,0,5.988432
0,0,300000,100%,raw-bus-access-periph,0,5.979900
0,0,300000,100%,raw-bus-access-rd,"453,138,305",5.979900
0,0,300000,100%,raw-bus-access-shared,0,5.979900
0,0,300000,100%,raw-bus-access-wr,"484,357,542",5.979900
0,0,300000,100%,raw-bus-cycles,"1,787,765,749",5.979900
0,0,300000,100%,raw-chain,0,5.979900
0,0,300000,100%,raw-cid-write-retired,0,5.979060
0,0,300000,100%,raw-cnt-cycles,0,5.979060
0,0,300000,100%,raw-cpu-cycles,"1,787,488,682",5.979060
0,0,300000,100%,raw-crypto-spec,0,5.979060
0,0,300000,100%,raw-dmb-spec,0,5.979060
0,0,300000,100%,raw-dp-spec,"690,232,324",5.979060
0,0,300000,100%,raw-dsb-spec,0,5.987394
0,0,300000,100%,raw-dtlb-walk,"1,851,972",5.987394
0,0,300000,100%,raw-exc-dabort,0,5.987394
0,0,300000,100%,raw-exc-fiq,1,5.987394
0,0,300000,100%,raw-exc-hvc,0,5.987394
0,0,300000,100%,raw-exc-irq,"2,090",5.987394
0,0,300000,100%,raw-exc-pabort,0,5.986968
0,0,300000,100%,raw-exc-return,"133,660",5.986968
0,0,300000,100%,raw-exc-smc,0,5.986968
0,0,300000,100%,raw-exc-svc,0,5.986968
0,0,300000,100%,raw-exc-taken,"133,661",5.986968
0,0,300000,100%,raw-exc-trap-dabort,0,5.986968
0,0,300000,100%,raw-exc-trap-fiq,0,5.984581
0,0,300000,100%,raw-exc-trap-irq,0,5.984581
0,0,300000,100%,raw-exc-trap-other,0,5.984581
0,0,300000,100%,raw-exc-trap-pabort,0,5.984581
0,0,300000,100%,raw-exc-undef,0,5.984581
0,0,300000,100%,raw-inst-retired,"1,397,342,872",5.984581
0,0,300000,100%,raw-inst-spec,"1,404,314,398",5.995314
0,0,300000,100%,raw-isb-spec,0,5.995314
0,0,300000,100%,raw-itlb-walk,"20,919",5.995314
0,0,300000,100%,raw-l1d-cache,"608,078,756",5.995314
0,0,300000,100%,raw-l1d-cache-allocate,0,5.995314
0,0,300000,100%,raw-l1d-cache-inval,0,5.995314
0,0,300000,100%,raw-l1d-cache-rd,"582,106,124",5.978602
0,0,300000,100%,raw-l1d-cache-refill,"3,605,145",5.978602
0,0,300000,100%,raw-l1d-cache-refill-inner,"2,559,503",5.978602
0,0,300000,100%,raw-l1d-cache-refill-outer,"1,060,341",5.978602
0,0,300000,100%,raw-l1d-cache-refill-rd,"1,924,893",5.978602
0,0,300000,100%,raw-l1d-cache-refill-wr,"1,680,252",5.978602
0,0,300000,100%,raw-l1d-cache-wb,"113,015,057",5.990419
0,0,300000,100%,raw-l1d-cache-wb-clean,0,5.990419
0,0,300000,100%,raw-l1d-cache-wb-victim,0,5.990419
0,0,300000,100%,raw-l1d-cache-wr,"25,006,724",5.990419
0,0,300000,100%,raw-l1d-tlb,"607,456,924",5.990419
0,0,300000,100%,raw-l1d-tlb-rd,0,5.990419
0,0,300000,100%,raw-l1d-tlb-refill,"5,950,232",5.984599
0,0,300000,100%,raw-l1d-tlb-refill-rd,0,5.984599
0,0,300000,100%,raw-l1d-tlb-refill-wr,0,5.984599
0,0,300000,100%,raw-l1d-tlb-wr,0,5.984599
0,0,300000,100%,raw-l1i-cache,"781,757,779",5.984599
0,0,300000,100%,raw-l1i-cache-lmiss,0,5.984599
0,0,300000,100%,raw-l1i-cache-refill,"684,586",5.981024
0,0,300000,100%,raw-l1i-tlb,"810,568,880",5.981024
0,0,300000,100%,raw-l1i-tlb-refill,"1,558,041",5.981024
0,0,300000,100%,raw-l2d-cache,"245,018,340",5.981024
0,0,300000,100%,raw-l2d-cache-allocate,"127,462,467",5.981024
0,0,300000,100%,raw-l2d-cache-inval,0,5.981024
0,0,300000,100%,raw-l2d-cache-lmiss-rd,0,5.959711
0,0,300000,100%,raw-l2d-cache-rd,"116,640,670",5.959711
0,0,300000,100%,raw-l2d-cache-refill,"113,231,450",5.959711
0,0,300000,100%,raw-l2d-cache-refill-rd,"112,562,160",5.959711
0,0,300000,100%,raw-l2d-cache-refill-wr,"669,290",5.959711
0,0,300000,100%,raw-l2d-cache-wb,"119,571,914",5.959711
0,0,300000,100%,raw-l2d-cache-wb-clean,0,5.982442
0,0,300000,100%,raw-l2d-cache-wb-victim,0,5.982442
0,0,300000,100%,raw-l2d-cache-wr,"128,221,227",5.982442
0,0,300000,100%,raw-l2d-tlb,"11,483,629",5.982442
0,0,300000,100%,raw-l2d-tlb-rd,0,5.982442
0,0,300000,100%,raw-l2d-tlb-refill,"1,872,844",5.982442
0,0,300000,100%,raw-l2d-tlb-refill-rd,0,5.985812
0,0,300000,100%,raw-l2d-tlb-refill-wr,0,5.985812
0,0,300000,100%,raw-l2d-tlb-wr,0,5.985812
0,0,300000,100%,raw-l2i-cache-lmiss,0,5.985812
0,0,300000,100%,raw-l2i-tlb,0,5.985812
0,0,300000,100%,raw-l3d-cache,"232,900,207",5.985812
0,0,300000,100%,raw-l3d-cache-allocate,"119,592,254",5.981248
0,0,300000,100%,raw-l3d-cache-inval,0,5.981248
0,0,300000,100%,raw-l3d-cache-lmiss-rd,0,5.981248
0,0,300000,100%,raw-l3d-cache-rd,"113,058,508",5.981248
0,0,300000,100%,raw-l3d-cache-refill,"18,906,904",5.981248
0,0,300000,100%,raw-l3d-cache-refill-rd,"18,906,904",5.981248
0,0,300000,100%,raw-l3d-cache-refill-wr,0,5.976951
0,0,300000,100%,raw-l3d-cache-wb-clean,0,5.976951
0,0,300000,100%,raw-l3d-cache-wb-victim,0,5.976951
0,0,300000,100%,raw-l3d-cache-wr,0,5.976951
0,0,300000,100%,raw-ld-spec,"570,621,788",5.976951
0,0,300000,100%,raw-ldrex-spec,0,5.976951
0,0,300000,100%,raw-ldst-spec,"629,973,049",6.003245
0,0,300000,100%,raw-ll-cache-miss-rd,"19,002,638",6.003245
0,0,300000,100%,raw-ll-cache-rd,"112,766,209",6.003245
0,0,300000,100%,raw-mem-access,"688,330,046",6.003245
0,0,300000,100%,raw-mem-access-rd,"582,329,555",6.003245
0,0,300000,100%,raw-mem-access-wr,"106,000,491",6.003245
0,0,300000,100%,raw-pc-write-retired,"99,567,461",6.722027
0,0,300000,100%,raw-pc-write-spec,"127,688,571",6.722027
0,0,300000,100%,raw-rc-ld-spec,0,6.722027
0,0,300000,100%,raw-rc-st-spec,0,6.722027
0,0,300000,100%,raw-remote-access-rd,0,6.722027
0,0,300000,100%,raw-sample-collision,0,6.722027
0,0,300000,100%,raw-sample-feed,0,6.000573
0,0,300000,100%,raw-sample-filtrate,0,6.000573
0,0,300000,100%,raw-sample-pop,0,6.000573
0,0,300000,100%,raw-st-spec,"58,724,520",6.000573
0,0,300000,100%,raw-stall-backend,"853,684,078",6.000573
0,0,300000,100%,raw-stall-backend-mem,0,6.000573
0,0,300000,100%,raw-stall-frontend,"39,495,430",5.994678
0,0,300000,100%,raw-strex-fail-spec,0,5.994678
0,0,300000,100%,raw-strex-pass-spec,0,5.994678
0,0,300000,100%,raw-strex-spec,0,5.994678
0,0,300000,100%,raw-sve-inst-retired,0,5.994678
0,0,300000,100%,raw-sve-inst-spec,0,5.994678
0,0,300000,100%,raw-sw-incr,0,5.990810
0,0,300000,100%,raw-ttbr-write-retired,"468,781",5.990810
0,0,300000,100%,raw-unaligned-ld-spec,0,5.990810
0,0,300000,100%,raw-unaligned-ldst-spec,0,5.990810
0,0,300000,100%,raw-unaligned-st-spec,0,5.990810
0,0,300000,100%,raw-vfp-spec,"3,280",5.990810
0,0,979200,100%,raw-ase-spec,126,2.688960
0,0,979200,100%,raw-br-immed-retired,"138,392,248",2.688960
0,0,979200,100%,raw-br-immed-spec,"138,392,248",2.688960
0,0,979200,100%,raw-br-indirect-spec,"1,067,286",2.688960
0,0,979200,100%,raw-br-mis-pred,"1,119,242",2.688960
0,0,979200,100%,raw-br-pred,"135,038,283",2.688960
