setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,"169,201,441",70.530812
0,0,300000,100%,raw-br-immed-retired,"3,976,229,606",70.530812
0,0,300000,100%,raw-br-immed-spec,"3,976,229,606",70.530812
0,0,300000,100%,raw-br-indirect-spec,"592,971,474",70.530812
0,0,300000,100%,raw-br-mis-pred,"39,006,728",70.530812
0,0,300000,100%,raw-br-pred,"5,157,977,759",70.530812
0,0,300000,100%,raw-br-retired,"5,166,050,554",70.647137
0,0,300000,100%,raw-br-return-retired,"510,307,854",70.647137
0,0,300000,100%,raw-br-return-spec,"510,307,854",70.647137
0,0,300000,100%,raw-bus-access,"22,059,232",70.647137
0,0,300000,100%,raw-bus-access-normal,0,70.647137
0,0,300000,100%,raw-bus-access-not-shared,0,70.647137
0,0,300000,100%,raw-bus-access-periph,0,70.653523
0,0,300000,100%,raw-bus-access-rd,"9,281,226",70.653523
0,0,300000,100%,raw-bus-access-shared,0,70.653523
0,0,300000,100%,raw-bus-access-wr,"12,403,310",70.653523
0,0,300000,100%,raw-bus-cycles,"21,152,338,365",70.653523
0,0,300000,100%,raw-chain,9,70.653523
0,0,300000,100%,raw-cid-write-retired,0,70.750424
0,0,300000,100%,raw-cnt-cycles,0,70.750424
0,0,300000,100%,raw-cpu-cycles,"21,168,181,119",70.750424
0,0,300000,100%,raw-crypto-spec,0,70.750424
0,0,300000,100%,raw-dmb-spec,0,70.750424
0,0,300000,100%,raw-dp-spec,"25,375,214,743",70.750424
0,0,300000,100%,raw-dsb-spec,0,70.683839
0,0,300000,100%,raw-dtlb-walk,408,70.683839
0,0,300000,100%,raw-exc-dabort,0,70.683839
0,0,300000,100%,raw-exc-fiq,12,70.683839
0,0,300000,100%,raw-exc-hvc,0,70.683839
0,0,300000,100%,raw-exc-irq,"24,848",70.683839
0,0,300000,100%,raw-exc-pabort,0,70.647065
0,0,300000,100%,raw-exc-return,"24,966",70.647065
0,0,300000,100%,raw-exc-smc,0,70.647065
0,0,300000,100%,raw-exc-svc,0,70.647065
0,0,300000,100%,raw-exc-taken,"24,978",70.647065
0,0,300000,100%,raw-exc-trap-dabort,0,70.647065
0,0,300000,100%,raw-exc-trap-fiq,0,70.658901
0,0,300000,100%,raw-exc-trap-irq,0,70.658901
0,0,300000,100%,raw-exc-trap-other,0,70.658901
0,0,300000,100%,raw-exc-trap-pabort,0,70.658901
0,0,300000,100%,raw-exc-undef,0,70.658901
0,0,300000,100%,raw-inst-retired,"32,748,052,109",70.658901
0,0,300000,100%,raw-inst-spec,"32,974,062,863",70.607643
0,0,300000,100%,raw-isb-spec,0,70.607643
0,0,300000,100%,raw-itlb-walk,149,70.607643
0,0,300000,100%,raw-l1d-cache,"2,096,542,718",70.607643
0,0,300000,100%,raw-l1d-cache-allocate,0,70.607643
0,0,300000,100%,raw-l1d-cache-inval,0,70.607643
0,0,300000,100%,raw-l1d-cache-rd,"2,086,310,369",70.653467
0,0,300000,100%,raw-l1d-cache-refill,"3,544,742",70.653467
0,0,300000,100%,raw-l1d-cache-refill-inner,"3,551,481",70.653467
0,0,300000,100%,raw-l1d-cache-refill-outer,"4,544",70.653467
0,0,300000,100%,raw-l1d-cache-refill-rd,"3,127,051",70.653467
0,0,300000,100%,raw-l1d-cache-refill-wr,"417,691",70.653467
0,0,300000,100%,raw-l1d-cache-wb,"3,661,195",70.634968
0,0,300000,100%,raw-l1d-cache-wb-clean,0,70.634968
0,0,300000,100%,raw-l1d-cache-wb-victim,0,70.634968
0,0,300000,100%,raw-l1d-cache-wr,"10,864,620",70.634968
0,0,300000,100%,raw-l1d-tlb,"2,097,445,708",70.634968
0,0,300000,100%,raw-l1d-tlb-rd,0,70.634968
0,0,300000,100%,raw-l1d-tlb-refill,"4,970,585",70.671908
0,0,300000,100%,raw-l1d-tlb-refill-rd,0,70.671908
0,0,300000,100%,raw-l1d-tlb-refill-wr,0,70.671908
0,0,300000,100%,raw-l1d-tlb-wr,0,70.671908
0,0,300000,100%,raw-l1i-cache,"19,338,203,135",70.671908
0,0,300000,100%,raw-l1i-cache-lmiss,0,70.671908
0,0,300000,100%,raw-l1i-cache-refill,"5,835,317",70.586568
0,0,300000,100%,raw-l1i-tlb,"19,419,129,936",70.586568
0,0,300000,100%,raw-l1i-tlb-refill,"1,255,371",70.586568
0,0,300000,100%,raw-l2d-cache,"15,889,892",70.586568
0,0,300000,100%,raw-l2d-cache-allocate,"3,476,122",70.586568
0,0,300000,100%,raw-l2d-cache-inval,0,70.586568
0,0,300000,100%,raw-l2d-cache-lmiss-rd,0,70.618148
0,0,300000,100%,raw-l2d-cache-rd,"13,129,879",70.618148
0,0,300000,100%,raw-l2d-cache-refill,"2,294,556",70.618148
0,0,300000,100%,raw-l2d-cache-refill-rd,"2,266,769",70.618148
0,0,300000,100%,raw-l2d-cache-refill-wr,"27,787",70.618148
0,0,300000,100%,raw-l2d-cache-wb,"2,769,363",70.618148
0,0,300000,100%,raw-l2d-cache-wb-clean,0,70.637779
0,0,300000,100%,raw-l2d-cache-wb-victim,0,70.637779
0,0,300000,100%,raw-l2d-cache-wr,"3,702,915",70.637779
0,0,300000,100%,raw-l2d-tlb,"7,327,535",70.637779
0,0,300000,100%,raw-l2d-tlb-rd,0,70.637779
0,0,300000,100%,raw-l2d-tlb-refill,348,70.637779
0,0,300000,100%,raw-l2d-tlb-refill-rd,0,70.641972
0,0,300000,100%,raw-l2d-tlb-refill-wr,0,70.641972
0,0,300000,100%,raw-l2d-tlb-wr,0,70.641972
0,0,300000,100%,raw-l2i-cache-lmiss,0,70.641972
0,0,300000,100%,raw-l2i-tlb,0,70.641972
0,0,300000,100%,raw-l3d-cache,"4,435,132",70.641972
0,0,300000,100%,raw-l3d-cache-allocate,"2,201,575",70.677271
0,0,300000,100%,raw-l3d-cache-inval,0,70.677271
0,0,300000,100%,raw-l3d-cache-lmiss-rd,0,70.677271
0,0,300000,100%,raw-l3d-cache-rd,"2,312,195",70.677271
0,0,300000,100%,raw-l3d-cache-refill,"21,371",70.677271
0,0,300000,100%,raw-l3d-cache-refill-rd,"21,371",70.677271
0,0,300000,100%,raw-l3d-cache-refill-wr,0,70.643409
0,0,300000,100%,raw-l3d-cache-wb-clean,0,70.643409
0,0,300000,100%,raw-l3d-cache-wb-victim,0,70.643409
0,0,300000,100%,raw-l3d-cache-wr,0,70.643409
0,0,300000,100%,raw-ld-spec,"2,080,364,317",70.643409
0,0,300000,100%,raw-ldrex-spec,0,70.643409
0,0,300000,100%,raw-ldst-spec,"2,105,641,573",70.669088
0,0,300000,100%,raw-ll-cache-miss-rd,"17,730",70.669088
0,0,300000,100%,raw-ll-cache-rd,"2,393,370",70.669088
0,0,300000,100%,raw-mem-access,"2,110,369,025",70.669088
0,0,300000,100%,raw-mem-access-rd,"2,086,312,973",70.669088
0,0,300000,100%,raw-mem-access-wr,"24,056,052",70.669088
0,0,300000,100%,raw-pc-write-retired,"4,813,937,529",70.655539
0,0,300000,100%,raw-pc-write-spec,"5,168,621,110",70.655539
0,0,300000,100%,raw-rc-ld-spec,0,70.655539
0,0,300000,100%,raw-rc-st-spec,0,70.655539
0,0,300000,100%,raw-remote-access-rd,0,70.655539
0,0,300000,100%,raw-sample-collision,0,70.655539
0,0,300000,100%,raw-sample-feed,0,70.622666
0,0,300000,100%,raw-sample-filtrate,0,70.622666
0,0,300000,100%,raw-sample-pop,0,70.622666
0,0,300000,100%,raw-st-spec,"25,068,117",70.622666
0,0,300000,100%,raw-stall-backend,"724,503,923",70.622666
0,0,300000,100%,raw-stall-backend-mem,0,70.622666
0,0,300000,100%,raw-stall-frontend,"514,120,760",70.657126
0,0,300000,100%,raw-strex-fail-spec,0,70.657126
0,0,300000,100%,raw-strex-pass-spec,0,70.657126
0,0,300000,100%,raw-strex-spec,0,70.657126
0,0,300000,100%,raw-sve-inst-retired,0,70.657126
0,0,300000,100%,raw-sve-inst-spec,0,70.657126
0,0,300000,100%,raw-sw-incr,0,70.639876
0,0,300000,100%,raw-ttbr-write-retired,"43,951",70.639876
0,0,300000,100%,raw-unaligned-ld-spec,0,70.639876
0,0,300000,100%,raw-unaligned-ldst-spec,0,70.639876
0,0,300000,100%,raw-unaligned-st-spec,0,70.639876
0,0,300000,100%,raw-vfp-spec,"338,402,407",70.639876
0,0,979200,100%,raw-ase-spec,"169,200,834",21.385038
0,0,979200,100%,raw-br-immed-retired,"3,958,017,141",21.385038
0,0,979200,100%,raw-br-immed-spec,"3,958,017,141",21.385038
0,0,979200,100%,raw-br-indirect-spec,"592,438,325",21.385038
0,0,979200,100%,raw-br-mis-pred,"41,096,188",21.385038
