setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,36,0.005645
0,0,300000,100%,raw-br-immed-retired,"39,455",0.005645
0,0,300000,100%,raw-br-immed-spec,"39,455",0.005645
0,0,300000,100%,raw-br-indirect-spec,528,0.005645
0,0,300000,100%,raw-br-mis-pred,"5,438",0.005645
0,0,300000,100%,raw-br-pred,"36,539",0.005645
0,0,300000,100%,raw-br-retired,"41,668",0.005651
0,0,300000,100%,raw-br-return-retired,"3,188",0.005651
0,0,300000,100%,raw-br-return-spec,"3,188",0.005651
0,0,300000,100%,raw-bus-access,"70,539",0.005651
0,0,300000,100%,raw-bus-access-normal,0,0.005651
0,0,300000,100%,raw-bus-access-not-shared,0,0.005651
0,0,300000,100%,raw-bus-access-periph,0,0.005063
0,0,300000,100%,raw-bus-access-rd,"33,698",0.005063
0,0,300000,100%,raw-bus-access-shared,0,0.005063
0,0,300000,100%,raw-bus-access-wr,"38,916",0.005063
0,0,300000,100%,raw-bus-cycles,"502,980",0.005063
0,0,300000,100%,raw-chain,0,0.005063
0,0,300000,100%,raw-cid-write-retired,0,0.005587
0,0,300000,100%,raw-cnt-cycles,0,0.005587
0,0,300000,100%,raw-cpu-cycles,"524,841",0.005587
0,0,300000,100%,raw-crypto-spec,0,0.005587
0,0,300000,100%,raw-dmb-spec,0,0.005587
0,0,300000,100%,raw-dp-spec,"110,873",0.005587
0,0,300000,100%,raw-dsb-spec,0,0.005184
0,0,300000,100%,raw-dtlb-walk,114,0.005184
0,0,300000,100%,raw-exc-dabort,0,0.005184
0,0,300000,100%,raw-exc-fiq,0,0.005184
0,0,300000,100%,raw-exc-hvc,0,0.005184
0,0,300000,100%,raw-exc-irq,1,0.005184
0,0,300000,100%,raw-exc-pabort,0,0.004982
0,0,300000,100%,raw-exc-return,77,0.004982
0,0,300000,100%,raw-exc-smc,0,0.004982
0,0,300000,100%,raw-exc-svc,0,0.004982
0,0,300000,100%,raw-exc-taken,77,0.004982
0,0,300000,100%,raw-exc-trap-dabort,0,0.004982
0,0,300000,100%,raw-exc-trap-fiq,0,0.005182
0,0,300000,100%,raw-exc-trap-irq,0,0.005182
0,0,300000,100%,raw-exc-trap-other,0,0.005182
0,0,300000,100%,raw-exc-trap-pabort,0,0.005182
0,0,300000,100%,raw-exc-undef,0,0.005182
0,0,300000,100%,raw-inst-retired,"216,188",0.005182
