setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,"11,524,759",14.439319
0,0,300000,100%,raw-br-immed-retired,"436,017,727",14.439319
0,0,300000,100%,raw-br-immed-spec,"436,017,727",14.439319
0,0,300000,100%,raw-br-indirect-spec,"23,895,857",14.439319
0,0,300000,100%,raw-br-mis-pred,"29,941,190",14.439319
0,0,300000,100%,raw-br-pred,"429,673,694",14.439319
0,0,300000,100%,raw-br-retired,"497,510,614",13.860161
0,0,300000,100%,raw-br-return-retired,"40,065,080",13.860161
0,0,300000,100%,raw-br-return-spec,"40,065,080",13.860161
0,0,300000,100%,raw-bus-access,"213,714,670",13.860161
0,0,300000,100%,raw-bus-access-normal,0,13.860161
0,0,300000,100%,raw-bus-access-not-shared,0,13.860161
0,0,300000,100%,raw-bus-access-periph,0,13.825244
0,0,300000,100%,raw-bus-access-rd,"103,437,383",13.825244
0,0,300000,100%,raw-bus-access-shared,0,13.825244
0,0,300000,100%,raw-bus-access-wr,"109,775,866",13.825244
0,0,300000,100%,raw-bus-cycles,"3,191,409,754",13.825244
0,0,300000,100%,raw-chain,0,13.825244
0,0,300000,100%,raw-cid-write-retired,0,13.819340
0,0,300000,100%,raw-cnt-cycles,0,13.819340
0,0,300000,100%,raw-cpu-cycles,"3,186,328,818",13.819340
0,0,300000,100%,raw-crypto-spec,"220,470",13.819340
0,0,300000,100%,raw-dmb-spec,0,13.819340
0,0,300000,100%,raw-dp-spec,"1,017,272,971",13.819340
0,0,300000,100%,raw-dsb-spec,0,13.882662
0,0,300000,100%,raw-dtlb-walk,"108,551",13.882662
0,0,300000,100%,raw-exc-dabort,0,13.882662
0,0,300000,100%,raw-exc-fiq,1,13.882662
0,0,300000,100%,raw-exc-hvc,0,13.882662
0,0,300000,100%,raw-exc-irq,"3,680",13.882662
0,0,300000,100%,raw-exc-pabort,0,13.809245
0,0,300000,100%,raw-exc-return,"51,850",13.809245
0,0,300000,100%,raw-exc-smc,0,13.809245
0,0,300000,100%,raw-exc-svc,0,13.809245
0,0,300000,100%,raw-exc-taken,"51,851",13.809245
0,0,300000,100%,raw-exc-trap-dabort,0,13.809245
0,0,300000,100%,raw-exc-trap-fiq,0,13.858982
0,0,300000,100%,raw-exc-trap-irq,0,13.858982
0,0,300000,100%,raw-exc-trap-other,0,13.858982
0,0,300000,100%,raw-exc-trap-pabort,0,13.858982
0,0,300000,100%,raw-exc-undef,0,13.858982
0,0,300000,100%,raw-inst-retired,"2,439,177,031",13.858982
0,0,300000,100%,raw-inst-spec,"2,521,960,198",13.873750
