setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,"2,420,785",19.588710
0,0,300000,100%,raw-br-immed-retired,"890,864,682",19.588710
0,0,300000,100%,raw-br-immed-spec,"890,864,682",19.588710
0,0,300000,100%,raw-br-indirect-spec,"32,922,624",19.588710
0,0,300000,100%,raw-br-mis-pred,"78,705,408",19.588710
0,0,300000,100%,raw-br-pred,"853,447,931",19.588710
0,0,300000,100%,raw-br-retired,"1,007,247,284",19.475426
0,0,300000,100%,raw-br-return-retired,"83,898,805",19.475426
0,0,300000,100%,raw-br-return-spec,"83,898,805",19.475426
0,0,300000,100%,raw-bus-access,"320,588,875",19.475426
0,0,300000,100%,raw-bus-access-normal,0,19.475426
0,0,300000,100%,raw-bus-access-not-shared,0,19.475426
0,0,300000,100%,raw-bus-access-periph,0,19.468386
0,0,300000,100%,raw-bus-access-rd,"144,086,432",19.468386
0,0,300000,100%,raw-bus-access-shared,0,19.468386
0,0,300000,100%,raw-bus-access-wr,"177,396,184",19.468386
0,0,300000,100%,raw-bus-cycles,"5,820,602,783",19.468386
0,0,300000,100%,raw-chain,2,19.468386
0,0,300000,100%,raw-cid-write-retired,0,19.527190
0,0,300000,100%,raw-cnt-cycles,0,19.527190
0,0,300000,100%,raw-cpu-cycles,"5,829,732,368",19.527190
0,0,300000,100%,raw-crypto-spec,0,19.527190
0,0,300000,100%,raw-dmb-spec,0,19.527190
0,0,300000,100%,raw-dp-spec,"2,166,167,541",19.527190
0,0,300000,100%,raw-dsb-spec,0,19.456296
0,0,300000,100%,raw-dtlb-walk,"361,564",19.456296
0,0,300000,100%,raw-exc-dabort,0,19.456296
0,0,300000,100%,raw-exc-fiq,3,19.456296
0,0,300000,100%,raw-exc-hvc,0,19.456296
0,0,300000,100%,raw-exc-irq,"6,792",19.456296
0,0,300000,100%,raw-exc-pabort,0,19.502795
0,0,300000,100%,raw-exc-return,"13,534",19.502795
0,0,300000,100%,raw-exc-smc,0,19.502795
0,0,300000,100%,raw-exc-svc,0,19.502795
0,0,300000,100%,raw-exc-taken,"13,537",19.502795
0,0,300000,100%,raw-exc-trap-dabort,0,19.502795
0,0,300000,100%,raw-exc-trap-fiq,0,19.461256
0,0,300000,100%,raw-exc-trap-irq,0,19.461256
0,0,300000,100%,raw-exc-trap-other,0,19.461256
0,0,300000,100%,raw-exc-trap-pabort,0,19.461256
0,0,300000,100%,raw-exc-undef,0,19.461256
0,0,300000,100%,raw-inst-retired,"4,431,183,204",19.461256
0,0,300000,100%,raw-inst-spec,"4,673,535,172",19.443114
0,0,300000,100%,raw-isb-spec,0,19.443114
0,0,300000,100%,raw-itlb-walk,"128,058",19.443114
0,0,300000,100%,raw-l1d-cache,"1,304,631,346",19.443114
0,0,300000,100%,raw-l1d-cache-allocate,0,19.443114
0,0,300000,100%,raw-l1d-cache-inval,0,19.443114
0,0,300000,100%,raw-l1d-cache-rd,"1,185,296,249",19.454833
0,0,300000,100%,raw-l1d-cache-refill,"38,560,931",19.454833
0,0,300000,100%,raw-l1d-cache-refill-inner,"36,090,135",19.454833
0,0,300000,100%,raw-l1d-cache-refill-outer,"2,551,915",19.454833
0,0,300000,100%,raw-l1d-cache-refill-rd,"34,272,659",19.454833
0,0,300000,100%,raw-l1d-cache-refill-wr,"4,288,272",19.454833
0,0,300000,100%,raw-l1d-cache-wb,"44,287,168",19.498733
0,0,300000,100%,raw-l1d-cache-wb-clean,0,19.498733
0,0,300000,100%,raw-l1d-cache-wb-victim,0,19.498733
0,0,300000,100%,raw-l1d-cache-wr,"119,655,276",19.498733
0,0,300000,100%,raw-l1d-tlb,"1,304,029,649",19.498733
0,0,300000,100%,raw-l1d-tlb-rd,0,19.498733
0,0,300000,100%,raw-l1d-tlb-refill,"65,293,378",19.450895
0,0,300000,100%,raw-l1d-tlb-refill-rd,0,19.450895
0,0,300000,100%,raw-l1d-tlb-refill-wr,0,19.450895
0,0,300000,100%,raw-l1d-tlb-wr,0,19.450895
0,0,300000,100%,raw-l1i-cache,"3,732,354,516",19.450895
0,0,300000,100%,raw-l1i-cache-lmiss,0,19.450895
0,0,300000,100%,raw-l1i-cache-refill,"32,915,138",19.467047
0,0,300000,100%,raw-l1i-tlb,"4,213,197,554",19.467047
0,0,300000,100%,raw-l1i-tlb-refill,"16,427,615",19.467047
0,0,300000,100%,raw-l2d-cache,"155,313,695",19.467047
0,0,300000,100%,raw-l2d-cache-allocate,"56,323,952",19.467047
0,0,300000,100%,raw-l2d-cache-inval,0,19.467047
0,0,300000,100%,raw-l2d-cache-lmiss-rd,0,19.481194
0,0,300000,100%,raw-l2d-cache-rd,"91,934,538",19.481194
0,0,300000,100%,raw-l2d-cache-refill,"36,080,345",19.481194
0,0,300000,100%,raw-l2d-cache-refill-rd,"35,693,792",19.481194
0,0,300000,100%,raw-l2d-cache-refill-wr,"386,553",19.481194
0,0,300000,100%,raw-l2d-cache-wb,"37,100,586",19.481194
0,0,300000,100%,raw-l2d-cache-wb-clean,0,19.524328
0,0,300000,100%,raw-l2d-cache-wb-victim,0,19.524328
0,0,300000,100%,raw-l2d-cache-wr,"63,802,050",19.524328
0,0,300000,100%,raw-l2d-tlb,"91,370,763",19.524328
0,0,300000,100%,raw-l2d-tlb-rd,0,19.524328
0,0,300000,100%,raw-l2d-tlb-refill,"502,030",19.524328
0,0,300000,100%,raw-l2d-tlb-refill-rd,0,19.467304
0,0,300000,100%,raw-l2d-tlb-refill-wr,0,19.467304
0,0,300000,100%,raw-l2d-tlb-wr,0,19.467304
0,0,300000,100%,raw-l2i-cache-lmiss,0,19.467304
0,0,300000,100%,raw-l2i-tlb,0,19.467304
0,0,300000,100%,raw-l3d-cache,"79,612,602",19.467304
0,0,300000,100%,raw-l3d-cache-allocate,"43,824,511",19.477559
0,0,300000,100%,raw-l3d-cache-inval,0,19.477559
0,0,300000,100%,raw-l3d-cache-lmiss-rd,0,19.477559
0,0,300000,100%,raw-l3d-cache-rd,"36,104,063",19.477559
0,0,300000,100%,raw-l3d-cache-refill,"4,647,007",19.477559
0,0,300000,100%,raw-l3d-cache-refill-rd,"4,647,007",19.477559
0,0,300000,100%,raw-l3d-cache-refill-wr,0,19.480639
