setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,"8,874,750",6.785671
0,0,300000,100%,raw-br-immed-retired,"281,575,540",6.785671
0,0,300000,100%,raw-br-immed-spec,"281,575,540",6.785671
0,0,300000,100%,raw-br-indirect-spec,"17,260,751",6.785671
0,0,300000,100%,raw-br-mis-pred,"10,040,807",6.785671
0,0,300000,100%,raw-br-pred,"280,324,543",6.785671
0,0,300000,100%,raw-br-retired,"361,878,036",6.711552
0,0,300000,100%,raw-br-return-retired,"63,300,578",6.711552
0,0,300000,100%,raw-br-return-spec,"63,300,578",6.711552
0,0,300000,100%,raw-bus-access,"29,149,703",6.711552
0,0,300000,100%,raw-bus-access-normal,0,6.711552
0,0,300000,100%,raw-bus-access-not-shared,0,6.711552
0,0,300000,100%,raw-bus-access-periph,0,6.746461
0,0,300000,100%,raw-bus-access-rd,"14,249,884",6.746461
0,0,300000,100%,raw-bus-access-shared,0,6.746461
0,0,300000,100%,raw-bus-access-wr,"15,531,639",6.746461
0,0,300000,100%,raw-bus-cycles,"2,008,831,694",6.746461
0,0,300000,100%,raw-chain,0,6.746461
0,0,300000,100%,raw-cid-write-retired,0,6.740280
0,0,300000,100%,raw-cnt-cycles,0,6.740280
0,0,300000,100%,raw-cpu-cycles,"2,013,455,589",6.740280
0,0,300000,100%,raw-crypto-spec,0,6.740280
0,0,300000,100%,raw-dmb-spec,0,6.740280
0,0,300000,100%,raw-dp-spec,"583,286,864",6.740280
0,0,300000,100%,raw-dsb-spec,0,6.711130
0,0,300000,100%,raw-dtlb-walk,"7,213",6.711130
0,0,300000,100%,raw-exc-dabort,0,6.711130
0,0,300000,100%,raw-exc-fiq,1,6.711130
0,0,300000,100%,raw-exc-hvc,0,6.711130
0,0,300000,100%,raw-exc-irq,"2,334",6.711130
0,0,300000,100%,raw-exc-pabort,0,6.707327
0,0,300000,100%,raw-exc-return,"6,163",6.707327
0,0,300000,100%,raw-exc-smc,0,6.707327
0,0,300000,100%,raw-exc-svc,0,6.707327
0,0,300000,100%,raw-exc-taken,"6,164",6.707327
0,0,300000,100%,raw-exc-trap-dabort,0,6.707327
0,0,300000,100%,raw-exc-trap-fiq,0,6.707752
0,0,300000,100%,raw-exc-trap-irq,0,6.707752
0,0,300000,100%,raw-exc-trap-other,0,6.707752
0,0,300000,100%,raw-exc-trap-pabort,0,6.707752
0,0,300000,100%,raw-exc-undef,0,6.707752
0,0,300000,100%,raw-inst-retired,"1,602,900,196",6.707752
0,0,300000,100%,raw-inst-spec,"1,633,001,524",6.706634
0,0,300000,100%,raw-isb-spec,0,6.706634
0,0,300000,100%,raw-itlb-walk,"2,634",6.706634
0,0,300000,100%,raw-l1d-cache,"570,092,264",6.706634
0,0,300000,100%,raw-l1d-cache-allocate,0,6.706634
0,0,300000,100%,raw-l1d-cache-inval,0,6.706634
0,0,300000,100%,raw-l1d-cache-rd,"490,406,549",6.709298
0,0,300000,100%,raw-l1d-cache-refill,"10,193,912",6.709298
0,0,300000,100%,raw-l1d-cache-refill-inner,"10,172,403",6.709298
0,0,300000,100%,raw-l1d-cache-refill-outer,"35,734",6.709298
0,0,300000,100%,raw-l1d-cache-refill-rd,"8,642,307",6.709298
0,0,300000,100%,raw-l1d-cache-refill-wr,"1,551,605",6.709298
0,0,300000,100%,raw-l1d-cache-wb,"10,484,764",6.702780
0,0,300000,100%,raw-l1d-cache-wb-clean,0,6.702780
0,0,300000,100%,raw-l1d-cache-wb-victim,0,6.702780
0,0,300000,100%,raw-l1d-cache-wr,"79,241,853",6.702780
0,0,300000,100%,raw-l1d-tlb,"569,396,174",6.702780
0,0,300000,100%,raw-l1d-tlb-rd,0,6.702780
0,0,300000,100%,raw-l1d-tlb-refill,"40,757,406",6.703347
0,0,300000,100%,raw-l1d-tlb-refill-rd,0,6.703347
0,0,300000,100%,raw-l1d-tlb-refill-wr,0,6.703347
0,0,300000,100%,raw-l1d-tlb-wr,0,6.703347
0,0,300000,100%,raw-l1i-cache,"1,374,747,166",6.703347
0,0,300000,100%,raw-l1i-cache-lmiss,0,6.703347
0,0,300000,100%,raw-l1i-cache-refill,"10,603,850",6.700122
0,0,300000,100%,raw-l1i-tlb,"1,532,416,755",6.700122
0,0,300000,100%,raw-l1i-tlb-refill,"37,638,024",6.700122
0,0,300000,100%,raw-l2d-cache,"34,878,223",6.700122
