setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,"29,669,769",38.018369
0,0,300000,100%,raw-br-immed-retired,"910,220,669",38.018369
0,0,300000,100%,raw-br-immed-spec,"910,220,669",38.018369
0,0,300000,100%,raw-br-indirect-spec,"5,355,289",38.018369
0,0,300000,100%,raw-br-mis-pred,"27,717,571",38.018369
0,0,300000,100%,raw-br-pred,"864,702,184",38.018369
0,0,300000,100%,raw-br-retired,"956,432,267",37.477988
0,0,300000,100%,raw-br-return-retired,"43,814,374",37.477988
0,0,300000,100%,raw-br-return-spec,"43,814,374",37.477988
0,0,300000,100%,raw-bus-access,"771,042,127",37.477988
0,0,300000,100%,raw-bus-access-normal,0,37.477988
0,0,300000,100%,raw-bus-access-not-shared,0,37.477988
0,0,300000,100%,raw-bus-access-periph,0,36.497764
0,0,300000,100%,raw-bus-access-rd,"374,502,972",36.497764
0,0,300000,100%,raw-bus-access-shared,0,36.497764
0,0,300000,100%,raw-bus-access-wr,"388,239,011",36.497764
0,0,300000,100%,raw-bus-cycles,"10,895,187,325",36.497764
0,0,300000,100%,raw-chain,5,36.497764
0,0,300000,100%,raw-cid-write-retired,0,37.184699
0,0,300000,100%,raw-cnt-cycles,0,37.184699
0,0,300000,100%,raw-cpu-cycles,"11,108,485,378",37.184699
0,0,300000,100%,raw-crypto-spec,0,37.184699
0,0,300000,100%,raw-dmb-spec,0,37.184699
0,0,300000,100%,raw-dp-spec,"2,134,061,625",37.184699
0,0,300000,100%,raw-dsb-spec,0,36.964096
0,0,300000,100%,raw-dtlb-walk,"3,523,616",36.964096
0,0,300000,100%,raw-exc-dabort,0,36.964096
0,0,300000,100%,raw-exc-fiq,6,36.964096
0,0,300000,100%,raw-exc-hvc,0,36.964096
0,0,300000,100%,raw-exc-irq,"12,833",36.964096
0,0,300000,100%,raw-exc-pabort,0,38.295717
0,0,300000,100%,raw-exc-return,"29,144",38.295717
0,0,300000,100%,raw-exc-smc,0,38.295717
0,0,300000,100%,raw-exc-svc,0,38.295717
0,0,300000,100%,raw-exc-taken,"29,151",38.295717
0,0,300000,100%,raw-exc-trap-dabort,0,38.295717
0,0,300000,100%,raw-exc-trap-fiq,0,38.087865
0,0,300000,100%,raw-exc-trap-irq,0,38.087865
0,0,300000,100%,raw-exc-trap-other,0,38.087865
0,0,300000,100%,raw-exc-trap-pabort,0,38.087865
0,0,300000,100%,raw-exc-undef,0,38.087865
0,0,300000,100%,raw-inst-retired,"6,546,466,733",38.087865
0,0,300000,100%,raw-inst-spec,"6,646,344,828",37.122044
0,0,300000,100%,raw-isb-spec,0,37.122044
0,0,300000,100%,raw-itlb-walk,"152,165",37.122044
0,0,300000,100%,raw-l1d-cache,"1,859,733,705",37.122044
0,0,300000,100%,raw-l1d-cache-allocate,0,37.122044
0,0,300000,100%,raw-l1d-cache-inval,0,37.122044
0,0,300000,100%,raw-l1d-cache-rd,"1,711,590,788",38.304583
0,0,300000,100%,raw-l1d-cache-refill,"84,629,676",38.304583
0,0,300000,100%,raw-l1d-cache-refill-inner,"50,515,766",38.304583
0,0,300000,100%,raw-l1d-cache-refill-outer,"38,158,718",38.304583
0,0,300000,100%,raw-l1d-cache-refill-rd,"80,201,971",38.304583
0,0,300000,100%,raw-l1d-cache-refill-wr,"4,427,705",38.304583
0,0,300000,100%,raw-l1d-cache-wb,"119,959,152",37.235408
0,0,300000,100%,raw-l1d-cache-wb-clean,0,37.235408
0,0,300000,100%,raw-l1d-cache-wb-victim,0,37.235408
0,0,300000,100%,raw-l1d-cache-wr,"137,118,626",37.235408
0,0,300000,100%,raw-l1d-tlb,"1,847,885,934",37.235408
0,0,300000,100%,raw-l1d-tlb-rd,0,37.235408
0,0,300000,100%,raw-l1d-tlb-refill,"61,826,691",37.788771
0,0,300000,100%,raw-l1d-tlb-refill-rd,0,37.788771
0,0,300000,100%,raw-l1d-tlb-refill-wr,0,37.788771
0,0,300000,100%,raw-l1d-tlb-wr,0,37.788771
0,0,300000,100%,raw-l1i-cache,"4,250,146,114",37.788771
0,0,300000,100%,raw-l1i-cache-lmiss,0,37.788771
0,0,300000,100%,raw-l1i-cache-refill,"6,122,105",37.594380
0,0,300000,100%,raw-l1i-tlb,"4,386,480,097",37.594380
0,0,300000,100%,raw-l1i-tlb-refill,"9,441,018",37.594380
0,0,300000,100%,raw-l2d-cache,"255,874,270",37.594380
0,0,300000,100%,raw-l2d-cache-allocate,"120,887,685",37.594380
0,0,300000,100%,raw-l2d-cache-inval,0,37.594380
0,0,300000,100%,raw-l2d-cache-lmiss-rd,0,37.224021
0,0,300000,100%,raw-l2d-cache-rd,"133,321,295",37.224021
0,0,300000,100%,raw-l2d-cache-refill,"93,644,333",37.224021
0,0,300000,100%,raw-l2d-cache-refill-rd,"93,563,248",37.224021
0,0,300000,100%,raw-l2d-cache-refill-wr,"81,085",37.224021
0,0,300000,100%,raw-l2d-cache-wb,"95,051,330",37.224021
0,0,300000,100%,raw-l2d-cache-wb-clean,0,37.352720
0,0,300000,100%,raw-l2d-cache-wb-victim,0,37.352720
0,0,300000,100%,raw-l2d-cache-wr,"123,327,254",37.352720
0,0,300000,100%,raw-l2d-tlb,"90,458,345",37.352720
0,0,300000,100%,raw-l2d-tlb-rd,0,37.352720
0,0,300000,100%,raw-l2d-tlb-refill,"3,676,967",37.352720
0,0,300000,100%,raw-l2d-tlb-refill-rd,0,37.573825
0,0,300000,100%,raw-l2d-tlb-refill-wr,0,37.573825
0,0,300000,100%,raw-l2d-tlb-wr,0,37.573825
0,0,300000,100%,raw-l2i-cache-lmiss,0,37.573825
0,0,300000,100%,raw-l2i-tlb,0,37.573825
0,0,300000,100%,raw-l3d-cache,"190,492,429",37.573825
0,0,300000,100%,raw-l3d-cache-allocate,"96,567,947",36.688235
0,0,300000,100%,raw-l3d-cache-inval,0,36.688235
0,0,300000,100%,raw-l3d-cache-lmiss-rd,0,36.688235
0,0,300000,100%,raw-l3d-cache-rd,"93,980,182",36.688235
0,0,300000,100%,raw-l3d-cache-refill,"55,049,880",36.688235
0,0,300000,100%,raw-l3d-cache-refill-rd,"55,049,880",36.688235
0,0,300000,100%,raw-l3d-cache-refill-wr,0,38.063843
0,0,300000,100%,raw-l3d-cache-wb-clean,0,38.063843
0,0,300000,100%,raw-l3d-cache-wb-victim,0,38.063843
0,0,300000,100%,raw-l3d-cache-wr,0,38.063843
0,0,300000,100%,raw-ld-spec,"1,604,291,693",38.063843
0,0,300000,100%,raw-ldrex-spec,0,38.063843
0,0,300000,100%,raw-ldst-spec,"2,045,163,399",36.177711
0,0,300000,100%,raw-ll-cache-miss-rd,"54,239,413",36.177711
0,0,300000,100%,raw-ll-cache-rd,"93,538,193",36.177711
0,0,300000,100%,raw-mem-access,"2,145,491,468",36.177711
0,0,300000,100%,raw-mem-access-rd,"1,700,670,389",36.177711
0,0,300000,100%,raw-mem-access-wr,"444,821,079",36.177711
0,0,300000,100%,raw-pc-write-retired,"613,180,373",37.994223
0,0,300000,100%,raw-pc-write-spec,"975,103,212",37.994223
0,0,300000,100%,raw-rc-ld-spec,0,37.994223
0,0,300000,100%,raw-rc-st-spec,0,37.994223
0,0,300000,100%,raw-remote-access-rd,0,37.994223
0,0,300000,100%,raw-sample-collision,0,37.994223
0,0,300000,100%,raw-sample-feed,0,37.024341
0,0,300000,100%,raw-sample-filtrate,0,37.024341
0,0,300000,100%,raw-sample-pop,0,37.024341
0,0,300000,100%,raw-st-spec,"442,330,903",37.024341
0,0,300000,100%,raw-stall-backend,"5,973,963,598",37.024341
0,0,300000,100%,raw-stall-backend-mem,0,37.024341
0,0,300000,100%,raw-stall-frontend,"379,388,153",37.856805
0,0,300000,100%,raw-strex-fail-spec,0,37.856805
0,0,300000,100%,raw-strex-pass-spec,0,37.856805
0,0,300000,100%,raw-strex-spec,0,37.856805
0,0,300000,100%,raw-sve-inst-retired,0,37.856805
0,0,300000,100%,raw-sve-inst-spec,0,37.856805
0,0,300000,100%,raw-sw-incr,0,38.230074
0,0,300000,100%,raw-ttbr-write-retired,"51,370",38.230074
0,0,300000,100%,raw-unaligned-ld-spec,0,38.230074
0,0,300000,100%,raw-unaligned-ldst-spec,0,38.230074
0,0,300000,100%,raw-unaligned-st-spec,0,38.230074
0,0,300000,100%,raw-vfp-spec,"1,495,262,109",38.230074
0,0,979200,100%,raw-ase-spec,"29,667,595",14.429213
0,0,979200,100%,raw-br-immed-retired,"897,712,238",14.429213
0,0,979200,100%,raw-br-immed-spec,"897,712,238",14.429213
0,0,979200,100%,raw-br-indirect-spec,"5,057,674",14.429213
0,0,979200,100%,raw-br-mis-pred,"25,816,209",14.429213
0,0,979200,100%,raw-br-pred,"853,564,219",14.429213
0,0,979200,100%,raw-br-retired,"945,875,820",14.668530
0,0,979200,100%,raw-br-return-retired,"42,921,020",14.668530
0,0,979200,100%,raw-br-return-spec,"42,921,020",14.668530
0,0,979200,100%,raw-bus-access,"720,384,071",14.668530
0,0,979200,100%,raw-bus-access-normal,0,14.668530
0,0,979200,100%,raw-bus-access-not-shared,0,14.668530
0,0,979200,100%,raw-bus-access-periph,0,14.483595
0,0,979200,100%,raw-bus-access-rd,"353,596,014",14.483595
0,0,979200,100%,raw-bus-access-shared,0,14.483595
0,0,979200,100%,raw-bus-access-wr,"365,222,184",14.483595
0,0,979200,100%,raw-bus-cycles,"14,148,693,170",14.483595
0,0,979200,100%,raw-chain,6,14.483595
0,0,979200,100%,raw-cid-write-retired,0,14.464207
0,0,979200,100%,raw-cnt-cycles,0,14.464207
0,0,979200,100%,raw-cpu-cycles,"14,130,867,316",14.464207
0,0,979200,100%,raw-crypto-spec,0,14.464207
0,0,979200,100%,raw-dmb-spec,0,14.464207
0,0,979200,100%,raw-dp-spec,"2,101,661,203",14.464207
0,0,979200,100%,raw-dsb-spec,0,14.819446
0,0,979200,100%,raw-dtlb-walk,"3,458,840",14.819446
0,0,979200,100%,raw-exc-dabort,0,14.819446
0,0,979200,100%,raw-exc-fiq,2,14.819446
0,0,979200,100%,raw-exc-hvc,0,14.819446
0,0,979200,100%,raw-exc-irq,"5,169",14.819446
0,0,979200,100%,raw-exc-pabort,0,13.975204
0,0,979200,100%,raw-exc-return,"20,669",13.975204
0,0,979200,100%,raw-exc-smc,0,13.975204
0,0,979200,100%,raw-exc-svc,0,13.975204
0,0,979200,100%,raw-exc-taken,"20,671",13.975204
