setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,"221,230",0.276845
0,0,300000,100%,raw-br-immed-retired,"6,202,241",0.276845
0,0,300000,100%,raw-br-immed-spec,"6,202,241",0.276845
0,0,300000,100%,raw-br-indirect-spec,"120,925",0.276845
0,0,300000,100%,raw-br-mis-pred,"476,770",0.276845
0,0,300000,100%,raw-br-pred,"5,792,368",0.276845
0,0,300000,100%,raw-br-retired,"5,423,468",0.139267
0,0,300000,100%,raw-br-return-retired,"469,241",0.139267
0,0,300000,100%,raw-br-return-spec,"469,241",0.139267
0,0,300000,100%,raw-bus-access,"3,039,336",0.139267
0,0,300000,100%,raw-bus-access-normal,0,0.139267
0,0,300000,100%,raw-bus-access-not-shared,0,0.139267
0,0,300000,100%,raw-bus-access-periph,0,0.137504
0,0,300000,100%,raw-bus-access-rd,"1,381,065",0.137504
0,0,300000,100%,raw-bus-access-shared,0,0.137504
0,0,300000,100%,raw-bus-access-wr,"1,683,762",0.137504
0,0,300000,100%,raw-bus-cycles,"39,433,534",0.137504
0,0,300000,100%,raw-chain,0,0.137504
0,0,300000,100%,raw-cid-write-retired,0,0.135904
0,0,300000,100%,raw-cnt-cycles,0,0.135904
0,0,300000,100%,raw-cpu-cycles,"39,026,470",0.135904
0,0,300000,100%,raw-crypto-spec,0,0.135904
0,0,300000,100%,raw-dmb-spec,0,0.135904
0,0,300000,100%,raw-dp-spec,"12,611,784",0.135904
0,0,300000,100%,raw-dsb-spec,0,0.137583
0,0,300000,100%,raw-dtlb-walk,"4,732",0.137583
0,0,300000,100%,raw-exc-dabort,0,0.137583
0,0,300000,100%,raw-exc-fiq,0,0.137583
0,0,300000,100%,raw-exc-hvc,0,0.137583
0,0,300000,100%,raw-exc-irq,47,0.137583
0,0,300000,100%,raw-exc-pabort,0,0.136548
0,0,300000,100%,raw-exc-return,"3,722",0.136548
0,0,300000,100%,raw-exc-smc,0,0.136548
0,0,300000,100%,raw-exc-svc,0,0.136548
0,0,300000,100%,raw-exc-taken,"3,722",0.136548
0,0,300000,100%,raw-exc-trap-dabort,0,0.136548
