setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,"932,060",1.849117
0,0,300000,100%,raw-br-immed-retired,"106,390,571",1.849117
0,0,300000,100%,raw-br-immed-spec,"106,390,571",1.849117
0,0,300000,100%,raw-br-indirect-spec,"3,445,876",1.849117
0,0,300000,100%,raw-br-mis-pred,"2,386,224",1.849117
0,0,300000,100%,raw-br-pred,"108,002,166",1.849117
0,0,300000,100%,raw-br-retired,"115,989,695",1.745427
0,0,300000,100%,raw-br-return-retired,"6,971,412",1.745427
0,0,300000,100%,raw-br-return-spec,"6,971,412",1.745427
0,0,300000,100%,raw-bus-access,"20,635,618",1.745427
0,0,300000,100%,raw-bus-access-normal,0,1.745427
0,0,300000,100%,raw-bus-access-not-shared,0,1.745427
0,0,300000,100%,raw-bus-access-periph,0,1.741229
0,0,300000,100%,raw-bus-access-rd,"9,922,566",1.741229
0,0,300000,100%,raw-bus-access-shared,0,1.741229
0,0,300000,100%,raw-bus-access-wr,"10,599,520",1.741229
0,0,300000,100%,raw-bus-cycles,"518,228,378",1.741229
0,0,300000,100%,raw-chain,0,1.741229
0,0,300000,100%,raw-cid-write-retired,0,1.743707
0,0,300000,100%,raw-cnt-cycles,0,1.743707
0,0,300000,100%,raw-cpu-cycles,"519,038,567",1.743707
0,0,300000,100%,raw-crypto-spec,0,1.743707
0,0,300000,100%,raw-dmb-spec,0,1.743707
0,0,300000,100%,raw-dp-spec,"162,610,510",1.743707
0,0,300000,100%,raw-dsb-spec,0,1.744470
0,0,300000,100%,raw-dtlb-walk,"37,639",1.744470
0,0,300000,100%,raw-exc-dabort,0,1.744470
0,0,300000,100%,raw-exc-fiq,0,1.744470
0,0,300000,100%,raw-exc-hvc,0,1.744470
0,0,300000,100%,raw-exc-irq,610,1.744470
0,0,300000,100%,raw-exc-pabort,0,1.740110
0,0,300000,100%,raw-exc-return,"5,006",1.740110
0,0,300000,100%,raw-exc-smc,0,1.740110
0,0,300000,100%,raw-exc-svc,0,1.740110
0,0,300000,100%,raw-exc-taken,"5,006",1.740110
0,0,300000,100%,raw-exc-trap-dabort,0,1.740110
0,0,300000,100%,raw-exc-trap-fiq,0,1.738082
0,0,300000,100%,raw-exc-trap-irq,0,1.738082
0,0,300000,100%,raw-exc-trap-other,0,1.738082
0,0,300000,100%,raw-exc-trap-pabort,0,1.738082
0,0,300000,100%,raw-exc-undef,0,1.738082
0,0,300000,100%,raw-inst-retired,"426,074,306",1.738082
0,0,300000,100%,raw-inst-spec,"433,136,918",1.737932
0,0,300000,100%,raw-isb-spec,0,1.737932
0,0,300000,100%,raw-itlb-walk,"11,399",1.737932
0,0,300000,100%,raw-l1d-cache,"133,463,209",1.737932
0,0,300000,100%,raw-l1d-cache-allocate,0,1.737932
0,0,300000,100%,raw-l1d-cache-inval,0,1.737932
0,0,300000,100%,raw-l1d-cache-rd,"122,931,826",1.740851
0,0,300000,100%,raw-l1d-cache-refill,"5,976,661",1.740851
0,0,300000,100%,raw-l1d-cache-refill-inner,"5,796,628",1.740851
0,0,300000,100%,raw-l1d-cache-refill-outer,"187,790",1.740851
0,0,300000,100%,raw-l1d-cache-refill-rd,"5,340,561",1.740851
0,0,300000,100%,raw-l1d-cache-refill-wr,"636,100",1.740851
0,0,300000,100%,raw-l1d-cache-wb,"7,572,052",1.759694
0,0,300000,100%,raw-l1d-cache-wb-clean,0,1.759694
0,0,300000,100%,raw-l1d-cache-wb-victim,0,1.759694
0,0,300000,100%,raw-l1d-cache-wr,"10,634,283",1.759694
0,0,300000,100%,raw-l1d-tlb,"133,614,482",1.759694
0,0,300000,100%,raw-l1d-tlb-rd,0,1.759694
0,0,300000,100%,raw-l1d-tlb-refill,"7,546,727",1.739746
0,0,300000,100%,raw-l1d-tlb-refill-rd,0,1.739746
0,0,300000,100%,raw-l1d-tlb-refill-wr,0,1.739746
0,0,300000,100%,raw-l1d-tlb-wr,0,1.739746
