setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,"338,715,762",73.744867
0,0,300000,100%,raw-br-immed-retired,"1,643,609,668",73.744867
0,0,300000,100%,raw-br-immed-spec,"1,643,609,668",73.744867
0,0,300000,100%,raw-br-indirect-spec,"61,120,719",73.744867
0,0,300000,100%,raw-br-mis-pred,"156,769,717",73.744867
0,0,300000,100%,raw-br-pred,"1,608,407,356",73.744867
0,0,300000,100%,raw-br-retired,"1,859,118,135",73.929987
0,0,300000,100%,raw-br-return-retired,"140,645,184",73.929987
0,0,300000,100%,raw-br-return-spec,"140,645,184",73.929987
0,0,300000,100%,raw-bus-access,"902,968,596",73.929987
0,0,300000,100%,raw-bus-access-normal,0,73.929987
0,0,300000,100%,raw-bus-access-not-shared,0,73.929987
0,0,300000,100%,raw-bus-access-periph,0,73.956294
0,0,300000,100%,raw-bus-access-rd,"408,717,708",73.956294
0,0,300000,100%,raw-bus-access-shared,0,73.956294
0,0,300000,100%,raw-bus-access-wr,"495,771,886",73.956294
0,0,300000,100%,raw-bus-cycles,"22,060,160,540",73.956294
0,0,300000,100%,raw-chain,10,73.956294
0,0,300000,100%,raw-cid-write-retired,0,74.158477
0,0,300000,100%,raw-cnt-cycles,0,74.158477
0,0,300000,100%,raw-cpu-cycles,"22,161,088,311",74.158477
0,0,300000,100%,raw-crypto-spec,0,74.158477
0,0,300000,100%,raw-dmb-spec,0,74.158477
0,0,300000,100%,raw-dp-spec,"10,000,165,275",74.158477
0,0,300000,100%,raw-dsb-spec,0,75.026321
0,0,300000,100%,raw-dtlb-walk,"1,713,694",75.026321
0,0,300000,100%,raw-exc-dabort,0,75.026321
0,0,300000,100%,raw-exc-fiq,11,75.026321
0,0,300000,100%,raw-exc-hvc,0,75.026321
0,0,300000,100%,raw-exc-irq,"25,526",75.026321
0,0,300000,100%,raw-exc-pabort,0,73.903550
0,0,300000,100%,raw-exc-return,"38,097",73.903550
0,0,300000,100%,raw-exc-smc,0,73.903550
0,0,300000,100%,raw-exc-svc,0,73.903550
0,0,300000,100%,raw-exc-taken,"38,109",73.903550
0,0,300000,100%,raw-exc-trap-dabort,0,73.903550
0,0,300000,100%,raw-exc-trap-fiq,0,73.666705
0,0,300000,100%,raw-exc-trap-irq,0,73.666705
0,0,300000,100%,raw-exc-trap-other,0,73.666705
0,0,300000,100%,raw-exc-trap-pabort,0,73.666705
0,0,300000,100%,raw-exc-undef,0,73.666705
0,0,300000,100%,raw-inst-retired,"17,208,424,467",73.666705
0,0,300000,100%,raw-inst-spec,"17,778,536,977",73.915914
0,0,300000,100%,raw-isb-spec,0,73.915914
0,0,300000,100%,raw-itlb-walk,"172,956",73.915914
0,0,300000,100%,raw-l1d-cache,"4,760,882,270",73.915914
