setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,"457,443,145",66.325822
0,0,300000,100%,raw-br-immed-retired,"1,299,478,967",66.325822
0,0,300000,100%,raw-br-immed-spec,"1,299,478,967",66.325822
0,0,300000,100%,raw-br-indirect-spec,"825,750",66.325822
0,0,300000,100%,raw-br-mis-pred,"30,823,388",66.325822
0,0,300000,100%,raw-br-pred,"1,210,535,331",66.325822
0,0,300000,100%,raw-br-retired,"1,375,443,520",66.256023
0,0,300000,100%,raw-br-return-retired,"74,717,738",66.256023
0,0,300000,100%,raw-br-return-spec,"74,717,738",66.256023
0,0,300000,100%,raw-bus-access,"153,005,149",66.256023
0,0,300000,100%,raw-bus-access-normal,0,66.256023
0,0,300000,100%,raw-bus-access-not-shared,0,66.256023
0,0,300000,100%,raw-bus-access-periph,0,66.476159
0,0,300000,100%,raw-bus-access-rd,"70,744,220",66.476159
0,0,300000,100%,raw-bus-access-shared,0,66.476159
0,0,300000,100%,raw-bus-access-wr,"79,305,761",66.476159
0,0,300000,100%,raw-bus-cycles,"19,871,792,385",66.476159
0,0,300000,100%,raw-chain,9,66.476159
0,0,300000,100%,raw-cid-write-retired,0,66.202983
0,0,300000,100%,raw-cnt-cycles,0,66.202983
0,0,300000,100%,raw-cpu-cycles,"19,800,358,464",66.202983
0,0,300000,100%,raw-crypto-spec,0,66.202983
0,0,300000,100%,raw-dmb-spec,0,66.202983
0,0,300000,100%,raw-dp-spec,"2,937,971,409",66.202983
0,0,300000,100%,raw-dsb-spec,0,66.293279
0,0,300000,100%,raw-dtlb-walk,"3,107",66.293279
0,0,300000,100%,raw-exc-dabort,0,66.293279
0,0,300000,100%,raw-exc-fiq,11,66.293279
0,0,300000,100%,raw-exc-hvc,0,66.293279
0,0,300000,100%,raw-exc-irq,"23,076",66.293279
0,0,300000,100%,raw-exc-pabort,0,66.259242
0,0,300000,100%,raw-exc-return,"40,232",66.259242
0,0,300000,100%,raw-exc-smc,0,66.259242
0,0,300000,100%,raw-exc-svc,0,66.259242
0,0,300000,100%,raw-exc-taken,"40,243",66.259242
0,0,300000,100%,raw-exc-trap-dabort,0,66.259242
0,0,300000,100%,raw-exc-trap-fiq,0,66.294815
0,0,300000,100%,raw-exc-trap-irq,0,66.294815
0,0,300000,100%,raw-exc-trap-other,0,66.294815
0,0,300000,100%,raw-exc-trap-pabort,0,66.294815
0,0,300000,100%,raw-exc-undef,0,66.294815
0,0,300000,100%,raw-inst-retired,"12,296,646,081",66.294815
0,0,300000,100%,raw-inst-spec,"12,428,139,028",66.294219
0,0,300000,100%,raw-isb-spec,0,66.294219
0,0,300000,100%,raw-itlb-walk,"1,593",66.294219
0,0,300000,100%,raw-l1d-cache,"3,017,588,619",66.294219
0,0,300000,100%,raw-l1d-cache-allocate,0,66.294219
0,0,300000,100%,raw-l1d-cache-inval,0,66.294219
0,0,300000,100%,raw-l1d-cache-rd,"2,874,923,749",66.240373
0,0,300000,100%,raw-l1d-cache-refill,"27,475,226",66.240373
0,0,300000,100%,raw-l1d-cache-refill-inner,"27,554,169",66.240373
0,0,300000,100%,raw-l1d-cache-refill-outer,"40,345",66.240373
0,0,300000,100%,raw-l1d-cache-refill-rd,"25,716,644",66.240373
0,0,300000,100%,raw-l1d-cache-refill-wr,"1,758,582",66.240373
0,0,300000,100%,raw-l1d-cache-wb,"32,392,297",66.292476
0,0,300000,100%,raw-l1d-cache-wb-clean,0,66.292476
0,0,300000,100%,raw-l1d-cache-wb-victim,0,66.292476
0,0,300000,100%,raw-l1d-cache-wr,"142,306,778",66.292476
0,0,300000,100%,raw-l1d-tlb,"3,017,476,492",66.292476
0,0,300000,100%,raw-l1d-tlb-rd,0,66.292476
0,0,300000,100%,raw-l1d-tlb-refill,"86,900,309",66.248033
0,0,300000,100%,raw-l1d-tlb-refill-rd,0,66.248033
0,0,300000,100%,raw-l1d-tlb-refill-wr,0,66.248033
0,0,300000,100%,raw-l1d-tlb-wr,0,66.248033
0,0,300000,100%,raw-l1i-cache,"6,814,903,545",66.248033
0,0,300000,100%,raw-l1i-cache-lmiss,0,66.248033
0,0,300000,100%,raw-l1i-cache-refill,"9,107,905",66.230835
0,0,300000,100%,raw-l1i-tlb,"6,973,126,008",66.230835
0,0,300000,100%,raw-l1i-tlb-refill,"1,784,062",66.230835
0,0,300000,100%,raw-l2d-cache,"76,199,271",66.230835
0,0,300000,100%,raw-l2d-cache-allocate,"31,074,621",66.230835
0,0,300000,100%,raw-l2d-cache-inval,0,66.230835
0,0,300000,100%,raw-l2d-cache-lmiss-rd,0,66.328095
