setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,"2,424,967",20.295052
0,0,300000,100%,raw-br-immed-retired,"895,197,155",20.295052
0,0,300000,100%,raw-br-immed-spec,"895,197,155",20.295052
0,0,300000,100%,raw-br-indirect-spec,"33,330,804",20.295052
0,0,300000,100%,raw-br-mis-pred,"80,702,536",20.295052
0,0,300000,100%,raw-br-mis-pred-retired,"80,901,386",20.295052
0,0,300000,100%,raw-br-pred,"856,675,467",19.939999
0,0,300000,100%,raw-br-retired,"1,010,976,244",19.939999
0,0,300000,100%,raw-br-return-retired,"83,900,999",19.939999
0,0,300000,100%,raw-br-return-spec,"83,900,999",19.939999
0,0,300000,100%,raw-bus-access,"337,613,638",19.939999
0,0,300000,100%,raw-bus-access-normal,0,19.939999
0,0,300000,100%,raw-bus-access-not-shared,0,19.883100
0,0,300000,100%,raw-bus-access-periph,0,19.883100
0,0,300000,100%,raw-bus-access-rd,"151,292,369",19.883100
0,0,300000,100%,raw-bus-access-shared,0,19.883100
0,0,300000,100%,raw-bus-access-wr,"183,901,076",19.883100
0,0,300000,100%,raw-bus-cycles,"5,945,197,245",19.883100
0,0,300000,100%,raw-cid-write-retired,1,19.868138
0,0,300000,100%,raw-cnt-cycles,0,19.868138
0,0,300000,100%,raw-cpu-cycles,"5,939,589,313",19.868138
0,0,300000,100%,raw-crypto-spec,0,19.868138
0,0,300000,100%,raw-dmb-spec,0,19.868138
0,0,300000,100%,raw-dp-spec,"2,176,140,105",19.950808
0,0,300000,100%,raw-dsb-spec,0,19.950808
0,0,300000,100%,raw-dtlb-walk,"363,985",19.950808
0,0,300000,100%,raw-exc-dabort,0,19.950808
0,0,300000,100%,raw-exc-fiq,3,19.950808
0,0,300000,100%,raw-exc-hvc,0,19.950808
0,0,300000,100%,raw-exc-irq,"8,186",20.279481
0,0,300000,100%,raw-exc-pabort,0,20.279481
0,0,300000,100%,raw-exc-return,"14,114",20.279481
0,0,300000,100%,raw-exc-smc,0,20.279481
0,0,300000,100%,raw-exc-svc,0,20.279481
0,0,300000,100%,raw-exc-taken,"14,117",20.279481
0,0,300000,100%,raw-exc-trap-dabort,0,19.918639
0,0,300000,100%,raw-exc-trap-fiq,0,19.918639
0,0,300000,100%,raw-exc-trap-irq,0,19.918639
0,0,300000,100%,raw-exc-trap-other,0,19.918639
0,0,300000,100%,raw-exc-trap-pabort,0,19.918639
0,0,300000,100%,raw-exc-undef,0,19.918639
0,0,300000,100%,raw-inst-retired,"4,446,789,684",19.895486
0,0,300000,100%,raw-inst-spec,"4,693,120,675",19.895486
0,0,300000,100%,raw-isb-spec,0,19.895486
0,0,300000,100%,raw-itlb-walk,"80,222",19.895486
0,0,300000,100%,raw-l1d-cache,"1,308,926,647",19.895486
0,0,300000,100%,raw-l1d-cache-allocate,0,19.895486
0,0,300000,100%,raw-l1d-cache-inval,0,19.943062
0,0,300000,100%,raw-l1d-cache-lmiss-rd,0,19.943062
0,0,300000,100%,raw-l1d-cache-rd,"1,189,535,761",19.943062
0,0,300000,100%,raw-l1d-cache-refill,"39,762,312",19.943062
0,0,300000,100%,raw-l1d-cache-refill-inner,"35,349,708",19.943062
0,0,300000,100%,raw-l1d-cache-refill-outer,"5,038,172",19.943062
0,0,300000,100%,raw-l1d-cache-refill-rd,"35,220,084",19.884893
0,0,300000,100%,raw-l1d-cache-refill-wr,"4,509,181",19.884893
0,0,300000,100%,raw-l1d-cache-wb,"45,666,478",19.884893
0,0,300000,100%,raw-l1d-cache-wb-clean,0,19.884893
0,0,300000,100%,raw-l1d-cache-wb-victim,0,19.884893
0,0,300000,100%,raw-l1d-cache-wr,"119,666,231",19.884893
0,0,300000,100%,raw-l1d-tlb,"1,309,610,819",19.911486
0,0,300000,100%,raw-l1d-tlb-rd,0,19.911486
0,0,300000,100%,raw-l1d-tlb-refill,"65,781,186",19.911486
0,0,300000,100%,raw-l1d-tlb-refill-rd,0,19.911486
0,0,300000,100%,raw-l1d-tlb-refill-wr,0,19.911486
0,0,300000,100%,raw-l1d-tlb-wr,0,19.911486
0,0,300000,100%,raw-l1i-cache,"3,753,124,008",19.963601
0,0,300000,100%,raw-l1i-cache-lmiss,0,19.963601
0,0,300000,100%,raw-l1i-cache-refill,"34,475,745",19.963601
0,0,300000,100%,raw-l1i-tlb,"4,258,458,932",19.963601
0,0,300000,100%,raw-l1i-tlb-refill,"16,327,415",19.963601
0,0,300000,100%,raw-l2d-cache,"161,116,278",19.963601
0,0,300000,100%,raw-l2d-cache-allocate,"59,276,294",19.895452
0,0,300000,100%,raw-l2d-cache-inval,0,19.895452
0,0,300000,100%,raw-l2d-cache-lmiss-rd,0,19.895452
0,0,300000,100%,raw-l2d-cache-rd,"95,041,413",19.895452
0,0,300000,100%,raw-l2d-cache-refill,"37,993,070",19.895452
0,0,300000,100%,raw-l2d-cache-refill-rd,"37,625,192",19.895452
0,0,300000,100%,raw-l2d-cache-refill-wr,"382,296",19.940580
0,0,300000,100%,raw-l2d-cache-wb,"40,312,524",19.940580
0,0,300000,100%,raw-l2d-cache-wb-clean,0,19.940580
0,0,300000,100%,raw-l2d-cache-wb-victim,0,19.940580
0,0,300000,100%,raw-l2d-cache-wr,"65,041,339",19.940580
0,0,300000,100%,raw-l2d-tlb,"87,244,706",19.940580
0,0,300000,100%,raw-l2d-tlb-rd,0,19.922980
0,0,300000,100%,raw-l2d-tlb-refill,"415,075",19.922980
0,0,300000,100%,raw-l2d-tlb-refill-rd,0,19.922980
0,0,300000,100%,raw-l2d-tlb-refill-wr,0,19.922980
0,0,300000,100%,raw-l2d-tlb-wr,0,19.922980
0,0,300000,100%,raw-l2i-cache,0,19.922980
0,0,300000,100%,raw-l2i-cache-lmiss,0,19.910141
0,0,300000,100%,raw-l2i-cache-refill,0,19.910141
0,0,300000,100%,raw-l2i-tlb,0,19.910141
0,0,300000,100%,raw-l2i-tlb-refill,0,19.910141
0,0,300000,100%,raw-l3d-cache,"81,770,434",19.910141
0,0,300000,100%,raw-l3d-cache-allocate,"43,821,397",19.910141
0,0,300000,100%,raw-l3d-cache-inval,0,19.881040
0,0,300000,100%,raw-l3d-cache-lmiss-rd,0,19.881040
0,0,300000,100%,raw-l3d-cache-rd,"37,783,019",19.881040
0,0,300000,100%,raw-l3d-cache-refill,"7,771,758",19.881040
0,0,300000,100%,raw-l3d-cache-refill-rd,"7,771,758",19.881040
0,0,300000,100%,raw-l3d-cache-refill-wr,0,19.881040
0,0,300000,100%,raw-l3d-cache-wb,0,19.924909
0,0,300000,100%,raw-l3d-cache-wb-clean,0,19.924909
0,0,300000,100%,raw-l3d-cache-wb-victim,0,19.924909
0,0,300000,100%,raw-l3d-cache-wr,0,19.924909
0,0,300000,100%,raw-ld-retired,"938,203,615",19.924909
0,0,300000,100%,raw-ld-spec,"1,003,471,767",19.924909
0,0,300000,100%,raw-ldrex-spec,0,19.897882
0,0,300000,100%,raw-ldst-spec,"1,480,383,537",19.897882
0,0,300000,100%,raw-ll-cache,0,19.897882
0,0,300000,100%,raw-ll-cache-miss,0,19.897882
0,0,300000,100%,raw-ll-cache-miss-rd,"7,862,324",19.897882
0,0,300000,100%,raw-ll-cache-rd,"37,870,702",19.897882
0,0,300000,100%,raw-mem-access,"1,716,476,790",19.919916
0,0,300000,100%,raw-mem-access-rd,"1,169,571,536",19.919916
0,0,300000,100%,raw-mem-access-wr,"546,905,254",19.919916
0,0,300000,100%,raw-memory-error,0,19.919916
0,0,300000,100%,raw-op-retired,0,19.919916
0,0,300000,100%,raw-op-spec,0,19.919916
0,0,300000,100%,raw-pc-write-retired,"621,603,795",19.975651
0,0,300000,100%,raw-pc-write-spec,"1,056,433,301",19.975651
0,0,300000,100%,raw-rc-ld-spec,0,19.975651
0,0,300000,100%,raw-rc-st-spec,0,19.975651
0,0,300000,100%,raw-remote-access,0,19.975651
0,0,300000,100%,raw-remote-access-rd,0,19.975651
0,0,300000,100%,raw-sample-collision,0,19.954476
0,0,300000,100%,raw-sample-feed,0,19.954476
0,0,300000,100%,raw-sample-filtrate,0,19.954476
0,0,300000,100%,raw-sample-pop,0,19.954476
0,0,300000,100%,raw-st-retired,"439,345,566",19.954476
0,0,300000,100%,raw-st-spec,"477,502,966",19.954476
0,0,300000,100%,raw-stall,0,19.887816
0,0,300000,100%,raw-stall-backend,"1,526,416,089",19.887816
0,0,300000,100%,raw-stall-backend-mem,0,19.887816
0,0,300000,100%,raw-stall-frontend,"830,038,231",19.887816
0,0,300000,100%,raw-stall-slot,0,19.887816
0,0,300000,100%,raw-stall-slot-backend,0,19.887816
0,0,300000,100%,raw-stall-slot-frontend,0,19.903874
0,0,300000,100%,raw-strex-fail-spec,0,19.903874
0,0,300000,100%,raw-strex-pass-spec,0,19.903874
0,0,300000,100%,raw-strex-spec,0,19.903874
0,0,300000,100%,raw-sve-inst-retired,0,19.903874
0,0,300000,100%,raw-sve-inst-spec,0,19.903874
0,0,300000,100%,raw-sw-incr,0,19.988823
0,0,300000,100%,raw-ttbr-write-retired,6,19.988823
0,0,300000,100%,raw-unaligned-ld-spec,0,19.988823
0,0,300000,100%,raw-unaligned-ldst-retired,"27,570,956",19.988823
0,0,300000,100%,raw-unaligned-ldst-spec,0,19.988823
0,0,300000,100%,raw-unaligned-st-spec,0,19.988823
0,0,300000,100%,raw-vfp-spec,"2,593,595",19.880676
0,0,1248000,100%,raw-ase-spec,"2,423,900",5.255429
0,0,1248000,100%,raw-br-immed-retired,"885,651,639",5.255429
0,0,1248000,100%,raw-br-immed-spec,"885,651,639",5.255429
0,0,1248000,100%,raw-br-indirect-spec,"32,812,837",5.255429
0,0,1248000,100%,raw-br-mis-pred,"76,923,095",5.255429
0,0,1248000,100%,raw-br-mis-pred-retired,"77,102,207",5.255429
0,0,1248000,100%,raw-br-pred,"848,433,782",5.258612
0,0,1248000,100%,raw-br-retired,"1,001,698,030",5.258612
0,0,1248000,100%,raw-br-return-retired,"83,344,958",5.258612
0,0,1248000,100%,raw-br-return-spec,"83,344,958",5.258612
0,0,1248000,100%,raw-bus-access,"274,317,808",5.258612
0,0,1248000,100%,raw-bus-access-normal,0,5.258612
0,0,1248000,100%,raw-bus-access-not-shared,0,5.258916
0,0,1248000,100%,raw-bus-access-periph,0,5.258916
0,0,1248000,100%,raw-bus-access-rd,"121,063,696",5.258916
0,0,1248000,100%,raw-bus-access-shared,0,5.258916
0,0,1248000,100%,raw-bus-access-wr,"151,956,147",5.258916
0,0,1248000,100%,raw-bus-cycles,"6,533,423,735",5.258916
0,0,1248000,100%,raw-cid-write-retired,1,5.259408
0,0,1248000,100%,raw-cnt-cycles,0,5.259408
0,0,1248000,100%,raw-cpu-cycles,"6,532,182,573",5.259408
0,0,1248000,100%,raw-crypto-spec,0,5.259408
0,0,1248000,100%,raw-dmb-spec,0,5.259408
0,0,1248000,100%,raw-dp-spec,"2,147,453,811",5.279519
0,0,1248000,100%,raw-dsb-spec,0,5.279519
0,0,1248000,100%,raw-dtlb-walk,"316,150",5.279519
0,0,1248000,100%,raw-exc-dabort,0,5.279519
0,0,1248000,100%,raw-exc-fiq,0,5.279519
0,0,1248000,100%,raw-exc-hvc,0,5.279519
0,0,1248000,100%,raw-exc-irq,"2,273",5.264277
0,0,1248000,100%,raw-exc-pabort,0,5.264277
0,0,1248000,100%,raw-exc-return,"8,203",5.264277
0,0,1248000,100%,raw-exc-smc,0,5.264277
0,0,1248000,100%,raw-exc-svc,0,5.264277
0,0,1248000,100%,raw-exc-taken,"8,203",5.264277
0,0,1248000,100%,raw-exc-trap-dabort,0,5.253704
0,0,1248000,100%,raw-exc-trap-fiq,0,5.253704
0,0,1248000,100%,raw-exc-trap-irq,0,5.253704
0,0,1248000,100%,raw-exc-trap-other,0,5.253704
0,0,1248000,100%,raw-exc-trap-pabort,0,5.253704
0,0,1248000,100%,raw-exc-undef,0,5.253704
0,0,1248000,100%,raw-inst-retired,"4,397,386,429",5.261572
